"homecount","awaycount","home.score","away.score","event","time","poss.position","poss.team","poss.player","poss.player.event","poss.location","poss.destination","ball.type","poss.notes","def.position","def.team","def.player","def.event","def.location","gk.ball.result","gk.s.o.g.attempt","def.player.disciplinary","def.notes"
11,11,0,0,1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,0,0,2,"1","M","FCKC","Holiday","passes.b.c","OPP.MID.3RD.C","DEF.MID.3RD.C",NA,NA,"M","SRFC","Winters","pressured.opp","DEF.MID.3RD.C",NA,NA,NA,NA
11,11,0,0,3,"1","D","FCKC","Sauerbrunn","passes.s.c","DEF.MID.3RD.C","OPP.MID.3RD.L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,0,0,4,"1","D","FCKC","Moros","passes.f.c","OPP.MID.3RD.L","OPP.MID.3RD.L",NA,NA,"F","SRFC","Yanez","pressured.opp","DEF.MID.3RD.R",NA,NA,NA,NA
11,11,0,0,5,"1","M","FCKC","Tymrak","passes.f.m","OPP.3RD.L","OPP.3RD.L",NA,"out.of.bounds.lost.poss","D","SRFC","Fletcher","pressured.opp","DEF.3RD.R",NA,NA,NA,NA
11,11,0,0,6,"1","D","SRFC","Fletcher","passes.f.b","DEF.3RD.R","DEF.MID.3RD.R","throw.ins",NA,"D","FCKC","Moros","passes.blocked","OPP.MID.3RD.L",NA,NA,NA,NA
11,11,0,0,7,"1","F","SRFC","Yanez","aerial.challenges.won","DEF.MID.3RD.R",NA,NA,NA,"M","FCKC","Tymrak","aerial.challenges.lost","OPP.MID.3RD.L",NA,NA,NA,NA
11,11,0,0,8,"1","M","FCKC","Buczkowski","def.recoveries","OPP.MID.3RD.L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,0,0,9,"1","M","FCKC","Buczkowski","passes.f.c","OPP.MID.3RD.L","OPP.MID.3RD.L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,0,0,10,"1","M","FCKC","Tymrak","passes.b.c","OPP.MID.3RD.L","DEF.MID.3RD.L",NA,NA,"F","SRFC","Yanez","pressured.opp","DEF.MID.3RD.R",NA,NA,NA,NA
11,11,0,0,11,"1","D","FCKC","Moros","passes.f.b","DEF.MID.3RD.L","OPP.MID.3RD.R",NA,NA,"F","SRFC","Yanez","passes.blocked","OPP.MID.3RD.R",NA,NA,NA,NA
11,11,0,0,12,"1","M","SRFC","Little","def.recoveries","OPP.MID.3RD.R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,0,0,13,"1","M","SRFC","Little","passes.b.c","OPP.MID.3RD.R","DEF.MID.3RD.R",NA,NA,"M","FCKC","Holiday","pressured.opp","DEF.MID.3RD.L",NA,NA,NA,NA
11,11,0,0,13,"1",NA,NA,NA,NA,NA,NA,NA,NA,"D","FCKC","Moros","pressured.opp","DEF.MID.3RD.L",NA,NA,NA,NA
11,11,0,0,14,"1","M","SRFC","Fishlock","passes.f.c","DEF.MID.3RD.R","OPP.MID.3RD.C",NA,NA,"M","FCKC","Holiday","pressured.opp","OPP.MID.3RD.L",NA,NA,NA,NA
11,11,0,0,14,"1",NA,NA,NA,NA,NA,NA,NA,NA,"F","FCKC","Rodriguez","pressured.opp","OPP.MID.3RD.L",NA,NA,NA,NA
11,11,0,0,15,"1","M","SRFC","Winters","lost.touch","OPP.3RD.C",NA,NA,NA,"M","FCKC","Laddish","pressured.opp","DEF.MID.3RD.C",NA,NA,NA,NA
11,11,0,0,16,"1","D","FCKC","Lepeilbet","def.recoveries","DEF.3RD.C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,0,0,17,"1","D","FCKC","Lepeilbet","passes.f.c","DEF.3RD.C","DEF.MID.3RD.C",NA,NA,"M","SRFC","Winters","pressured.opp","DEF.3RD.C",NA,NA,NA,NA
11,11,0,0,18,"1","M","FCKC","Buczkowski","passes.f.c","DEF.MID.3RD.C","DEF.MID.3RD.C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,0,0,19,"1","M","FCKC","Laddish","passes.b.c","DEF.MID.3RD.C","DEF.MID.3RD.R",NA,NA,"M","SRFC","Winters","pressured.opp","DEF.MID.3RD.C",NA,NA,NA,NA
11,11,0,0,20,"1","D","FCKC","Brown","passes.s.c","DEF.MID.3RD.R","DEF.MID.3RD.C",NA,NA,"F","SRFC","Rapinoe","pressured.opp","DEF.MID.3RD.L",NA,NA,NA,NA
11,11,0,0,21,"1","M","FCKC","Buczkowski","passes.s.c","OPP.MID.3RD.R","OPP.MID.3RD.R",NA,NA,"M","SRFC","Little","pressured.opp","DEF.MID.3RD.L",NA,NA,NA,NA
11,11,0,0,22,"1","D","FCKC","Brown","passes.s.c","OPP.MID.3RD.R","OPP.MID.3RD.R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,0,0,23,"1","M","FCKC","Laddish","passes.b.c","OPP.MID.3RD.C","DEF.MID.3RD.C",NA,NA,"M","SRFC","Little","pressured.opp","DEF.MID.3RD.C",NA,NA,NA,NA
11,11,0,0,24,"2","D","FCKC","Sauerbrunn","passes.s.c","DEF.MID.3RD.L","OPP.MID.3RD.L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,0,0,25,"2","D","FCKC","Moros","passes.s.c","DEF.MID.3RD.L","DEF.MID.3RD.C",NA,NA,"F","SRFC","Yanez","pressured.opp","OPP.MID.3RD.R",NA,NA,NA,NA
11,11,0,0,26,"2","D","FCKC","Lepeilbet","passes.f.c","OPP.MID.3RD.R","OPP.MID.3RD.R",NA,NA,"M","SRFC","Little","pressured.opp","DEF.MID.3RD.L",NA,NA,NA,NA
11,11,0,0,27,"2","D","FCKC","Brown","passes.f.c","OPP.MID.3RD.R","OPP.3RD.R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,0,0,28,"2","M","FCKC","O'Reilly","passes.f.m","OPP.3RD.R","OPP.3RD.R","through.balls","out.of.bounds.lost.poss","F","SRFC","Rapinoe","pressured.opp","DEF.3RD.L",NA,NA,NA,NA
11,11,0,0,29,"2","GK","SRFC","Solo","passes.f.c","DEF.6.YD","DEF.MID.3RD.C","goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
