"Player","Team","MP","GS","Goals","Shots","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","2nd.Assists","Unscored.Key.Passes","KP.Goal","Big.Chances","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Cross.Comp","Cross.Comp.Pct","Cross.Att","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Comp.Pct","Launch.Att","Through.Comp","Through.Comp.Pct","Through.Att","Throw.In.Comp","Throw.In.Comp.Pct","Throw.In.Att","Corner.Kicks.Completed","CK.Effectiveness","Corner.Kicks.Taken","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Comp.Pct","FK.Pass.Att","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Pass.Comp","Pass.Comp.Pct","Pass.Att","opPass.Comp","opPass.Comp.Pct","opPass.Att","opPPass.Comp","opPPass.Comp.Pct","opPPass.Att","Pct.opPass.Pressd","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Comp.Pct","PPass.Att","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Blocks","Clearances","Balls.Shields","Saves","Goals.Allowed","SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses","Crosses.Won","Crosses.Lost","Corner.Kicks","CKs.Won","CKs.Lost","Free.Kicks","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","All.Pass.Comp","Distribution.Success","All.Pass.Att","Throw.Comp","Throw.Comp.Pct","Throw.Att","Drop.Kick.Comp","Drop.Kick.Comp.Pct","Drop.Kick.Att","GK+FK.Comp","GK+FK.Comp.Pct","GK+FK.Att"
"Acosta","CRC",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.333333333333333,9,0,0,0,0,0,0,0,0,0,0,0,5,0.833333333333333,6,0,0,0,0,6,31,0.720930232558139,43,26,0.702702702702703,37,8,0.8,10,0.27027027027027,0.697674418604651,0.0930232558139535,0.209302325581395,18,30,0.6,4,4,1,9,9,1,0.232558139534884,8,0.8,10,0.7,0.1,0.2,5,7,0.714285714285714,1,1,1,2,2,1,0,0,0,0,0,0,1,0.2,5,4,1,0,1,13,4,5,3,2,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alvarado","CRC",47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,3,0,0,0,0,3,18,0.782608695652174,23,17,0.85,20,8,0.888888888888889,9,0.45,0.478260869565217,0.260869565217391,0.260869565217391,6,11,0.545454545454545,6,6,1,6,6,1,0.391304347826087,8,0.888888888888889,9,0.333333333333333,0.222222222222222,0.444444444444444,2,3,0.666666666666667,2,2,1,4,4,1,0,0,0,0,0,1,0,0,1,1,0,0,2,10,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barrantes","CRC",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.705882352941177,17,12,0.705882352941177,17,10,0.833333333333333,12,0.705882352941177,0.529411764705882,0.0588235294117647,0.411764705882353,5,9,0.555555555555556,1,1,1,6,7,0.857142857142857,0.705882352941177,10,0.833333333333333,12,0.5,0.0833333333333333,0.416666666666667,4,6,0.666666666666667,1,1,1,5,5,1,1,1,1,0,2,2,2,0.333333333333333,6,4,1,0,2,29,2,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","USA",96,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.5,4,4,0,1,1,1,0,0,0,0,0,0,2,0.222222222222222,9,0,0,2,1,2,0,0,0,0,2,62,0.826666666666667,75,58,0.90625,64,31,0.96875,32,0.5,0.373333333333333,0.306666666666667,0.32,23,28,0.821428571428571,16,23,0.695652173913043,23,24,0.958333333333333,0.426666666666667,31,0.96875,32,0.40625,0.28125,0.3125,12,13,0.923076923076923,9,9,1,10,10,1,1,0.5,2,1,1,1,2,0.4,5,3,1,0,0,27,13,9,6,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D. Cruz","CRC",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0.5,2,0,0,0,10,0.769230769230769,13,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0.772727272727273,44,24,0.774193548387097,31,11,0.785714285714286,14,0.451612903225806,0.5,0.340909090909091,0.159090909090909,15,22,0.681818181818182,12,15,0.8,7,7,1,0.318181818181818,11,0.785714285714286,14,0.285714285714286,0.5,0.214285714285714,3,4,0.75,5,7,0.714285714285714,3,3,1,0,0,0,0,0,0,1,1,1,0,2,0,2,7,1,2,2,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaz","CRC",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.421052631578947,19,0,0,0,0,0,0,0,0,0,0,0,3,0.6,5,0,0,0,0,5,20,0.606060606060606,33,14,0.666666666666667,21,0,0,0,0,0.939393939393939,0.0606060606060606,0,18,31,0.580645161290323,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,7,5,12,0.416666666666667,4,1,3,0.75,5,4,1,2,1,0,0,0,3,2,1,2,2,0,0,0,0,0,0,20,0.606060606060606,33,2,1,2,1,0.2,5,9,0.642857142857143,14
"Dunn","USA",69,1,1,4,0.75,1,1,1,2,0.5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,1,1,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.625,24,15,0.625,24,12,0.8,15,0.625,0.458333333333333,0.166666666666667,0.375,7,11,0.636363636363636,1,4,0.25,7,9,0.777777777777778,0.625,12,0.8,15,0.466666666666667,0.0666666666666667,0.466666666666667,5,7,0.714285714285714,1,1,1,6,7,0.857142857142857,8,0.888888888888889,9,1,3,1,1,1,1,0,0,0,1,25,5,7,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G. Villalobos","CRC",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Granados","CRC",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,18,0.782608695652174,23,17,0.80952380952381,21,5,0.833333333333333,6,0.285714285714286,0.608695652173913,0.130434782608696,0.260869565217391,9,14,0.642857142857143,3,3,1,6,6,1,0.260869565217391,5,0.833333333333333,6,0.333333333333333,0.333333333333333,0.333333333333333,1,2,0.5,2,2,1,2,2,1,0,0,1,1,0,0,0,0,2,2,0,0,3,8,3,3,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","USA",96,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0.4,5,5,0,1,1,1,1,0.5,2,3,1,3,0,0,0,0,0,1,1,1,0,0,0,0,1,43,0.826923076923077,52,39,0.8125,48,19,0.826086956521739,23,0.479166666666667,0.365384615384615,0.211538461538462,0.423076923076923,14,19,0.736842105263158,8,11,0.727272727272727,21,22,0.954545454545455,0.442307692307692,19,0.826086956521739,23,0.260869565217391,0.260869565217391,0.478260869565217,5,6,0.833333333333333,4,6,0.666666666666667,10,11,0.909090909090909,5,0.454545454545455,11,6,2,0,0,0,1,1,1,0,0,7,6,5,4,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
