"Player","Team","MP","GS","Goals","Shots","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shots.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","2nd.Assists","Unscored.Key.Passes","KP.Goal","Big.Chances","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Crosses.Comp","Cross.Comp.Pct","Cross.Att","Corner.Crosses","Deep.Crosses","Through.Comp","Through.Comp.Pct","Through.Att","Passes.Comp","Pass.Comp.Pct","Pass.Att","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Comp.Pct","PPass.Att","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Interceptions","Blocks","Clearances","Balls.Shielded","Saves","Goals.Allowed","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Won","CKs.Won","FKs.Won","Smothers.Won","Smothers.Lost"
"Brian","USA",94,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.6,5,61,0.847222222222222,72,0.416666666666667,0.305555555555556,0.277777777777778,24,30,0.8,19,22,0.863636363636364,18,20,0.9,0.375,22,0.814814814814815,27,0.444444444444444,0.185185185185185,0.37037037037037,10,12,0.833333333333333,4,5,0.8,8,10,0.8,0,0,1,1,1,3,1,0.5,2,1,2,0,0,6,4,15,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominguez","MEX",68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.666666666666667,12,0.25,0.25,0.5,1,3,0.333333333333333,2,3,0.666666666666667,5,6,0.833333333333333,0.833333333333333,7,0.7,10,0.3,0.2,0.5,1,3,0.333333333333333,2,2,1,4,5,0.8,0,0,1,1,2,1,0,0,3,3,0,0,2,16,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",45,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,7,0.538461538461538,13,0.538461538461538,0.307692307692308,0.153846153846154,3,7,0.428571428571429,2,4,0.5,2,2,1,0.384615384615385,3,0.6,5,0.6,0.4,0,2,3,0.666666666666667,1,2,0.5,0,0,0,6,0.857142857142857,7,1,2,0,2,1,2,0,0,0,1,3,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farias","MEX",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.631578947368421,19,0.631578947368421,0.263157894736842,0.105263157894737,5,12,0.416666666666667,5,5,1,2,2,1,0.210526315789474,4,1,4,0.5,0.25,0.25,2,2,1,1,1,1,1,1,1,1,0.5,2,1,0,0,0,0,1,1,5,0,1,6,2,1,2,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flores","MEX",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.6875,16,0.6875,0,0.3125,6,11,0.545454545454545,0,0,0,5,5,1,0.3125,4,0.8,5,0.6,0,0.4,2,3,0.666666666666667,0,0,0,2,2,1,0,0,2,2,2,0,0,0,4,4,1,0,2,10,1,3,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garciamendez","MEX",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.642857142857143,14,0.642857142857143,0.142857142857143,0.214285714285714,4,9,0.444444444444444,2,2,1,3,3,1,0.285714285714286,4,1,4,0.25,0.25,0.5,1,1,1,1,1,1,2,2,1,1,1,1,0,0,1,2,0.333333333333333,6,4,2,0,3,9,4,4,1,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","USA",94,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,1,2,29,0.935483870967742,31,0.225806451612903,0.225806451612903,0.548387096774194,7,7,1,6,7,0.857142857142857,16,17,0.941176470588235,0.451612903225806,14,1,14,0.0714285714285714,0.214285714285714,0.714285714285714,1,1,1,3,3,1,10,10,1,5,0.714285714285714,7,2,0,2,1,0.166666666666667,6,5,1,0,1,11,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hinkle","USA",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.714285714285714,7,0.571428571428571,0,0.428571428571429,2,4,0.5,0,0,0,3,3,1,0.285714285714286,1,0.5,2,0.5,0,0.5,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","USA",94,1,0,2,0,0,0,2,1,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,53,0.898305084745763,59,0.576271186440678,0.169491525423729,0.254237288135593,28,34,0.823529411764706,10,10,1,15,15,1,0.440677966101695,25,0.961538461538462,26,0.5,0.192307692307692,0.307692307692308,12,13,0.923076923076923,5,5,1,8,8,1,2,0.666666666666667,3,1,2,4,9,0.529411764705882,17,8,3,0,0,17,4,11,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson","MEX",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,0.5,0.5,0,1,1,1,0,1,0,0,0,0,0.5,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
