"Player","Team","MP","GS","Goals","Shots","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","Second.Assists","Unscored.Key.Passes","KP.Goal","Big.Chances","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Cross.Comp","Cross.Comp.Pct","Cross.Att","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Comp.Pct","Launch.Att","Through.Comp","Through.Comp.Pct","Through.Att","Throw.In.Comp","Throw.In.Comp.Pct","Throw.In.Att","Corner.Kicks.Completed","CK.Effectiveness","Corner.Kicks.Taken","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Comp.Pct","FK.Pass.Att","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Pass.Comp","Pass.Comp.Pct","Pass.Att","opPass.Comp","opPass.Comp.Pct","opPass.Att","opPPass.Comp","opPPass.Comp.Pct","opPPass.Att","Pct.opPass.Pressd","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Comp.Pct","PPass.Att","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Blocks","Clearances","Balls.Shields","Saves","Goals.Allowed","SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses","Crosses.Won","Crosses.Lost","Corner.Kicks","CKs.Won","CKs.Lost","Free.Kicks","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","All.Pass.Comp","Distribution.Success","All.Pass.Att","Throw.Comp","Throw.Comp.Pct","Throw.Att","Drop.Kick.Comp","Drop.Kick.Comp.Pct","Drop.Kick.Att","GK+FK.Comp","GK+FK.Comp.Pct","GK+FK.Att"
"A. Johnson","PUR",57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.545454545454545,11,6,0.545454545454545,11,5,0.625,8,0.727272727272727,0.545454545454545,0,0.454545454545455,2,6,0.333333333333333,0,0,0,4,5,0.8,0.727272727272727,5,0.625,8,0.5,0,0.5,2,4,0.5,0,0,0,3,4,0.75,3,0.6,5,2,0,0,2,0.4,5,3,0,0,1,10,2,5,1,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","USA",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14,0.933333333333333,15,14,1,14,2,1,2,0.142857142857143,0.533333333333333,0.266666666666667,0.2,7,8,0.875,4,4,1,3,3,1,0.2,2,0.666666666666667,3,0.333333333333333,0.333333333333333,0.333333333333333,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,2,1,2,0,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carrion","PUR",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,5,2,0.5,4,1,0.333333333333333,3,0.75,0.8,0.2,0,1,4,0.25,1,1,1,0,0,0,0.6,1,0.333333333333333,3,0.666666666666667,0.333333333333333,0,0,2,0,1,1,1,0,0,0,1,1,1,0,0,2,0,0,2,2,2,0,2,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colon","PUR",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.8,5,4,0.8,5,1,0.5,2,0.4,0.6,0.2,0.2,2,3,0.666666666666667,1,1,1,1,1,1,0.4,1,0.5,2,1,0,0,1,2,0.5,0,0,0,0,0,0,1,1,1,0,0,1,1,0.5,2,1,2,0,0,1,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",94,1,5,6,0.833333333333333,0,0,1,2,0.333333333333333,0,3,0,2,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0.5,2,2,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,35,0.875,40,34,0.871794871794872,39,24,0.923076923076923,26,0.666666666666667,0.4,0.2,0.4,12,16,0.75,7,8,0.875,16,16,1,0.65,24,0.923076923076923,26,0.384615384615385,0.230769230769231,0.384615384615385,8,10,0.8,6,6,1,10,10,1,9,0.75,12,3,2,3,1,0.5,2,1,0,0,2,17,3,10,6,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fiol","PUR",48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,1,3,3,1,3,1,0.666666666666667,0.333333333333333,0,2,2,1,1,1,1,0,0,0,1,3,1,3,0.666666666666667,0.333333333333333,0,2,2,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,2,20,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Font","PUR",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0.555555555555556,9,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.652173913043478,23,10,0.714285714285714,14,7,1,7,0.5,0.782608695652174,0.130434782608696,0.0869565217391304,10,18,0.555555555555556,3,3,1,2,2,1,0.304347826086957,7,1,7,0.571428571428571,0.285714285714286,0.142857142857143,4,4,1,2,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,6,14,4,3,2,1,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gustafson","PUR",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.189189189189189,37,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,0.205128205128205,39,6,0.214285714285714,28,0,0,0,0,1,0,0,8,39,0.205128205128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,7,9,16,0.5625,3,0,3,1,3,2,1,0,0,0,2,0,3,2,1,1,1,0,0,0,0,2,0,8,0.205128205128205,39,1,1,1,1,0.142857142857143,7,6,0.206896551724138,29
"Hinkle","USA",94,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.666666666666667,3,3,0,3,1,3,1,1,1,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0.912280701754386,57,42,0.893617021276596,47,15,0.9375,16,0.340425531914894,0.350877192982456,0.315789473684211,0.333333333333333,17,20,0.85,16,18,0.888888888888889,19,19,1,0.280701754385965,15,0.9375,16,0.375,0.3125,0.3125,6,6,1,4,5,0.8,5,5,1,3,0.75,4,1,0,1,0,0,1,1,0,0,1,3,3,5,4,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K. Johnson","PUR",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,10,0.625,16,10,0.909090909090909,11,4,1,4,0.363636363636364,0.6875,0.25,0.0625,5,11,0.454545454545455,4,4,1,1,1,1,0.25,4,1,4,0.5,0.25,0.25,2,2,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,2,0,4,11,6,5,3,2,2,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
