"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Andrade","COL",1,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,20.7692307692308,0.8,10,13,18,0.769230769230769,8,9,12.4615384615385,0.888888888888889,0.692307692307692,0.266666666666667,0.133333333333333,0.6,2,4,5.53846153846154,0.5,2,2,2.76923076923077,1,8,9,12.4615384615385,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692307692308,0.153846153846154,0.538461538461538,2,4,5.53846153846154,0.5,2,2,2.76923076923077,1,6,7,9.69230769230769,0.857142857142857,0.6,8,9,12.4615384615385,0.888888888888889,0.222222222222222,0.222222222222222,0.555555555555556,1,2,2.76923076923077,0.5,2,2,2.76923076923077,1,5,5,6.92307692307692,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,3,0,3,4.15384615384615,2,2.76923076923077,1,1,0.5,0,0,0,0,1,1.38461538461538,35,3,6,8.30769230769231,4,2,0,0,0,2,2.76923076923077,1,1.38461538461538,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ariza","COL",1,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,11.9277108433735,0.727272727272727,8,11,11.9277108433735,0.727272727272727,7,10,10.8433734939759,0.7,0.909090909090909,0.454545454545455,0.181818181818182,0.363636363636364,2,5,5.42168674698795,0.4,2,2,2.16867469879518,1,4,4,4.33734939759036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545454545455,0.181818181818182,0.363636363636364,2,5,5.42168674698795,0.4,2,2,2.16867469879518,1,4,4,4.33734939759036,1,0.909090909090909,7,10,10.8433734939759,0.7,0.5,0.1,0.4,2,5,5.42168674698795,0.4,1,1,1.08433734939759,1,4,4,4.33734939759036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6.50602409638554,1,1.08433734939759,0,1,0,0,0,0,0,0,0,31,3,5,5.42168674698795,3,2,1,1.08433734939759,0,3,3.25301204819277,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","USA",1,68,1,0,1,1.32352941176471,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,44,58.2352941176471,0.909090909090909,40,44,58.2352941176471,0.909090909090909,29,31,41.0294117647059,0.935483870967742,0.704545454545455,0.431818181818182,0.272727272727273,0.295454545454545,15,19,25.1470588235294,0.789473684210526,12,12,15.8823529411765,1,13,13,17.2058823529412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431818181818182,0.272727272727273,0.295454545454545,15,19,25.1470588235294,0.789473684210526,12,12,15.8823529411765,1,13,13,17.2058823529412,1,0.704545454545455,29,31,41.0294117647059,0.935483870967742,0.419354838709677,0.290322580645161,0.290322580645161,11,13,17.2058823529412,0.846153846153846,9,9,11.9117647058824,1,9,9,11.9117647058824,1,0,0,0,0,0,0,0,3,4,5.29411764705882,0.0909090909090909,0.75,1,1,1.32352941176471,0.0227272727272727,0.0227272727272727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.29411764705882,3,1,0.75,1,1,3,3.97058823529412,7,9.26470588235294,5,2,0.714285714285714,1,0,1,1.32352941176471,0,0,20,2,6,7.94117647058824,5,1,1,1.32352941176471,0,1,1.32352941176471,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C. Arias","COL",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,43,40.3125,0.837209302325581,31,38,35.625,0.815789473684211,16,22,20.625,0.727272727272727,0.578947368421053,0.511627906976744,0.186046511627907,0.302325581395349,17,22,20.625,0.772727272727273,7,8,7.5,0.875,12,13,12.1875,0.923076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473684210526316,0.184210526315789,0.342105263157895,13,18,16.875,0.722222222222222,6,7,6.5625,0.857142857142857,12,13,12.1875,0.923076923076923,0.511627906976744,16,22,20.625,0.727272727272727,0.545454545454545,0.136363636363636,0.318181818181818,8,12,11.25,0.666666666666667,2,3,2.8125,0.666666666666667,6,7,6.5625,0.857142857142857,0,0,0,0,0,0,0,0,1,0.9375,0.0232558139534884,0,0,0,0,0,0,0,5,5,4.6875,0.116279069767442,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9375,1,0,1,1,3,4,3.75,1,0.9375,1,0,1,4,1,5,4.6875,2,1.875,21,6,9,8.4375,3,6,1,0.9375,0,6,5.625,2,1.875,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clavijo","COL",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,33,30.9375,0.696969696969697,20,28,26.25,0.714285714285714,10,14,13.125,0.714285714285714,0.5,0.636363636363636,0.212121212121212,0.151515151515152,11,21,19.6875,0.523809523809524,7,7,6.5625,1,5,5,4.6875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607142857142857,0.214285714285714,0.178571428571429,9,17,15.9375,0.529411764705882,6,6,5.625,1,5,5,4.6875,1,0.424242424242424,10,14,13.125,0.714285714285714,0.571428571428571,0.214285714285714,0.214285714285714,4,8,7.5,0.5,3,3,2.8125,1,3,3,2.8125,1,0,0,0,0,0,0,0,0,5,4.6875,0.151515151515152,0,0,0,0,0,0,0,1,2,1.875,0.0606060606060606,0.5,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,3,3,2.8125,3,0,1,1,2,3,2.8125,7,6.5625,6,1,0.857142857142857,4,1,5,4.6875,2,1.875,16,4,3,2.8125,3,0,0,0,0,7,6.5625,4,3.75,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",1,96,1,1,3,2.8125,0.666666666666667,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,18.75,0.65,13,20,18.75,0.65,9,12,11.25,0.75,0.6,0.45,0.35,0.2,6,9,8.4375,0.666666666666667,3,7,6.5625,0.428571428571429,4,4,3.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.35,0.2,6,9,8.4375,0.666666666666667,3,7,6.5625,0.428571428571429,4,4,3.75,1,0.6,9,12,11.25,0.75,0.416666666666667,0.333333333333333,0.25,3,5,4.6875,0.6,3,4,3.75,0.75,3,3,2.8125,1,1,2,1.875,0.1,0.5,2,0,0,0,0,0,0,1,2,1.875,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11.25,9,3,0.75,3,3,9,8.4375,3,2.8125,1,2,0.333333333333333,1,0,1,0.9375,2,1.875,31,5,8,7.5,5,3,0,0,0,2,1.875,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echeverri","COL",1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,28.125,0.866666666666667,12,14,26.25,0.857142857142857,2,2,3.75,1,0.142857142857143,0.666666666666667,0.133333333333333,0.2,8,10,18.75,0.8,2,2,3.75,1,3,3,5.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642857142857143,0.142857142857143,0.214285714285714,7,9,16.875,0.777777777777778,2,2,3.75,1,3,3,5.625,1,0.133333333333333,2,2,3.75,1,1,0,0,2,2,3.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.75,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3.75,1,1,0.5,1,0,1,1.875,1,1.875,3,0,4,7.5,4,0,0,0,0,3,5.625,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","USA",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,90,84.375,0.933333333333333,83,89,83.4375,0.932584269662921,17,19,17.8125,0.894736842105263,0.213483146067416,0.588888888888889,0.366666666666667,0.0444444444444444,50,53,49.6875,0.943396226415094,30,33,30.9375,0.909090909090909,4,4,3.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595505617977528,0.359550561797753,0.0449438202247191,50,53,49.6875,0.943396226415094,29,32,30,0.90625,4,4,3.75,1,0.211111111111111,17,19,17.8125,0.894736842105263,0.526315789473684,0.421052631578947,0.0526315789473684,10,10,9.375,1,6,8,7.5,0.75,1,1,0.9375,1,0,0,0,0,0,0,0,2,3,2.8125,0.0333333333333333,0.666666666666667,1,1,0.9375,0.0111111111111111,0.0112359550561798,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,2,1.875,0,0,0,0,0,0,0,0,0,0,0,2,1,12,11.25,8,4,1,0.9375,0,1,0.9375,1,0.9375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaitan","COL",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,26,24.375,0.807692307692308,20,25,23.4375,0.8,8,10,9.375,0.8,0.4,0.538461538461538,0.346153846153846,0.115384615384615,9,14,13.125,0.642857142857143,9,9,8.4375,1,3,3,2.8125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.36,0.08,9,14,13.125,0.642857142857143,9,9,8.4375,1,2,2,1.875,1,0.384615384615385,8,10,9.375,0.8,0.6,0.3,0.1,4,6,5.625,0.666666666666667,3,3,2.8125,1,1,1,0.9375,1,0,0,0,0,0,0,0,0,1,0.9375,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0.9375,8,7.5,2,6,0.25,3,0,3,2.8125,1,0.9375,20,7,6,5.625,5,1,0,0,0,3,2.8125,1,0.9375,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","USA",1,96,1,0,3,2.8125,0.666666666666667,2,0,1,0,1,0.333333333333333,0,1,0,1,0,0,0,0,0,0,0,0,1,0.9375,0,0,0,1,0,0,0,41,45,42.1875,0.911111111111111,41,45,42.1875,0.911111111111111,25,27,25.3125,0.925925925925926,0.6,0.266666666666667,0.222222222222222,0.511111111111111,9,12,11.25,0.75,10,10,9.375,1,22,23,21.5625,0.956521739130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266666666666667,0.222222222222222,0.511111111111111,9,12,11.25,0.75,10,10,9.375,1,22,23,21.5625,0.956521739130435,0.6,25,27,25.3125,0.925925925925926,0.222222222222222,0.222222222222222,0.555555555555556,5,6,5.625,0.833333333333333,6,6,5.625,1,14,15,14.0625,0.933333333333333,1,1,0.9375,0.0222222222222222,1,1,0,0,1,0.9375,0.0222222222222222,0,0,1,0.9375,0.0222222222222222,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9375,1,0,1,3,4,7,6.5625,8,7.5,5,3,0.625,0,1,1,0.9375,1,0.9375,18,7,10,9.375,5,5,2,1.875,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
