"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Asllani","SWE",1,124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,16.6935483870968,0.739130434782609,16,20,14.5161290322581,0.8,13,15,10.8870967741935,0.866666666666667,0.75,0.434782608695652,0.260869565217391,0.304347826086957,6,10,7.25806451612903,0.6,4,6,4.35483870967742,0.666666666666667,7,7,5.08064516129032,1,0.304347826086957,0.608695652173913,0.0869565217391304,3,7,5.08064516129032,0.428571428571429,12,14,10.1612903225806,0.857142857142857,2,2,1.45161290322581,1,0.2,0.7,0.1,2,4,2.90322580645161,0.5,12,14,10.1612903225806,0.857142857142857,2,2,1.45161290322581,1,0,0,0,0,12,0,0,0,0,0.5,0.15,0.35,6,10,7.25806451612903,0.6,3,3,2.17741935483871,1,7,7,5.08064516129032,1,0.652173913043478,13,15,10.8870967741935,0.866666666666667,0.533333333333333,0.133333333333333,0.333333333333333,6,8,5.80645161290323,0.75,2,2,1.45161290322581,1,5,5,3.62903225806452,1,0,1,0.725806451612903,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,0,0,0,0,0,0,0,0,0,0,3,2.17741935483871,1,2,0.333333333333333,4,2,8,5.80645161290323,3,2.17741935483871,1,2,0.333333333333333,2,0,2,1.45161290322581,7,5.08064516129032,34,6,10,7.25806451612903,5,5,1,0.725806451612903,0,3,2.17741935483871,4,2.90322580645161,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berglund","SWE",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,90,0.5,2,3,67.5,0.666666666666667,2,3,67.5,0.666666666666667,1,0.75,0,0.25,1,3,67.5,0.333333333333333,0,0,0,0,1,1,22.5,1,0,1,0,0,0,0,0,2,4,90,0.5,0,0,0,0,0,1,0,0,0,0,0,2,3,67.5,0.666666666666667,0,0,0,0,0,0,0,0,2,0,0,0,0,0.666666666666667,0,0.333333333333333,1,2,45,0.5,0,0,0,0,1,1,22.5,1,0.75,2,3,67.5,0.666666666666667,0.666666666666667,0,0.333333333333333,1,2,45,0.5,0,0,0,0,1,1,22.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blackstenius","SWE",1,107,0,1,1,0.841121495327103,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.841121495327103,1,1,0,0,0,0,0,12,19,15.981308411215,0.631578947368421,12,19,15.981308411215,0.631578947368421,10,14,11.7757009345794,0.714285714285714,0.736842105263158,0.263157894736842,0.473684210526316,0.263157894736842,2,5,4.20560747663551,0.4,6,9,7.57009345794392,0.666666666666667,4,5,4.20560747663551,0.8,0.421052631578947,0.526315789473684,0.0526315789473684,4,8,6.72897196261682,0.5,7,10,8.41121495327103,0.7,1,1,0.841121495327103,1,0.421052631578947,0.526315789473684,0.0526315789473684,4,8,6.72897196261682,0.5,7,10,8.41121495327103,0.7,1,1,0.841121495327103,1,1,0,0,0,6,0,0,0,0,0.263157894736842,0.473684210526316,0.263157894736842,2,5,4.20560747663551,0.4,6,9,7.57009345794392,0.666666666666667,4,5,4.20560747663551,0.8,0.736842105263158,10,14,11.7757009345794,0.714285714285714,0.142857142857143,0.571428571428571,0.285714285714286,1,2,1.68224299065421,0.5,6,8,6.72897196261682,0.75,3,4,3.36448598130841,0.75,0,1,0.841121495327103,0.0526315789473684,0,1,0,0,0,0,0,0,0,1,0.841121495327103,0.0526315789473684,0.0526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.52336448598131,0,3,0,2,6,11,9.25233644859813,8,6.72897196261682,3,5,0.375,0,0,0,0,2,1.68224299065421,17,4,9,7.57009345794392,6,3,0,0,0,1,0.841121495327103,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","USA",1,124,1,0,2,1.45161290322581,0.5,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,71,51.5322580645161,0.929577464788732,66,71,51.5322580645161,0.929577464788732,33,34,24.6774193548387,0.970588235294118,0.47887323943662,0.211267605633803,0.464788732394366,0.323943661971831,13,15,10.8870967741935,0.866666666666667,30,33,23.9516129032258,0.909090909090909,23,23,16.6935483870968,1,0.267605633802817,0.690140845070423,0.0422535211267606,16,19,13.7903225806452,0.842105263157895,47,49,35.5645161290323,0.959183673469388,3,3,2.17741935483871,1,0.267605633802817,0.690140845070423,0.0422535211267606,16,19,13.7903225806452,0.842105263157895,47,49,35.5645161290323,0.959183673469388,3,3,2.17741935483871,1,0,0,0,0,40,0,0,0,1,0.211267605633803,0.464788732394366,0.323943661971831,13,15,10.8870967741935,0.866666666666667,30,33,23.9516129032258,0.909090909090909,23,23,16.6935483870968,1,0.47887323943662,33,34,24.6774193548387,0.970588235294118,0.147058823529412,0.411764705882353,0.441176470588235,5,5,3.62903225806452,1,13,14,10.1612903225806,0.928571428571429,15,15,10.8870967741935,1,0,2,1.45161290322581,0.028169014084507,0,1,1,1,1,0.725806451612903,0.0140845070422535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.90322580645161,4,0,1,1,0,1,0.725806451612903,6,4.35483870967742,1,5,0.166666666666667,2,0,2,1.45161290322581,0,0,28,0,11,7.98387096774194,5,6,1,0.725806451612903,0,4,2.90322580645161,2,1.45161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dahlkvist","SWE",1,124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,28,20.3225806451613,0.678571428571429,18,27,19.5967741935484,0.666666666666667,13,18,13.0645161290323,0.722222222222222,0.666666666666667,0.607142857142857,0.214285714285714,0.178571428571429,10,17,12.3387096774194,0.588235294117647,4,6,4.35483870967742,0.666666666666667,5,5,3.62903225806452,1,0.214285714285714,0.714285714285714,0.0714285714285714,4,6,4.35483870967742,0.666666666666667,15,20,14.5161290322581,0.75,0,2,1.45161290322581,0,0.185185185185185,0.740740740740741,0.0740740740740741,3,5,3.62903225806452,0.6,15,20,14.5161290322581,0.75,0,2,1.45161290322581,0,0,0,0,0,12,0,0,0,0,0.62962962962963,0.222222222222222,0.148148148148148,10,17,12.3387096774194,0.588235294117647,4,6,4.35483870967742,0.666666666666667,4,4,2.90322580645161,1,0.642857142857143,13,18,13.0645161290323,0.722222222222222,0.666666666666667,0.222222222222222,0.111111111111111,9,12,8.70967741935484,0.75,2,4,2.90322580645161,0.5,2,2,1.45161290322581,1,2,2,1.45161290322581,0.0740740740740741,1,0,2,1,5,3.62903225806452,0.178571428571429,0.2,1,2,1.45161290322581,0.0714285714285714,0.0740740740740741,0.5,1,1,0.725806451612903,0.0357142857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.17741935483871,2,1,0.666666666666667,1,0,1,0.725806451612903,6,4.35483870967742,26,1,7,5.08064516129032,4,3,0,0,0,1,0.725806451612903,1,0.725806451612903,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",1,61,0,0,1,1.47540983606557,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,20.655737704918,0.571428571428571,8,14,20.655737704918,0.571428571428571,7,11,16.2295081967213,0.636363636363636,0.785714285714286,0.285714285714286,0.5,0.214285714285714,2,4,5.9016393442623,0.5,3,7,10.327868852459,0.428571428571429,3,3,4.42622950819672,1,0.785714285714286,0.142857142857143,0.0714285714285714,7,11,16.2295081967213,0.636363636363636,1,2,2.95081967213115,0.5,0,1,1.47540983606557,0,0.785714285714286,0.142857142857143,0.0714285714285714,7,11,16.2295081967213,0.636363636363636,1,2,2.95081967213115,0.5,0,1,1.47540983606557,0,0,0,0,0,1,0,0,0,2,0.285714285714286,0.5,0.214285714285714,2,4,5.9016393442623,0.5,3,7,10.327868852459,0.428571428571429,3,3,4.42622950819672,1,0.785714285714286,7,11,16.2295081967213,0.636363636363636,0.272727272727273,0.545454545454545,0.181818181818182,2,3,4.42622950819672,0.666666666666667,3,6,8.85245901639344,0.5,2,2,2.95081967213115,1,0,3,4.42622950819672,0.214285714285714,0,3,0,0,0,0,0,0,0,1,1.47540983606557,0.0714285714285714,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22.1311475409836,10,5,0.666666666666667,1,6,12,17.7049180327869,4,5.9016393442623,1,3,0.25,2,2,4,5.9016393442623,1,1.47540983606557,24,5,5,7.37704918032787,3,2,2,2.95081967213115,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eriksson","SWE",1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,25,0.533333333333333,5,8,13.3333333333333,0.625,3,5,8.33333333333333,0.6,0.625,0.666666666666667,0.2,0.133333333333333,4,10,16.6666666666667,0.4,2,3,5,0.666666666666667,2,2,3.33333333333333,1,0.266666666666667,0.4,0.333333333333333,3,4,6.66666666666667,0.75,2,6,10,0.333333333333333,3,5,8.33333333333333,0.6,0.25,0.25,0.5,2,2,3.33333333333333,1,0,2,3.33333333333333,0,3,4,6.66666666666667,0.75,0,0,0,0,2,0,0,0,0,0.625,0.25,0.125,2,5,8.33333333333333,0.4,2,2,3.33333333333333,1,1,1,1.66666666666667,1,0.333333333333333,3,5,8.33333333333333,0.6,0.6,0.2,0.2,1,3,5,0.333333333333333,1,1,1.66666666666667,1,1,1,1.66666666666667,1,2,2,3.33333333333333,0.25,1,2,0,1,3,5,0.2,0.333333333333333,0,0,0,0,0,0,3,7,11.6666666666667,0.466666666666667,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.66666666666667,1,0,1,0,0,0,0,1,1.66666666666667,13,2,4,6.66666666666667,3,1,0,0,0,5,8.33333333333333,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fischer","SWE",1,124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,13.0645161290323,0.888888888888889,16,18,13.0645161290323,0.888888888888889,9,10,7.25806451612903,0.9,0.555555555555556,0.611111111111111,0.277777777777778,0.111111111111111,9,11,7.98387096774194,0.818181818181818,5,5,3.62903225806452,1,2,2,1.45161290322581,1,0,0.388888888888889,0.611111111111111,0,0,0,0,5,7,5.08064516129032,0.714285714285714,11,11,7.98387096774194,1,0,0.388888888888889,0.611111111111111,0,0,0,0,5,7,5.08064516129032,0.714285714285714,11,11,7.98387096774194,1,0,0,0,0,4,0,0,0,0,0.611111111111111,0.277777777777778,0.111111111111111,9,11,7.98387096774194,0.818181818181818,5,5,3.62903225806452,1,2,2,1.45161290322581,1,0.555555555555556,9,10,7.25806451612903,0.9,0.6,0.2,0.2,5,6,4.35483870967742,0.833333333333333,2,2,1.45161290322581,1,2,2,1.45161290322581,1,0,0,0,0,0,0,0,0,2,1.45161290322581,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1.45161290322581,7,5.08064516129032,1,6,0.142857142857143,2,0,2,1.45161290322581,2,1.45161290322581,12,10,10,7.25806451612903,7,3,4,2.90322580645161,0,4,2.90322580645161,7,5.08064516129032,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","USA",1,124,1,0,2,1.45161290322581,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,74,53.7096774193548,0.72972972972973,44,57,41.3709677419355,0.771929824561403,23,26,18.8709677419355,0.884615384615385,0.456140350877193,0.378378378378378,0.472972972972973,0.148648648648649,18,28,20.3225806451613,0.642857142857143,25,35,25.4032258064516,0.714285714285714,11,11,7.98387096774194,1,0.405405405405405,0.5,0.0945945945945946,18,30,21.7741935483871,0.6,30,37,26.8548387096774,0.810810810810811,6,7,5.08064516129032,0.857142857142857,0.333333333333333,0.578947368421053,0.087719298245614,12,19,13.7903225806452,0.631578947368421,28,33,23.9516129032258,0.848484848484849,4,5,3.62903225806452,0.8,0,0,0,0,24,0,0,0,0,0.368421052631579,0.456140350877193,0.175438596491228,15,21,15.241935483871,0.714285714285714,19,26,18.8709677419355,0.730769230769231,10,10,7.25806451612903,1,0.351351351351351,23,26,18.8709677419355,0.884615384615385,0.307692307692308,0.384615384615385,0.307692307692308,7,8,5.80645161290323,0.875,8,10,7.25806451612903,0.8,8,8,5.80645161290323,1,2,8,5.80645161290323,0.140350877192982,0.25,6,2,1,3,2.17741935483871,0.0405405405405405,0.333333333333333,1,2,1.45161290322581,0.027027027027027,0.0350877192982456,0.5,7,9,6.53225806451613,0.121621621621622,0.777777777777778,3,6,0.5,0,0,0,2,0,0,0,0,0,2,9,6.53225806451613,8,1,0.888888888888889,4,1,6,4.35483870967742,0,0,0,0,0,3,0,3,2.17741935483871,4,2.90322580645161,20,1,15,10.8870967741935,8,7,3,2.17741935483871,0,3,2.17741935483871,2,1.45161290322581,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","USA",1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,10,0,0,1,10,0,1,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,1,0,1,10,0,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
