"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","no","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Arbelaez","COL",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,39,37.3404255319149,0.692307692307692,21,30,28.7234042553191,0.7,16,21,20.1063829787234,0.761904761904762,0.7,0.717948717948718,0.102564102564103,0.179487179487179,16,28,26.8085106382979,0.571428571428571,4,4,3.82978723404255,1,7,7,6.70212765957447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.1,0.2,12,21,20.1063829787234,0.571428571428571,3,3,2.87234042553191,1,6,6,5.74468085106383,1,0.538461538461538,16,21,20.1063829787234,0.761904761904762,0.666666666666667,0.0476190476190476,0.285714285714286,9,14,13.4042553191489,0.642857142857143,1,1,0.957446808510638,1,6,6,5.74468085106383,1,0,2,1.91489361702128,0.0666666666666667,0,2,0,0,3,2.87234042553191,0.0769230769230769,0,0,0,0,0,0,0,6,9,8.61702127659574,0.230769230769231,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.957446808510638,0,1,0,3,1,4,3.82978723404255,6,5.74468085106383,20,4,3,2.87234042553191,2,1,1,0.957446808510638,0,5,4.78723404255319,2,1.91489361702128,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arias","COL",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,11.4893617021277,0.583333333333333,7,12,11.4893617021277,0.583333333333333,3,4,3.82978723404255,0.75,0.333333333333333,0.666666666666667,0.333333333333333,0,3,8,7.65957446808511,0.375,4,4,3.82978723404255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0,3,8,7.65957446808511,0.375,4,4,3.82978723404255,1,0,0,0,0,0.333333333333333,3,4,3.82978723404255,0.75,0.75,0.25,0,2,3,2.87234042553191,0.666666666666667,1,1,0.957446808510638,1,0,0,0,0,0,0,0,0,0,0,0,1,5,4.78723404255319,0.416666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.957446808510638,1,0.957446808510638,10,1,5,4.78723404255319,3,2,0,0,0,6,5.74468085106383,4,3.82978723404255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ariza","COL",1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,19.6551724137931,0.578947368421053,11,19,19.6551724137931,0.578947368421053,9,15,15.5172413793103,0.6,0.789473684210526,0.684210526315789,0.210526315789474,0.105263157894737,7,13,13.448275862069,0.538461538461538,2,4,4.13793103448276,0.5,2,2,2.06896551724138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684210526315789,0.210526315789474,0.105263157894737,7,13,13.448275862069,0.538461538461538,2,4,4.13793103448276,0.5,2,2,2.06896551724138,1,0.789473684210526,9,15,15.5172413793103,0.6,0.666666666666667,0.266666666666667,0.0666666666666667,6,10,10.3448275862069,0.6,2,4,4.13793103448276,0.5,1,1,1.03448275862069,1,0,0,0,0,0,0,0,0,2,2.06896551724138,0.105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.13793103448276,3,1,0.75,5,1,7,7.24137931034483,2,2.06896551724138,0,2,0,0,2,2,2.06896551724138,1,1.03448275862069,17,4,5,5.17241379310345,4,1,2,2.06896551724138,0,3,3.10344827586207,4,4.13793103448276,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cuesta","COL",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30,1,1,1,30,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",1,94,1,0,1,0.957446808510638,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,22.9787234042553,0.75,18,24,22.9787234042553,0.75,13,15,14.3617021276596,0.866666666666667,0.625,0.541666666666667,0.333333333333333,0.125,9,13,12.4468085106383,0.692307692307692,6,8,7.65957446808511,0.75,3,3,2.87234042553191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541666666666667,0.333333333333333,0.125,9,13,12.4468085106383,0.692307692307692,6,8,7.65957446808511,0.75,3,3,2.87234042553191,1,0.625,13,15,14.3617021276596,0.866666666666667,0.6,0.333333333333333,0.0666666666666667,8,9,8.61702127659574,0.888888888888889,4,5,4.78723404255319,0.8,1,1,0.957446808510638,1,2,3,2.87234042553191,0.125,0.666666666666667,3,0,0,0,0,0,0,2,5,4.78723404255319,0.208333333333333,0.208333333333333,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7.65957446808511,6,2,0.75,4,6,12,11.4893617021277,3,2.87234042553191,1,2,0.333333333333333,1,2,3,2.87234042553191,1,0.957446808510638,29,5,9,8.61702127659574,3,6,0,0,0,1,0.957446808510638,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echeverri","COL",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,22.0212765957447,0.869565217391304,20,23,22.0212765957447,0.869565217391304,17,18,17.2340425531915,0.944444444444444,0.782608695652174,0.521739130434783,0.304347826086957,0.173913043478261,10,12,11.4893617021277,0.833333333333333,6,7,6.70212765957447,0.857142857142857,4,4,3.82978723404255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521739130434783,0.304347826086957,0.173913043478261,10,12,11.4893617021277,0.833333333333333,6,7,6.70212765957447,0.857142857142857,4,4,3.82978723404255,1,0.782608695652174,17,18,17.2340425531915,0.944444444444444,0.555555555555556,0.277777777777778,0.166666666666667,9,10,9.57446808510638,0.9,5,5,4.78723404255319,1,3,3,2.87234042553191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8.61702127659574,1,8,0.111111111111111,2,1,3,2.87234042553191,2,1.91489361702128,18,4,7,6.70212765957447,4,3,1,0.957446808510638,0,5,4.78723404255319,3,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","USA",1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,52.9411764705882,0.85,17,20,52.9411764705882,0.85,1,2,5.29411764705882,0.5,0.1,0.5,0.45,0.05,7,10,26.4705882352941,0.7,9,9,23.8235294117647,1,1,1,2.64705882352941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.45,0.05,7,10,26.4705882352941,0.7,9,9,23.8235294117647,1,1,1,2.64705882352941,1,0.1,1,2,5.29411764705882,0.5,1,0,0,1,2,5.29411764705882,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.64705882352941,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5.29411764705882,2,0,0,0,0,1,2.64705882352941,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaitan","COL",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,16.2765957446809,0.764705882352941,13,17,16.2765957446809,0.764705882352941,5,7,6.70212765957447,0.714285714285714,0.411764705882353,0.588235294117647,0.411764705882353,0,6,10,9.57446808510638,0.6,7,7,6.70212765957447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588235294117647,0.411764705882353,0,6,10,9.57446808510638,0.6,7,7,6.70212765957447,1,0,0,0,0,0.411764705882353,5,7,6.70212765957447,0.714285714285714,0.857142857142857,0.142857142857143,0,4,6,5.74468085106383,0.666666666666667,1,1,0.957446808510638,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.91489361702128,0.117647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.957446808510638,3,2.87234042553191,2,1,0.666666666666667,3,0,3,2.87234042553191,2,1.91489361702128,6,2,5,4.78723404255319,3,2,3,2.87234042553191,0,8,7.65957446808511,2,1.91489361702128,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","USA",1,94,1,0,2,1.91489361702128,0.5,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1.91489361702128,0,1,0.957446808510638,0,0,1,0,0,0,0,47,58,55.531914893617,0.810344827586207,35,39,37.3404255319149,0.897435897435897,22,25,23.936170212766,0.88,0.641025641025641,0.327586206896552,0.327586206896552,0.344827586206897,14,19,18.1914893617021,0.736842105263158,13,19,18.1914893617021,0.684210526315789,20,20,19.1489361702128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692307692308,0.256410256410256,0.435897435897436,10,12,11.4893617021277,0.833333333333333,8,10,9.57446808510638,0.8,17,17,16.2765957446809,1,0.431034482758621,22,25,23.936170212766,0.88,0.28,0.4,0.32,6,7,6.70212765957447,0.857142857142857,8,10,9.57446808510638,0.8,8,8,7.65957446808511,1,8,10,9.57446808510638,0.256410256410256,0.8,7,3,1,1,0.957446808510638,0.0172413793103448,1,0,0,0,0,0,0,6,9,8.61702127659574,0.155172413793103,0.666666666666667,2,5,0.4,0,0,4,5,0.8,1,0,0,0,5,5,4.78723404255319,1,4,0.2,0,1,5,4.78723404255319,0,0,0,0,0,2,3,5,4.78723404255319,1,0.957446808510638,7,4,9,8.61702127659574,4,5,2,1.91489361702128,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","USA",1,61,1,0,1,1.47540983606557,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.47540983606557,0,0,0,0,0,0,0,0,0,0,23,26,38.3606557377049,0.884615384615385,23,26,38.3606557377049,0.884615384615385,21,24,35.4098360655738,0.875,0.923076923076923,0.615384615384615,0.115384615384615,0.269230769230769,14,16,23.6065573770492,0.875,3,3,4.42622950819672,1,6,7,10.327868852459,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615384615384615,0.115384615384615,0.269230769230769,14,16,23.6065573770492,0.875,3,3,4.42622950819672,1,6,7,10.327868852459,0.857142857142857,0.923076923076923,21,24,35.4098360655738,0.875,0.666666666666667,0.0416666666666667,0.291666666666667,14,16,23.6065573770492,0.875,1,1,1.47540983606557,1,6,7,10.327868852459,0.857142857142857,1,1,1.47540983606557,0.0384615384615385,1,0,1,0,0,0,0,0,1,1,1.47540983606557,0.0384615384615385,0.0384615384615385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.9016393442623,4,0,1,4,0,4,5.9016393442623,5,7.37704918032787,4,1,0.8,1,1,2,2.95081967213115,1,1.47540983606557,16,1,5,7.37704918032787,5,0,3,4.42622950819672,0,1,1.47540983606557,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
