"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Ariyoshi","JPN",1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52,48.2474226804124,0.865384615384615,37,42,38.9690721649485,0.880952380952381,17,21,19.4845360824742,0.80952380952381,0.5,0.538461538461538,0.288461538461538,0.173076923076923,22,28,25.979381443299,0.785714285714286,14,15,13.9175257731959,0.933333333333333,9,9,8.35051546391753,1,0.192307692307692,0.557692307692308,0.25,8,10,9.27835051546392,0.8,24,29,26.9072164948454,0.827586206896552,13,13,12.0618556701031,1,0.142857142857143,0.595238095238095,0.261904761904762,5,6,5.56701030927835,0.833333333333333,21,25,23.1958762886598,0.84,11,11,10.2061855670103,1,0,0,0,0,19,0,0,0,0,0.571428571428571,0.238095238095238,0.19047619047619,19,24,22.2680412371134,0.791666666666667,10,10,9.27835051546392,1,8,8,7.42268041237113,1,0.403846153846154,17,21,19.4845360824742,0.80952380952381,0.619047619047619,0.142857142857143,0.238095238095238,9,13,12.0618556701031,0.692307692307692,3,3,2.78350515463918,1,5,5,4.63917525773196,1,0,1,0.927835051546392,0.0238095238095238,0,0,1,1,1,0.927835051546392,0.0192307692307692,1,1,1,0.927835051546392,0.0192307692307692,0.0238095238095238,1,7,9,8.35051546391753,0.173076923076923,0.777777777777778,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0.927835051546392,1,0,1,2,0,2,1.85567010309278,2,1.85567010309278,0,2,0,2,2,4,3.71134020618557,0,0,16,2,11,10.2061855670103,7,4,3,2.78350515463918,0,3,2.78350515463918,1,0.927835051546392,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","USA",1,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,32,45.7142857142857,0.875,25,29,41.4285714285714,0.862068965517241,18,18,25.7142857142857,1,0.620689655172414,0.375,0.28125,0.34375,9,12,17.1428571428571,0.75,8,9,12.8571428571429,0.888888888888889,11,11,15.7142857142857,1,0.21875,0.6875,0.09375,6,7,10,0.857142857142857,20,22,31.4285714285714,0.909090909090909,2,3,4.28571428571429,0.666666666666667,0.137931034482759,0.758620689655172,0.103448275862069,3,4,5.71428571428571,0.75,20,22,31.4285714285714,0.909090909090909,2,3,4.28571428571429,0.666666666666667,0,0,0,0,19,0,0,0,0,0.413793103448276,0.206896551724138,0.379310344827586,9,12,17.1428571428571,0.75,5,6,8.57142857142857,0.833333333333333,11,11,15.7142857142857,1,0.5625,18,18,25.7142857142857,1,0.277777777777778,0.166666666666667,0.555555555555556,5,5,7.14285714285714,1,3,3,4.28571428571429,1,10,10,14.2857142857143,1,1,2,2.85714285714286,0.0689655172413793,0.5,2,0,0,0,0,0,0,1,2,2.85714285714286,0.0625,0.0689655172413793,0.5,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,2,2.85714285714286,2,0,1,3,1,4,5.71428571428571,5,7.14285714285714,3,2,0.6,0,1,1,1.42857142857143,1,1.42857142857143,23,6,8,11.4285714285714,8,0,1,1.42857142857143,0,3,4.28571428571429,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chiba","JPN",1,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,19.6875,0.785714285714286,11,14,19.6875,0.785714285714286,10,12,16.875,0.833333333333333,0.857142857142857,0.214285714285714,0.571428571428571,0.214285714285714,1,3,4.21875,0.333333333333333,7,8,11.25,0.875,3,3,4.21875,1,0.214285714285714,0.642857142857143,0.142857142857143,3,3,4.21875,1,7,9,12.65625,0.777777777777778,1,2,2.8125,0.5,0.214285714285714,0.642857142857143,0.142857142857143,3,3,4.21875,1,7,9,12.65625,0.777777777777778,1,2,2.8125,0.5,0,0,0,0,7,0,0,0,0,0.214285714285714,0.571428571428571,0.214285714285714,1,3,4.21875,0.333333333333333,7,8,11.25,0.875,3,3,4.21875,1,0.857142857142857,10,12,16.875,0.833333333333333,0.25,0.583333333333333,0.166666666666667,1,3,4.21875,0.333333333333333,7,7,9.84375,1,2,2,2.8125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.40625,1,0,1,3,8,11,15.46875,6,8.4375,1,5,0.166666666666667,0,0,0,0,2,2.8125,29,5,3,4.21875,1,2,0,0,0,1,1.40625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",1,63,1,0,1,1.42857142857143,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1.42857142857143,0,0,0,0,0,0,0,0,0,17,20,28.5714285714286,0.85,17,20,28.5714285714286,0.85,14,15,21.4285714285714,0.933333333333333,0.75,0.4,0.4,0.2,6,8,11.4285714285714,0.75,7,8,11.4285714285714,0.875,4,4,5.71428571428571,1,0.5,0.45,0.05,9,10,14.2857142857143,0.9,7,9,12.8571428571429,0.777777777777778,1,1,1.42857142857143,1,0.5,0.45,0.05,9,10,14.2857142857143,0.9,7,9,12.8571428571429,0.777777777777778,1,1,1.42857142857143,1,0,0,0,0,4,1,0,0,0,0.4,0.4,0.2,6,8,11.4285714285714,0.75,7,8,11.4285714285714,0.875,4,4,5.71428571428571,1,0.75,14,15,21.4285714285714,0.933333333333333,0.466666666666667,0.266666666666667,0.266666666666667,6,7,10,0.857142857142857,4,4,5.71428571428571,1,4,4,5.71428571428571,1,1,2,2.85714285714286,0.1,0.5,2,0,0,0,0,0,0,2,2,2.85714285714286,0.1,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.71428571428571,4,0,1,2,1,3,4.28571428571429,5,7.14285714285714,1,4,0.2,0,0,0,0,0,0,39,5,4,5.71428571428571,3,1,0,0,0,1,1.42857142857143,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","USA",1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,32,33.4883720930233,0.6875,19,27,28.2558139534884,0.703703703703704,16,20,20.9302325581395,0.8,0.740740740740741,0.375,0.34375,0.28125,8,12,12.5581395348837,0.666666666666667,6,11,11.5116279069767,0.545454545454545,8,9,9.41860465116279,0.888888888888889,0.5625,0.40625,0.03125,11,18,18.8372093023256,0.611111111111111,10,13,13.6046511627907,0.769230769230769,1,1,1.04651162790698,1,0.481481481481481,0.481481481481481,0.037037037037037,8,13,13.6046511627907,0.615384615384615,10,13,13.6046511627907,0.769230769230769,1,1,1.04651162790698,1,0,0,0,0,7,0,0,0,0,0.37037037037037,0.333333333333333,0.296296296296296,6,10,10.4651162790698,0.6,6,9,9.41860465116279,0.666666666666667,7,8,8.37209302325581,0.875,0.625,16,20,20.9302325581395,0.8,0.4,0.35,0.25,6,8,8.37209302325581,0.75,5,7,7.32558139534884,0.714285714285714,5,5,5.23255813953488,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3.13953488372093,0.09375,0.111111111111111,0.666666666666667,1,1,1.04651162790698,0.03125,1,1,3,0.333333333333333,0,0,1,1,1,0,0,0,0,1,6,6.27906976744186,3,3,0.5,3,2,8,8.37209302325581,2,2.09302325581395,1,1,0.5,1,0,1,1.04651162790698,1,1.04651162790698,31,5,6,6.27906976744186,1,5,2,2.09302325581395,0,1,1.04651162790698,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","USA",1,35,0,1,2,5.14285714285714,0.5,0,0,1,0,1,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,41.1428571428571,0.6875,11,16,41.1428571428571,0.6875,5,6,15.4285714285714,0.833333333333333,0.375,0.5,0.25,0.25,3,8,20.5714285714286,0.375,4,4,10.2857142857143,1,4,4,10.2857142857143,1,0.375,0.625,0,5,6,15.4285714285714,0.833333333333333,6,10,25.7142857142857,0.6,0,0,0,0,0.375,0.625,0,5,6,15.4285714285714,0.833333333333333,6,10,25.7142857142857,0.6,0,0,0,0,0,0,0,0,6,0,0,0,2,0.5,0.25,0.25,3,8,20.5714285714286,0.375,4,4,10.2857142857143,1,4,4,10.2857142857143,1,0.375,5,6,15.4285714285714,0.833333333333333,0.166666666666667,0.333333333333333,0.5,0,1,2.57142857142857,0,2,2,5.14285714285714,1,3,3,7.71428571428571,1,0,0,0,0,0,0,0,0,1,2.57142857142857,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5.14285714285714,1,2.57142857142857,1,0,1,0,0,0,0,0,0,6,4,1,2.57142857142857,0,1,1,2.57142857142857,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iwabuchi","JPN",1,58,1,1,2,3.10344827586207,0.5,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,34.1379310344828,0.772727272727273,17,22,34.1379310344828,0.772727272727273,15,17,26.3793103448276,0.882352941176471,0.772727272727273,0.454545454545455,0.181818181818182,0.363636363636364,6,10,15.5172413793103,0.6,4,4,6.20689655172414,1,7,8,12.4137931034483,0.875,0.409090909090909,0.590909090909091,0,6,9,13.9655172413793,0.666666666666667,11,13,20.1724137931034,0.846153846153846,0,0,0,0,0.409090909090909,0.590909090909091,0,6,9,13.9655172413793,0.666666666666667,11,13,20.1724137931034,0.846153846153846,0,0,0,0,0,0,0,0,9,1,0,0,0,0.454545454545455,0.181818181818182,0.363636363636364,6,10,15.5172413793103,0.6,4,4,6.20689655172414,1,7,8,12.4137931034483,0.875,0.772727272727273,15,17,26.3793103448276,0.882352941176471,0.411764705882353,0.235294117647059,0.352941176470588,5,7,10.8620689655172,0.714285714285714,4,4,6.20689655172414,1,6,6,9.31034482758621,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4.6551724137931,0.136363636363636,0.136363636363636,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,6.20689655172414,2,3.10344827586207,0,2,0,1,0,1,1.55172413793103,1,1.55172413793103,32,6,3,4.6551724137931,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnston","USA",1,97,1,0,1,0.927835051546392,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,50,46.3917525773196,0.8,36,46,42.680412371134,0.782608695652174,23,29,26.9072164948454,0.793103448275862,0.630434782608696,0.46,0.4,0.14,14,23,21.340206185567,0.608695652173913,19,20,18.5567010309278,0.95,7,7,6.49484536082474,1,0.04,0.6,0.36,1,2,1.85567010309278,0.5,21,30,27.8350515463918,0.7,18,18,16.7010309278351,1,0.0434782608695652,0.608695652173913,0.347826086956522,1,2,1.85567010309278,0.5,19,28,25.979381443299,0.678571428571429,16,16,14.8453608247423,1,0,0,0,0,17,0,0,0,0,0.478260869565217,0.369565217391304,0.152173913043478,13,22,20.4123711340206,0.590909090909091,16,17,15.7731958762887,0.941176470588235,7,7,6.49484536082474,1,0.58,23,29,26.9072164948454,0.793103448275862,0.551724137931034,0.206896551724138,0.241379310344828,10,16,14.8453608247423,0.625,6,6,5.56701030927835,1,7,7,6.49484536082474,1,1,1,0.927835051546392,0.0217391304347826,1,1,0,0,2,1.85567010309278,0.04,0,0,3,2.78350515463918,0.06,0.0652173913043478,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,4,3,2.78350515463918,3,0,1,0,0,0,0,3,2.78350515463918,1,2,0.333333333333333,1,2,3,2.78350515463918,0,0,12,3,16,14.8453608247423,12,4,2,1.85567010309278,0,5,4.63917525773196,5,4.63917525773196,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kawamura","JPN",1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,45,0.8,19,24,43.2,0.791666666666667,12,15,27,0.8,0.625,0.48,0.2,0.32,7,12,21.6,0.583333333333333,5,5,9,1,8,8,14.4,1,0.08,0.68,0.24,2,2,3.6,1,14,17,30.6,0.823529411764706,4,6,10.8,0.666666666666667,0.0833333333333333,0.708333333333333,0.208333333333333,2,2,3.6,1,14,17,30.6,0.823529411764706,3,5,9,0.6,0,0,0,0,12,0,0,0,0,0.5,0.166666666666667,0.333333333333333,7,12,21.6,0.583333333333333,4,4,7.2,1,8,8,14.4,1,0.6,12,15,27,0.8,0.6,0.0666666666666667,0.333333333333333,6,9,16.2,0.666666666666667,1,1,1.8,1,5,5,9,1,0,0,0,0,0,0,0,1,1,1.8,0.04,1,0,0,0,0,0,0,1,1,1.8,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.6,0,2,0,2,0,2,3.6,1,1.8,6,5,3,5.4,0,3,1,1.8,0,0,0,1,1.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klingenberg","USA",1,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,48,56.8421052631579,0.791666666666667,32,41,48.5526315789474,0.780487804878049,23,28,33.1578947368421,0.821428571428571,0.682926829268293,0.5625,0.270833333333333,0.166666666666667,18,27,31.9736842105263,0.666666666666667,12,13,15.3947368421053,0.923076923076923,8,8,9.47368421052632,1,0.1875,0.583333333333333,0.229166666666667,6,9,10.6578947368421,0.666666666666667,22,28,33.1578947368421,0.785714285714286,10,11,13.0263157894737,0.909090909090909,0.170731707317073,0.585365853658537,0.24390243902439,4,7,8.28947368421053,0.571428571428571,19,24,28.4210526315789,0.791666666666667,9,10,11.8421052631579,0.9,0,0,0,2,13,0,0,0,1,0.536585365853659,0.292682926829268,0.170731707317073,14,22,26.0526315789474,0.636363636363636,11,12,14.2105263157895,0.916666666666667,7,7,8.28947368421053,1,0.583333333333333,23,28,33.1578947368421,0.821428571428571,0.535714285714286,0.25,0.214285714285714,11,15,17.7631578947368,0.733333333333333,6,7,8.28947368421053,0.857142857142857,6,6,7.10526315789474,1,2,4,4.73684210526316,0.0975609756097561,0.5,2,2,0,3,3.55263157894737,0.0625,0,2,6,7.10526315789474,0.125,0.146341463414634,0.333333333333333,5,6,7.10526315789474,0.125,0.833333333333333,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,4,4.73684210526316,4,0,0,0,0,1,1.18421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
