"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","no","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Ariyoshi","JPN",1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,51.4285714285714,0.75,8,11,47.1428571428571,0.727272727272727,1,2,8.57142857142857,0.5,0.181818181818182,0.666666666666667,0.0833333333333333,0.25,6,8,34.2857142857143,0.75,0,1,4.28571428571429,0,3,3,12.8571428571429,1,0.0833333333333333,0.916666666666667,0,0,1,4.28571428571429,0,9,11,47.1428571428571,0.818181818181818,0,0,0,0,0.0909090909090909,0.909090909090909,0,0,1,4.28571428571429,0,8,10,42.8571428571429,0.8,0,0,0,0,0,0,0,0,8,0,0,0,0,0.636363636363636,0.0909090909090909,0.272727272727273,5,7,30,0.714285714285714,0,1,4.28571428571429,0,3,3,12.8571428571429,1,0.166666666666667,1,2,8.57142857142857,0.5,1,0,0,1,2,8.57142857142857,0.5,0,0,0,0,0,0,0,0,0,1,4.28571428571429,0.0909090909090909,0,1,0,1,1,4.28571428571429,0.0833333333333333,1,0,0,0,0,0,0,1,1,4.28571428571429,0.0833333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.28571428571429,3,0,1,4.28571428571429,0,1,0,0,0,0,0,1,4.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","USA",1,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,43.448275862069,0.678571428571429,18,25,38.7931034482759,0.72,5,6,9.31034482758621,0.833333333333333,0.24,0.464285714285714,0.25,0.285714285714286,6,13,20.1724137931034,0.461538461538462,6,7,10.8620689655172,0.857142857142857,7,8,12.4137931034483,0.875,0.142857142857143,0.714285714285714,0.142857142857143,2,4,6.20689655172414,0.5,15,20,31.0344827586207,0.75,2,4,6.20689655172414,0.5,0.08,0.76,0.16,1,2,3.10344827586207,0.5,15,19,29.4827586206897,0.789473684210526,2,4,6.20689655172414,0.5,0,0,0,1,12,0,0,0,0,0.48,0.2,0.32,6,12,18.6206896551724,0.5,5,5,7.75862068965517,1,7,8,12.4137931034483,0.875,0.214285714285714,5,6,9.31034482758621,0.833333333333333,0.166666666666667,0,0.833333333333333,1,1,1.55172413793103,1,0,0,0,0,4,5,7.75862068965517,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.55172413793103,0.0357142857142857,0.04,0,0,0,0,0,0,1,2,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,1,5,7.75862068965517,0,0,0,0,0,0,1,1,1.55172413793103,0,0,6,6,8,12.4137931034483,4,4,2,3.10344827586207,0,3,4.6551724137931,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chiba","JPN",1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,26.1290322580645,0.666666666666667,5,8,23.2258064516129,0.625,4,6,17.4193548387097,0.666666666666667,0.75,0.222222222222222,0.444444444444444,0.333333333333333,1,2,5.80645161290323,0.5,3,4,11.6129032258065,0.75,2,3,8.70967741935484,0.666666666666667,0.555555555555556,0.333333333333333,0.111111111111111,3,5,14.5161290322581,0.6,2,3,8.70967741935484,0.666666666666667,1,1,2.90322580645161,1,0.625,0.25,0.125,3,5,14.5161290322581,0.6,1,2,5.80645161290323,0.5,1,1,2.90322580645161,1,0,0,0,0,2,0,0,0,0,0.125,0.5,0.375,0,1,2.90322580645161,0,3,4,11.6129032258065,0.75,2,3,8.70967741935484,0.666666666666667,0.666666666666667,4,6,17.4193548387097,0.666666666666667,0.166666666666667,0.333333333333333,0.5,0,1,2.90322580645161,0,2,2,5.80645161290323,1,2,3,8.70967741935484,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.90322580645161,0.111111111111111,0.125,0,1,1,2.90322580645161,0.111111111111111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.90322580645161,1,2.90322580645161,1,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1,2.90322580645161,0,1,2.90322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",1,76,1,0,1,1.18421052631579,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1.18421052631579,1.18421052631579,0,0,0,0,0,0,0,0,0,13,20,23.6842105263158,0.65,13,20,23.6842105263158,0.65,2,2,2.36842105263158,1,0.1,0.4,0.25,0.35,5,8,9.47368421052632,0.625,2,5,5.92105263157895,0.4,6,7,8.28947368421053,0.857142857142857,0.55,0.45,0,6,11,13.0263157894737,0.545454545454545,7,9,10.6578947368421,0.777777777777778,0,0,0,0,0.55,0.45,0,6,11,13.0263157894737,0.545454545454545,7,9,10.6578947368421,0.777777777777778,0,0,0,0,0,0,0,0,5,0,0,0,1,0.4,0.25,0.35,5,8,9.47368421052632,0.625,2,5,5.92105263157895,0.4,6,7,8.28947368421053,0.857142857142857,0.1,2,2,2.36842105263158,1,0.5,0.5,0,1,1,1.18421052631579,1,1,1,1.18421052631579,1,0,0,0,0,2,3,3.55263157894737,0.15,0.666666666666667,3,0,0,2,2.36842105263158,0.1,0,1,2,2.36842105263158,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.36842105263158,0,2,0,1,2,5,5.92105263157895,3,3.55263157894737,2,1,0.666666666666667,3,0,3,3.55263157894737,0,0,9,3,5,5.92105263157895,3,2,2,2.36842105263158,0,3,3.55263157894737,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","USA",1,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.16883116883117,0,0,0,0,0,0,1,26,33,38.5714285714286,0.787878787878788,25,29,33.8961038961039,0.862068965517241,12,15,17.5324675324675,0.8,0.517241379310345,0.424242424242424,0.242424242424242,0.333333333333333,9,14,16.3636363636364,0.642857142857143,6,8,9.35064935064935,0.75,11,11,12.8571428571429,1,0.393939393939394,0.545454545454545,0.0606060606060606,11,13,15.1948051948052,0.846153846153846,14,18,21.038961038961,0.777777777777778,1,2,2.33766233766234,0.5,0.379310344827586,0.551724137931034,0.0689655172413793,11,11,12.8571428571429,1,13,16,18.7012987012987,0.8125,1,2,2.33766233766234,0.5,0,0,0,0,10,1,0,0,1,0.379310344827586,0.241379310344828,0.379310344827586,8,11,12.8571428571429,0.727272727272727,6,7,8.18181818181818,0.857142857142857,11,11,12.8571428571429,1,0.454545454545455,12,15,17.5324675324675,0.8,0.266666666666667,0.2,0.533333333333333,2,4,4.67532467532468,0.5,2,3,3.50649350649351,0.666666666666667,8,8,9.35064935064935,1,1,1,1.16883116883117,0.0344827586206897,1,1,0,1,1,1.16883116883117,0.0303030303030303,1,3,3,3.50649350649351,0.0909090909090909,0.103448275862069,1,1,1,1.16883116883117,0.0303030303030303,1,0,1,0,0,0,0,2,0,0,0,0,0,2,7,8.18181818181818,5,2,0.714285714285714,1,1,4,4.67532467532468,2,2.33766233766234,2,0,1,1,0,1,1.16883116883117,0,0,17,2,9,10.5194805194805,9,0,0,0,0,6,7.01298701298701,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","USA",1,20,0,0,1,4.5,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,40.5,0.888888888888889,8,9,40.5,0.888888888888889,7,7,31.5,1,0.777777777777778,0.333333333333333,0.111111111111111,0.555555555555556,3,3,13.5,1,1,1,4.5,1,4,5,22.5,0.8,0.555555555555556,0.444444444444444,0,5,5,22.5,1,3,4,18,0.75,0,0,0,0,0.555555555555556,0.444444444444444,0,5,5,22.5,1,3,4,18,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,0.111111111111111,0.555555555555556,3,3,13.5,1,1,1,4.5,1,4,5,22.5,0.8,0.777777777777778,7,7,31.5,1,0.285714285714286,0.142857142857143,0.571428571428571,2,2,9,1,1,1,4.5,1,4,4,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,0,1,0,1,1,4.5,1,4.5,0,1,0,0,0,0,0,1,4.5,5,0,3,13.5,2,1,0,0,0,1,4.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iwabuchi","JPN",1,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,24.9230769230769,0.722222222222222,13,17,23.5384615384615,0.764705882352941,5,7,9.69230769230769,0.714285714285714,0.411764705882353,0.277777777777778,0.0555555555555556,0.666666666666667,2,5,6.92307692307692,0.4,1,1,1.38461538461538,1,10,12,16.6153846153846,0.833333333333333,0.277777777777778,0.722222222222222,0,4,5,6.92307692307692,0.8,9,13,18,0.692307692307692,0,0,0,0,0.294117647058824,0.705882352941177,0,4,5,6.92307692307692,0.8,9,12,16.6153846153846,0.75,0,0,0,0,0,0,0,0,7,0,0,0,0,0.235294117647059,0.0588235294117647,0.705882352941177,2,4,5.53846153846154,0.5,1,1,1.38461538461538,1,10,12,16.6153846153846,0.833333333333333,0.388888888888889,5,7,9.69230769230769,0.714285714285714,0.285714285714286,0.142857142857143,0.571428571428571,2,2,2.76923076923077,1,1,1,1.38461538461538,1,2,4,5.53846153846154,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.38461538461538,0.0555555555555556,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,5.53846153846154,4,0,1,3,5,8,11.0769230769231,1,1.38461538461538,0,1,0,0,0,0,0,2,2.76923076923077,15,2,5,6.92307692307692,4,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnston","USA",1,77,1,1,1,1.16883116883117,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1.16883116883117,1,1.16883116883117,1,1,0,0,0,0,0,27,31,36.2337662337662,0.870967741935484,26,28,32.7272727272727,0.928571428571429,8,8,9.35064935064935,1,0.285714285714286,0.483870967741935,0.258064516129032,0.258064516129032,11,15,17.5324675324675,0.733333333333333,8,8,9.35064935064935,1,8,8,9.35064935064935,1,0,0.516129032258065,0.483870967741935,0,0,0,0,13,16,18.7012987012987,0.8125,14,15,17.5324675324675,0.933333333333333,0,0.464285714285714,0.535714285714286,0,0,0,0,12,13,15.1948051948052,0.923076923076923,14,15,17.5324675324675,0.933333333333333,0,0,0,0,9,1,0,0,0,0.428571428571429,0.285714285714286,0.285714285714286,10,12,14.025974025974,0.833333333333333,8,8,9.35064935064935,1,8,8,9.35064935064935,1,0.258064516129032,8,8,9.35064935064935,1,0.625,0,0.375,5,5,5.84415584415584,1,0,0,0,0,3,3,3.50649350649351,1,0,0,0,0,0,0,0,3,4,4.67532467532468,0.129032258064516,0.75,1,1,1.16883116883117,0.032258064516129,0.0357142857142857,1,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,0,0,0,0,3,1,1.16883116883117,1,0,1,1,0,1,1.16883116883117,3,3.50649350649351,1,2,0.333333333333333,0,0,0,0,1,1.16883116883117,4,3,5,5.84415584415584,4,1,3,3.50649350649351,0,0,0,2,2.33766233766234,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kawamura","JPN",1,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,45,71.0526315789474,0.844444444444444,33,38,60,0.868421052631579,7,7,11.0526315789474,1,0.184210526315789,0.488888888888889,0.155555555555556,0.355555555555556,16,22,34.7368421052632,0.727272727272727,6,7,11.0526315789474,0.857142857142857,16,16,25.2631578947368,1,0.0888888888888889,0.666666666666667,0.244444444444444,3,4,6.31578947368421,0.75,24,30,47.3684210526316,0.8,11,11,17.3684210526316,1,0.0789473684210526,0.684210526315789,0.236842105263158,2,3,4.73684210526316,0.666666666666667,22,26,41.0526315789474,0.846153846153846,9,9,14.2105263157895,1,1,0,0,1,18,0,0,0,0,0.473684210526316,0.131578947368421,0.394736842105263,14,18,28.4210526315789,0.777777777777778,4,5,7.89473684210526,0.8,15,15,23.6842105263158,1,0.155555555555556,7,7,11.0526315789474,1,0.571428571428571,0.142857142857143,0.285714285714286,4,4,6.31578947368421,1,1,1,1.57894736842105,1,2,2,3.15789473684211,1,0,1,1.57894736842105,0.0263157894736842,0,1,0,3,6,9.47368421052632,0.133333333333333,0.5,1,2,3.15789473684211,0.0444444444444444,0.0526315789473684,0.5,5,7,11.0526315789474,0.155555555555556,0.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.57894736842105,0,1,0,0,2,3,4.73684210526316,1,1.57894736842105,0,1,0,1,0,1,1.57894736842105,0,0,6,1,7,11.0526315789474,7,0,4,6.31578947368421,0,1,1.57894736842105,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klingenberg","USA",1,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.16883116883117,0,0,0,0,0,0,0,0,0,39,47,54.9350649350649,0.829787234042553,31,37,43.2467532467532,0.837837837837838,15,16,18.7012987012987,0.9375,0.432432432432432,0.617021276595745,0.148936170212766,0.234042553191489,22,29,33.8961038961039,0.758620689655172,6,7,8.18181818181818,0.857142857142857,11,11,12.8571428571429,1,0.170212765957447,0.446808510638298,0.382978723404255,5,8,9.35064935064935,0.625,17,21,24.5454545454545,0.80952380952381,17,18,21.038961038961,0.944444444444444,0.135135135135135,0.513513513513513,0.351351351351351,3,5,5.84415584415584,0.6,16,19,22.2077922077922,0.842105263157895,12,13,15.1948051948052,0.923076923076923,0,0,0,0,10,0,0,0,0,0.540540540540541,0.162162162162162,0.297297297297297,15,20,23.3766233766234,0.75,5,6,7.01298701298701,0.833333333333333,11,11,12.8571428571429,1,0.340425531914894,15,16,18.7012987012987,0.9375,0.4375,0.25,0.3125,6,7,8.18181818181818,0.857142857142857,4,4,4.67532467532468,1,5,5,5.84415584415584,1,0,1,1.16883116883117,0.027027027027027,0,1,0,3,5,5.84415584415584,0.106382978723404,0.6,0,0,0,0,0,0,7,9,10.5194805194805,0.191489361702128,0.777777777777778,0,0,0,0,0,1,1,1,0,0,0,0,1,2,2.33766233766234,0,2,0,0,0,2,2.33766233766234,0,0,0,0,0,1,0,1,1.16883116883117,0,0,8,1,8,9.35064935064935,5,3,2,2.33766233766234,0,1,1.16883116883117,1,1.16883116883117,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
