"Player","Team","MP","GS","Goals","Shots","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","Second.Assists","Unscored.Key.Passes","KP.Goal","Big.Chances","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Cross.Comp","Cross.Comp.Pct","Cross.Att","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Comp.Pct","Launch.Att","Through.Comp","Through.Comp.Pct","Through.Att","Throw.In.Comp","Throw.In.Comp.Pct","Throw.In.Att","Corner.Kicks.Completed","CK.Effectiveness","Corner.Kicks.Taken","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Comp.Pct","FK.Pass.Att","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Pass.Comp","Pass.Comp.Pct","Pass.Att","opPass.Comp","opPass.Comp.Pct","opPass.Att","opPPass.Comp","opPPass.Comp.Pct","opPPass.Att","Pct.opPass.Pressd","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Comp.Pct","PPass.Att","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Blocks","Clearances","Balls.Shields","Saves","Goals.Allowed","SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses","Crosses.Won","Crosses.Lost","Corner.Kicks","CKs.Won","CKs.Lost","Free.Kicks","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","All.Pass.Comp","Distribution.Success","All.Pass.Att","Throw.Comp","Throw.Comp.Pct","Throw.Att","Drop.Kick.Comp","Drop.Kick.Comp.Pct","Drop.Kick.Att","GK+FK.Comp","GK+FK.Comp.Pct","GK+FK.Att"
"Barnes","SRFC",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.869565217391304,23,20,0.869565217391304,23,5,1,5,0.217391304347826,0.565217391304348,0.347826086956522,0.0869565217391304,11,13,0.846153846153846,7,8,0.875,2,2,1,0.565217391304348,0.347826086956522,0.0869565217391304,11,13,0.846153846153846,7,8,0.875,2,2,1,0.217391304347826,5,1,5,0.6,0.4,0,3,3,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0.333333333333333,3,2,0,0,0,0,3,3,3,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bullock","SRFC",7,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,0,0,0,0,0.5,0,0.5,1,1,1,0,0,0,1,1,1,0.5,0,0.5,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Church","WAS",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,4,2,2,0,0,0,0,0,0,3,0.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0.783783783783784,37,26,0.8125,32,14,0.875,16,0.5,0.513513513513513,0.216216216216216,0.27027027027027,14,19,0.736842105263158,6,8,0.75,9,10,0.9,0.5625,0.15625,0.28125,14,18,0.777777777777778,4,5,0.8,8,9,0.888888888888889,0.432432432432432,14,0.875,16,0.5625,0.1875,0.25,8,9,0.888888888888889,2,3,0.666666666666667,4,4,1,0,0,1,1,0,1,1,1,1,0,2,0,2,12,11,6,3,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,21,0.777777777777778,27,20,0.769230769230769,26,5,0.833333333333333,6,0.230769230769231,0.740740740740741,0.148148148148148,0.111111111111111,14,20,0.7,4,4,1,3,3,1,0.769230769230769,0.115384615384615,0.115384615384615,14,20,0.7,3,3,1,3,3,1,0.222222222222222,5,0.833333333333333,6,0.666666666666667,0.166666666666667,0.166666666666667,3,4,0.75,1,1,1,1,1,1,0,0,0,0,1,0,2,1,2,0,3,0,0,1,3,3,3,0,8,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cox","SRFC",95,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0.5,6,0,0,0,7,1,7,0,0,4,0,0,0,0,0,0,0,0,0,0,39,0.722222222222222,54,31,0.738095238095238,42,10,0.714285714285714,14,0.333333333333333,0.722222222222222,0.12962962962963,0.148148148148148,31,39,0.794871794871795,1,7,0.142857142857143,7,8,0.875,0.738095238095238,0.0714285714285714,0.19047619047619,23,31,0.741935483870968,1,3,0.333333333333333,7,8,0.875,0.259259259259259,10,0.714285714285714,14,0.642857142857143,0.0714285714285714,0.285714285714286,6,9,0.666666666666667,1,1,1,3,4,0.75,0,0,0,0,0,0,3,1,3,0,1,0,1,10,5,5,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DaCosta","WAS",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.9,20,18,0.9,20,11,0.846153846153846,13,0.65,0.35,0.15,0.5,5,7,0.714285714285714,3,3,1,10,10,1,0.35,0.15,0.5,5,7,0.714285714285714,3,3,1,10,10,1,0.65,11,0.846153846153846,13,0.384615384615385,0.153846153846154,0.461538461538462,3,5,0.6,2,2,1,6,6,1,1,1,1,0,0,0,0,0,2,2,0,0,0,4,8,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","WAS",95,1,0,3,0.666666666666667,2,0,1,2,0.666666666666667,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.580645161290323,31,18,0.580645161290323,31,13,0.684210526315789,19,0.612903225806452,0.483870967741935,0.290322580645161,0.225806451612903,6,15,0.4,7,9,0.777777777777778,5,7,0.714285714285714,0.483870967741935,0.290322580645161,0.225806451612903,6,15,0.4,7,9,0.777777777777778,5,7,0.714285714285714,0.612903225806452,13,0.684210526315789,19,0.368421052631579,0.368421052631579,0.263157894736842,4,7,0.571428571428571,5,7,0.714285714285714,4,5,0.8,3,0.75,4,1,3,5,4,0.444444444444444,9,5,2,0,0,18,14,6,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",95,1,0,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.333333333333333,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,0.694444444444444,36,25,0.714285714285714,35,11,0.846153846153846,13,0.371428571428571,0.638888888888889,0.222222222222222,0.138888888888889,13,23,0.565217391304348,7,8,0.875,5,5,1,0.628571428571429,0.228571428571429,0.142857142857143,13,22,0.590909090909091,7,8,0.875,5,5,1,0.361111111111111,11,0.846153846153846,13,0.769230769230769,0.153846153846154,0.0769230769230769,8,10,0.8,2,2,1,1,1,1,1,1,1,0,1,1,4,1,4,0,2,0,1,25,11,8,7,1,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,11,0.785714285714286,14,1,1,1,0,0,0,0,0,0,0,0,0,0,35,0.833333333333333,42,23,0.851851851851852,27,7,0.875,8,0.296296296296296,0.714285714285714,0.166666666666667,0.119047619047619,23,30,0.766666666666667,7,7,1,5,5,1,0.666666666666667,0.185185185185185,0.148148148148148,14,18,0.777777777777778,5,5,1,4,4,1,0.19047619047619,7,0.875,8,0.375,0.375,0.25,2,3,0.666666666666667,3,3,1,2,2,1,0,0,1,1,0,0,3,0.75,4,1,1,0,2,17,5,6,5,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harris","WAS",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,18,0.692307692307692,26,10,0.588235294117647,17,0,0,1,0.0588235294117647,0.923076923076923,0.0769230769230769,0,16,24,0.666666666666667,2,2,1,0,0,0,0.941176470588235,0.0588235294117647,0,9,16,0.5625,1,1,1,0,0,0,0.0384615384615385,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0.375,2,1,1,0.5,7,7,0,2,1,2,0,0,2,2,0,3,3,0,0,0,0,2,0,18,0.692307692307692,26,7,1,7,0,0,1,2,0.25,8
