"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Colaprico","CRS",1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38,35.2577319587629,0.868421052631579,31,34,31.5463917525773,0.911764705882353,18,19,17.6288659793814,0.947368421052632,0.558823529411765,0.473684210526316,0.263157894736842,0.263157894736842,15,18,16.7010309278351,0.833333333333333,8,10,9.27835051546392,0.8,10,10,9.27835051546392,1,0.105263157894737,0.5,0.394736842105263,2,4,3.71134020618557,0.5,18,19,17.6288659793814,0.947368421052632,13,15,13.9175257731959,0.866666666666667,0,0.558823529411765,0.441176470588235,0,0,0,0,18,19,17.6288659793814,0.947368421052632,13,15,13.9175257731959,0.866666666666667,0,0,0,1,13,0,0,0,0,0.529411764705882,0.205882352941176,0.264705882352941,15,18,16.7010309278351,0.833333333333333,7,7,6.49484536082474,1,9,9,8.35051546391753,1,0.5,18,19,17.6288659793814,0.947368421052632,0.473684210526316,0.210526315789474,0.315789473684211,8,9,8.35051546391753,0.888888888888889,4,4,3.71134020618557,1,6,6,5.56701030927835,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.5,0,0,0,0,0,0,0,0,0,0,2,1.85567010309278,2,0,1,1,0,1,0.927835051546392,2,1.85567010309278,2,0,1,0,0,0,0,0,0,20,5,16,14.8453608247423,11,5,3,2.78350515463918,0,0,0,1,0.927835051546392,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Da Costa","CRS",1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,28.4210526315789,0.75,9,12,28.4210526315789,0.75,5,6,14.2105263157895,0.833333333333333,0.5,0.25,0.416666666666667,0.333333333333333,2,3,7.10526315789474,0.666666666666667,3,5,11.8421052631579,0.6,4,4,9.47368421052632,1,0.0833333333333333,0.916666666666667,0,1,1,2.36842105263158,1,8,11,26.0526315789474,0.727272727272727,0,0,0,0,0.0833333333333333,0.916666666666667,0,1,1,2.36842105263158,1,8,11,26.0526315789474,0.727272727272727,0,0,0,0,0,0,0,0,7,0,0,0,0,0.25,0.416666666666667,0.333333333333333,2,3,7.10526315789474,0.666666666666667,3,5,11.8421052631579,0.6,4,4,9.47368421052632,1,0.5,5,6,14.2105263157895,0.833333333333333,0.5,0,0.5,2,3,7.10526315789474,0.666666666666667,0,0,0,0,3,3,7.10526315789474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.36842105263158,1,2.36842105263158,0,1,0,1,0,1,2.36842105263158,1,2.36842105263158,10,1,5,11.8421052631579,3,2,0,0,0,1,2.36842105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiBernardo","CRS",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,37.5,0.6,23,36,33.75,0.638888888888889,14,20,18.75,0.7,0.555555555555556,0.55,0.275,0.175,10,22,20.625,0.454545454545455,7,11,10.3125,0.636363636363636,7,7,6.5625,1,0.175,0.525,0.3,3,7,6.5625,0.428571428571429,14,21,19.6875,0.666666666666667,7,12,11.25,0.583333333333333,0.111111111111111,0.583333333333333,0.305555555555556,2,4,3.75,0.5,14,21,19.6875,0.666666666666667,7,11,10.3125,0.636363636363636,0,0,0,0,8,0,0,0,0,0.611111111111111,0.194444444444444,0.194444444444444,10,22,20.625,0.454545454545455,6,7,6.5625,0.857142857142857,7,7,6.5625,1,0.5,14,20,18.75,0.7,0.65,0.25,0.1,7,13,12.1875,0.538461538461538,5,5,4.6875,1,2,2,1.875,1,1,2,1.875,0.0555555555555556,0.5,2,0,1,4,3.75,0.1,0.25,2,4,3.75,0.1,0.111111111111111,0.5,0,0,0,0,0,1,4,0.25,0,0,0,0,0,0,0,0,0,0,1,0.9375,1,0,1,2,1,3,2.8125,4,3.75,2,2,0.5,4,0,4,3.75,2,1.875,33,5,10,9.375,4,6,3,2.8125,0,7,6.5625,1,0.9375,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","BOS",1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.927835051546392,0,0,0,0,0,0,0,0,0,31,37,34.3298969072165,0.837837837837838,31,36,33.4020618556701,0.861111111111111,9,11,10.2061855670103,0.818181818181818,0.305555555555556,0.567567567567568,0.297297297297297,0.135135135135135,15,21,19.4845360824742,0.714285714285714,11,11,10.2061855670103,1,5,5,4.63917525773196,1,0.108108108108108,0.594594594594595,0.297297297297297,3,4,3.71134020618557,0.75,19,22,20.4123711340206,0.863636363636364,9,11,10.2061855670103,0.818181818181818,0.111111111111111,0.583333333333333,0.305555555555556,3,4,3.71134020618557,0.75,19,21,19.4845360824742,0.904761904761905,9,11,10.2061855670103,0.818181818181818,0,0,0,0,16,0,0,0,1,0.555555555555556,0.305555555555556,0.138888888888889,15,20,18.5567010309278,0.75,11,11,10.2061855670103,1,5,5,4.63917525773196,1,0.297297297297297,9,11,10.2061855670103,0.818181818181818,0.818181818181818,0.181818181818182,0,7,9,8.35051546391753,0.777777777777778,2,2,1.85567010309278,1,0,0,0,0,1,2,1.85567010309278,0.0555555555555556,0.5,0,2,1,4,3.71134020618557,0.108108108108108,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3.71134020618557,3,1,0.75,0,0,0,0,0,0,8,1,11,10.2061855670103,7,4,2,1.85567010309278,0,3,2.78350515463918,14,12.9896907216495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilliland","CRS",1,97,1,0,1,0.927835051546392,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30,27.8350515463918,0.733333333333333,19,26,24.1237113402062,0.730769230769231,10,14,12.9896907216495,0.714285714285714,0.538461538461538,0.6,0.166666666666667,0.233333333333333,12,18,16.7010309278351,0.666666666666667,3,5,4.63917525773196,0.6,7,7,6.49484536082474,1,0.266666666666667,0.5,0.233333333333333,5,8,7.42268041237113,0.625,11,15,13.9175257731959,0.733333333333333,6,7,6.49484536082474,0.857142857142857,0.307692307692308,0.423076923076923,0.269230769230769,5,8,7.42268041237113,0.625,8,11,10.2061855670103,0.727272727272727,6,7,6.49484536082474,0.857142857142857,0,0,0,0,8,0,0,0,0,0.538461538461538,0.192307692307692,0.269230769230769,9,14,12.9896907216495,0.642857142857143,3,5,4.63917525773196,0.6,7,7,6.49484536082474,1,0.466666666666667,10,14,12.9896907216495,0.714285714285714,0.5,0.214285714285714,0.285714285714286,4,7,6.49484536082474,0.571428571428571,2,3,2.78350515463918,0.666666666666667,4,4,3.71134020618557,1,1,4,3.71134020618557,0.153846153846154,0.25,2,2,2,4,3.71134020618557,0.133333333333333,0.5,1,2,1.85567010309278,0.0666666666666667,0.0769230769230769,0.5,3,4,3.71134020618557,0.133333333333333,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.78350515463918,2,1,0.666666666666667,1,2,4,3.71134020618557,2,1.85567010309278,1,1,0.5,5,0,5,4.63917525773196,4,3.71134020618557,18,4,9,8.35051546391753,5,4,2,1.85567010309278,0,3,2.78350515463918,5,4.63917525773196,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hoy","CRS",1,60,1,0,3,4.5,0.666666666666667,2,0,1,0,1,0.333333333333333,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,18,0.666666666666667,8,12,18,0.666666666666667,7,9,13.5,0.777777777777778,0.75,0.333333333333333,0.333333333333333,0.333333333333333,0,4,6,0,4,4,6,1,4,4,6,1,0.75,0.25,0,7,9,13.5,0.777777777777778,1,3,4.5,0.333333333333333,0,0,0,0,0.75,0.25,0,7,9,13.5,0.777777777777778,1,3,4.5,0.333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,4,6,0,4,4,6,1,4,4,6,1,0.75,7,9,13.5,0.777777777777778,0.222222222222222,0.444444444444444,0.333333333333333,0,2,3,0,4,4,6,1,3,3,4.5,1,1,1,1.5,0.0833333333333333,1,1,0,0,0,0,0,0,0,1,1.5,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,1,1,3,4,6,3,4.5,2,1,0.666666666666667,0,0,0,0,1,1.5,7,3,4,6,2,2,1,1.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huerta","CRS",1,97,1,0,4,3.71134020618557,0,0,0,4,0,3,0.75,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,25.979381443299,0.678571428571429,17,26,24.1237113402062,0.653846153846154,16,20,18.5567010309278,0.8,0.769230769230769,0.107142857142857,0.464285714285714,0.428571428571429,2,3,2.78350515463918,0.666666666666667,7,13,12.0618556701031,0.538461538461538,10,12,11.1340206185567,0.833333333333333,0.571428571428571,0.357142857142857,0.0714285714285714,10,16,14.8453608247423,0.625,7,10,9.27835051546392,0.7,2,2,1.85567010309278,1,0.538461538461538,0.384615384615385,0.0769230769230769,8,14,12.9896907216495,0.571428571428571,7,10,9.27835051546392,0.7,2,2,1.85567010309278,1,0,0,0,1,4,0,0,0,0,0.115384615384615,0.461538461538462,0.423076923076923,2,3,2.78350515463918,0.666666666666667,6,12,11.1340206185567,0.5,9,11,10.2061855670103,0.818181818181818,0.714285714285714,16,20,18.5567010309278,0.8,0.1,0.45,0.45,2,2,1.85567010309278,1,6,9,8.35051546391753,0.666666666666667,8,9,8.35051546391753,0.888888888888889,2,5,4.63917525773196,0.192307692307692,0.4,5,0,0,0,0,0,0,0,1,0.927835051546392,0.0357142857142857,0.0384615384615385,0,2,2,1.85567010309278,0.0714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.71134020618557,4,0,1,2,6,8,7.42268041237113,9,8.35051546391753,3,6,0.333333333333333,2,0,2,1.85567010309278,1,0.927835051546392,17,3,4,3.71134020618557,1,3,2,1.85567010309278,0,2,1.85567010309278,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson","CRS",1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,26.9072164948454,0.827586206896552,22,24,22.2680412371134,0.916666666666667,0,1,0.927835051546392,0,0.0416666666666667,0.517241379310345,0.172413793103448,0.310344827586207,11,15,13.9175257731959,0.733333333333333,4,5,4.63917525773196,0.8,9,9,8.35051546391753,1,0,0.310344827586207,0.689655172413793,0,0,0,0,6,9,8.35051546391753,0.666666666666667,18,20,18.5567010309278,0.9,0,0.208333333333333,0.791666666666667,0,0,0,0,5,5,4.63917525773196,1,17,19,17.6288659793814,0.894736842105263,0,0,0,1,1,1,0,0,0,0.458333333333333,0.208333333333333,0.333333333333333,10,11,10.2061855670103,0.909090909090909,4,5,4.63917525773196,0.8,8,8,7.42268041237113,1,0.0344827586206897,0,1,0.927835051546392,0,1,0,0,0,1,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4.63917525773196,0.172413793103448,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,6.49484536082474,5,2,0.714285714285714,0,0,0,0,0,0,4,1,7,6.49484536082474,6,1,0,0,0,3,2.78350515463918,6,5.56701030927835,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnston","CRS",1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,29,26.9072164948454,0.724137931034483,21,28,25.979381443299,0.75,10,13,12.0618556701031,0.769230769230769,0.464285714285714,0.758620689655172,0.137931034482759,0.103448275862069,15,22,20.4123711340206,0.681818181818182,3,4,3.71134020618557,0.75,3,3,2.78350515463918,1,0.0689655172413793,0.482758620689655,0.448275862068966,1,2,1.85567010309278,0.5,9,14,12.9896907216495,0.642857142857143,11,13,12.0618556701031,0.846153846153846,0.0714285714285714,0.464285714285714,0.464285714285714,1,2,1.85567010309278,0.5,9,13,12.0618556701031,0.692307692307692,11,13,12.0618556701031,0.846153846153846,1,0,0,0,6,0,0,0,0,0.75,0.142857142857143,0.107142857142857,15,21,19.4845360824742,0.714285714285714,3,4,3.71134020618557,0.75,3,3,2.78350515463918,1,0.448275862068966,10,13,12.0618556701031,0.769230769230769,0.846153846153846,0.153846153846154,0,8,11,10.2061855670103,0.727272727272727,2,2,1.85567010309278,1,0,0,0,0,0,1,0.927835051546392,0.0357142857142857,0,1,0,0,3,2.78350515463918,0.103448275862069,0,1,2,1.85567010309278,0.0689655172413793,0.0714285714285714,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2.78350515463918,3,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1.85567010309278,0,0,8,2,5,4.63917525773196,3,2,1,0.927835051546392,0,4,3.71134020618557,10,9.27835051546392,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kallman","BOS",1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,45,41.7525773195876,0.955555555555556,41,42,38.9690721649485,0.976190476190476,10,10,9.27835051546392,1,0.238095238095238,0.577777777777778,0.266666666666667,0.155555555555556,25,26,24.1237113402062,0.961538461538462,12,12,11.1340206185567,1,6,7,6.49484536082474,0.857142857142857,0,0.533333333333333,0.466666666666667,0,0,0,0,23,24,22.2680412371134,0.958333333333333,20,21,19.4845360824742,0.952380952380952,0,0.5,0.5,0,0,0,0,21,21,19.4845360824742,1,20,21,19.4845360824742,0.952380952380952,0,0,0,0,20,0,0,0,0,0.547619047619048,0.285714285714286,0.166666666666667,23,23,21.340206185567,1,12,12,11.1340206185567,1,6,7,6.49484536082474,0.857142857142857,0.222222222222222,10,10,9.27835051546392,1,0.6,0.1,0.3,6,6,5.56701030927835,1,1,1,0.927835051546392,1,3,3,2.78350515463918,1,0,0,0,0,0,0,0,4,5,4.63917525773196,0.111111111111111,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,3,1,0.927835051546392,1,0,1,1,0,1,0.927835051546392,5,4.63917525773196,2,3,0.4,2,1,3,2.78350515463918,1,0.927835051546392,10,5,10,9.27835051546392,10,0,7,6.49484536082474,0,1,0.927835051546392,7,6.49484536082474,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
