"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Beckmann","BOS",1,76,1,0,2,2.36842105263158,0.5,1,0,1,0,1,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,28.4210526315789,0.875,21,24,28.4210526315789,0.875,18,20,23.6842105263158,0.9,0.833333333333333,0.25,0.125,0.625,3,6,7.10526315789474,0.5,3,3,3.55263157894737,1,15,15,17.7631578947368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.125,0.625,3,6,7.10526315789474,0.5,3,3,3.55263157894737,1,15,15,17.7631578947368,1,0.833333333333333,18,20,23.6842105263158,0.9,0.15,0.15,0.7,1,3,3.55263157894737,0.333333333333333,3,3,3.55263157894737,1,14,14,16.5789473684211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.36842105263158,1,1,0.5,2,3,6,7.10526315789474,2,2.36842105263158,0,2,0,1,1,2,2.36842105263158,3,3.55263157894737,12,2,9,10.6578947368421,4,5,0,0,0,1,1.18421052631579,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D'Angelo","WNYF",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30,28.125,0.6,12,22,20.625,0.545454545454545,1,2,1.875,0.5,0.0909090909090909,1,0,0,18,30,28.125,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,18,16.875,0.611111111111111,0,0,0,0,0,0,0,0,0.0666666666666667,1,2,1.875,0.5,1,0,0,1,2,1.875,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,17.8125,0.633333333333333,0.368421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.625,5,1,0,0,0,0,0,2,1.875,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,0.333333333333333,0,0,0,0,4,4,0,1,5,0,1,3,0,5,4,1,2,2,0,2,1,1,0,0,18,30,0.6,3,3,1,2,4,0.5,2,5,0.4
"Dahlkemper","WNYF",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,46,43.125,0.804347826086957,29,33,30.9375,0.878787878787879,4,6,5.625,0.666666666666667,0.181818181818182,0.630434782608696,0.239130434782609,0.130434782608696,23,29,27.1875,0.793103448275862,8,11,10.3125,0.727272727272727,6,6,5.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696969696969697,0.121212121212121,0.181818181818182,19,23,21.5625,0.826086956521739,4,4,3.75,1,6,6,5.625,1,0.130434782608696,4,6,5.625,0.666666666666667,0.833333333333333,0,0.166666666666667,3,5,4.6875,0.6,0,0,0,0,1,1,0.9375,1,0,0,0,0,0,0,0,3,6,5.625,0.130434782608696,0.5,0,0,0,0,0,0,1,1,0.9375,0.0217391304347826,1,3,6,0.5,0,0,4,6,0.666666666666667,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0.9375,1,0,1,2,0,2,1.875,0,0,9,0,11,10.3125,8,3,2,1.875,0,1,0.9375,3,2.8125,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",1,35,0,0,3,7.71428571428571,0.333333333333333,1,0,2,0,1,0.333333333333333,1,1,1,0,0,0,1,1,1,0,2.57142857142857,2.57142857142857,1,2.57142857142857,0,0,0,1,0,0,0,4,8,20.5714285714286,0.5,4,8,20.5714285714286,0.5,3,7,18,0.428571428571429,0.875,0.375,0.625,0,2,3,7.71428571428571,0.666666666666667,2,5,12.8571428571429,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.625,0,2,3,7.71428571428571,0.666666666666667,2,5,12.8571428571429,0.4,0,0,0,0,0.875,3,7,18,0.428571428571429,0.428571428571429,0.571428571428571,0,2,3,7.71428571428571,0.666666666666667,1,4,10.2857142857143,0.25,0,0,0,0,1,2,5.14285714285714,0.25,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10.2857142857143,2,2,0.5,2,0,4,10.2857142857143,0,0,0,0,0,0,1,1,2.57142857142857,0,0,4,0,2,5.14285714285714,1,1,0,0,0,0,0,1,2.57142857142857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dowie","BOS",1,96,1,1,3,2.8125,0.333333333333333,0,0,2,0,2,0.666666666666667,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,15,0.75,12,16,15,0.75,7,9,8.4375,0.777777777777778,0.5625,0.0625,0.25,0.6875,0,1,0.9375,0,3,4,3.75,0.75,9,11,10.3125,0.818181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.25,0.6875,0,1,0.9375,0,3,4,3.75,0.75,9,11,10.3125,0.818181818181818,0.5625,7,9,8.4375,0.777777777777778,0,0.222222222222222,0.777777777777778,0,0,0,0,1,2,1.875,0.5,6,7,6.5625,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9375,0,1,0,3,1,5,4.6875,3,2.8125,0,3,0,0,0,0,0,1,0.9375,9,3,5,4.6875,5,0,1,0.9375,0,1,0.9375,0,0,0,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eddy","WNYF",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,39,36.5625,0.564102564102564,13,24,22.5,0.541666666666667,7,10,9.375,0.7,0.416666666666667,0.743589743589744,0.205128205128205,0.0512820512820513,15,29,27.1875,0.517241379310345,5,8,7.5,0.625,2,2,1.875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708333333333333,0.208333333333333,0.0833333333333333,9,17,15.9375,0.529411764705882,2,5,4.6875,0.4,2,2,1.875,1,0.256410256410256,7,10,9.375,0.7,0.9,0,0.1,6,9,8.4375,0.666666666666667,0,0,0,0,1,1,0.9375,1,0,3,2.8125,0.125,0,3,0,3,4,3.75,0.102564102564103,0.75,0,2,1.875,0.0512820512820513,0.0833333333333333,0,9,15,14.0625,0.384615384615385,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.6875,5,0,1,2,2,4,3.75,1,0.9375,1,0,1,3,3,6,5.625,3,2.8125,12,2,14,13.125,8,6,2,1.875,0,2,1.875,2,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elby","BOS",1,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,42,45,0.785714285714286,20,28,30,0.714285714285714,7,8,8.57142857142857,0.875,0.285714285714286,0.785714285714286,0.0952380952380952,0.119047619047619,24,33,35.3571428571429,0.727272727272727,4,4,4.28571428571429,1,5,5,5.35714285714286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785714285714286,0.0357142857142857,0.178571428571429,14,22,23.5714285714286,0.636363636363636,1,1,1.07142857142857,1,5,5,5.35714285714286,1,0.19047619047619,7,8,8.57142857142857,0.875,0.75,0,0.25,5,6,6.42857142857143,0.833333333333333,0,0,0,0,2,2,2.14285714285714,1,0,2,2.14285714285714,0.0714285714285714,0,0,2,0,2,2.14285714285714,0.0476190476190476,0,0,0,0,0,0,0,13,14,15,0.333333333333333,0.928571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.14285714285714,1,1,0.5,0,2,3,3.21428571428571,4,4.28571428571429,1,3,0.25,2,2,4,4.28571428571429,3,3.21428571428571,12,1,8,8.57142857142857,8,0,4,4.28571428571429,0,2,2.14285714285714,2,2.14285714285714,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","BOS",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,14.0625,0.666666666666667,10,15,14.0625,0.666666666666667,5,8,7.5,0.625,0.533333333333333,0.6,0.333333333333333,0.0666666666666667,4,9,8.4375,0.444444444444444,5,5,4.6875,1,1,1,0.9375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.333333333333333,0.0666666666666667,4,9,8.4375,0.444444444444444,5,5,4.6875,1,1,1,0.9375,1,0.533333333333333,5,8,7.5,0.625,0.5,0.375,0.125,1,4,3.75,0.25,3,3,2.8125,1,1,1,0.9375,1,0,0,0,0,0,0,0,0,1,0.9375,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2.8125,0,0,9,0,13,12.1875,12,1,0,0,0,2,1.875,10,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","WNYF",1,96,1,0,2,1.875,0,0,0,2,0,2,0.666666666666667,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,25.3125,0.777777777777778,19,25,23.4375,0.76,5,7,6.5625,0.714285714285714,0.28,0.703703703703704,0.111111111111111,0.185185185185185,14,19,17.8125,0.736842105263158,2,3,2.8125,0.666666666666667,5,5,4.6875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.12,0.12,14,19,17.8125,0.736842105263158,2,3,2.8125,0.666666666666667,3,3,2.8125,1,0.259259259259259,5,7,6.5625,0.714285714285714,0.571428571428571,0.285714285714286,0.142857142857143,3,4,3.75,0.75,1,2,1.875,0.5,1,1,0.9375,1,0,0,0,0,0,0,0,1,2,1.875,0.0740740740740741,0.5,0,1,0.9375,0.037037037037037,0.04,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,15.9375,10,7,0.588235294117647,2,0,2,1.875,0,0,15,1,13,12.1875,9,4,3,2.8125,0,5,4.6875,7,6.5625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hinkle","WNYF",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,21,40,37.5,0.525,13,26,24.375,0.5,8,16,15,0.5,0.615384615384615,0.725,0.225,0.05,17,29,27.1875,0.586206896551724,2,9,8.4375,0.222222222222222,2,2,1.875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692307692307692,0.230769230769231,0.0769230769230769,10,18,16.875,0.555555555555556,1,6,5.625,0.166666666666667,2,2,1.875,1,0.4,8,16,15,0.5,0.625,0.25,0.125,5,10,9.375,0.5,1,4,3.75,0.25,2,2,1.875,1,3,11,10.3125,0.423076923076923,0.272727272727273,3,8,0,0,0,0,0,0,0,0,0,0,0,7,11,10.3125,0.275,0.636363636363636,0,1,0,0,0,1,2,0.5,0,1,0,0,2,2,1.875,1,1,0.5,2,2,5,4.6875,2,1.875,1,1,0.5,1,1,2,1.875,1,0.9375,8,1,11,10.3125,4,6,2,1.875,0,3,2.8125,1,0.9375,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
