Player,Team,GP,MP,GS,Goals,Shots,Shots.per.90,Shot.Accuracy,Shot.GK.Stop,Shot.Def.Stop,Shot.Miss,xG,Shot.Pressed,Pct.Shots.Pressed,A6.Shots,A18.Shots,A3L.Shots,A3C.Shots,A3R.Shots,Far.Shots,Assists,Key.Passes,Key.Assists,Second.Assists,Assists.per.90,Key.Passes.per.90,Big.Chances,Big.Chances.per.90,BC.Scored,BC.Conversion.Pct,BC.SOG,BC.Shot.Miss,BC.Dispossess,BC.Created,BC.Lost,Pass.Comp,Pass.Att,Pass.Att.per.90,Pass.Comp.Pct,opPass.Comp,opPass.Att,opPass.Att.per.90,opPass.Comp.Pct,opPPass.Comp,opPPass.Att,opPPass.Att.per.90,opPPass.Comp.Pct,Pct.opPass.Pressed,rFreq.Pass.Fwd,rFreq.Pass.Side,rFreq.Pass.Back,fwPass.Comp,fwPass.Att,fwPass.Att.per.90,fwPass.Comp.Pct,sPass.Comp,sPass.Att,sPass.Att.per.90,sPass.Comp.Pct,bPass.Comp,bPass.Att,bPass.Att.per.90,bPass.Comp.Pct,rFreq.A3.Passes,rFreq.M3.Passes,rFreq.D3.Passes,A3Pass.Comp,A3Pass.Att,A3Pass.Att.per.90,A3Pass.Comp.Pct,M3Pass.Comp,M3Pass.Att,M3Pass.Att.per.90,M3Pass.Comp.Pct,D3Pass.Comp,D3Pass.Att,D3Pass.Att.per.90,D3Pass.Comp.Pct,rFreq.A3.opPasses,rFreq.M3.opPasses,rFreq.D3.opPasses,A3opPass.Comp,A3opPass.Att,A3opPass.Att.per.90,A3opPass.Comp.Pct,M3opPass.Comp,M3opPass.Att,M3opPass.Att.per.90,M3opPass.Comp.Pct,D3opPass.Comp,D3opPass.Att,D3opPass.Att.per.90,D3opPass.Comp.Pct,Pass.Comp.D3toD3,Pass.Comp.D3toM3,Pass.Comp.D3toA3,Pass.Comp.M3toD3,Pass.Comp.M3toM3,Pass.Comp.M3toA3,Pass.Comp.A3toD3,Pass.Comp.A3toM3,Pass.Comp.A3toA3,rFreq.opPass.Fwd,rFreq.opPass.Side,rFreq.opPass.Back,fwopPass.Comp,fwopPass.Att,fwopPass.Att.per.90,fwopPass.Comp.Pct,sopPass.Comp,sopPass.Att,sopPass.Att.per.90,sopPass.Comp.Pct,bopPass.Comp,bopPass.Att,bopPass.Att.per.90,bopPass.Comp.Pct,Pct.Passes.Pressed,PPass.Comp,PPass.Att,PPass.Att.per.90,PPass.Comp.Pct,rFreq.PPass.Fwd,rFreq.PPass.Side,rFreq.PPass.Back,fwPPass.Comp,fwPPass.Att,fwPPass.Att.per.90,fwPPass.Comp.Pct,sPPass.Comp,sPPass.Att,sPPass.Att.per.90,sPPass.Comp.Pct,bPPass.Comp,bPPass.Att,bPPass.Att.per.90,bPPass.Comp.Pct,Cross.Comp,Cross.Att,Cross.Att.per.90,Cross.Att.per.opPass,Cross.Comp.Pct,Corner.Crosses,Deep.Crosses,Launch.Comp,Launch.Att,Launch.Att.per.90,Launch.Att.per.Pass,Launch.Comp.Pct,Through.Comp,Through.Att,Through.Att.per.90,Through.Att.per.Pass,Through.Att.per.opPass,Through.Comp.Pct,Throw.In.Comp,Throw.In.Att,Throw.In.Att.per.90,Throw.In.Att.per.Pass,Throw.In.Comp.Pct,Corner.Kicks.Completed,Corner.Kicks.Taken,CK.Comp.Pct,CK.Assist,CK.Key.Pass,FK.Pass.Comp,FK.Pass.Att,FK.Pass.Comp.Pct,FK.Assist,FK.Key.Pass,FK.Shot,FK.Scored,Free.Kicks.Taken,Take.Ons,Take.Ons.per.90,TO.Won,TO.Lost,TO.Win.Pct,Dispossessed,Lost.Touches,All.Possessions.Disrupted,Poss.Disrupted.per.90,Aerial.Duels,Aerial.Duels.per.90,AD.Won,AD.Lost,AD.Win.Pct,Tackles,Dispossesses,All.Opp.Poss.Disrupted,Opp.Poss.Disrupted.per.90,Dribbled,Dribbled.per.90,Press.Opp,Challenge.Opp,Recoveries,Recoveries.per.90,Def.Recoveries,Poss.Recoveries,Interceptions,Int.per.90,Int.per.OP.Pass,Blocks,Blocks.per.90,Clearances,Clearances.per.90,Ball.Shields,Offsides,Fouls.Won,Fouls.Conceded,Yellow.Cards,Red.Cards,Penalties.Won,Penalties.Conceded,E.to.Goals,OG,E.to.Big.Chances,BC.Stopped,Saves,Goals.Allowed,GK.SOG.Faced,GperSOG,BC.SOG.Faced,BC.Saves,BC.Goals.Allowed,GperBCSOG,High.Balls.Faced,HB.Won,HB.Lost,HB.Win.Pct,HB.Caught,HB.Punched,HB.Parried,HB.Collected,HB.Fouls.Won,Crosses.Faced,Crosses.Won,Crosses.Lost,Corner.Kicks.Faced,CKs.Won,CKs.Lost,Free.Kicks.Faced,FKs.Won,FKs.Lost,Smothers.Won,Smothers.Lost,GK.Overall.Pass.Comp,GK.Overall.Pass.Att,GK.Overall.Pass.Comp.Pct,GK.Throw.Comp,GK.Throw.Att,GK.Throw.Comp.Pct,GK.Drop.Kick.Comp,GK.Drop.Kick.Att,GK.Drop.Kick.Comp.Pct,GKFK.Comp,GKFK.Att,GKFK.Comp.Pct
Beckmann,BOS,1,80,1,0,1,1.125,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.125,0,0,0,0,0,0,1,18,28,31.5,0.642857143,18,28,31.5,0.642857143,15,22,24.75,0.681818182,0.785714286,0.357142857,0.357142857,0.285714286,5,10,11.25,0.5,5,10,11.25,0.5,8,8,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357142857,0.357142857,0.285714286,5,10,11.25,0.5,5,10,11.25,0.5,8,8,9,1,0.785714286,15,22,24.75,0.681818182,0.272727273,0.409090909,0.318181818,4,6,6.75,0.666666667,4,9,10.125,0.444444444,7,7,7.875,1,0,5,5.625,0.178571429,0,5,0,1,2,2.25,0.071428571,0.5,0,1,1.125,0.035714286,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.125,0,1,0,3,4,8,9,2,2.25,0,2,0,0,2,2,2.25,1,1.125,18,5,8,9,4,4,0,0,0,1,1.125,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D'Angelo,WNYF,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,23.87755102,0.5,6,10,9.183673469,0.6,2,3,2.755102041,0.666666667,0.3,1,0,0,13,26,23.87755102,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,6,5.510204082,0.833333333,0,0,0,0,0,0,0,0,0.115384615,2,3,2.755102041,0.666666667,1,0,0,2,3,2.755102041,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,22.95918367,0.961538462,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0.333333333,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.918367347,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,6,6,0,1,6,1,0,4,0,5,5,0,0,0,0,3,2,1,0,0,13,26,0.5,1,1,1,4,9,0.444444444,3,10,0.3
Dahlkemper,WNYF,1,98,1,1,1,0.918367347,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0.918367347,0,0,0,0,0,0,0,0,0,16,24,22.04081633,0.666666667,13,17,15.6122449,0.764705882,6,9,8.265306122,0.666666667,0.529411765,0.458333333,0.375,0.166666667,6,11,10.10204082,0.545454545,6,9,8.265306122,0.666666667,4,4,3.673469388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411764706,0.352941176,0.235294118,4,7,6.428571429,0.571428571,5,6,5.510204082,0.833333333,4,4,3.673469388,1,0.375,6,9,8.265306122,0.666666667,0.444444444,0.333333333,0.222222222,2,4,3.673469388,0.5,2,3,2.755102041,0.666666667,2,2,1.836734694,1,0,0,0,0,0,0,0,1,2,1.836734694,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,5,0.6,0,0,1,1,6,0,0,0,0,0,0,0,0,0,4,3.673469388,2,2,0.5,1,1,2,1.836734694,1,0.918367347,1,1,9,8.265306122,7,2,6,5.510204082,0,0,0,6,5.510204082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doniak,WNYF,1,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1.071428571,1.071428571,0,0,0,0,0,0,0,0,0,17,28,30,0.607142857,15,26,27.85714286,0.576923077,13,20,21.42857143,0.65,0.769230769,0.357142857,0.392857143,0.25,5,10,10.71428571,0.5,6,11,11.78571429,0.545454545,6,7,7.5,0.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384615385,0.346153846,0.269230769,5,10,10.71428571,0.5,4,9,9.642857143,0.444444444,6,7,7.5,0.857142857,0.714285714,13,20,21.42857143,0.65,0.35,0.3,0.35,4,7,7.5,0.571428571,3,6,6.428571429,0.5,6,7,7.5,0.857142857,3,7,7.5,0.269230769,0.428571429,7,0,1,3,3.214285714,0.107142857,0.333333333,0,1,1.071428571,0.035714286,0.038461538,0,1,1,1.071428571,0.035714286,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,3.214285714,1,2,0.333333333,4,1,7,7.5,5,5.357142857,2,3,0.4,0,0,0,0,0,0,21,3,8,8.571428571,4,4,3,3.214285714,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dowie,BOS,1,98,1,0,2,1.836734694,0.5,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1.836734694,0,0,1,0,0,0,1,12,13,11.93877551,0.923076923,12,13,11.93877551,0.923076923,7,8,7.346938776,0.875,0.615384615,0.307692308,0.076923077,0.615384615,3,4,3.673469388,0.75,1,1,0.918367347,1,8,8,7.346938776,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,0.076923077,0.615384615,3,4,3.673469388,0.75,1,1,0.918367347,1,8,8,7.346938776,1,0.615384615,7,8,7.346938776,0.875,0.25,0.125,0.625,1,2,1.836734694,0.5,1,1,0.918367347,1,5,5,4.591836735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.836734694,1,1,0.5,1,3,5,4.591836735,6,5.510204082,4,2,0.666666667,0,0,0,0,0,0,16,0,3,2.755102041,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddy,WNYF,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,44,40.40816327,0.727272727,22,33,30.30612245,0.666666667,8,15,13.7755102,0.533333333,0.454545455,0.795454545,0.045454545,0.159090909,24,35,32.14285714,0.685714286,1,2,1.836734694,0.5,7,7,6.428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757575758,0.060606061,0.181818182,15,25,22.95918367,0.6,1,2,1.836734694,0.5,6,6,5.510204082,1,0.340909091,8,15,13.7755102,0.533333333,0.666666667,0.133333333,0.2,4,10,9.183673469,0.4,1,2,1.836734694,0.5,3,3,2.755102041,1,1,1,0.918367347,0.03030303,1,1,0,2,7,6.428571429,0.159090909,0.285714286,0,2,1.836734694,0.045454545,0.060606061,0,10,11,10.10204082,0.25,0.909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.836734694,1,1,0.5,1,2,4,3.673469388,1,0.918367347,1,0,1,2,0,2,1.836734694,1,0.918367347,13,5,11,10.10204082,8,3,2,1.836734694,0,0,0,3,2.755102041,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elby,BOS,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,38,34.89795918,0.736842105,22,29,26.63265306,0.75862069,15,21,19.28571429,0.714285714,0.724137931,0.657894737,0.157894737,0.184210526,16,25,22.95918367,0.64,5,6,5.510204082,0.833333333,7,7,6.428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.620689655,0.137931034,0.24137931,12,18,16.53061224,0.666666667,3,4,3.673469388,0.75,7,7,6.428571429,1,0.552631579,15,21,19.28571429,0.714285714,0.619047619,0.142857143,0.238095238,7,13,11.93877551,0.538461538,3,3,2.755102041,1,5,5,4.591836735,1,1,3,2.755102041,0.103448276,0.333333333,1,2,0,0,0,0,0,0,0,0,0,0,0,6,9,8.265306122,0.236842105,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.591836735,2,3,0.4,2,1,6,5.510204082,5,4.591836735,0,5,0,1,2,3,2.755102041,4,3.673469388,22,8,13,11.93877551,9,4,0,0,0,5,4.591836735,6,5.510204082,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engen,BOS,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,34,31.2244898,0.794117647,27,31,28.46938776,0.870967742,14,16,14.69387755,0.875,0.516129032,0.705882353,0.147058824,0.147058824,17,24,22.04081633,0.708333333,5,5,4.591836735,1,5,5,4.591836735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419355,0.161290323,0.161290323,17,21,19.28571429,0.80952381,5,5,4.591836735,1,5,5,4.591836735,1,0.470588235,14,16,14.69387755,0.875,0.6875,0.25,0.0625,9,11,10.10204082,0.818181818,4,4,3.673469388,1,1,1,0.918367347,1,0,0,0,0,0,0,0,1,5,4.591836735,0.147058824,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0.918367347,1,0,1,2,1,3,2.755102041,3,2.755102041,2,1,0.666666667,1,2,3,2.755102041,0,0,6,3,16,14.69387755,12,4,4,3.673469388,0,0,0,7,6.428571429,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erceg,WNYF,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,25,22.95918367,0.68,17,25,22.95918367,0.68,7,9,8.265306122,0.777777778,0.346153846,0.64,0.16,0.2,8,16,14.69387755,0.5,4,4,3.673469388,1,5,5,4.591836735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.16,0.2,8,16,14.69387755,0.5,4,4,3.673469388,1,5,5,4.591836735,1,0.346153846,7,9,8.265306122,0.777777778,0.333333333,0.333333333,0.333333333,1,3,2.755102041,0.333333333,3,3,2.755102041,1,3,3,2.755102041,1,0,0,0,0,0,0,0,2,5,4.591836735,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2.755102041,14,12.85714286,7,7,0.5,0,1,1,0.918367347,1,0.918367347,23,7,12,11.02040816,7,5,3,2.755102041,0,6,5.510204082,3,2.755102041,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hahn,WNYF,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.36363636,0,0,2,16.36363636,0,0,0,0,0,0,0.5,0.5,0,0,1,8.181818182,0,0,1,8.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,1,8.181818182,0,0,1,8.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.181818182,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,8.181818182,1,0,0,0,0,0,0,1,8.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
