"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Brynjarsdottir","PTFC",1,60,1,0,1,1.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0,0,0,1,0,0,0,5,13,19.5,0.384615384615385,5,13,19.5,0.384615384615385,4,5,7.5,0.8,0.357142857142857,0.538461538461538,0.307692307692308,0.153846153846154,1,7,10.5,0.142857142857143,2,4,6,0.5,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538461538461538,0.307692307692308,0.153846153846154,1,7,10.5,0.142857142857143,2,4,6,0.5,2,2,3,1,0.357142857142857,4,5,7.5,0.8,0.2,0.4,0.4,1,1,1.5,1,1,2,3,0.5,2,2,3,1,0,1,1.5,0.0769230769230769,0,1,0,0,0,0,0,0,0,1,1.5,0.0769230769230769,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,6,6,9,5,1,0.833333333333333,1,2,3,4.5,1,1.5,24,6,1,1.5,1,0,0,0,0,2,3,1,1.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colaprico","CRS",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,26.5263157894737,0.785714285714286,21,25,23.6842105263158,0.84,12,12,11.3684210526316,1,0.48,0.464285714285714,0.321428571428571,0.214285714285714,8,13,12.3157894736842,0.615384615384615,8,9,8.52631578947368,0.888888888888889,6,6,5.68421052631579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.28,0.24,8,12,11.3684210526316,0.666666666666667,7,7,6.63157894736842,1,6,6,5.68421052631579,1,0.428571428571429,12,12,11.3684210526316,1,0.416666666666667,0.25,0.333333333333333,5,5,4.73684210526316,1,3,3,2.84210526315789,1,4,4,3.78947368421053,1,0,0,0,0,0,0,0,0,1,0.947368421052632,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,1,0,0,0,0,0,1,1,0.947368421052632,0,1,0,1,1,3,2.84210526315789,6,5.68421052631579,3,3,0.5,5,0,5,4.73684210526316,1,0.947368421052632,13,6,12,11.3684210526316,8,4,6,5.68421052631579,0,3,2.84210526315789,1,0.947368421052632,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comeau","CRS",1,25,0,0,1,3.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,32.4,0.888888888888889,8,9,32.4,0.888888888888889,5,6,21.6,0.833333333333333,0.666666666666667,0.555555555555556,0.222222222222222,0.222222222222222,4,5,18,0.8,2,2,7.2,1,2,2,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555555555556,0.222222222222222,0.222222222222222,4,5,18,0.8,2,2,7.2,1,2,2,7.2,1,0.666666666666667,5,6,21.6,0.833333333333333,0.333333333333333,0.333333333333333,0.333333333333333,1,2,7.2,0.5,2,2,7.2,1,2,2,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.6,2,7.2,1,1,0.5,0,0,0,0,1,3.6,8,2,4,14.4,3,1,0,0,0,3,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Da Costa","CRS",1,70,1,0,1,1.28571428571429,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,20.5714285714286,0.875,14,16,20.5714285714286,0.875,11,11,14.1428571428571,1,0.6875,0.3125,0.3125,0.375,4,5,6.42857142857143,0.8,4,5,6.42857142857143,0.8,6,6,7.71428571428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0.3125,0.375,4,5,6.42857142857143,0.8,4,5,6.42857142857143,0.8,6,6,7.71428571428571,1,0.6875,11,11,14.1428571428571,1,0.272727272727273,0.272727272727273,0.454545454545455,3,3,3.85714285714286,1,3,3,3.85714285714286,1,5,5,6.42857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.85714285714286,1,2,0.333333333333333,0,0,2,2.57142857142857,3,3.85714285714286,2,1,0.666666666666667,0,1,1,1.28571428571429,0,0,16,6,5,6.42857142857143,3,2,1,1.28571428571429,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiBernardo","CRS",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,35,33.1578947368421,0.771428571428571,24,31,29.3684210526316,0.774193548387097,14,17,16.1052631578947,0.823529411764706,0.548387096774194,0.628571428571429,0.171428571428571,0.2,15,22,20.8421052631579,0.681818181818182,5,6,5.68421052631579,0.833333333333333,7,7,6.63157894736842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67741935483871,0.0967741935483871,0.225806451612903,15,21,19.8947368421053,0.714285714285714,2,3,2.84210526315789,0.666666666666667,7,7,6.63157894736842,1,0.485714285714286,14,17,16.1052631578947,0.823529411764706,0.647058823529412,0.117647058823529,0.235294117647059,9,11,10.4210526315789,0.818181818181818,1,2,1.89473684210526,0.5,4,4,3.78947368421053,1,0,0,0,0,0,0,0,0,3,2.84210526315789,0.0857142857142857,0,1,1,0.947368421052632,0.0285714285714286,0.032258064516129,1,0,0,0,0,0,3,3,1,0,0,0,1,0,0,0,0,0,1,5,4.73684210526316,4,1,0.8,2,1,4,3.78947368421053,4,3.78947368421053,0,4,0,0,0,0,0,1,0.947368421052632,20,9,9,8.52631578947368,7,2,4,3.78947368421053,0,3,2.84210526315789,1,0.947368421052632,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Franch","PTFC",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,37,35.0526315789474,0.594594594594595,18,28,26.5263157894737,0.642857142857143,3,3,2.84210526315789,1,0.107142857142857,0.945945945945946,0.0540540540540541,0,20,35,33.1578947368421,0.571428571428571,2,2,1.89473684210526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882352941176471,0.117647058823529,0,10,15,14.2105263157895,0.666666666666667,2,2,1.89473684210526,1,0,0,0,0,0.0810810810810811,3,3,2.84210526315789,1,0.333333333333333,0.666666666666667,0,1,1,0.947368421052632,1,2,2,1.89473684210526,1,0,0,0,0,0,0,0,0,0,0,0,10,22,20.8421052631579,0.594594594594595,0.454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4.73684210526316,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0.5,0,0,0,0,1,1,0,1,2,0,0,3,0,2,1,1,0,0,0,1,0,1,1,0,22,37,0.594594594594595,1,1,1,1,4,0.25,8,15,0.533333333333333
"Gilliland","CRS",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,44,41.6842105263158,0.681818181818182,21,32,30.3157894736842,0.65625,16,19,18,0.842105263157895,0.59375,0.681818181818182,0.136363636363636,0.181818181818182,18,30,28.4210526315789,0.6,4,6,5.68421052631579,0.666666666666667,8,8,7.57894736842105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6875,0.125,0.1875,13,22,20.8421052631579,0.590909090909091,2,4,3.78947368421053,0.5,6,6,5.68421052631579,1,0.431818181818182,16,19,18,0.842105263157895,0.684210526315789,0.0526315789473684,0.263157894736842,10,13,12.3157894736842,0.769230769230769,1,1,0.947368421052632,1,5,5,4.73684210526316,1,0,1,0.947368421052632,0.03125,0,1,0,1,4,3.78947368421053,0.0909090909090909,0.25,0,3,2.84210526315789,0.0681818181818182,0.09375,0,9,12,11.3684210526316,0.272727272727273,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.73684210526316,2,3,0.4,4,1,8,7.57894736842105,6,5.68421052631579,3,3,0.5,5,0,5,4.73684210526316,0,0,14,11,11,10.4210526315789,9,2,2,1.89473684210526,0,5,4.73684210526316,3,2.84210526315789,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","PTFC",1,95,1,0,2,1.89473684210526,0,0,0,2,0,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,0,40,55,52.1052631578947,0.727272727272727,35,46,43.5789473684211,0.760869565217391,28,31,29.3684210526316,0.903225806451613,0.673913043478261,0.309090909090909,0.436363636363636,0.254545454545455,9,17,16.1052631578947,0.529411764705882,17,24,22.7368421052632,0.708333333333333,14,14,13.2631578947368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326086956521739,0.391304347826087,0.282608695652174,8,15,14.2105263157895,0.533333333333333,14,18,17.0526315789474,0.777777777777778,13,13,12.3157894736842,1,0.563636363636364,28,31,29.3684210526316,0.903225806451613,0.258064516129032,0.419354838709677,0.32258064516129,6,8,7.57894736842105,0.75,12,13,12.3157894736842,0.923076923076923,10,10,9.47368421052632,1,2,3,2.84210526315789,0.0652173913043478,0.666666666666667,3,0,0,2,1.89473684210526,0.0363636363636364,0,0,2,1.89473684210526,0.0363636363636364,0.0434782608695652,0,4,4,3.78947368421053,0.0727272727272727,1,0,3,0,0,0,1,2,0.5,0,0,1,0,3,8,7.57894736842105,3,5,0.375,6,2,13,12.3157894736842,2,1.89473684210526,1,1,0.5,4,3,7,6.63157894736842,3,2.84210526315789,22,4,10,9.47368421052632,5,5,2,1.89473684210526,0,1,0.947368421052632,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","PTFC",1,95,1,0,1,0.947368421052632,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,36,34.1052631578947,0.833333333333333,30,36,34.1052631578947,0.833333333333333,22,26,24.6315789473684,0.846153846153846,0.722222222222222,0.472222222222222,0.305555555555556,0.222222222222222,13,17,16.1052631578947,0.764705882352941,9,11,10.4210526315789,0.818181818181818,8,8,7.57894736842105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472222222222222,0.305555555555556,0.222222222222222,13,17,16.1052631578947,0.764705882352941,9,11,10.4210526315789,0.818181818181818,8,8,7.57894736842105,1,0.722222222222222,22,26,24.6315789473684,0.846153846153846,0.5,0.192307692307692,0.307692307692308,10,13,12.3157894736842,0.769230769230769,4,5,4.73684210526316,0.8,8,8,7.57894736842105,1,1,1,0.947368421052632,0.0277777777777778,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.947368421052632,0,1,0,6,1,8,7.57894736842105,6,5.68421052631579,3,3,0.5,0,0,0,0,1,0.947368421052632,21,6,12,11.3684210526316,3,9,3,2.84210526315789,0,6,5.68421052631579,3,2.84210526315789,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hoy","CRS",1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,22.9787234042553,0.416666666666667,5,12,22.9787234042553,0.416666666666667,4,10,19.1489361702128,0.4,0.833333333333333,0.416666666666667,0.166666666666667,0.416666666666667,1,5,9.57446808510638,0.2,1,2,3.82978723404255,0.5,3,5,9.57446808510638,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0.166666666666667,0.416666666666667,1,5,9.57446808510638,0.2,1,2,3.82978723404255,0.5,3,5,9.57446808510638,0.6,0.833333333333333,4,10,19.1489361702128,0.4,0.5,0.1,0.4,1,5,9.57446808510638,0.2,0,1,1.91489361702128,0,3,4,7.65957446808511,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.91489361702128,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.91489361702128,0,1,0,0,2,3,5.74468085106383,1,1.91489361702128,0,1,0,0,1,1,1.91489361702128,0,0,11,3,3,5.74468085106383,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
