"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Colaprico","CRS",1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.01123595505618,0,0,0,0,0,0,0,0,0,50,60,60.6741573033708,0.833333333333333,47,55,55.6179775280899,0.854545454545454,32,36,36.4044943820225,0.888888888888889,0.654545454545455,0.466666666666667,0.3,0.233333333333333,20,28,28.314606741573,0.714285714285714,17,18,18.2022471910112,0.944444444444444,13,14,14.1573033707865,0.928571428571429,0.116666666666667,0.616666666666667,0.266666666666667,6,7,7.07865168539326,0.857142857142857,29,37,37.4157303370787,0.783783783783784,15,16,16.1797752808989,0.9375,0.0909090909090909,0.636363636363636,0.272727272727273,5,5,5.0561797752809,1,28,35,35.3932584269663,0.8,14,15,15.1685393258427,0.933333333333333,0,0,0,0,21,0,0,0,0,0.472727272727273,0.290909090909091,0.236363636363636,19,26,26.2921348314607,0.730769230769231,16,16,16.1797752808989,1,12,13,13.1460674157303,0.923076923076923,0.6,32,36,36.4044943820225,0.888888888888889,0.472222222222222,0.333333333333333,0.194444444444444,13,17,17.1910112359551,0.764705882352941,12,12,12.1348314606742,1,7,7,7.07865168539326,1,0,0,0,0,0,0,0,1,2,2.02247191011236,0.0333333333333333,0.5,1,3,3.03370786516854,0.05,0.0545454545454545,0.333333333333333,0,0,0,0,0,1,2,0.5,0,0,2,3,0.666666666666667,0,0,0,0,3,6,6.06741573033708,6,0,1,0,0,0,0,1,1.01123595505618,0,1,0,3,2,5,5.0561797752809,0,0,20,3,11,11.123595505618,11,0,5,5.0561797752809,0,2,2.02247191011236,2,2.02247191011236,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comeau","CRS",1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,46.3636363636364,0.882352941176471,14,16,43.6363636363636,0.875,7,9,24.5454545454545,0.777777777777778,0.5625,0.411764705882353,0.235294117647059,0.352941176470588,6,7,19.0909090909091,0.857142857142857,3,4,10.9090909090909,0.75,6,6,16.3636363636364,1,0.352941176470588,0.529411764705882,0.117647058823529,5,6,16.3636363636364,0.833333333333333,9,9,24.5454545454545,1,1,2,5.45454545454546,0.5,0.3125,0.5625,0.125,4,5,13.6363636363636,0.8,9,9,24.5454545454545,1,1,2,5.45454545454546,0.5,0,0,0,0,3,0,0,0,0,0.375,0.25,0.375,5,6,16.3636363636364,0.833333333333333,3,4,10.9090909090909,0.75,6,6,16.3636363636364,1,0.529411764705882,7,9,24.5454545454545,0.777777777777778,0.333333333333333,0.444444444444444,0.222222222222222,2,3,8.18181818181818,0.666666666666667,3,4,10.9090909090909,0.75,2,2,5.45454545454546,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.72727272727273,0.0588235294117647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.72727272727273,1,0,1,0,0,0,0,2,5.45454545454546,0,2,0,1,0,1,2.72727272727273,1,2.72727272727273,6,1,2,5.45454545454546,1,1,0,0,0,0,0,1,2.72727272727273,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conheeney","SBFC",1,94,1,0,1,0.957446808510638,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,36,34.468085106383,0.777777777777778,27,35,33.5106382978723,0.771428571428571,23,27,25.8510638297872,0.851851851851852,0.771428571428571,0.361111111111111,0.25,0.388888888888889,10,13,12.4468085106383,0.769230769230769,5,9,8.61702127659574,0.555555555555556,13,14,13.4042553191489,0.928571428571429,0.194444444444444,0.75,0.0555555555555556,4,7,6.70212765957447,0.571428571428571,22,27,25.8510638297872,0.814814814814815,2,2,1.91489361702128,1,0.2,0.742857142857143,0.0571428571428571,4,7,6.70212765957447,0.571428571428571,21,26,24.8936170212766,0.807692307692308,2,2,1.91489361702128,1,0,0,0,0,18,0,0,0,0,0.342857142857143,0.257142857142857,0.4,9,12,11.4893617021277,0.75,5,9,8.61702127659574,0.555555555555556,13,14,13.4042553191489,0.928571428571429,0.75,23,27,25.8510638297872,0.851851851851852,0.333333333333333,0.296296296296296,0.37037037037037,8,9,8.61702127659574,0.888888888888889,5,8,7.65957446808511,0.625,10,10,9.57446808510638,1,0,3,2.87234042553191,0.0857142857142857,0,2,1,0,1,0.957446808510638,0.0277777777777778,0,1,2,1.91489361702128,0.0555555555555556,0.0571428571428571,0.5,1,1,0.957446808510638,0.0277777777777778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.91489361702128,1,1,0.5,5,2,8,7.65957446808511,2,1.91489361702128,0,2,0,2,1,3,2.87234042553191,6,5.74468085106383,49,3,3,2.87234042553191,2,1,2,1.91489361702128,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Da Costa","CRS",1,61,1,0,1,1.47540983606557,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,36.8852459016393,0.76,19,25,36.8852459016393,0.76,17,21,30.983606557377,0.80952380952381,0.84,0.4,0.12,0.48,6,10,14.7540983606557,0.6,2,3,4.42622950819672,0.666666666666667,11,12,17.7049180327869,0.916666666666667,0.04,0.84,0.12,1,1,1.47540983606557,1,15,21,30.983606557377,0.714285714285714,3,3,4.42622950819672,1,0.04,0.84,0.12,1,1,1.47540983606557,1,15,21,30.983606557377,0.714285714285714,3,3,4.42622950819672,1,0,0,0,0,12,0,0,0,0,0.4,0.12,0.48,6,10,14.7540983606557,0.6,2,3,4.42622950819672,0.666666666666667,11,12,17.7049180327869,0.916666666666667,0.84,17,21,30.983606557377,0.80952380952381,0.380952380952381,0.142857142857143,0.476190476190476,6,8,11.8032786885246,0.75,2,3,4.42622950819672,0.666666666666667,9,10,14.7540983606557,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.47540983606557,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.47540983606557,0,1,0,1,2,4,5.9016393442623,0,0,0,0,0,2,1,3,4.42622950819672,2,2.95081967213115,36,2,8,11.8032786885246,6,2,0,0,0,2,2.95081967213115,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dalton","CRS",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,39,37.3404255319149,0.923076923076923,31,33,31.5957446808511,0.939393939393939,1,1,0.957446808510638,1,0.0303030303030303,0.717948717948718,0.282051282051282,0,25,28,26.8085106382979,0.892857142857143,11,11,10.531914893617,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,39,37.3404255319149,0.923076923076923,0,0,1,0,0,0,0,0,0,0,0,31,33,31.5957446808511,0.939393939393939,1,2,0,0,0,0,0,0,0,0.695652173913043,0.304347826086957,0,16,16,15.3191489361702,1,7,7,6.70212765957447,1,0,0,0,0,0.0256410256410256,1,1,0.957446808510638,1,1,0,0,1,1,0.957446808510638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3.82978723404255,0.102564102564103,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.82978723404255,4,0,2,1.91489361702128,0,0,0,1,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,0,0,0,3,2,1,0.666666666666667,1,0,0,0,0,3,1,2,1,1,0,1,0,1,0,0,36,39,0.923076923076923,5,5,1,0,1,0,8,10,0.8
"DeCesare","SBFC",1,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,19.6875,0.928571428571429,13,14,19.6875,0.928571428571429,10,11,15.46875,0.909090909090909,0.785714285714286,0.285714285714286,0.285714285714286,0.428571428571429,3,4,5.625,0.75,4,4,5.625,1,6,6,8.4375,1,0.285714285714286,0.571428571428571,0.142857142857143,3,4,5.625,0.75,8,8,11.25,1,2,2,2.8125,1,0.285714285714286,0.571428571428571,0.142857142857143,3,4,5.625,0.75,8,8,11.25,1,2,2,2.8125,1,0,0,0,0,6,0,0,0,0,0.285714285714286,0.285714285714286,0.428571428571429,3,4,5.625,0.75,4,4,5.625,1,6,6,8.4375,1,0.785714285714286,10,11,15.46875,0.909090909090909,0.272727272727273,0.272727272727273,0.454545454545455,2,3,4.21875,0.666666666666667,3,3,4.21875,1,5,5,7.03125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.40625,0,1,0,5,5,11,15.46875,5,7.03125,0,5,0,0,0,0,0,1,1.40625,39,1,2,2.8125,2,0,2,2.8125,0,1,1.40625,1,1.40625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiBernardo","CRS",1,94,1,0,4,3.82978723404255,0.5,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,52,49.7872340425532,0.826923076923077,43,49,46.9148936170213,0.877551020408163,32,33,31.5957446808511,0.96969696969697,0.673469387755102,0.442307692307692,0.173076923076923,0.384615384615385,16,23,22.0212765957447,0.695652173913043,7,9,8.61702127659574,0.777777777777778,20,20,19.1489361702128,1,0.134615384615385,0.788461538461538,0.0769230769230769,4,7,6.70212765957447,0.571428571428571,35,41,39.2553191489362,0.853658536585366,4,4,3.82978723404255,1,0.0816326530612245,0.836734693877551,0.0816326530612245,4,4,3.82978723404255,1,35,41,39.2553191489362,0.853658536585366,4,4,3.82978723404255,1,0,0,0,0,24,0,0,0,0,0.448979591836735,0.142857142857143,0.408163265306122,16,22,21.063829787234,0.727272727272727,7,7,6.70212765957447,1,20,20,19.1489361702128,1,0.634615384615385,32,33,31.5957446808511,0.96969696969697,0.454545454545455,0.181818181818182,0.363636363636364,14,15,14.3617021276596,0.933333333333333,6,6,5.74468085106383,1,12,12,11.4893617021277,1,0,1,0.957446808510638,0.0204081632653061,0,0,1,0,0,0,0,0,1,3,2.87234042553191,0.0576923076923077,0.0612244897959184,0.333333333333333,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,2,1.91489361702128,1,1,0.5,2,0,3,2.87234042553191,2,1.91489361702128,2,0,1,4,2,6,5.74468085106383,6,5.74468085106383,40,6,11,10.531914893617,6,5,1,0.957446808510638,0,8,7.65957446808511,2,1.91489361702128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galton","SBFC",1,40,0,1,2,4.5,0.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,27,0.75,9,12,27,0.75,4,5,11.25,0.8,0.416666666666667,0.333333333333333,0.416666666666667,0.25,3,4,9,0.75,3,5,11.25,0.6,3,3,6.75,1,0.5,0.416666666666667,0.0833333333333333,4,6,13.5,0.666666666666667,5,5,11.25,1,0,1,2.25,0,0.5,0.416666666666667,0.0833333333333333,4,6,13.5,0.666666666666667,5,5,11.25,1,0,1,2.25,0,0,0,0,0,4,0,0,0,0,0.333333333333333,0.416666666666667,0.25,3,4,9,0.75,3,5,11.25,0.6,3,3,6.75,1,0.416666666666667,4,5,11.25,0.8,0.4,0.4,0.2,1,2,4.5,0.5,2,2,4.5,1,1,1,2.25,1,1,3,6.75,0.25,0.333333333333333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11.25,4,1,0.8,1,0,2,4.5,1,2.25,0,1,0,0,0,0,0,0,0,12,1,4,9,2,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilliland","CRS",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,61,58.4042553191489,0.721311475409836,40,55,52.6595744680851,0.727272727272727,28,35,33.5106382978723,0.8,0.636363636363636,0.622950819672131,0.229508196721311,0.147540983606557,25,38,36.3829787234042,0.657894736842105,10,14,13.4042553191489,0.714285714285714,9,9,8.61702127659574,1,0.131147540983607,0.590163934426229,0.278688524590164,3,8,7.65957446808511,0.375,26,36,34.468085106383,0.722222222222222,15,17,16.2765957446809,0.882352941176471,0.145454545454545,0.563636363636364,0.290909090909091,3,8,7.65957446808511,0.375,23,31,29.6808510638298,0.741935483870968,14,16,15.3191489361702,0.875,0,0,0,0,19,0,0,0,0,0.618181818181818,0.254545454545455,0.127272727272727,23,34,32.5531914893617,0.676470588235294,10,14,13.4042553191489,0.714285714285714,7,7,6.70212765957447,1,0.573770491803279,28,35,33.5106382978723,0.8,0.628571428571429,0.228571428571429,0.142857142857143,16,22,21.063829787234,0.727272727272727,7,8,7.65957446808511,0.875,5,5,4.78723404255319,1,1,5,4.78723404255319,0.0909090909090909,0.2,5,0,4,9,8.61702127659574,0.147540983606557,0.444444444444444,0,0,0,0,0,0,4,5,4.78723404255319,0.0819672131147541,0.8,0,0,0,0,0,0,1,0,0,0,0,0,1,10,9.57446808510638,9,1,0.9,0,0,1,0.957446808510638,1,0.957446808510638,1,0,1,2,1,3,2.87234042553191,3,2.87234042553191,15,1,4,3.82978723404255,3,1,4,3.82978723404255,0,4,3.82978723404255,2,1.91489361702128,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordon","SBFC",1,55,1,0,1,1.63636363636364,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,34.3636363636364,0.857142857142857,18,21,34.3636363636364,0.857142857142857,13,15,24.5454545454545,0.866666666666667,0.714285714285714,0.523809523809524,0.19047619047619,0.285714285714286,9,11,18,0.818181818181818,3,4,6.54545454545454,0.75,6,6,9.81818181818182,1,0.0952380952380952,0.761904761904762,0.142857142857143,1,2,3.27272727272727,0.5,14,16,26.1818181818182,0.875,3,3,4.90909090909091,1,0.0952380952380952,0.761904761904762,0.142857142857143,1,2,3.27272727272727,0.5,14,16,26.1818181818182,0.875,3,3,4.90909090909091,1,0,0,0,0,10,0,0,0,0,0.523809523809524,0.19047619047619,0.285714285714286,9,11,18,0.818181818181818,3,4,6.54545454545454,0.75,6,6,9.81818181818182,1,0.714285714285714,13,15,24.5454545454545,0.866666666666667,0.466666666666667,0.133333333333333,0.4,5,7,11.4545454545455,0.714285714285714,2,2,3.27272727272727,1,6,6,9.81818181818182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.90909090909091,0,3,0,1,1,5,8.18181818181818,0,0,0,0,0,2,0,2,3.27272727272727,4,6.54545454545454,29,0,3,4.90909090909091,3,0,1,1.63636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
