"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Arlitt","FCKC",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,52,49.7872340425532,0.576923076923077,22,41,39.2553191489362,0.536585365853659,17,27,25.8510638297872,0.62962962962963,0.658536585365854,0.653846153846154,0.326923076923077,0.0192307692307692,17,34,32.5531914893617,0.5,12,17,16.2765957446809,0.705882352941177,1,1,0.957446808510638,1,0.211538461538462,0.653846153846154,0.134615384615385,6,11,10.531914893617,0.545454545454545,20,34,32.5531914893617,0.588235294117647,4,7,6.70212765957447,0.571428571428571,0.219512195121951,0.682926829268293,0.0975609756097561,4,9,8.61702127659574,0.444444444444444,16,28,26.8085106382979,0.571428571428571,2,4,3.82978723404255,0.5,3,1,0,0,17,3,0,0,6,0.731707317073171,0.24390243902439,0.024390243902439,15,30,28.7234042553191,0.5,6,10,9.57446808510638,0.6,1,1,0.957446808510638,1,0.519230769230769,17,27,25.8510638297872,0.62962962962963,0.703703703703704,0.259259259259259,0.037037037037037,11,19,18.1914893617021,0.578947368421053,5,7,6.70212765957447,0.714285714285714,1,1,0.957446808510638,1,2,3,2.87234042553191,0.0731707317073171,0.666666666666667,3,0,0,2,1.91489361702128,0.0384615384615385,0,1,2,1.91489361702128,0.0384615384615385,0.0487804878048781,0.5,8,11,10.531914893617,0.211538461538462,0.727272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.78723404255319,4,1,0.8,3,0,4,3.82978723404255,4,3.82978723404255,2,2,0.5,0,0,0,0,1,0.957446808510638,16,7,14,13.4042553191489,10,3,3,2.87234042553191,0,1,0.957446808510638,3,2.87234042553191,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averbuch","FCKC",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,34,32.5531914893617,0.852941176470588,27,31,29.6808510638298,0.870967741935484,17,17,16.2765957446809,1,0.548387096774194,0.705882352941177,0.117647058823529,0.176470588235294,20,24,22.9787234042553,0.833333333333333,3,4,3.82978723404255,0.75,6,6,5.74468085106383,1,0,0.294117647058824,0.705882352941177,0,0,0,0,8,10,9.57446808510638,0.8,21,24,22.9787234042553,0.875,0,0.290322580645161,0.709677419354839,0,0,0,0,8,9,8.61702127659574,0.888888888888889,19,22,21.063829787234,0.863636363636364,12,9,0,1,7,0,0,0,0,0.67741935483871,0.129032258064516,0.193548387096774,18,21,20.1063829787234,0.857142857142857,3,4,3.82978723404255,0.75,6,6,5.74468085106383,1,0.5,17,17,16.2765957446809,1,0.588235294117647,0.176470588235294,0.235294117647059,10,10,9.57446808510638,1,3,3,2.87234042553191,1,4,4,3.82978723404255,1,0,0,0,0,0,0,0,1,2,1.91489361702128,0.0588235294117647,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2.87234042553191,5,4.78723404255319,7,3,9,8.61702127659574,9,0,2,1.91489361702128,0,3,2.87234042553191,6,5.74468085106383,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,38,36.3829787234042,0.842105263157895,23,26,24.8936170212766,0.884615384615385,1,2,1.91489361702128,0.5,0.0769230769230769,0.789473684210526,0.210526315789474,0,25,30,28.7234042553191,0.833333333333333,7,8,7.65957446808511,0.875,0,0,0,0,0,0.0263157894736842,0.973684210526316,0,0,0,0,0,1,0.957446808510638,0,32,37,35.4255319148936,0.864864864864865,0,0,1,0,0,0,0,0,0,0,0,23,26,24.8936170212766,0.884615384615385,25,7,0,0,0,0,0,0,0,0.842105263157895,0.157894736842105,0,15,16,15.3191489361702,0.9375,2,3,2.87234042553191,0.666666666666667,0,0,0,0,0.0526315789473684,1,2,1.91489361702128,0.5,0.5,0.5,0,1,1,0.957446808510638,1,0,1,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,6,11,10.531914893617,0.289473684210526,0.545454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.957446808510638,1,0,0,0,0,0,0,1,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,2,1,1,0.5,5,0,0,3,0,1,1,0,1,0,1,0,0,0,0,0,32,38,0.842105263157895,9,9,1,0,2,0,6,8,0.75
"Bowen","FCKC",1,12,0,0,1,7.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7.5,0,0,1,0,0,0,0,4,8,60,0.5,4,8,60,0.5,3,5,37.5,0.6,0.625,0.25,0.125,0.625,0,2,15,0,0,1,7.5,0,4,5,37.5,0.8,0.5,0.375,0.125,3,4,30,0.75,1,3,22.5,0.333333333333333,0,1,7.5,0,0.5,0.375,0.125,3,4,30,0.75,1,3,22.5,0.333333333333333,0,1,7.5,0,0,0,0,1,0,0,0,1,2,0.25,0.125,0.625,0,2,15,0,0,1,7.5,0,4,5,37.5,0.8,0.625,3,5,37.5,0.6,0.2,0.2,0.6,0,1,7.5,0,0,1,7.5,0,3,3,22.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,2,0,0,0,0,0,0,0,2,1,3,22.5,1,2,0,0,0,1,7.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buczkowski","FCKC",1,94,1,0,2,1.91489361702128,0.5,1,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,62,59.3617021276596,0.758064516129032,46,61,58.4042553191489,0.754098360655738,33,38,36.3829787234042,0.868421052631579,0.612903225806452,0.5,0.338709677419355,0.161290322580645,20,31,29.6808510638298,0.645161290322581,19,21,20.1063829787234,0.904761904761905,8,10,9.57446808510638,0.8,0.274193548387097,0.516129032258065,0.209677419354839,11,17,16.2765957446809,0.647058823529412,26,32,30.6382978723404,0.8125,10,13,12.4468085106383,0.769230769230769,0.262295081967213,0.524590163934426,0.213114754098361,10,16,15.3191489361702,0.625,26,32,30.6382978723404,0.8125,10,13,12.4468085106383,0.769230769230769,6,3,0,2,19,5,0,0,11,0.491803278688525,0.344262295081967,0.163934426229508,19,30,28.7234042553191,0.633333333333333,19,21,20.1063829787234,0.904761904761905,8,10,9.57446808510638,0.8,0.603174603174603,33,38,36.3829787234042,0.868421052631579,0.5,0.342105263157895,0.157894736842105,15,19,18.1914893617021,0.789473684210526,13,13,12.4468085106383,1,5,6,5.74468085106383,0.833333333333333,0,1,0.957446808510638,0.0163934426229508,0,1,0,0,2,1.91489361702128,0.032258064516129,0,1,3,2.87234042553191,0.0483870967741935,0.0491803278688525,0.333333333333333,1,1,0.957446808510638,0.0161290322580645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2.87234042553191,3,2.87234042553191,3,0,1,7,2,9,8.61702127659574,2,1.91489361702128,37,2,8,7.65957446808511,5,3,1,0.957446808510638,0,4,3.82978723404255,3,2.87234042553191,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colaprico","CRS",1,88,1,0,1,1.02272727272727,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,53.1818181818182,0.769230769230769,35,43,43.9772727272727,0.813953488372093,18,21,21.4772727272727,0.857142857142857,0.488372093023256,0.557692307692308,0.326923076923077,0.115384615384615,19,29,29.6590909090909,0.655172413793103,15,17,17.3863636363636,0.882352941176471,6,6,6.13636363636364,1,0.211538461538462,0.615384615384615,0.173076923076923,6,11,11.25,0.545454545454545,26,32,32.7272727272727,0.8125,8,9,9.20454545454546,0.888888888888889,0.13953488372093,0.651162790697674,0.209302325581395,4,6,6.13636363636364,0.666666666666667,23,28,28.6363636363636,0.821428571428571,8,9,9.20454545454546,0.888888888888889,7,1,0,2,20,4,0,0,6,0.604651162790698,0.27906976744186,0.116279069767442,19,26,26.5909090909091,0.730769230769231,11,12,12.2727272727273,0.916666666666667,5,5,5.11363636363636,1,0.403846153846154,18,21,21.4772727272727,0.857142857142857,0.619047619047619,0.19047619047619,0.19047619047619,11,13,13.2954545454545,0.846153846153846,3,4,4.09090909090909,0.75,4,4,4.09090909090909,1,0,0,0,0,0,0,0,1,1,1.02272727272727,0.0192307692307692,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,3,6,0.5,0,0,0,0,6,3,3.06818181818182,2,1,0.666666666666667,0,1,2,2.04545454545455,3,3.06818181818182,2,1,0.666666666666667,6,2,8,8.18181818181818,2,2.04545454545455,26,4,15,15.3409090909091,9,6,9,9.20454545454546,0,5,5.11363636363636,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comeau","CRS",1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,36,0.7,7,10,36,0.7,3,5,18,0.6,0.5,0.2,0.7,0.1,1,2,7.2,0.5,5,7,25.2,0.714285714285714,1,1,3.6,1,0.2,0.8,0,0,2,7.2,0,7,8,28.8,0.875,0,0,0,0,0.2,0.8,0,0,2,7.2,0,7,8,28.8,0.875,0,0,0,0,0,0,0,0,7,0,0,0,0,0.2,0.7,0.1,1,2,7.2,0.5,5,7,25.2,0.714285714285714,1,1,3.6,1,0.5,3,5,18,0.6,0,1,0,0,0,0,0,3,5,18,0.6,0,0,0,0,0,2,7.2,0.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6,0,1,0,2,0,3,10.8,1,3.6,1,0,1,0,0,0,0,0,0,9,2,1,3.6,0,1,2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Da Costa","CRS",1,70,1,0,1,1.28571428571429,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,37,47.5714285714286,0.594594594594595,22,37,47.5714285714286,0.594594594594595,15,24,30.8571428571429,0.625,0.648648648648649,0.621621621621622,0.162162162162162,0.216216216216216,11,23,29.5714285714286,0.478260869565217,4,6,7.71428571428571,0.666666666666667,7,8,10.2857142857143,0.875,0.297297297297297,0.540540540540541,0.162162162162162,8,11,14.1428571428571,0.727272727272727,12,20,25.7142857142857,0.6,2,6,7.71428571428571,0.333333333333333,0.297297297297297,0.540540540540541,0.162162162162162,8,11,14.1428571428571,0.727272727272727,12,20,25.7142857142857,0.6,2,6,7.71428571428571,0.333333333333333,0,2,0,0,11,1,0,3,5,0.621621621621622,0.162162162162162,0.216216216216216,11,23,29.5714285714286,0.478260869565217,4,6,7.71428571428571,0.666666666666667,7,8,10.2857142857143,0.875,0.648648648648649,15,24,30.8571428571429,0.625,0.583333333333333,0.166666666666667,0.25,8,14,18,0.571428571428571,2,4,5.14285714285714,0.5,5,6,7.71428571428571,0.833333333333333,0,1,1.28571428571429,0.027027027027027,0,0,1,0,0,0,0,0,1,3,3.85714285714286,0.0810810810810811,0.0810810810810811,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.28571428571429,0,1,0,2,3,6,7.71428571428571,5,6.42857142857143,1,4,0.2,0,0,0,0,0,0,37,8,10,12.8571428571429,6,4,0,0,0,1,1.28571428571429,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiBernardo","CRS",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,65,62.2340425531915,0.784615384615385,50,64,61.2765957446808,0.78125,33,43,41.1702127659574,0.767441860465116,0.671875,0.507692307692308,0.2,0.292307692307692,22,33,31.5957446808511,0.666666666666667,12,13,12.4468085106383,0.923076923076923,17,19,18.1914893617021,0.894736842105263,0.123076923076923,0.723076923076923,0.153846153846154,7,8,7.65957446808511,0.875,36,47,45,0.765957446808511,8,10,9.57446808510638,0.8,0.109375,0.734375,0.15625,6,7,6.70212765957447,0.857142857142857,36,47,45,0.765957446808511,8,10,9.57446808510638,0.8,3,5,0,4,28,4,0,1,6,0.515625,0.203125,0.28125,22,33,31.5957446808511,0.666666666666667,12,13,12.4468085106383,0.923076923076923,16,18,17.2340425531915,0.888888888888889,0.661538461538462,33,43,41.1702127659574,0.767441860465116,0.488372093023256,0.186046511627907,0.325581395348837,13,21,20.1063829787234,0.619047619047619,8,8,7.65957446808511,1,12,14,13.4042553191489,0.857142857142857,1,2,1.91489361702128,0.03125,0.5,2,0,1,4,3.82978723404255,0.0615384615384615,0.25,2,5,4.78723404255319,0.0769230769230769,0.078125,0.4,1,1,0.957446808510638,0.0153846153846154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.957446808510638,0,1,0,2,1,4,3.82978723404255,3,2.87234042553191,1,2,0.333333333333333,5,1,6,5.74468085106383,2,1.91489361702128,54,2,19,18.1914893617021,14,5,2,1.91489361702128,0,5,4.78723404255319,1,0.957446808510638,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilliland","CRS",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,55,52.6595744680851,0.654545454545455,28,41,39.2553191489362,0.682926829268293,15,19,18.1914893617021,0.789473684210526,0.463414634146341,0.636363636363636,0.181818181818182,0.181818181818182,18,35,33.5106382978723,0.514285714285714,9,10,9.57446808510638,0.9,9,10,9.57446808510638,0.9,0.163636363636364,0.581818181818182,0.254545454545455,4,9,8.61702127659574,0.444444444444444,24,32,30.6382978723404,0.75,8,14,13.4042553191489,0.571428571428571,0.121951219512195,0.585365853658537,0.292682926829268,3,5,4.78723404255319,0.6,17,24,22.9787234042553,0.708333333333333,8,12,11.4893617021277,0.666666666666667,7,1,0,4,15,5,0,0,4,0.609756097560976,0.170731707317073,0.219512195121951,14,25,23.936170212766,0.56,6,7,6.70212765957447,0.857142857142857,8,9,8.61702127659574,0.888888888888889,0.345454545454545,15,19,18.1914893617021,0.789473684210526,0.578947368421053,0.210526315789474,0.210526315789474,8,11,10.531914893617,0.727272727272727,4,4,3.82978723404255,1,3,4,3.82978723404255,0.75,1,1,0.957446808510638,0.024390243902439,1,1,0,0,3,2.87234042553191,0.0545454545454545,0,0,0,0,0,0,0,7,13,12.4468085106383,0.236363636363636,0.538461538461538,0,0,0,0,0,1,1,1,0,0,0,0,1,10,9.57446808510638,4,6,0.4,0,1,7,6.70212765957447,1,0.957446808510638,0,1,0,1,1,2,1.91489361702128,5,4.78723404255319,19,8,8,7.65957446808511,6,2,0,0,0,3,2.87234042553191,6,5.74468085106383,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
