"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Arlitt","FCKC",1,93,1,0,1,0.967741935483871,0,0,0,1,"0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,53,51.2903225806452,0.811320754716981,28,36,34.8387096774194,0.777777777777778,20,24,23.2258064516129,0.833333333333333,0.666666666666667,0.566037735849057,0.283018867924528,0.150943396226415,21,30,29.0322580645161,0.7,14,15,14.5161290322581,0.933333333333333,8,8,7.74193548387097,1,0.132075471698113,0.641509433962264,0.226415094339623,5,7,6.7741935483871,0.714285714285714,27,34,32.9032258064516,0.794117647058823,11,12,11.6129032258065,0.916666666666667,0.138888888888889,0.527777777777778,0.333333333333333,3,5,4.83870967741935,0.6,14,19,18.3870967741935,0.736842105263158,11,12,11.6129032258065,0.916666666666667,0,0,0,1,19,0,0,0,0,0.583333333333333,0.194444444444444,0.222222222222222,14,21,20.3225806451613,0.666666666666667,6,7,6.7741935483871,0.857142857142857,8,8,7.74193548387097,1,0.452830188679245,20,24,23.2258064516129,0.833333333333333,0.583333333333333,0.25,0.166666666666667,11,14,13.5483870967742,0.785714285714286,5,6,5.80645161290323,0.833333333333333,4,4,3.87096774193548,1,0,0,0,0,0,0,0,1,2,1.93548387096774,0.0377358490566038,0.5,0,1,0.967741935483871,0.0188679245283019,0.0277777777777778,0,15,17,16.4516129032258,0.320754716981132,0.882352941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.90322580645161,1,2,0.333333333333333,1,2,5,4.83870967741935,5,4.83870967741935,4,1,0.8,5,0,5,4.83870967741935,2,1.93548387096774,21,3,8,7.74193548387097,7,1,2,1.93548387096774,0,8,7.74193548387097,3,2.90322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averbuch","FCKC",1,93,1,1,2,1.93548387096774,0.5,0,0,1,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,59,57.0967741935484,0.796610169491525,46,57,55.1612903225806,0.807017543859649,14,17,16.4516129032258,0.823529411764706,0.298245614035088,0.661016949152542,0.23728813559322,0.101694915254237,28,39,37.741935483871,0.717948717948718,14,14,13.5483870967742,1,5,6,5.80645161290323,0.833333333333333,0,0.423728813559322,0.576271186440678,0,0,0,0,21,25,24.1935483870968,0.84,26,34,32.9032258064516,0.764705882352941,0,0.403508771929825,0.596491228070175,0,0,0,0,20,23,22.258064516129,0.869565217391304,26,34,32.9032258064516,0.764705882352941,1,0,0,0,15,0,0,0,0,0.649122807017544,0.245614035087719,0.105263157894737,27,37,35.8064516129032,0.72972972972973,14,14,13.5483870967742,1,5,6,5.80645161290323,0.833333333333333,0.288135593220339,14,17,16.4516129032258,0.823529411764706,0.823529411764706,0.176470588235294,0,11,14,13.5483870967742,0.785714285714286,3,3,2.90322580645161,1,0,0,0,0,0,0,0,0,0,0,0,3,8,7.74193548387097,0.135593220338983,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,2,1,4,0,0,0,0,0,0,0,0,0,1,0.967741935483871,1,0,1,0,0,0,0,0,0,7,0,10,9.67741935483871,9,1,3,2.90322580645161,0,3,2.90322580645161,4,3.87096774193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",1,93,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38,36.7741935483871,0.868421052631579,17,21,20.3225806451613,0.80952380952381,1,2,1.93548387096774,0.5,0.0952380952380952,0.605263157894737,0.394736842105263,0,18,23,22.258064516129,0.782608695652174,15,15,14.5161290322581,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,38,36.7741935483871,0.868421052631579,0,0,1,0,0,0,0,0,0,0,0,17,21,20.3225806451613,0.80952380952381,0,1,0,0,0,0,0,0,0,0.764705882352941,0.235294117647059,0,9,13,12.5806451612903,0.692307692307692,4,4,3.87096774193548,1,0,0,0,0,0.0526315789473684,1,2,1.93548387096774,0.5,1,0,0,1,2,1.93548387096774,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4.83870967741935,0.131578947368421,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.90322580645161,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,4,0,1,7,0,0,8,0,4,3,1,0,0,0,3,3,0,0,0,33,38,0.868421052631579,14,15,0.933333333333333,0,0,0,6,6,1
"Belanger","ORL",1,93,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,52,50.3225806451613,0.788461538461538,35,44,42.5806451612903,0.795454545454545,21,22,21.2903225806452,0.954545454545455,0.5,0.596153846153846,0.25,0.153846153846154,22,31,30,0.709677419354839,11,13,12.5806451612903,0.846153846153846,8,8,7.74193548387097,1,0.192307692307692,0.615384615384615,0.192307692307692,7,10,9.67741935483871,0.7,26,32,30.9677419354839,0.8125,8,10,9.67741935483871,0.8,0.159090909090909,0.636363636363636,0.204545454545455,5,7,6.7741935483871,0.714285714285714,23,28,27.0967741935484,0.821428571428571,7,9,8.70967741935484,0.777777777777778,0,0,0,1,18,0,0,0,0,0.568181818181818,0.25,0.181818181818182,18,25,24.1935483870968,0.72,9,11,10.6451612903226,0.818181818181818,8,8,7.74193548387097,1,0.423076923076923,21,22,21.2903225806452,0.954545454545455,0.5,0.227272727272727,0.272727272727273,11,11,10.6451612903226,1,4,5,4.83870967741935,0.8,6,6,5.80645161290323,1,0,1,0.967741935483871,0.0227272727272727,0,1,0,1,4,3.87096774193548,0.0769230769230769,0.25,0,0,0,0,0,0,6,8,7.74193548387097,0.153846153846154,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8.70967741935484,5,4,0.555555555555556,2,1,7,6.7741935483871,0,0,0,0,0,3,1,4,3.87096774193548,3,2.90322580645161,4,1,9,8.70967741935484,6,3,2,1.93548387096774,0,3,2.90322580645161,1,0.967741935483871,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bledsoe","ORL",1,93,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,33,31.9354838709677,0.848484848484849,20,23,22.258064516129,0.869565217391304,3,3,2.90322580645161,1,0.130434782608696,0.909090909090909,0.0909090909090909,0,25,30,29.0322580645161,0.833333333333333,3,3,2.90322580645161,1,0,0,0,0,0,0.0303030303030303,0.96969696969697,0,0,0,0,1,1,0.967741935483871,1,27,32,30.9677419354839,0.84375,0,0.0434782608695652,0.956521739130435,0,0,0,0,1,1,0.967741935483871,1,19,22,21.2903225806452,0.863636363636364,0,9,0,0,0,0,0,0,0,0.727272727272727,0.272727272727273,0,7,8,7.74193548387097,0.875,3,3,2.90322580645161,1,0,0,0,0,0.0909090909090909,3,3,2.90322580645161,1,1,0,0,3,3,2.90322580645161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,11.6129032258065,0.363636363636364,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.967741935483871,1,0,0,0,0,0,0,1,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0.666666666666667,0,0,0,0,3,3,0,1,5,0,0,6,0,2,2,0,1,1,0,2,0,2,1,0,28,33,0.848484848484849,7,8,0.875,1,1,1,10,13,0.769230769230769
"Bowen","FCKC",1,93,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,48,46.4516129032258,0.8125,30,37,35.8064516129032,0.810810810810811,17,20,19.3548387096774,0.85,0.540540540540541,0.4375,0.25,0.3125,14,21,20.3225806451613,0.666666666666667,10,12,11.6129032258065,0.833333333333333,15,15,14.5161290322581,1,0.125,0.708333333333333,0.166666666666667,3,6,5.80645161290323,0.5,28,34,32.9032258064516,0.823529411764706,8,8,7.74193548387097,1,0.0810810810810811,0.72972972972973,0.189189189189189,2,3,2.90322580645161,0.666666666666667,21,27,26.1290322580645,0.777777777777778,7,7,6.7741935483871,1,0,0,0,0,20,0,0,0,0,0.351351351351351,0.297297297297297,0.351351351351351,8,13,12.5806451612903,0.615384615384615,9,11,10.6451612903226,0.818181818181818,13,13,12.5806451612903,1,0.416666666666667,17,20,19.3548387096774,0.85,0.35,0.4,0.25,6,7,6.7741935483871,0.857142857142857,6,8,7.74193548387097,0.75,5,5,4.83870967741935,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.967741935483871,0.0208333333333333,0.027027027027027,1,7,9,8.70967741935484,0.1875,0.777777777777778,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0.967741935483871,1,0.967741935483871,1,0,1,6,1,7,6.7741935483871,4,3.87096774193548,11,1,5,4.83870967741935,5,0,3,2.90322580645161,0,4,3.87096774193548,1,0.967741935483871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkenroad","ORL",1,73,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,23.4246575342466,0.736842105263158,14,19,23.4246575342466,0.736842105263158,12,14,17.2602739726027,0.857142857142857,0.736842105263158,0.421052631578947,0.315789473684211,0.263157894736842,5,8,9.86301369863014,0.625,4,6,7.3972602739726,0.666666666666667,5,5,6.16438356164384,1,0.368421052631579,0.578947368421053,0.0526315789473684,4,7,8.63013698630137,0.571428571428571,9,11,13.5616438356164,0.818181818181818,1,1,1.23287671232877,1,0.368421052631579,0.578947368421053,0.0526315789473684,4,7,8.63013698630137,0.571428571428571,9,11,13.5616438356164,0.818181818181818,1,1,1.23287671232877,1,0,0,0,0,4,0,0,0,0,0.421052631578947,0.315789473684211,0.263157894736842,5,8,9.86301369863014,0.625,4,6,7.3972602739726,0.666666666666667,5,5,6.16438356164384,1,0.736842105263158,12,14,17.2602739726027,0.857142857142857,0.428571428571429,0.285714285714286,0.285714285714286,4,6,7.3972602739726,0.666666666666667,4,4,4.93150684931507,1,4,4,4.93150684931507,1,1,2,2.46575342465753,0.105263157894737,0.5,2,0,0,1,1.23287671232877,0.0526315789473684,0,1,3,3.6986301369863,0.157894736842105,0.157894736842105,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.46575342465753,1,1,0.5,4,2,7,8.63013698630137,2,2.46575342465753,1,1,0.5,1,1,2,2.46575342465753,0,0,19,4,2,2.46575342465753,2,0,0,0,0,1,1.23287671232877,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catley","ORL",1,93,1,0,1,0.967741935483871,1,1,0,0,"0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,73,70.6451612903226,0.712328767123288,32,45,43.5483870967742,0.711111111111111,17,23,22.258064516129,0.739130434782609,0.511111111111111,0.671232876712329,0.219178082191781,0.10958904109589,33,49,47.4193548387097,0.673469387755102,11,16,15.4838709677419,0.6875,8,8,7.74193548387097,1,0.232876712328767,0.561643835616438,0.205479452054795,9,17,16.4516129032258,0.529411764705882,30,41,39.6774193548387,0.731707317073171,13,15,14.5161290322581,0.866666666666667,0.155555555555556,0.644444444444444,0.2,3,7,6.7741935483871,0.428571428571429,22,29,28.0645161290323,0.758620689655172,7,9,8.70967741935484,0.777777777777778,0,0,0,0,26,0,0,0,0,0.666666666666667,0.2,0.133333333333333,21,30,29.0322580645161,0.7,5,9,8.70967741935484,0.555555555555556,6,6,5.80645161290323,1,0.315068493150685,17,23,22.258064516129,0.739130434782609,0.695652173913043,0.0869565217391304,0.217391304347826,11,16,15.4838709677419,0.6875,1,2,1.93548387096774,0.5,5,5,4.83870967741935,1,0,4,3.87096774193548,0.0888888888888889,0,3,1,0,3,2.90322580645161,0.0410958904109589,0,1,2,1.93548387096774,0.0273972602739726,0.0444444444444444,0.5,20,25,24.1935483870968,0.342465753424658,0.8,0,1,0,0,0,0,2,0,0,0,0,0,2,3,2.90322580645161,2,1,0.666666666666667,2,1,4,3.87096774193548,1,0.967741935483871,0,1,0,4,0,4,3.87096774193548,2,1.93548387096774,16,3,11,10.6451612903226,7,4,3,2.90322580645161,0,3,2.90322580645161,2,1.93548387096774,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edwards","ORL",1,71,1,0,1,1.26760563380282,1,1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31,39.2957746478873,0.903225806451613,28,31,39.2957746478873,0.903225806451613,17,20,25.3521126760563,0.85,0.645161290322581,0.516129032258065,0.258064516129032,0.225806451612903,14,16,20.2816901408451,0.875,8,8,10.1408450704225,1,6,7,8.87323943661972,0.857142857142857,0.032258064516129,0.806451612903226,0.161290322580645,1,1,1.26760563380282,1,22,25,31.6901408450704,0.88,5,5,6.33802816901408,1,0.032258064516129,0.806451612903226,0.161290322580645,1,1,1.26760563380282,1,22,25,31.6901408450704,0.88,5,5,6.33802816901408,1,0,0,0,0,17,0,0,0,0,0.516129032258065,0.258064516129032,0.225806451612903,14,16,20.2816901408451,0.875,8,8,10.1408450704225,1,6,7,8.87323943661972,0.857142857142857,0.645161290322581,17,20,25.3521126760563,0.85,0.6,0.15,0.25,10,12,15.2112676056338,0.833333333333333,3,3,3.80281690140845,1,4,5,6.33802816901408,0.8,0,1,1.26760563380282,0.032258064516129,0,0,1,0,0,0,0,0,1,1,1.26760563380282,0.032258064516129,0.032258064516129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.53521126760563,2,0,1,1,0,1,1.26760563380282,5,6.33802816901408,2,3,0.4,4,0,4,5.07042253521127,4,5.07042253521127,35,6,10,12.6760563380282,5,5,2,2.53521126760563,0,3,3.80281690140845,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evans","ORL",1,93,1,0,1,0.967741935483871,0,0,0,1,"0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,38,36.7741935483871,0.763157894736842,29,38,36.7741935483871,0.763157894736842,20,25,24.1935483870968,0.8,0.657894736842105,0.342105263157895,0.289473684210526,0.368421052631579,6,13,12.5806451612903,0.461538461538462,9,11,10.6451612903226,0.818181818181818,14,14,13.5483870967742,1,0.131578947368421,0.736842105263158,0.131578947368421,3,5,4.83870967741935,0.6,23,28,27.0967741935484,0.821428571428571,3,5,4.83870967741935,0.6,0.131578947368421,0.736842105263158,0.131578947368421,3,5,4.83870967741935,0.6,23,28,27.0967741935484,0.821428571428571,3,5,4.83870967741935,0.6,0,0,0,0,17,0,0,0,0,0.342105263157895,0.289473684210526,0.368421052631579,6,13,12.5806451612903,0.461538461538462,9,11,10.6451612903226,0.818181818181818,14,14,13.5483870967742,1,0.657894736842105,20,25,24.1935483870968,0.8,0.32,0.24,0.44,4,8,7.74193548387097,0.5,5,6,5.80645161290323,0.833333333333333,11,11,10.6451612903226,1,0,1,0.967741935483871,0.0263157894736842,0,0,1,1,3,2.90322580645161,0.0789473684210526,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.967741935483871,0,1,0,3,1,5,4.83870967741935,2,1.93548387096774,1,1,0.5,2,0,2,1.93548387096774,2,1.93548387096774,32,3,14,13.5483870967742,9,5,1,0.967741935483871,0,0,0,1,0.967741935483871,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
