"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Arlitt","FCKC",1,100,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,42,37.8,0.80952380952381,27,32,28.8,0.84375,20,22,19.8,0.909090909090909,0.6875,0.595238095238095,0.238095238095238,0.166666666666667,18,25,22.5,0.72,9,10,9,0.9,7,7,6.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59375,0.21875,0.1875,15,19,17.1,0.789473684210526,6,7,6.3,0.857142857142857,6,6,5.4,1,0.523809523809524,20,22,19.8,0.909090909090909,0.590909090909091,0.227272727272727,0.181818181818182,12,13,11.7,0.923076923076923,4,5,4.5,0.8,4,4,3.6,1,1,3,2.7,0.09375,0.333333333333333,3,0,3,5,4.5,0.119047619047619,0.6,2,3,2.7,0.0714285714285714,0.09375,0.666666666666667,7,10,9,0.238095238095238,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.6,1,3,0.25,1,0,4,3.6,2,1.8,2,0,1,5,0,5,4.5,1,0.9,21,3,8,7.2,5,2,4,3.6,0,0,0,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averbuch","FCKC",1,100,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,75,67.5,0.826666666666667,58,70,63,0.828571428571429,29,37,33.3,0.783783783783784,0.528571428571429,0.68,0.226666666666667,0.0933333333333333,38,51,45.9,0.745098039215686,17,17,15.3,1,7,7,6.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685714285714286,0.214285714285714,0.1,36,48,43.2,0.75,15,15,13.5,1,7,7,6.3,1,0.493333333333333,29,37,33.3,0.783783783783784,0.810810810810811,0.135135135135135,0.0540540540540541,22,30,27,0.733333333333333,5,5,4.5,1,2,2,1.8,1,1,1,0.9,0.0142857142857143,1,0,1,3,9,8.1,0.12,0.333333333333333,2,6,5.4,0.08,0.0857142857142857,0.333333333333333,0,0,0,0,0,0,0,0,0,0,4,5,0.8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3.6,3,1,0.75,3,0,3,2.7,2,1.8,10,5,9,8.1,7,1,3,2.7,0,1,0.9,3,2.7,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnes","SRFC",1,69,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,38,49.5652173913044,0.894736842105263,25,27,35.2173913043478,0.925925925925926,18,18,23.4782608695652,1,0.666666666666667,0.342105263157895,0.263157894736842,0.394736842105263,12,13,16.9565217391304,0.923076923076923,8,10,13.0434782608696,0.8,14,15,19.5652173913043,0.933333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37037037037037,0.222222222222222,0.407407407407407,10,10,13.0434782608696,1,5,6,7.82608695652174,0.833333333333333,10,11,14.3478260869565,0.909090909090909,0.473684210526316,18,18,23.4782608695652,1,0.444444444444444,0.111111111111111,0.444444444444444,8,8,10.4347826086957,1,2,2,2.60869565217391,1,8,8,10.4347826086957,1,0,0,0,0,0,0,0,3,3,3.91304347826087,0.0789473684210526,1,2,2,2.60869565217391,0.0526315789473684,0.0740740740740741,1,5,6,7.82608695652174,0.157894736842105,0.833333333333333,2,3,0.666666666666667,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.30434782608696,1,1.30434782608696,6,0,2,2.60869565217391,2,0,2,2.60869565217391,0,2,2.60869565217391,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",1,100,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,32,28.8,0.9375,24,25,22.5,0.96,3,3,2.7,1,0.12,0.5,0.5,0,14,16,14.4,0.875,16,16,14.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409090909090909,0.590909090909091,0,9,9,8.1,1,13,13,11.7,1,0,0,0,0,0.09375,3,3,2.7,1,0.333333333333333,0.666666666666667,0,1,1,0.9,1,2,2,1.8,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1.8,0.0625,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,3,0,1,5,0,0,0,0,3,3,0,1,1,0,1,1,0,0,0,30,32,0.9375,6,6,1,0,1,0,2,3,0.666666666666667
"Bowen","FCKC",1,83,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,19.5180722891566,0.777777777777778,13,17,18.433734939759,0.764705882352941,9,13,14.0963855421687,0.692307692307692,0.764705882352941,0.444444444444444,0.222222222222222,0.333333333333333,6,8,8.67469879518072,0.75,2,4,4.33734939759036,0.5,6,6,6.50602409638554,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470588235294118,0.235294117647059,0.294117647058824,6,8,8.67469879518072,0.75,2,4,4.33734939759036,0.5,5,5,5.42168674698795,1,0.722222222222222,9,13,14.0963855421687,0.692307692307692,0.461538461538462,0.307692307692308,0.230769230769231,4,6,6.50602409638554,0.666666666666667,2,4,4.33734939759036,0.5,3,3,3.25301204819277,1,0,0,0,0,0,0,0,2,3,3.25301204819277,0.166666666666667,0.666666666666667,2,3,3.25301204819277,0.166666666666667,0.176470588235294,0.666666666666667,1,1,1.08433734939759,0.0555555555555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.16867469879518,0,2,0,0,0,0,0,0,0,58,4,4,4.33734939759036,1,3,0,0,0,3,3.25301204819277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",1,100,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,67,60.3,0.880597014925373,56,64,57.6,0.875,21,28,25.2,0.75,0.4375,0.447761194029851,0.358208955223881,0.194029850746269,23,30,27,0.766666666666667,23,24,21.6,0.958333333333333,13,13,11.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453125,0.359375,0.1875,22,29,26.1,0.758620689655172,22,23,20.7,0.956521739130435,12,12,10.8,1,0.417910447761194,21,28,25.2,0.75,0.5,0.25,0.25,8,14,12.6,0.571428571428571,6,7,6.3,0.857142857142857,7,7,6.3,1,0,0,0,0,0,0,0,5,11,9.9,0.164179104477612,0.454545454545455,0,1,0.9,0.0149253731343284,0.015625,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3.6,1,3,0.25,1,0,1,0.9,0,0,9,1,4,3.6,1,3,2,1.8,0,1,0.9,4,3.6,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallstream","SRFC",1,11,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,57.2727272727273,0.714285714285714,2,4,32.7272727272727,0.5,2,4,32.7272727272727,0.5,1,0.714285714285714,0.285714285714286,0,3,5,40.9090909090909,0.6,2,2,16.3636363636364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0,1,3,24.5454545454545,0.333333333333333,1,1,8.18181818181818,1,0,0,0,0,0.571428571428571,2,4,32.7272727272727,0.5,0.75,0.25,0,1,3,24.5454545454545,0.333333333333333,1,1,8.18181818181818,1,0,0,0,0,0,0,0,0,0,0,0,0,2,16.3636363636364,0.285714285714286,0,0,0,0,0,0,0,3,3,24.5454545454545,0.428571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8.18181818181818,0,0,0,0,0,0,0,0,0,1,8.18181818181818,3,2,3,24.5454545454545,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",1,100,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,1,0,0,0,0.9,0,0,0,0,0,0,0,0,0,32,40,36,0.8,32,40,36,0.8,25,26,23.4,0.961538461538462,0.65,0.625,0.175,0.2,18,25,22.5,0.72,6,7,6.3,0.857142857142857,8,8,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.175,0.2,18,25,22.5,0.72,6,7,6.3,0.857142857142857,8,8,7.2,1,0.65,25,26,23.4,0.961538461538462,0.5,0.192307692307692,0.307692307692308,12,13,11.7,0.923076923076923,5,5,4.5,1,8,8,7.2,1,1,2,1.8,0.05,0.5,1,1,2,4,3.6,0.1,0.5,1,4,3.6,0.1,0.1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.8,1,1,0.5,2,0,3,2.7,6,5.4,2,4,0.333333333333333,1,0,1,0.9,3,2.7,32,1,1,0.9,0,1,1,0.9,0,0,0,1,0.9,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",1,100,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,60,54,0.883333333333333,51,57,51.3,0.894736842105263,28,30,27,0.933333333333333,0.526315789473684,0.45,0.333333333333333,0.216666666666667,24,27,24.3,0.888888888888889,18,20,18,0.9,11,13,11.7,0.846153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43859649122807,0.333333333333333,0.228070175438596,23,25,22.5,0.92,17,19,17.1,0.894736842105263,11,13,11.7,0.846153846153846,0.5,28,30,27,0.933333333333333,0.333333333333333,0.4,0.266666666666667,9,10,9,0.9,11,12,10.8,0.916666666666667,8,8,7.2,1,0,1,0.9,0.0175438596491228,0,1,0,5,7,6.3,0.116666666666667,0.714285714285714,1,1,0.9,0.0166666666666667,0.0175438596491228,1,2,2,1.8,0.0333333333333333,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1.8,2,0,1,1,0,1,0.9,2,1.8,0,2,0,3,0,3,2.7,3,2.7,11,4,7,6.3,5,2,2,1.8,0,2,1.8,3,2.7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groom","FCKC",1,100,1,0,1,0.9,0,0,0,1,"0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1.8,0,0,0,0,1,0,1,9,14,12.6,0.642857142857143,9,14,12.6,0.642857142857143,6,8,7.2,0.75,0.571428571428571,0.357142857142857,0.214285714285714,0.428571428571429,2,5,4.5,0.4,1,3,2.7,0.333333333333333,6,6,5.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357142857142857,0.214285714285714,0.428571428571429,2,5,4.5,0.4,1,3,2.7,0.333333333333333,6,6,5.4,1,0.571428571428571,6,8,7.2,0.75,0.125,0.375,0.5,1,1,0.9,1,1,3,2.7,0.333333333333333,4,4,3.6,1,0,0,0,0,0,0,0,0,1,0.9,0.0714285714285714,0,1,2,1.8,0.142857142857143,0.142857142857143,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.8,1,1,0.5,2,1,4,3.6,6,5.4,2,4,0.333333333333333,0,0,0,0,1,0.9,42,3,2,1.8,1,1,1,0.9,0,3,2.7,2,1.8,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
