"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Andressa","HOU",1,90,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,77,77,0.844155844155844,57,68,68,0.838235294117647,29,32,32,0.90625,0.470588235294118,0.493506493506494,0.350649350649351,0.155844155844156,29,38,38,0.763157894736842,24,27,27,0.888888888888889,12,12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544117647058823,0.308823529411765,0.147058823529412,28,37,37,0.756756756756757,19,21,21,0.904761904761905,10,10,10,1,0.415584415584416,29,32,32,0.90625,0.34375,0.40625,0.25,10,11,11,0.909090909090909,11,13,13,0.846153846153846,8,8,8,1,1,3,3,0.0441176470588235,0.333333333333333,3,0,3,8,8,0.103896103896104,0.375,0,2,2,0.025974025974026,0.0294117647058824,0,0,0,0,0,0,6,7,0.857142857142857,0,0,2,2,1,0,0,0,0,2,6,6,4,2,0.666666666666667,4,2,8,8,4,4,1,3,0.25,1,3,4,4,0,0,13,6,8,8,5,3,1,1,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beckie","HOU",1,79,1,1,3,3.41772151898734,0.333333333333333,0,0,2,"0",2,0.666666666666667,0,3,0,0,0,0,1,1,1,0,1.13924050632911,1.13924050632911,1,1.13924050632911,1,1,0,0,0,0,0,26,33,37.5949367088608,0.787878787878788,24,31,35.3164556962025,0.774193548387097,12,15,17.0886075949367,0.8,0.483870967741935,0.303030303030303,0.393939393939394,0.303030303030303,7,10,11.3924050632911,0.7,10,13,14.8101265822785,0.769230769230769,9,10,11.3924050632911,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32258064516129,0.387096774193548,0.290322580645161,7,10,11.3924050632911,0.7,9,12,13.6708860759494,0.75,8,9,10.253164556962,0.888888888888889,0.454545454545455,12,15,17.0886075949367,0.8,0.2,0.533333333333333,0.266666666666667,3,3,3.41772151898734,1,5,8,9.11392405063291,0.625,4,4,4.55696202531646,1,0,5,5.69620253164557,0.161290322580645,0,5,0,1,2,2.27848101265823,0.0606060606060606,0.5,0,0,0,0,0,0,2,2,2.27848101265823,0.0606060606060606,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.27848101265823,1,1,0.5,0,2,3,3.41772151898734,0,0,0,0,0,0,1,1,1.13924050632911,2,2.27848101265823,17,1,7,7.9746835443038,5,2,1,1.13924050632911,0,1,1.13924050632911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beckmann","BOS",1,65,1,0,2,2.76923076923077,0,0,0,2,"0",1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,27.6923076923077,0.85,17,20,27.6923076923077,0.85,15,17,23.5384615384615,0.882352941176471,0.85,0.35,0.25,0.4,5,7,9.69230769230769,0.714285714285714,5,5,6.92307692307692,1,7,8,11.0769230769231,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.25,0.4,5,7,9.69230769230769,0.714285714285714,5,5,6.92307692307692,1,7,8,11.0769230769231,0.875,0.85,15,17,23.5384615384615,0.882352941176471,0.294117647058824,0.235294117647059,0.470588235294118,4,5,6.92307692307692,0.8,4,4,5.53846153846154,1,7,8,11.0769230769231,0.875,0,0,0,0,0,0,0,0,1,1.38461538461538,0.05,0,2,2,2.76923076923077,0.1,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,6.92307692307692,5,6.92307692307692,2,3,0.4,0,0,0,0,7,9.69230769230769,28,4,3,4.15384615384615,3,0,1,1.38461538461538,0,1,1.38461538461538,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","HOU",1,66,1,0,1,1.36363636363636,1,1,0,0,"0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.36363636363636,0,0,0,0,0,0,1,53,57,77.7272727272727,0.929824561403509,52,56,76.3636363636364,0.928571428571429,33,35,47.7272727272727,0.942857142857143,0.625,0.491228070175439,0.280701754385965,0.228070175438596,27,28,38.1818181818182,0.964285714285714,13,16,21.8181818181818,0.8125,13,13,17.7272727272727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.267857142857143,0.232142857142857,27,28,38.1818181818182,0.964285714285714,12,15,20.4545454545455,0.8,13,13,17.7272727272727,1,0.614035087719298,33,35,47.7272727272727,0.942857142857143,0.342857142857143,0.342857142857143,0.314285714285714,12,12,16.3636363636364,1,10,12,16.3636363636364,0.833333333333333,11,11,15,1,0,0,0,0,0,0,0,1,2,2.72727272727273,0.0350877192982456,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1.36363636363636,1,0,1,0,1,1,1.36363636363636,8,10.9090909090909,3,5,0.375,0,2,2,2.72727272727273,0,0,9,3,13,17.7272727272727,10,3,5,6.81818181818182,0,2,2.72727272727273,2,2.72727272727273,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks","HOU",1,25,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,46.8,0.923076923076923,11,12,43.2,0.916666666666667,4,5,18,0.8,0.416666666666667,0.615384615384615,0.230769230769231,0.153846153846154,8,8,28.8,1,2,3,10.8,0.666666666666667,2,2,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333333333,0.25,0.166666666666667,7,7,25.2,1,2,3,10.8,0.666666666666667,2,2,7.2,1,0.384615384615385,4,5,18,0.8,0.6,0.4,0,3,3,10.8,1,1,2,7.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,21.6,4,2,0.666666666666667,0,0,0,0,0,0,3,1,1,3.6,0,1,0,0,0,2,7.2,1,3.6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chapman","HOU",1,7,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,102.857142857143,1,7,7,90,1,4,4,51.4285714285714,1,0.571428571428571,0.625,0.25,0.125,5,5,64.2857142857143,1,2,2,25.7142857142857,1,1,1,12.8571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,0.285714285714286,0.142857142857143,4,4,51.4285714285714,1,2,2,25.7142857142857,1,1,1,12.8571428571429,1,0.5,4,4,51.4285714285714,1,0.75,0.25,0,3,3,38.5714285714286,1,1,1,12.8571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12.8571428571429,0.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,12.8571428571429,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dowie","BOS",1,74,1,0,4,4.86486486486486,0.25,1,0,3,"0",2,0.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,10.9459459459459,0.666666666666667,6,9,10.9459459459459,0.666666666666667,5,8,9.72972972972973,0.625,0.8,0.333333333333333,0.333333333333333,0.333333333333333,3,3,3.64864864864865,1,0,3,3.64864864864865,0,3,3,3.64864864864865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,3,3,3.64864864864865,1,0,3,3.64864864864865,0,3,3,3.64864864864865,1,0.8,5,8,9.72972972972973,0.625,0.375,0.375,0.25,3,3,3.64864864864865,1,0,3,3.64864864864865,0,2,2,2.43243243243243,1,0,0,0,0,0,0,0,1,1,1.21621621621622,0.111111111111111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.43243243243243,1,1,0.5,2,2,5,6.08108108108108,4,4.86486486486486,2,2,0.5,0,0,0,0,0,0,13,1,3,3.64864864864865,1,2,0,0,0,1,1.21621621621622,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elby","BOS",1,90,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,30,30,0.566666666666667,12,22,22,0.545454545454545,6,9,9,0.666666666666667,0.409090909090909,0.633333333333333,0.166666666666667,0.2,10,19,19,0.526315789473684,3,5,5,0.6,4,6,6,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590909090909091,0.181818181818182,0.227272727272727,6,13,13,0.461538461538462,2,4,4,0.5,4,5,5,0.8,0.3,6,9,9,0.666666666666667,0.555555555555556,0.222222222222222,0.222222222222222,2,5,5,0.4,2,2,2,1,2,2,2,1,0,1,1,0.0454545454545455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,0.266666666666667,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,3,3,3,3,3,0,1,2,2,4,4,5,5,23,6,8,8,5,3,5,5,0,3,3,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kallman","BOS",1,90,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,33,33,0.848484848484849,27,31,31,0.870967741935484,12,13,13,0.923076923076923,0.419354838709677,0.545454545454545,0.393939393939394,0.0606060606060606,14,18,18,0.777777777777778,12,13,13,0.923076923076923,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516129032258065,0.419354838709677,0.0645161290322581,13,16,16,0.8125,12,13,13,0.923076923076923,2,2,2,1,0.393939393939394,12,13,13,0.923076923076923,0.538461538461538,0.384615384615385,0.0769230769230769,7,7,7,1,4,5,5,0.8,1,1,1,1,0,0,0,0,0,0,0,3,5,5,0.151515151515152,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,9,1,5,5,1,4,5,5,0,3,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kranich","BOS",1,90,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,37,37,0.621621621621622,16,27,27,0.592592592592593,0,0,0,0,0,0.972972972972973,0.027027027027027,0,22,36,36,0.611111111111111,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923076923,0.0769230769230769,0,7,12,12,0.583333333333333,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,27,27,0.72972972972973,0.481481481481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0.571428571428571,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,12,0.333333333333333,4,2,2,0.5,1,1,0,1,1,1,1,5,0,3,1,2,1,1,0,0,0,0,2,1,23,37,0.621621621621622,2,2,1,1,1,1,12,21,0.571428571428571
