"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Berryhill","PTFC",1,8,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,45,0.5,0,2,22.5,0,0,0,0,0,0,0.5,0.25,0.25,0,2,22.5,0,1,1,11.25,1,1,1,11.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.25,0.5,0,0,1,0,1,11.25,0.25,0,0,0,0,0,0,0,2,2,22.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betos","PTFC",1,97,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,29,26.9072164948454,0.862068965517241,22,24,22.2680412371134,0.916666666666667,3,3,2.78350515463918,1,0.125,0.724137931034483,0.275862068965517,0,17,21,19.4845360824742,0.80952380952381,8,8,7.42268041237113,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.927835051546392,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0.927835051546392,1,0,0,0,0,0,0,0,0,0,0.636363636363636,0.363636363636364,0,12,14,12.9896907216495,0.857142857142857,8,8,7.42268041237113,1,0,0,0,0,0.103448275862069,3,3,2.78350515463918,1,1,0,0,3,3,2.78350515463918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5.56701030927835,0.206896551724138,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.63917525773196,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0.428571428571429,3,2,1,0.333333333333333,3,3,0,1,3,0,2,0,0,3,2,1,0,0,0,2,1,1,1,0,25,29,0.862068965517241,0,0,0,2,4,0.5,3,3,1
"Boureille","PTFC",1,97,1,0,1,0.927835051546392,0,0,0,1,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,28,25.979381443299,0.714285714285714,20,28,25.979381443299,0.714285714285714,15,20,18.5567010309278,0.75,0.714285714285714,0.571428571428571,0.25,0.178571428571429,10,16,14.8453608247423,0.625,6,7,6.49484536082474,0.857142857142857,4,5,4.63917525773196,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,0.25,0.178571428571429,10,16,14.8453608247423,0.625,6,7,6.49484536082474,0.857142857142857,4,5,4.63917525773196,0.8,0.714285714285714,15,20,18.5567010309278,0.75,0.55,0.25,0.2,7,11,10.2061855670103,0.636363636363636,4,5,4.63917525773196,0.8,4,4,3.71134020618557,1,0,0,0,0,0,0,0,1,2,1.85567010309278,0.0714285714285714,0.5,0,1,0.927835051546392,0.0357142857142857,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.85567010309278,1,1,0.5,2,1,4,3.71134020618557,5,4.63917525773196,2,3,0.4,1,3,4,3.71134020618557,1,0.927835051546392,28,1,9,8.35051546391753,6,3,1,0.927835051546392,0,2,1.85567010309278,4,3.71134020618557,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks","HOU",1,97,1,1,2,1.85567010309278,0.5,0,0,1,"0",1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.927835051546392,1,1,0,0,0,0,0,26,33,30.6185567010309,0.787878787878788,25,31,28.7628865979381,0.806451612903226,17,20,18.5567010309278,0.85,0.645161290322581,0.454545454545455,0.333333333333333,0.212121212121212,10,15,13.9175257731959,0.666666666666667,10,11,10.2061855670103,0.909090909090909,6,7,6.49484536082474,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419354838709677,0.354838709677419,0.225806451612903,9,13,12.0618556701031,0.692307692307692,10,11,10.2061855670103,0.909090909090909,6,7,6.49484536082474,0.857142857142857,0.606060606060606,17,20,18.5567010309278,0.85,0.35,0.45,0.2,5,7,6.49484536082474,0.714285714285714,9,9,8.35051546391753,1,3,4,3.71134020618557,0.75,0,0,0,0,0,0,0,2,4,3.71134020618557,0.121212121212121,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,1,0,1,0.927835051546392,2,1.85567010309278,2,0,1,3,1,4,3.71134020618557,0,0,10,7,7,6.49484536082474,4,3,1,0.927835051546392,0,2,1.85567010309278,1,0.927835051546392,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brush","HOU",1,97,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,38,35.2577319587629,0.973684210526316,34,35,32.4742268041237,0.971428571428571,20,20,18.5567010309278,1,0.571428571428571,0.473684210526316,0.263157894736842,0.263157894736842,18,18,16.7010309278351,1,10,10,9.27835051546392,1,9,10,9.27835051546392,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,0.285714285714286,0.285714285714286,15,15,13.9175257731959,1,10,10,9.27835051546392,1,9,10,9.27835051546392,0.9,0.526315789473684,20,20,18.5567010309278,1,0.45,0.2,0.35,9,9,8.35051546391753,1,4,4,3.71134020618557,1,7,7,6.49484536082474,1,0,0,0,0,0,0,0,3,3,2.78350515463918,0.0789473684210526,1,0,0,0,0,0,0,1,1,0.927835051546392,0.0263157894736842,1,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2.78350515463918,2,1,0.666666666666667,0,0,0,0,0,0,8,3,9,8.35051546391753,7,2,1,0.927835051546392,0,1,0.927835051546392,5,4.63917525773196,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crosson","HOU",1,16,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,56.25,0.6,6,10,56.25,0.6,5,9,50.625,0.555555555555556,0.9,0.6,0.3,0.1,2,6,33.75,0.333333333333333,3,3,16.875,1,1,1,5.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.3,0.1,2,6,33.75,0.333333333333333,3,3,16.875,1,1,1,5.625,1,0.9,5,9,50.625,0.555555555555556,0.666666666666667,0.222222222222222,0.111111111111111,2,6,33.75,0.333333333333333,2,2,11.25,1,1,1,5.625,1,0,0,0,0,0,0,0,0,2,11.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5.625,0,0,2,0,3,16.875,2,1,0,0,0,0,0,1,5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daly","HOU",1,97,1,1,3,2.78350515463918,1,2,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.927835051546392,0,0,1,0,0,0,0,13,20,18.5567010309278,0.65,12,18,16.7010309278351,0.666666666666667,11,15,13.9175257731959,0.733333333333333,0.833333333333333,0.25,0.55,0.2,3,5,4.63917525773196,0.6,8,11,10.2061855670103,0.727272727272727,2,4,3.71134020618557,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277777777777778,0.5,0.222222222222222,3,5,4.63917525773196,0.6,7,9,8.35051546391753,0.777777777777778,2,4,3.71134020618557,0.5,0.75,11,15,13.9175257731959,0.733333333333333,0.266666666666667,0.533333333333333,0.2,3,4,3.71134020618557,0.75,6,8,7.42268041237113,0.75,2,3,2.78350515463918,0.666666666666667,1,2,1.85567010309278,0.111111111111111,0.5,2,0,2,2,1.85567010309278,0.1,1,2,3,2.78350515463918,0.15,0.166666666666667,0.666666666666667,1,1,0.927835051546392,0.05,1,0,1,0,0,0,0,0,0,0,0,1,0,1,4,3.71134020618557,4,0,1,4,1,5,4.63917525773196,8,7.42268041237113,2,6,0.25,1,2,3,2.78350515463918,1,0.927835051546392,30,3,5,4.63917525773196,4,1,1,0.927835051546392,0,4,3.71134020618557,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fitzgerald","PTFC",1,49,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,29.3877551020408,0.75,12,16,29.3877551020408,0.75,10,11,20.2040816326531,0.909090909090909,0.6875,0.5,0.1875,0.3125,5,8,14.6938775510204,0.625,3,3,5.51020408163265,1,4,5,9.18367346938776,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1875,0.3125,5,8,14.6938775510204,0.625,3,3,5.51020408163265,1,4,5,9.18367346938776,0.8,0.6875,10,11,20.2040816326531,0.909090909090909,0.454545454545455,0.181818181818182,0.363636363636364,4,5,9.18367346938776,0.8,2,2,3.6734693877551,1,4,4,7.3469387755102,1,0,0,0,0,0,0,0,0,1,1.83673469387755,0.0625,0,0,1,1.83673469387755,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.83673469387755,1,1.83673469387755,0,1,0,2,0,2,3.6734693877551,2,3.6734693877551,33,1,2,3.6734693877551,2,0,0,0,0,1,1.83673469387755,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heap","HOU",1,11,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,49.0909090909091,0.833333333333333,5,6,49.0909090909091,0.833333333333333,1,2,16.3636363636364,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,2,2,16.3636363636364,1,1,2,16.3636363636364,0.5,2,2,16.3636363636364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,2,2,16.3636363636364,1,1,2,16.3636363636364,0.5,2,2,16.3636363636364,1,0.333333333333333,1,2,16.3636363636364,0.5,0.5,0.5,0,1,1,8.18181818181818,1,0,1,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.18181818181818,1,8.18181818181818,6,0,2,16.3636363636364,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Henderson","HOU",1,73,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,29,35.7534246575342,0.724137931034483,19,22,27.1232876712329,0.863636363636364,18,20,24.6575342465753,0.9,0.909090909090909,0.310344827586207,0.551724137931034,0.137931034482759,8,9,11.0958904109589,0.888888888888889,9,16,19.7260273972603,0.5625,4,4,4.93150684931507,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409090909090909,0.409090909090909,0.181818181818182,8,9,11.0958904109589,0.888888888888889,7,9,11.0958904109589,0.777777777777778,4,4,4.93150684931507,1,0.689655172413793,18,20,24.6575342465753,0.9,0.4,0.4,0.2,7,8,9.86301369863014,0.875,7,8,9.86301369863014,0.875,4,4,4.93150684931507,1,1,1,1.23287671232877,0.0454545454545455,1,1,0,1,1,1.23287671232877,0.0344827586206897,1,2,3,3.6986301369863,0.103448275862069,0.136363636363636,0.666666666666667,0,0,0,0,0,2,7,0.285714285714286,0,0,0,0,0,0,0,0,0,0,2,2.46575342465753,1,1,0.5,4,1,6,7.3972602739726,0,0,0,0,0,0,1,1,1.23287671232877,0,0,15,1,3,3.6986301369863,3,0,2,2.46575342465753,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
