Player,Team,GP,MP,GS,Goals,Shots,Shots.per.90,Shot.Accuracy,Shot.GK.Stop,Shot.Def.Stop,Shot.Miss,xG,Shot.Pressed,Pct.Shots.Pressed,A6.Shots,A18.Shots,A3L.Shots,A3C.Shots,A3R.Shots,Far.Shots,Assists,Key.Passes,Key.Assists,Second.Assists,Assists.per.90,Key.Passes.per.90,Big.Chances,Big.Chances.per.90,BC.Scored,BC.Conversion.Pct,BC.SOG,BC.Shot.Miss,BC.Dispossess,BC.Created,BC.Lost,Pass.Comp,Pass.Att,Pass.Att.per.90,Pass.Comp.Pct,opPass.Comp,opPass.Att,opPass.Att.per.90,opPass.Comp.Pct,opPPass.Comp,opPPass.Att,opPPass.Att.per.90,opPPass.Comp.Pct,Pct.opPass.Pressed,rFreq.Pass.Fwd,rFreq.Pass.Side,rFreq.Pass.Back,fwPass.Comp,fwPass.Att,fwPass.Att.per.90,fwPass.Comp.Pct,sPass.Comp,sPass.Att,sPass.Att.per.90,sPass.Comp.Pct,bPass.Comp,bPass.Att,bPass.Att.per.90,bPass.Comp.Pct,rFreq.A3.Passes,rFreq.M3.Passes,rFreq.D3.Passes,A3Pass.Comp,A3Pass.Att,A3Pass.Att.per.90,A3Pass.Comp.Pct,M3Pass.Comp,M3Pass.Att,M3Pass.Att.per.90,M3Pass.Comp.Pct,D3Pass.Comp,D3Pass.Att,D3Pass.Att.per.90,D3Pass.Comp.Pct,rFreq.A3.opPasses,rFreq.M3.opPasses,rFreq.D3.opPasses,A3opPass.Comp,A3opPass.Att,A3opPass.Att.per.90,A3opPass.Comp.Pct,M3opPass.Comp,M3opPass.Att,M3opPass.Att.per.90,M3opPass.Comp.Pct,D3opPass.Comp,D3opPass.Att,D3opPass.Att.per.90,D3opPass.Comp.Pct,Pass.Comp.D3toD3,Pass.Comp.D3toM3,Pass.Comp.D3toA3,Pass.Comp.M3toD3,Pass.Comp.M3toM3,Pass.Comp.M3toA3,Pass.Comp.A3toD3,Pass.Comp.A3toM3,Pass.Comp.A3toA3,rFreq.opPass.Fwd,rFreq.opPass.Side,rFreq.opPass.Back,fwopPass.Comp,fwopPass.Att,fwopPass.Att.per.90,fwopPass.Comp.Pct,sopPass.Comp,sopPass.Att,sopPass.Att.per.90,sopPass.Comp.Pct,bopPass.Comp,bopPass.Att,bopPass.Att.per.90,bopPass.Comp.Pct,Pct.Passes.Pressed,PPass.Comp,PPass.Att,PPass.Att.per.90,PPass.Comp.Pct,rFreq.PPass.Fwd,rFreq.PPass.Side,rFreq.PPass.Back,fwPPass.Comp,fwPPass.Att,fwPPass.Att.per.90,fwPPass.Comp.Pct,sPPass.Comp,sPPass.Att,sPPass.Att.per.90,sPPass.Comp.Pct,bPPass.Comp,bPPass.Att,bPPass.Att.per.90,bPPass.Comp.Pct,Cross.Comp,Cross.Att,Cross.Att.per.90,Cross.Att.per.opPass,Cross.Comp.Pct,Corner.Crosses,Deep.Crosses,Launch.Comp,Launch.Att,Launch.Att.per.90,Launch.Att.per.Pass,Launch.Comp.Pct,Through.Comp,Through.Att,Through.Att.per.90,Through.Att.per.Pass,Through.Att.per.opPass,Through.Comp.Pct,Throw.In.Comp,Throw.In.Att,Throw.In.Att.per.90,Throw.In.Att.per.Pass,Throw.In.Comp.Pct,Corner.Kicks.Completed,Corner.Kicks.Taken,CK.Comp.Pct,CK.Assist,CK.Key.Pass,FK.Pass.Comp,FK.Pass.Att,FK.Pass.Comp.Pct,FK.Assist,FK.Key.Pass,FK.Shot,FK.Scored,Free.Kicks.Taken,Take.Ons,Take.Ons.per.90,TO.Won,TO.Lost,TO.Win.Pct,Dispossessed,Lost.Touches,All.Possessions.Disrupted,Poss.Disrupted.per.90,Aerial.Duels,Aerial.Duels.per.90,AD.Won,AD.Lost,AD.Win.Pct,Tackles,Dispossesses,All.Opp.Poss.Disrupted,Opp.Poss.Disrupted.per.90,Dribbled,Dribbled.per.90,Press.Opp,Challenge.Opp,Recoveries,Recoveries.per.90,Def.Recoveries,Poss.Recoveries,Interceptions,Int.per.90,Int.per.OP.Pass,Blocks,Blocks.per.90,Clearances,Clearances.per.90,Ball.Shields,Offsides,Fouls.Won,Fouls.Conceded,Yellow.Cards,Red.Cards,Penalties.Won,Penalties.Conceded,E.to.Goals,OG,E.to.Big.Chances,BC.Stopped,Saves,Goals.Allowed,GK.SOG.Faced,GperSOG,BC.SOG.Faced,BC.Saves,BC.Goals.Allowed,GperBCSOG,High.Balls.Faced,HB.Won,HB.Lost,HB.Caught,HB.Punched,HB.Parried,HB.Collected,HB.Fouls.Won,Crosses.Faced,Crosses.Won,Crosses.Lost,Corner.Kicks.Faced,CKs.Won,CKs.Lost,Free.Kicks.Faced,FKs.Won,FKs.Lost,no,Smothers.Won,Smothers.Lost,GK.Overall.Pass.Comp,GK.Overall.Pass.Att,GK.Overall.Pass.Comp.Pct,GK.Throw.Comp,GK.Throw.Att,GK.Throw.Comp.Pct,GK.Drop.Kick.Comp,GK.Drop.Kick.Att,GK.Drop.Kick.Comp.Pct,GKFK.Comp,GKFK.Att,GKFK.Comp.Pct
Andressa,HOU,1,95,1,0,4,3.789473684,0.25,1,0,3,0,2,0.5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,62,58.73684211,0.677419355,39,53,50.21052632,0.735849057,18,24,22.73684211,0.75,0.452830189,0.516129032,0.258064516,0.225806452,20,32,30.31578947,0.625,9,16,15.15789474,0.5625,13,14,13.26315789,0.928571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547169811,0.188679245,0.264150943,20,29,27.47368421,0.689655172,6,10,9.473684211,0.6,13,14,13.26315789,0.928571429,0.387096774,18,24,22.73684211,0.75,0.625,0.166666667,0.208333333,11,15,14.21052632,0.733333333,2,4,3.789473684,0.5,5,5,4.736842105,1,0,3,2.842105263,0.056603774,0,3,0,1,2,1.894736842,0.032258065,0.5,0,2,1.894736842,0.032258065,0.037735849,0,0,0,0,0,0,2,5,0.4,0,0,1,4,0.25,0,0,1,0,5,7,6.631578947,7,0,1,1,1,2,1.894736842,4,3.789473684,1,3,0.25,3,1,4,3.789473684,0,0,18,4,15,14.21052632,12,3,1,0.947368421,0,1,0.947368421,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beckie,HOU,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,40.64516129,0.571428571,7,13,37.74193548,0.538461538,5,6,17.41935484,0.833333333,0.461538462,0.428571429,0.285714286,0.285714286,4,6,17.41935484,0.666666667,1,4,11.61290323,0.25,3,4,11.61290323,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461538462,0.307692308,0.230769231,4,6,17.41935484,0.666666667,1,4,11.61290323,0.25,2,3,8.709677419,0.666666667,0.428571429,5,6,17.41935484,0.833333333,0.666666667,0,0.333333333,3,4,11.61290323,0.75,0,0,0,0,2,2,5.806451613,1,0,1,2.903225806,0.076923077,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.903225806,0.071428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.903225806,2,5.806451613,1,1,0.5,0,0,0,0,1,2.903225806,8,0,1,2.903225806,1,0,0,0,0,1,2.903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brush,HOU,1,95,1,0,1,0.947368421,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,63,59.68421053,0.873015873,53,61,57.78947368,0.868852459,10,12,11.36842105,0.833333333,0.196721311,0.571428571,0.26984127,0.158730159,29,36,34.10526316,0.805555556,16,17,16.10526316,0.941176471,10,10,9.473684211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590163934,0.262295082,0.147540984,29,36,34.10526316,0.805555556,15,16,15.15789474,0.9375,9,9,8.526315789,1,0.19047619,10,12,11.36842105,0.833333333,0.666666667,0.166666667,0.166666667,7,8,7.578947368,0.875,1,2,1.894736842,0.5,2,2,1.894736842,1,0,0,0,0,0,0,0,1,4,3.789473684,0.063492063,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,1,0.947368421,1,0,1,0,0,0,0,5,4.736842105,3,2,0.6,2,1,3,2.842105263,0,0,11,3,9,8.526315789,8,1,3,2.842105263,0,2,1.894736842,5,4.736842105,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chapman,HOU,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,54,51.15789474,0.833333333,36,45,42.63157895,0.8,8,10,9.473684211,0.8,0.222222222,0.407407407,0.222222222,0.37037037,17,22,20.84210526,0.772727273,9,12,11.36842105,0.75,19,20,18.94736842,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422222222,0.222222222,0.355555556,14,19,18,0.736842105,7,10,9.473684211,0.7,15,16,15.15789474,0.9375,0.185185185,8,10,9.473684211,0.8,0.6,0.2,0.2,6,6,5.684210526,1,1,2,1.894736842,0.5,1,2,1.894736842,0.5,0,3,2.842105263,0.066666667,0,3,0,0,1,0.947368421,0.018518519,0,1,1,0.947368421,0.018518519,0.022222222,1,8,8,7.578947368,0.148148148,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,4,4,3.789473684,2,1.894736842,0,2,0,0,1,1,0.947368421,0,0,10,3,6,5.684210526,4,2,2,1.894736842,0,3,2.842105263,2,1.894736842,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conheeney,SBFC,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,42.63157895,0.666666667,12,18,42.63157895,0.666666667,8,11,26.05263158,0.727272727,0.611111111,0.611111111,0.111111111,0.277777778,5,11,26.05263158,0.454545455,2,2,4.736842105,1,5,5,11.84210526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611111111,0.111111111,0.277777778,5,11,26.05263158,0.454545455,2,2,4.736842105,1,5,5,11.84210526,1,0.611111111,8,11,26.05263158,0.727272727,0.636363636,0.181818182,0.181818182,4,7,16.57894737,0.571428571,2,2,4.736842105,1,2,2,4.736842105,1,0,0,0,0,0,0,0,0,2,4.736842105,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.368421053,0,1,0,2,4,7,16.57894737,4,9.473684211,2,2,0.5,0,1,1,2.368421053,1,2.368421053,8,4,6,14.21052632,4,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daly,HOU,1,95,1,0,5,4.736842105,0.6,3,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0.947368421,1,0.947368421,0,0,0,1,0,0,0,26,37,35.05263158,0.702702703,24,35,33.15789474,0.685714286,12,15,14.21052632,0.8,0.428571429,0.459459459,0.243243243,0.297297297,7,17,16.10526316,0.411764706,9,9,8.526315789,1,10,11,10.42105263,0.909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0.257142857,0.314285714,5,15,14.21052632,0.333333333,9,9,8.526315789,1,10,11,10.42105263,0.909090909,0.405405405,12,15,14.21052632,0.8,0.333333333,0.333333333,0.333333333,3,5,4.736842105,0.6,5,5,4.736842105,1,4,5,4.736842105,0.8,0,1,0.947368421,0.028571429,0,0,1,0,0,0,0,0,1,3,2.842105263,0.081081081,0.085714286,0.333333333,2,2,1.894736842,0.054054054,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.631578947,2,5,0.285714286,2,2,9,8.526315789,9,8.526315789,5,4,0.555555556,1,1,2,1.894736842,1,0.947368421,16,5,4,3.789473684,3,1,3,2.842105263,0,2,1.894736842,1,0.947368421,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayes,SBFC,1,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,28.42105263,0.833333333,19,23,27.23684211,0.826086957,8,12,14.21052632,0.666666667,0.52173913,0.25,0.375,0.375,3,6,7.105263158,0.5,9,9,10.65789474,1,8,9,10.65789474,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260869565,0.391304348,0.347826087,3,6,7.105263158,0.5,9,9,10.65789474,1,7,8,9.473684211,0.875,0.5,8,12,14.21052632,0.666666667,0.25,0.333333333,0.416666667,0,3,3.552631579,0,4,4,4.736842105,1,4,5,5.921052632,0.8,0,0,0,0,0,0,0,0,1,1.184210526,0.041666667,0,0,0,0,0,0,0,1,1,1.184210526,0.041666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2.368421053,2,2.368421053,2,0,1,1,1,2,2.368421053,1,1.184210526,21,3,6,7.105263158,5,1,0,0,0,1,1.184210526,1,1.184210526,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heap,HOU,1,46,1,0,1,1.956521739,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,35.2173913,0.555555556,10,18,35.2173913,0.555555556,5,6,11.73913043,0.833333333,0.333333333,0.5,0.166666667,0.333333333,2,9,17.60869565,0.222222222,2,3,5.869565217,0.666666667,6,6,11.73913043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.166666667,0.333333333,2,9,17.60869565,0.222222222,2,3,5.869565217,0.666666667,6,6,11.73913043,1,0.333333333,5,6,11.73913043,0.833333333,0.5,0,0.5,2,3,5.869565217,0.666666667,0,0,0,0,3,3,5.869565217,1,0,1,1.956521739,0.055555556,0,1,0,1,1,1.956521739,0.055555556,1,0,3,5.869565217,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.956521739,1,0,1,0,1,1,1.956521739,2,3.913043478,1,1,0.5,0,0,0,0,2,3.913043478,16,3,6,11.73913043,3,3,0,0,0,1,1.956521739,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kai,SBFC,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,14.21052632,0.866666667,13,15,14.21052632,0.866666667,9,10,9.473684211,0.9,0.666666667,0.2,0.266666667,0.533333333,3,3,2.842105263,1,3,4,3.789473684,0.75,7,8,7.578947368,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.266666667,0.533333333,3,3,2.842105263,1,3,4,3.789473684,0.75,7,8,7.578947368,0.875,0.666666667,9,10,9.473684211,0.9,0.1,0.1,0.8,1,1,0.947368421,1,1,1,0.947368421,1,7,8,7.578947368,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,7.578947368,16,15.15789474,9,7,0.5625,0,0,0,0,0,0,24,4,4,3.789473684,3,1,0,0,0,1,0.947368421,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killion,SBFC,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,47,44.52631579,0.914893617,41,45,42.63157895,0.911111111,20,21,19.89473684,0.952380952,0.466666667,0.617021277,0.106382979,0.276595745,25,29,27.47368421,0.862068966,5,5,4.736842105,1,13,13,12.31578947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.111111111,0.288888889,23,27,25.57894737,0.851851852,5,5,4.736842105,1,13,13,12.31578947,1,0.446808511,20,21,19.89473684,0.952380952,0.523809524,0.095238095,0.380952381,10,11,10.42105263,0.909090909,2,2,1.894736842,1,8,8,7.578947368,1,0,0,0,0,0,0,0,1,2,1.894736842,0.042553191,0.5,1,2,1.894736842,0.042553191,0.044444444,0.5,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,1,1,2,1.894736842,4,3.789473684,0,4,0,4,0,4,3.789473684,7,6.631578947,17,8,12,11.36842105,9,3,4,3.789473684,0,6,5.684210526,1,0.947368421,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
