"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Alleway","ORL",1,98,1,0,1,0.918367346938775,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,36,33.0612244897959,0.777777777777778,26,34,31.2244897959184,0.764705882352941,4,5,4.59183673469388,0.8,0.147058823529412,0.722222222222222,0.111111111111111,0.166666666666667,21,26,23.8775510204082,0.807692307692308,2,4,3.6734693877551,0.5,5,6,5.51020408163265,0.833333333333333,0,0.25,0.75,0,0,0,0,6,9,8.26530612244898,0.666666666666667,22,27,24.7959183673469,0.814814814814815,0,0.264705882352941,0.735294117647059,0,0,0,0,6,9,8.26530612244898,0.666666666666667,20,25,22.9591836734694,0.8,9,13,0,1,5,0,0,0,0,0.705882352941177,0.117647058823529,0.176470588235294,19,24,22.0408163265306,0.791666666666667,2,4,3.6734693877551,0.5,5,6,5.51020408163265,0.833333333333333,0.138888888888889,4,5,4.59183673469388,0.8,0.8,0.2,0,3,4,3.6734693877551,0.75,1,1,0.918367346938775,1,0,0,0,0,0,0,0,0,0,0,0,4,7,6.42857142857143,0.194444444444444,0.571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,1,0.918367346938775,0,1,0,0,1,2,1.83673469387755,4,3.6734693877551,4,0,1,1,0,1,0.918367346938775,0,0,7,1,11,10.1020408163265,9,2,0,0,0,4,3.6734693877551,14,12.8571428571429,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belanger","ORL",1,98,1,0,1,0.918367346938775,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,39,35.8163265306122,0.794871794871795,24,30,27.5510204081633,0.8,5,9,8.26530612244898,0.555555555555556,0.3,0.666666666666667,0.128205128205128,0.205128205128205,20,26,23.8775510204082,0.769230769230769,4,5,4.59183673469388,0.8,7,8,7.3469387755102,0.875,0.153846153846154,0.564102564102564,0.282051282051282,4,6,5.51020408163265,0.666666666666667,20,22,20.2040816326531,0.909090909090909,7,11,10.1020408163265,0.636363636363636,0.133333333333333,0.633333333333333,0.233333333333333,2,4,3.6734693877551,0.5,18,19,17.4489795918367,0.947368421052632,4,7,6.42857142857143,0.571428571428571,6,1,0,1,17,2,0,0,4,0.566666666666667,0.166666666666667,0.266666666666667,13,17,15.6122448979592,0.764705882352941,4,5,4.59183673469388,0.8,7,8,7.3469387755102,0.875,0.230769230769231,5,9,8.26530612244898,0.555555555555556,0.444444444444444,0.222222222222222,0.333333333333333,1,4,3.6734693877551,0.25,2,2,1.83673469387755,1,2,3,2.75510204081633,0.666666666666667,1,1,0.918367346938775,0.0333333333333333,1,1,0,2,3,2.75510204081633,0.0769230769230769,0.666666666666667,0,0,0,0,0,0,6,8,7.3469387755102,0.205128205128205,0.75,0,0,0,0,0,1,1,1,0,0,0,0,1,4,3.6734693877551,4,0,1,1,0,1,0.918367346938775,5,4.59183673469388,0,5,0,1,1,2,1.83673469387755,2,1.83673469387755,9,3,8,7.3469387755102,6,2,3,2.75510204081633,0,6,5.51020408163265,6,5.51020408163265,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catley","ORL",1,98,1,0,1,0.918367346938775,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,58,53.265306122449,0.775862068965517,30,39,35.8163265306122,0.769230769230769,19,22,20.2040816326531,0.863636363636364,0.564102564102564,0.5,0.189655172413793,0.310344827586207,18,29,26.6326530612245,0.620689655172414,9,11,10.1020408163265,0.818181818181818,18,18,16.530612244898,1,0.258620689655172,0.46551724137931,0.275862068965517,10,15,13.7755102040816,0.666666666666667,22,27,24.7959183673469,0.814814814814815,13,16,14.6938775510204,0.8125,0.256410256410256,0.487179487179487,0.256410256410256,7,10,9.18367346938776,0.7,15,19,17.4489795918367,0.789473684210526,8,10,9.18367346938776,0.8,11,1,0,2,19,1,0,0,10,0.461538461538462,0.128205128205128,0.41025641025641,11,18,16.530612244898,0.611111111111111,3,5,4.59183673469388,0.6,16,16,14.6938775510204,1,0.379310344827586,19,22,20.2040816326531,0.863636363636364,0.409090909090909,0.181818181818182,0.409090909090909,7,9,8.26530612244898,0.777777777777778,3,4,3.6734693877551,0.75,9,9,8.26530612244898,1,1,3,2.75510204081633,0.0769230769230769,0.333333333333333,2,1,0,0,0,0,0,0,1,0.918367346938775,0.0172413793103448,0.0256410256410256,0,12,16,14.6938775510204,0.275862068965517,0.75,1,1,1,0,0,2,2,1,0,0,0,0,2,1,0.918367346938775,1,0,1,1,0,1,0.918367346938775,1,0.918367346938775,0,1,0,1,0,1,0.918367346938775,2,1.83673469387755,14,2,15,13.7755102040816,7,8,5,4.59183673469388,0,1,0.918367346938775,3,2.75510204081633,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D'Angelo","WNYF",1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,29,26.6326530612245,0.517241379310345,10,20,18.3673469387755,0.5,0,0,0,0,0,1,0,0,15,29,26.6326530612245,0.517241379310345,0,0,0,0,0,0,0,0,0.0344827586206897,0,0.96551724137931,1,1,0.918367346938775,1,0,0,0,0,14,28,25.7142857142857,0.5,0.05,0,0.95,1,1,0.918367346938775,1,0,0,0,0,9,19,17.4489795918367,0.473684210526316,7,7,0,0,0,0,0,0,1,1,0,0,6,12,11.0204081632653,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,19.2857142857143,0.724137931034483,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.75510204081633,3,0,0,0,0,0,0,4,3.6734693877551,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0.166666666666667,1,0,1,1,2,2,0,1,8,0,0,0,0,3,2,1,0,0,0,1,0,1,0,0,15,29,0.517241379310345,4,4,1,1,2,0.5,4,11,0.363636363636364
"Dahlkemper","WNYF",1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,38,34.8979591836735,0.710526315789474,20,30,27.5510204081633,0.666666666666667,4,5,4.59183673469388,0.8,0.166666666666667,0.710526315789474,0.210526315789474,0.0789473684210526,17,27,24.7959183673469,0.62962962962963,7,8,7.3469387755102,0.875,3,3,2.75510204081633,1,0.131578947368421,0.421052631578947,0.447368421052632,3,5,4.59183673469388,0.6,10,16,14.6938775510204,0.625,14,17,15.6122448979592,0.823529411764706,0.0666666666666667,0.4,0.533333333333333,0,2,1.83673469387755,0,7,12,11.0204081632653,0.583333333333333,13,16,14.6938775510204,0.8125,6,8,0,0,5,5,0,0,3,0.766666666666667,0.133333333333333,0.1,14,23,21.1224489795918,0.608695652173913,3,4,3.6734693877551,0.75,3,3,2.75510204081633,1,0.131578947368421,4,5,4.59183673469388,0.8,0.8,0,0.2,3,4,3.6734693877551,0.75,0,0,0,0,1,1,0.918367346938775,1,0,1,0.918367346938775,0.0333333333333333,0,1,0,2,9,8.26530612244898,0.236842105263158,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,3,4,0.75,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1.83673469387755,1,1,0.5,1,0,1,0.918367346938775,2,1.83673469387755,8,3,10,9.18367346938776,8,2,6,5.51020408163265,0,4,3.6734693877551,7,6.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",1,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,28.695652173913,0.772727272727273,17,22,28.695652173913,0.772727272727273,10,13,16.9565217391304,0.769230769230769,0.590909090909091,0.363636363636364,0.363636363636364,0.272727272727273,5,8,10.4347826086957,0.625,6,8,10.4347826086957,0.75,6,6,7.82608695652174,1,0.454545454545455,0.272727272727273,0.272727272727273,8,10,13.0434782608696,0.8,4,6,7.82608695652174,0.666666666666667,5,6,7.82608695652174,0.833333333333333,0.454545454545455,0.272727272727273,0.272727272727273,8,10,13.0434782608696,0.8,4,6,7.82608695652174,0.666666666666667,5,6,7.82608695652174,0.833333333333333,3,2,0,1,3,0,0,1,7,0.363636363636364,0.363636363636364,0.272727272727273,5,8,10.4347826086957,0.625,6,8,10.4347826086957,0.75,6,6,7.82608695652174,1,0.590909090909091,10,13,16.9565217391304,0.769230769230769,0.538461538461538,0.230769230769231,0.230769230769231,5,7,9.1304347826087,0.714285714285714,2,3,3.91304347826087,0.666666666666667,3,3,3.91304347826087,1,2,3,3.91304347826087,0.136363636363636,0.666666666666667,3,0,0,0,0,0,0,1,1,1.30434782608696,0.0454545454545455,0.0454545454545455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.91304347826087,3,0,1,0,4,4,5.21739130434783,2,2.60869565217391,1,1,0.5,0,0,0,0,3,3.91304347826087,16,1,2,2.60869565217391,2,0,0,0,0,3,3.91304347826087,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eddy","WNYF",1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,52,47.7551020408163,0.730769230769231,21,32,29.3877551020408,0.65625,8,10,9.18367346938776,0.8,0.3125,0.75,0.153846153846154,0.0961538461538462,26,39,35.8163265306122,0.666666666666667,7,8,7.3469387755102,0.875,5,5,4.59183673469388,1,0.192307692307692,0.5,0.307692307692308,5,10,9.18367346938776,0.5,19,26,23.8775510204082,0.730769230769231,14,16,14.6938775510204,0.875,0.25,0.46875,0.28125,4,8,7.3469387755102,0.5,10,15,13.7755102040816,0.666666666666667,7,9,8.26530612244898,0.777777777777778,11,3,0,0,16,3,0,0,4,0.6875,0.15625,0.15625,12,22,20.2040816326531,0.545454545454545,4,5,4.59183673469388,0.8,5,5,4.59183673469388,1,0.192307692307692,8,10,9.18367346938776,0.8,0.5,0.3,0.2,3,5,4.59183673469388,0.6,3,3,2.75510204081633,1,2,2,1.83673469387755,1,2,3,2.75510204081633,0.09375,0.666666666666667,2,1,1,5,4.59183673469388,0.0961538461538462,0.2,0,2,1.83673469387755,0.0384615384615385,0.0625,0,17,20,18.3673469387755,0.384615384615385,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.83673469387755,2,0,1,1,1,2,1.83673469387755,1,0.918367346938775,1,0,1,2,1,3,2.75510204081633,3,2.75510204081633,6,3,11,10.1020408163265,10,1,3,2.75510204081633,0,5,4.59183673469388,5,4.59183673469388,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edmonds","ORL",1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.918367346938775,0.918367346938775,0,0,0,0,0,0,0,0,0,29,41,37.6530612244898,0.707317073170732,27,39,35.8163265306122,0.692307692307692,4,8,7.3469387755102,0.5,0.205128205128205,0.536585365853659,0.195121951219512,0.268292682926829,11,22,20.2040816326531,0.5,8,8,7.3469387755102,1,10,11,10.1020408163265,0.909090909090909,0.219512195121951,0.682926829268293,0.0975609756097561,3,9,8.26530612244898,0.333333333333333,22,28,25.7142857142857,0.785714285714286,4,4,3.6734693877551,1,0.230769230769231,0.666666666666667,0.102564102564103,3,9,8.26530612244898,0.333333333333333,20,26,23.8775510204082,0.769230769230769,4,4,3.6734693877551,1,3,1,0,1,17,4,0,0,3,0.538461538461538,0.205128205128205,0.256410256410256,10,21,19.2857142857143,0.476190476190476,8,8,7.3469387755102,1,9,10,9.18367346938776,0.9,0.195121951219512,4,8,7.3469387755102,0.5,0.5,0.125,0.375,1,4,3.6734693877551,0.25,1,1,0.918367346938775,1,2,3,2.75510204081633,0.666666666666667,0,0,0,0,0,0,0,0,1,0.918367346938775,0.024390243902439,0,2,7,6.42857142857143,0.170731707317073,0.179487179487179,0.285714285714286,2,2,1.83673469387755,0.0487804878048781,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.75510204081633,2,1,0.666666666666667,0,1,2,1.83673469387755,4,3.6734693877551,1,3,0.25,1,0,1,0.918367346938775,0,0,14,1,9,8.26530612244898,4,5,3,2.75510204081633,0,3,2.75510204081633,1,0.918367346938775,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edwards","ORL",1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,24.5454545454545,0.666666666666667,2,3,24.5454545454545,0.666666666666667,2,3,24.5454545454545,0.666666666666667,1,0.666666666666667,0.333333333333333,0,1,2,16.3636363636364,0.5,1,1,8.18181818181818,1,0,0,0,0,0,1,0,0,0,0,0,2,3,24.5454545454545,0.666666666666667,0,0,0,0,0,1,0,0,0,0,0,2,3,24.5454545454545,0.666666666666667,0,0,0,0,0,0,0,0,2,0,0,0,0,0.666666666666667,0.333333333333333,0,1,2,16.3636363636364,0.5,1,1,8.18181818181818,1,0,0,0,0,1,2,3,24.5454545454545,0.666666666666667,0.666666666666667,0.333333333333333,0,1,2,16.3636363636364,0.5,1,1,8.18181818181818,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8.18181818181818,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.18181818181818,1,0,1,0,0,0,0,1,8.18181818181818,0,0,1,8.18181818181818,0,1,0,0,0,0,0,1,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","WNYF",1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,19.2857142857143,0.857142857142857,15,18,16.530612244898,0.833333333333333,5,5,4.59183673469388,1,0.277777777777778,0.619047619047619,0.19047619047619,0.19047619047619,11,13,11.9387755102041,0.846153846153846,3,4,3.6734693877551,0.75,4,4,3.6734693877551,1,0,0.666666666666667,0.333333333333333,0,0,0,0,12,14,12.8571428571429,0.857142857142857,6,7,6.42857142857143,0.857142857142857,0,0.611111111111111,0.388888888888889,0,0,0,0,9,11,10.1020408163265,0.818181818181818,6,7,6.42857142857143,0.857142857142857,5,1,0,1,9,2,0,0,0,0.666666666666667,0.111111111111111,0.222222222222222,10,12,11.0204081632653,0.833333333333333,1,2,1.83673469387755,0.5,4,4,3.6734693877551,1,0.238095238095238,5,5,4.59183673469388,1,0.4,0,0.6,2,2,1.83673469387755,1,0,0,0,0,3,3,2.75510204081633,1,0,0,0,0,0,0,0,1,1,0.918367346938775,0.0476190476190476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0.918367346938775,7,6.42857142857143,5,2,0.714285714285714,1,0,1,0.918367346938775,1,0.918367346938775,6,4,5,4.59183673469388,3,2,1,0.918367346938775,0,4,3.6734693877551,6,5.51020408163265,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
