"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Betos","PTFC",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,39,36.5625,0.564102564102564,18,29,27.1875,0.620689655172414,0,1,0.9375,0,0.0344827586206897,0.948717948717949,0.0512820512820513,0,20,37,34.6875,0.540540540540541,2,2,1.875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923076923,0.0769230769230769,0,10,12,11.25,0.833333333333333,1,1,0.9375,1,0,0,0,0,0.0512820512820513,0,2,1.875,0,1,0,0,0,2,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,13.125,0.358974358974359,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0.9375,1,0,1,0,0,0,0,0,0,0,0,1,0.9375,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,1,1,0,0,7,6,1,0.857142857142857,6,1,0,2,0,8,5,3,1,1,0,3,1,2,2,0,22,39,0.564102564102564,3,3,1,0,5,0,8,18,0.444444444444444
"Brynjarsdottir","PTFC",1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,31.1538461538462,0.777777777777778,7,9,31.1538461538462,0.777777777777778,3,4,13.8461538461538,0.75,0.444444444444444,0.555555555555556,0.111111111111111,0.333333333333333,4,5,17.3076923076923,0.8,0,1,3.46153846153846,0,3,3,10.3846153846154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555555555556,0.111111111111111,0.333333333333333,4,5,17.3076923076923,0.8,0,1,3.46153846153846,0,3,3,10.3846153846154,1,0.444444444444444,3,4,13.8461538461538,0.75,0.5,0,0.5,1,2,6.92307692307692,0.5,0,0,0,0,2,2,6.92307692307692,1,0,1,3.46153846153846,0.111111111111111,0,1,0,1,1,3.46153846153846,0.111111111111111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.46153846153846,0,0,0,0,0,0,0,0,0,1,3.46153846153846,9,2,1,3.46153846153846,1,0,3,10.3846153846154,0,1,3.46153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colaprico","CRS",1,96,1,0,1,0.9375,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,51,47.8125,0.843137254901961,43,49,45.9375,0.877551020408163,23,25,23.4375,0.92,0.510204081632653,0.607843137254902,0.137254901960784,0.254901960784314,23,31,29.0625,0.741935483870968,7,7,6.5625,1,13,13,12.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591836734693878,0.142857142857143,0.26530612244898,23,29,27.1875,0.793103448275862,7,7,6.5625,1,13,13,12.1875,1,0.490196078431373,23,25,23.4375,0.92,0.44,0.2,0.36,9,11,10.3125,0.818181818181818,5,5,4.6875,1,9,9,8.4375,1,0,0,0,0,0,0,0,1,3,2.8125,0.0588235294117647,0.333333333333333,0,1,0.9375,0.0196078431372549,0.0204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0.9375,1,0,1,1,0,1,0.9375,4,3.75,1,3,0.25,2,0,2,1.875,2,1.875,14,3,16,15,9,7,2,1.875,0,3,2.8125,4,3.75,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comeau","CRS",1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,18.5294117647059,0.857142857142857,6,7,18.5294117647059,0.857142857142857,3,4,10.5882352941176,0.75,0.571428571428571,0.285714285714286,0.428571428571429,0.285714285714286,1,2,5.29411764705882,0.5,3,3,7.94117647058824,1,2,2,5.29411764705882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0.428571428571429,0.285714285714286,1,2,5.29411764705882,0.5,3,3,7.94117647058824,1,2,2,5.29411764705882,1,0.571428571428571,3,4,10.5882352941176,0.75,0.5,0.25,0.25,1,2,5.29411764705882,0.5,1,1,2.64705882352941,1,1,1,2.64705882352941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.64705882352941,0,1,0,0,0,0,0,1,2.64705882352941,2,0,2,5.29411764705882,2,0,1,2.64705882352941,0,0,0,1,2.64705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Da Costa","CRS",1,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,32,45.7142857142857,0.65625,21,32,45.7142857142857,0.65625,16,23,32.8571428571429,0.695652173913043,0.71875,0.53125,0.21875,0.25,10,17,24.2857142857143,0.588235294117647,3,7,10,0.428571428571429,8,8,11.4285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53125,0.21875,0.25,10,17,24.2857142857143,0.588235294117647,3,7,10,0.428571428571429,8,8,11.4285714285714,1,0.71875,16,23,32.8571428571429,0.695652173913043,0.565217391304348,0.173913043478261,0.260869565217391,9,13,18.5714285714286,0.692307692307692,1,4,5.71428571428571,0.25,6,6,8.57142857142857,1,0,1,1.42857142857143,0.03125,0,1,0,0,1,1.42857142857143,0.03125,0,0,2,2.85714285714286,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.85714285714286,0,2,0,2,0,4,5.71428571428571,2,2.85714285714286,2,0,1,0,0,0,0,0,0,21,1,11,15.7142857142857,10,1,1,1.42857142857143,0,0,0,1,1.42857142857143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dibernardo","CRS",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,39,52,48.75,0.75,37,45,42.1875,0.822222222222222,25,29,27.1875,0.862068965517241,0.644444444444444,0.557692307692308,0.288461538461538,0.153846153846154,21,29,27.1875,0.724137931034483,10,15,14.0625,0.666666666666667,8,8,7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622222222222222,0.244444444444444,0.133333333333333,21,28,26.25,0.75,10,11,10.3125,0.909090909090909,6,6,5.625,1,0.557692307692308,25,29,27.1875,0.862068965517241,0.586206896551724,0.206896551724138,0.206896551724138,14,17,15.9375,0.823529411764706,5,6,5.625,0.833333333333333,6,6,5.625,1,1,1,0.9375,0.0222222222222222,1,1,0,2,2,1.875,0.0384615384615385,1,2,3,2.8125,0.0576923076923077,0.0666666666666667,0.666666666666667,0,0,0,0,0,1,4,0.25,0,0,1,3,0.333333333333333,0,0,0,0,3,1,0.9375,1,0,1,0,2,2,1.875,8,7.5,0,8,0,2,3,5,4.6875,1,0.9375,27,5,13,12.1875,8,5,2,1.875,0,9,8.4375,1,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilliland","CRS",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,43,40.3125,0.720930232558139,23,35,32.8125,0.657142857142857,13,21,19.6875,0.619047619047619,0.6,0.581395348837209,0.27906976744186,0.13953488372093,19,25,23.4375,0.76,6,12,11.25,0.5,6,6,5.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485714285714286,0.342857142857143,0.171428571428571,11,17,15.9375,0.647058823529412,6,12,11.25,0.5,6,6,5.625,1,0.488372093023256,13,21,19.6875,0.619047619047619,0.380952380952381,0.428571428571429,0.19047619047619,5,8,7.5,0.625,4,9,8.4375,0.444444444444444,4,4,3.75,1,0,5,4.6875,0.142857142857143,0,4,1,0,2,1.875,0.0465116279069767,0,0,0,0,0,0,0,8,8,7.5,0.186046511627907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.6875,0,5,0,1,0,6,5.625,0,0,0,0,0,4,2,6,5.625,4,3.75,28,4,17,15.9375,9,8,3,2.8125,0,8,7.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","PTFC",1,96,1,0,2,1.875,0.5,1,0,1,0,1,0.5,0,1,0,1,0,0,0,0,0,0,0,0,1,0.9375,0,0,0,0,1,0,0,35,44,41.25,0.795454545454545,31,39,36.5625,0.794871794871795,24,29,27.1875,0.827586206896552,0.743589743589744,0.386363636363636,0.25,0.363636363636364,10,17,15.9375,0.588235294117647,9,11,10.3125,0.818181818181818,16,16,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435897435897436,0.179487179487179,0.384615384615385,10,17,15.9375,0.588235294117647,6,7,6.5625,0.857142857142857,15,15,14.0625,1,0.659090909090909,24,29,27.1875,0.827586206896552,0.379310344827586,0.206896551724138,0.413793103448276,6,11,10.3125,0.545454545454545,6,6,5.625,1,12,12,11.25,1,1,1,0.9375,0.0256410256410256,1,1,0,0,1,0.9375,0.0227272727272727,0,0,2,1.875,0.0454545454545455,0.0512820512820513,0,0,0,0,0,0,4,5,0.8,0,0,0,0,0,0,0,1,0,1,13,12.1875,9,4,0.692307692307692,5,4,13,12.1875,2,1.875,0,2,0,4,0,4,3.75,1,0.9375,26,5,6,5.625,2,4,2,1.875,0,3,2.8125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Henry","PTFC",1,71,1,0,2,2.53521126760563,0,0,0,2,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,34.2253521126761,0.925925925925926,25,27,34.2253521126761,0.925925925925926,16,18,22.8169014084507,0.888888888888889,0.666666666666667,0.444444444444444,0.296296296296296,0.259259259259259,10,12,15.2112676056338,0.833333333333333,8,8,10.1408450704225,1,7,7,8.87323943661972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444444444,0.296296296296296,0.259259259259259,10,12,15.2112676056338,0.833333333333333,8,8,10.1408450704225,1,7,7,8.87323943661972,1,0.666666666666667,16,18,22.8169014084507,0.888888888888889,0.444444444444444,0.222222222222222,0.333333333333333,6,8,10.1408450704225,0.75,4,4,5.07042253521127,1,6,6,7.6056338028169,1,0,0,0,0,0,0,0,1,1,1.26760563380282,0.037037037037037,1,1,1,1.26760563380282,0.037037037037037,0.037037037037037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.53521126760563,2,0,1,1,2,3,3.80281690140845,1,1.26760563380282,0,1,0,2,1,3,3.80281690140845,0,0,13,5,7,8.87323943661972,6,1,2,2.53521126760563,0,2,2.53521126760563,2,2.53521126760563,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","PTFC",1,96,1,0,3,2.8125,0.333333333333333,1,0,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,48,45,0.770833333333333,37,48,45,0.770833333333333,21,30,28.125,0.7,0.625,0.333333333333333,0.1875,0.479166666666667,7,16,15,0.4375,8,9,8.4375,0.888888888888889,22,23,21.5625,0.956521739130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.1875,0.479166666666667,7,16,15,0.4375,8,9,8.4375,0.888888888888889,22,23,21.5625,0.956521739130435,0.625,21,30,28.125,0.7,0.4,0.2,0.4,4,12,11.25,0.333333333333333,5,6,5.625,0.833333333333333,12,12,11.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.8125,1,2,0.333333333333333,3,1,6,5.625,9,8.4375,5,4,0.555555555555556,2,0,2,1.875,2,1.875,34,6,9,8.4375,6,3,1,0.9375,0,1,0.9375,3,2.8125,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
