"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Betos","PTFC",1,131,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,43,29.5419847328244,0.697674418604651,21,27,18.5496183206107,0.777777777777778,1,4,2.74809160305343,0.25,0.148148148148148,0.883720930232558,0.116279069767442,0,25,38,26.1068702290076,0.657894736842105,5,5,3.43511450381679,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0,11,15,10.3053435114504,0.733333333333333,5,5,3.43511450381679,1,0,0,0,0,0.0930232558139535,1,4,2.74809160305343,0.25,0.75,0.25,0,0,3,2.06106870229008,0,1,1,0.687022900763359,1,0,0,0,0,0,0,0,0,0,0,0,8,19,13.0534351145038,0.441860465116279,0.421052631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.687022900763359,1,0,1,0,0,0,0,0,0,0,0,1,0.687022900763359,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0.333333333333333,3,2,1,0.333333333333333,6,6,0,1,8,0,1,5,0,5,4,1,1,1,0,1,0,1,1,0,30,43,0.697674418604651,5,6,0.833333333333333,4,9,0.444444444444444,5,8,0.625
"Brynjarsdottir","PTFC",1,61,0,0,3,4.42622950819672,0.666666666666667,2,0,1,"0",2,0.666666666666667,0,0,0,0,0,0,0,1,0,0,0,1.47540983606557,0,0,0,0,0,0,0,0,0,15,18,26.5573770491803,0.833333333333333,15,18,26.5573770491803,0.833333333333333,7,7,10.327868852459,1,0.368421052631579,0.388888888888889,0.222222222222222,0.388888888888889,5,7,10.327868852459,0.714285714285714,3,4,5.9016393442623,0.75,7,7,10.327868852459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388888888888889,0.222222222222222,0.388888888888889,5,7,10.327868852459,0.714285714285714,3,4,5.9016393442623,0.75,7,7,10.327868852459,1,0.368421052631579,7,7,10.327868852459,1,0.285714285714286,0.285714285714286,0.428571428571429,2,2,2.95081967213115,1,2,2,2.95081967213115,1,3,3,4.42622950819672,1,1,2,2.95081967213115,0.111111111111111,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.47540983606557,12,17.7049180327869,6,6,0.5,0,2,2,2.95081967213115,1,1.47540983606557,7,3,5,7.37704918032787,3,2,1,1.47540983606557,0,1,1.47540983606557,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D'Angelo","WNYF",1,131,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,37,25.4198473282443,0.405405405405405,10,19,13.0534351145038,0.526315789473684,2,4,2.74809160305343,0.5,0.210526315789474,1,0,0,15,37,25.4198473282443,0.405405405405405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,10,6.87022900763359,0.5,0,0,0,0,0,0,0,0,0.135135135135135,3,5,3.43511450381679,0.6,1,0,0,3,5,3.43511450381679,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,34,23.3587786259542,0.918918918918919,0.382352941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.37404580152672,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,4,12,0.333333333333333,1,0,1,1,6,4,2,0.666666666666667,9,0,0,9,0,8,4,4,2,2,0,5,0,5,1,1,15,37,0.405405405405405,0,0,0,5,15,0.333333333333333,5,12,0.416666666666667
"Dahlkemper","WNYF",1,131,1,0,1,0.687022900763359,0,0,0,1,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,31,21.2977099236641,0.645161290322581,15,22,15.1145038167939,0.681818181818182,9,11,7.55725190839695,0.818181818181818,0.5,0.580645161290323,0.290322580645161,0.129032258064516,10,18,12.3664122137405,0.555555555555556,6,9,6.18320610687023,0.666666666666667,4,4,2.74809160305343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681818181818182,0.136363636363636,0.181818181818182,9,15,10.3053435114504,0.6,2,3,2.06106870229008,0.666666666666667,4,4,2.74809160305343,1,0.354838709677419,9,11,7.55725190839695,0.818181818181818,0.727272727272727,0.0909090909090909,0.181818181818182,6,8,5.49618320610687,0.75,1,1,0.687022900763359,1,2,2,1.37404580152672,1,0,0,0,0,0,0,0,1,5,3.43511450381679,0.161290322580645,0.2,1,1,0.687022900763359,0.032258064516129,0.0454545454545455,1,0,0,0,0,0,3,5,0.6,0,0,2,4,0.5,0,0,1,0,5,0,0,0,0,0,1,2,3,2.06106870229008,3,2.06106870229008,1,2,0.333333333333333,1,1,2,1.37404580152672,2,1.37404580152672,11,5,13,8.93129770992366,13,0,5,3.43511450381679,0,3,2.06106870229008,8,5.49618320610687,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",1,68,1,1,2,2.64705882352941,1,1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.32352941176471,0,0,1,0,0,0,0,12,14,18.5294117647059,0.857142857142857,12,14,18.5294117647059,0.857142857142857,9,9,11.9117647058824,1,0.642857142857143,0.428571428571429,0.428571428571429,0.142857142857143,5,6,7.94117647058824,0.833333333333333,5,6,7.94117647058824,0.833333333333333,2,2,2.64705882352941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,0.428571428571429,0.142857142857143,5,6,7.94117647058824,0.833333333333333,5,6,7.94117647058824,0.833333333333333,2,2,2.64705882352941,1,0.642857142857143,9,9,11.9117647058824,1,0.555555555555556,0.333333333333333,0.111111111111111,5,5,6.61764705882353,1,3,3,3.97058823529412,1,1,1,1.32352941176471,1,3,5,6.61764705882353,0.357142857142857,0.6,5,0,1,1,1.32352941176471,0.0714285714285714,1,1,1,1.32352941176471,0.0714285714285714,0.0714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.32352941176471,1,0,1,0,1,1,1.32352941176471,3,3.97058823529412,2,1,0.666666666666667,1,0,1,1.32352941176471,2,2.64705882352941,19,0,0,0,0,0,0,0,0,0,0,1,1.32352941176471,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eddy","WNYF",1,131,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30,20.6106870229008,0.633333333333333,16,24,16.4885496183206,0.666666666666667,8,11,7.55725190839695,0.727272727272727,0.458333333333333,0.766666666666667,0.0666666666666667,0.166666666666667,13,23,15.8015267175573,0.565217391304348,2,2,1.37404580152672,1,4,5,3.43511450381679,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708333333333333,0.0833333333333333,0.208333333333333,10,17,11.6793893129771,0.588235294117647,2,2,1.37404580152672,1,4,5,3.43511450381679,0.8,0.366666666666667,8,11,7.55725190839695,0.727272727272727,0.545454545454545,0.0909090909090909,0.363636363636364,3,6,4.12213740458015,0.5,1,1,0.687022900763359,1,4,4,2.74809160305343,1,0,1,0.687022900763359,0.0416666666666667,0,0,1,1,2,1.37404580152672,0.0666666666666667,0.5,2,2,1.37404580152672,0.0666666666666667,0.0833333333333333,1,3,6,4.12213740458015,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.37404580152672,1,1,0.5,0,0,1,0.687022900763359,2,1.37404580152672,0,2,0,3,1,4,2.74809160305343,2,1.37404580152672,19,9,13,8.93129770992366,10,3,5,3.43511450381679,0,0,0,8,5.49618320610687,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","WNYF",1,131,1,0,1,0.687022900763359,0,0,0,1,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,34,23.3587786259542,0.735294117647059,25,34,23.3587786259542,0.735294117647059,12,15,10.3053435114504,0.8,0.441176470588235,0.588235294117647,0.294117647058824,0.117647058823529,12,20,13.7404580152672,0.6,9,10,6.87022900763359,0.9,4,4,2.74809160305343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588235294117647,0.294117647058824,0.117647058823529,12,20,13.7404580152672,0.6,9,10,6.87022900763359,0.9,4,4,2.74809160305343,1,0.441176470588235,12,15,10.3053435114504,0.8,0.6,0.333333333333333,0.0666666666666667,6,9,6.18320610687023,0.666666666666667,5,5,3.43511450381679,1,1,1,0.687022900763359,1,0,0,0,0,0,0,0,2,5,3.43511450381679,0.147058823529412,0.4,0,1,0.687022900763359,0.0294117647058824,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.687022900763359,22,15.1145038167939,11,11,0.5,2,3,5,3.43511450381679,1,0.687022900763359,38,8,16,10.9923664122137,9,6,3,2.06106870229008,0,2,1.37404580152672,7,4.80916030534351,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hahn","WNYF",1,10,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamilton","WNYF",1,32,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,14.0625,0.8,4,5,14.0625,0.8,2,2,5.625,1,0.4,0.6,0,0.4,2,3,8.4375,0.666666666666667,0,0,0,0,2,2,5.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.4,2,3,8.4375,0.666666666666667,0,0,0,0,2,2,5.625,1,0.4,2,2,5.625,1,0.5,0,0.5,1,1,2.8125,1,0,0,0,0,1,1,2.8125,1,1,1,2.8125,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5.625,2,5.625,0,2,0,0,1,1,2.8125,1,2.8125,3,1,2,5.625,2,0,0,0,0,2,5.625,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","PTFC",1,131,1,0,3,2.06106870229008,1,3,0,0,"0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,70,48.0916030534351,0.785714285714286,44,51,35.0381679389313,0.862745098039216,29,32,21.9847328244275,0.90625,0.627450980392157,0.328571428571429,0.414285714285714,0.257142857142857,15,23,15.8015267175573,0.652173913043478,22,29,19.9236641221374,0.758620689655172,18,18,12.3664122137405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352941176470588,0.333333333333333,0.313725490196078,12,18,12.3664122137405,0.666666666666667,16,17,11.6793893129771,0.941176470588235,16,16,10.9923664122137,1,0.457142857142857,29,32,21.9847328244275,0.90625,0.28125,0.40625,0.3125,7,9,6.18320610687023,0.777777777777778,12,13,8.93129770992366,0.923076923076923,10,10,6.87022900763359,1,3,4,2.74809160305343,0.0784313725490196,0.75,4,0,2,3,2.06106870229008,0.0428571428571429,0.666666666666667,1,3,2.06106870229008,0.0428571428571429,0.0588235294117647,0.333333333333333,3,3,2.06106870229008,0.0428571428571429,1,4,10,0.4,0,0,4,6,0.666666666666667,0,0,1,0,7,8,5.49618320610687,4,4,0.5,2,6,12,8.24427480916031,0,0,0,0,0,1,0,1,0.687022900763359,1,0.687022900763359,16,0,17,11.6793893129771,8,9,2,1.37404580152672,0,2,1.37404580152672,2,1.37404580152672,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
