"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Barnes","SRFC",1,90,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,83,83,0.819277108433735,49,59,59,0.830508474576271,27,31,31,0.870967741935484,0.525423728813559,0.397590361445783,0.325301204819277,0.27710843373494,24,33,33,0.727272727272727,21,27,27,0.777777777777778,23,23,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389830508474576,0.288135593220339,0.322033898305085,16,23,23,0.695652173913043,14,17,17,0.823529411764706,19,19,19,1,0.373493975903614,27,31,31,0.870967741935484,0.354838709677419,0.32258064516129,0.32258064516129,9,11,11,0.818181818181818,8,10,10,0.8,10,10,10,1,1,2,2,0.0338983050847458,0.5,2,0,2,4,4,0.0481927710843374,0.5,1,3,3,0.036144578313253,0.0508474576271186,0.333333333333333,19,22,22,0.265060240963855,0.863636363636364,0,2,0,0,0,0,0,0,0,0,0,0,0,6,6,5,1,0.833333333333333,2,1,4,4,2,2,1,1,0.5,4,0,4,4,3,3,15,4,6,6,4,2,2,2,0,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beckmann","BOS",1,67,1,0,2,2.6865671641791,0,0,0,2,"0",1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1.34328358208955,0,0,0,1,0,0,0,9,13,17.4626865671642,0.692307692307692,9,13,17.4626865671642,0.692307692307692,8,11,14.7761194029851,0.727272727272727,0.846153846153846,0.230769230769231,0.384615384615385,0.384615384615385,2,3,4.02985074626866,0.666666666666667,3,5,6.71641791044776,0.6,4,5,6.71641791044776,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230769230769231,0.384615384615385,0.384615384615385,2,3,4.02985074626866,0.666666666666667,3,5,6.71641791044776,0.6,4,5,6.71641791044776,0.8,0.846153846153846,8,11,14.7761194029851,0.727272727272727,0.181818181818182,0.454545454545455,0.363636363636364,2,2,2.6865671641791,1,3,5,6.71641791044776,0.6,3,4,5.37313432835821,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.34328358208955,0.0769230769230769,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,10.7462686567164,4,4,0.5,4,0,8,10.7462686567164,6,8.05970149253731,0,6,0,1,0,1,1.34328358208955,3,4.02985074626866,35,1,2,2.6865671641791,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0.692307692307692,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",1,90,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,60,60,0.916666666666667,51,55,55,0.927272727272727,11,12,12,0.916666666666667,0.218181818181818,0.483333333333333,0.366666666666667,0.15,24,29,29,0.827586206896552,22,22,22,1,9,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472727272727273,0.363636363636364,0.163636363636364,22,26,26,0.846153846153846,20,20,20,1,9,9,9,1,0.2,11,12,12,0.916666666666667,0.25,0.416666666666667,0.333333333333333,2,3,3,0.666666666666667,5,5,5,1,4,4,4,1,0,1,1,0.0181818181818182,0,0,1,5,7,7,0.116666666666667,0.714285714285714,1,1,1,0.0166666666666667,0.0181818181818182,1,0,0,0,0,0,0,0,0,0,0,4,5,0.8,0,0,0,0,5,2,2,2,0,1,1,1,2,2,2,2,1,1,0.5,2,0,2,2,0,0,4,1,6,6,3,3,0,0,0,1,1,5,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cruz","SRFC",1,4,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,67.5,0.666666666666667,2,3,67.5,0.666666666666667,1,2,45,0.5,0.666666666666667,0,0.333333333333333,0.666666666666667,0,0,0,0,0,1,22.5,0,2,2,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,1,22.5,0,2,2,45,1,0.666666666666667,1,2,45,0.5,0,0.5,0.5,0,0,0,0,0,1,22.5,0,1,1,22.5,1,0,1,22.5,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.5,1,0,1,0,0,0,0,1,22.5,0,1,0,0,0,0,0,0,0,4,0,1,22.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elby","BOS",1,16,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,39.375,0.857142857142857,6,7,39.375,0.857142857142857,3,3,16.875,1,0.428571428571429,0.571428571428571,0.285714285714286,0.142857142857143,3,4,22.5,0.75,2,2,11.25,1,1,1,5.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,0.285714285714286,0.142857142857143,3,4,22.5,0.75,2,2,11.25,1,1,1,5.625,1,0.428571428571429,3,3,16.875,1,0.333333333333333,0.666666666666667,0,1,1,5.625,1,2,2,11.25,1,0,0,0,0,0,1,5.625,0.142857142857143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11.25,2,11.25,2,0,1,2,0,2,11.25,1,5.625,2,0,3,16.875,1,2,2,11.25,0,0,0,2,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elston","SRFC",1,21,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,34.2857142857143,0.875,7,8,34.2857142857143,0.875,2,2,8.57142857142857,1,0.25,0.375,0.125,0.5,3,3,12.8571428571429,1,0,1,4.28571428571429,0,4,4,17.1428571428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.125,0.5,3,3,12.8571428571429,1,0,1,4.28571428571429,0,4,4,17.1428571428571,1,0.25,2,2,8.57142857142857,1,0.5,0,0.5,1,1,4.28571428571429,1,0,0,0,0,1,1,4.28571428571429,1,0,0,0,0,0,0,0,1,1,4.28571428571429,0.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8.57142857142857,1,4.28571428571429,0,1,0,1,0,1,4.28571428571429,0,0,3,0,2,8.57142857142857,1,1,0,0,0,0,0,1,4.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",1,90,1,0,1,1,1,1,0,0,"0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,70,70,0.785714285714286,54,68,68,0.794117647058823,22,29,29,0.758620689655172,0.426470588235294,0.542857142857143,0.271428571428571,0.185714285714286,26,38,38,0.684210526315789,16,19,19,0.842105263157895,13,13,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544117647058823,0.264705882352941,0.191176470588235,26,37,37,0.702702702702703,15,18,18,0.833333333333333,13,13,13,1,0.414285714285714,22,29,29,0.758620689655172,0.413793103448276,0.413793103448276,0.172413793103448,8,12,12,0.666666666666667,9,12,12,0.75,5,5,5,1,1,3,3,0.0441176470588235,0.333333333333333,2,1,4,8,8,0.114285714285714,0.5,6,10,10,0.142857142857143,0.147058823529412,0.6,0,1,1,0.0142857142857143,0,0,0,0,0,0,1,1,1,0,0,0,0,1,5,5,4,1,0.8,1,1,3,3,5,5,4,1,0.8,4,0,4,4,2,2,9,3,8,8,4,4,1,1,0,2,2,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",1,90,1,0,1,1,0,0,0,1,"0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,59,67,67,0.880597014925373,58,65,65,0.892307692307692,15,18,18,0.833333333333333,0.276923076923077,0.611940298507463,0.328358208955224,0.0597014925373134,33,41,41,0.804878048780488,22,22,22,1,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.338461538461538,0.0615384615384615,32,39,39,0.82051282051282,22,22,22,1,4,4,4,1,0.26865671641791,15,18,18,0.833333333333333,0.555555555555556,0.388888888888889,0.0555555555555556,7,10,10,0.7,7,7,7,1,1,1,1,1,0,1,1,0.0153846153846154,0,0,1,0,5,5,0.0746268656716418,0,0,2,2,0.0298507462686567,0.0307692307692308,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,2,2,2,0,1,1,0,1,1,11,11,8,3,0.727272727272727,1,0,1,1,2,2,9,2,7,7,6,1,3,3,0,0,0,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kallman","BOS",1,90,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,18,0.722222222222222,12,16,16,0.75,6,9,9,0.666666666666667,0.5625,0.666666666666667,0.166666666666667,0.166666666666667,7,12,12,0.583333333333333,3,3,3,1,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6875,0.125,0.1875,7,11,11,0.636363636363636,2,2,2,1,3,3,3,1,0.5,6,9,9,0.666666666666667,0.666666666666667,0.111111111111111,0.222222222222222,3,6,6,0.5,1,1,1,1,2,2,2,1,0,0,0,0,0,0,0,1,3,3,0.166666666666667,0.333333333333333,0,1,1,0.0555555555555556,0.0625,0,1,2,2,0.111111111111111,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,7,2,4,4,2,2,2,2,0,1,1,12,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kawasumi","SRFC",1,90,1,2,3,3,1,1,0,0,"0",3,1,0,1,0,0,0,0,0,2,0,0,0,2,1,1,1,1,0,0,0,0,0,37,52,52,0.711538461538462,34,44,44,0.772727272727273,28,35,35,0.8,0.795454545454545,0.25,0.557692307692308,0.192307692307692,9,13,13,0.692307692307692,19,29,29,0.655172413793103,9,10,10,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.545454545454545,0.204545454545455,8,11,11,0.727272727272727,18,24,24,0.75,8,9,9,0.888888888888889,0.673076923076923,28,35,35,0.8,0.228571428571429,0.571428571428571,0.2,7,8,8,0.875,14,20,20,0.7,7,7,7,1,3,8,8,0.181818181818182,0.375,7,1,0,0,0,0,0,2,4,4,0.0769230769230769,0.0909090909090909,0.5,2,4,4,0.0769230769230769,0.5,1,2,0.5,0,1,0,2,0,0,0,0,0,2,2,2,1,1,0.5,1,1,3,3,1,1,0,1,0,0,0,0,0,1,1,21,1,11,11,7,3,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
