"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","no","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Barnes","SRFC",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,86,81.4736842105263,0.825581395348837,54,66,62.5263157894737,0.818181818181818,25,31,29.3684210526316,0.806451612903226,0.46969696969697,0.627906976744186,0.244186046511628,0.127906976744186,41,54,51.1578947368421,0.759259259259259,19,21,19.8947368421053,0.904761904761905,11,11,10.4210526315789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621212121212121,0.212121212121212,0.166666666666667,31,41,38.8421052631579,0.75609756097561,12,14,13.2631578947368,0.857142857142857,11,11,10.4210526315789,1,0.36046511627907,25,31,29.3684210526316,0.806451612903226,0.612903225806452,0.225806451612903,0.161290322580645,14,19,18,0.736842105263158,6,7,6.63157894736842,0.857142857142857,5,5,4.73684210526316,1,0,1,0.947368421052632,0.0151515151515152,0,0,1,4,6,5.68421052631579,0.0697674418604651,0.666666666666667,0,0,0,0,0,0,16,19,18,0.22093023255814,0.842105263157895,0,0,0,0,0,1,1,1,0,0,0,0,1,3,2.84210526315789,2,1,0.666666666666667,1,2,4,3.78947368421053,0,0,0,0,0,2,0,2,1.89473684210526,5,4.73684210526316,11,1,10,9.47368421052632,5,5,1,0.947368421052632,0,5,4.73684210526316,7,6.63157894736842,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colaprico","CRS",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,52,49.2631578947368,0.846153846153846,44,49,46.421052631579,0.897959183673469,22,22,20.8421052631579,1,0.448979591836735,0.384615384615385,0.403846153846154,0.211538461538462,16,20,18.9473684210526,0.8,17,21,19.8947368421053,0.80952380952381,11,11,10.4210526315789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408163265306122,0.36734693877551,0.224489795918367,16,20,18.9473684210526,0.8,17,18,17.0526315789474,0.944444444444444,11,11,10.4210526315789,1,0.423076923076923,22,22,20.8421052631579,1,0.363636363636364,0.409090909090909,0.227272727272727,8,8,7.57894736842105,1,9,9,8.52631578947368,1,5,5,4.73684210526316,1,0,0,0,0,0,0,0,1,3,2.84210526315789,0.0576923076923077,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,2.84210526315789,3,0,1,0,1,1,0.947368421052632,2,1.89473684210526,1,1,0.5,3,0,3,2.84210526315789,0,0,17,6,8,7.57894736842105,6,2,5,4.73684210526316,0,9,8.52631578947368,7,6.63157894736842,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comeau","CRS",1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,40,0.75,9,12,40,0.75,6,8,26.6666666666667,0.75,0.666666666666667,0.333333333333333,0.25,0.416666666666667,2,4,13.3333333333333,0.5,2,3,10,0.666666666666667,5,5,16.6666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.25,0.416666666666667,2,4,13.3333333333333,0.5,2,3,10,0.666666666666667,5,5,16.6666666666667,1,0.666666666666667,6,8,26.6666666666667,0.75,0.25,0.25,0.5,1,2,6.66666666666667,0.5,1,2,6.66666666666667,0.5,4,4,13.3333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6.66666666666667,0.166666666666667,0.166666666666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.33333333333333,1,0,1,1,2,3,10,2,6.66666666666667,0,2,0,0,0,0,0,2,6.66666666666667,12,2,4,13.3333333333333,3,1,1,3.33333333333333,0,1,3.33333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,39,36.9473684210526,0.871794871794872,33,36,34.1052631578947,0.916666666666667,20,21,19.8947368421053,0.952380952380952,0.583333333333333,0.58974358974359,0.230769230769231,0.179487179487179,18,23,21.7894736842105,0.782608695652174,9,9,8.52631578947368,1,7,7,6.63157894736842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555555555556,0.25,0.194444444444444,17,20,18.9473684210526,0.85,9,9,8.52631578947368,1,7,7,6.63157894736842,1,0.538461538461538,20,21,19.8947368421053,0.952380952380952,0.619047619047619,0.0952380952380952,0.285714285714286,12,13,12.3157894736842,0.923076923076923,2,2,1.89473684210526,1,6,6,5.68421052631579,1,0,1,0.947368421052632,0.0277777777777778,0,0,1,1,2,1.89473684210526,0.0512820512820513,0.5,0,0,0,0,0,0,0,2,1.89473684210526,0.0512820512820513,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0.947368421052632,1,0,1,0,0,0,0,1,0.947368421052632,1,0,1,4,2,6,5.68421052631579,2,1.89473684210526,13,2,10,9.47368421052632,7,3,5,4.73684210526316,0,6,5.68421052631579,2,1.89473684210526,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cruz","SRFC",1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,18,0.333333333333333,1,3,18,0.333333333333333,0,1,6,0,0.333333333333333,0.666666666666667,0.333333333333333,0,1,2,12,0.5,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0,1,2,12,0.5,0,1,6,0,0,0,0,0,0.333333333333333,0,1,6,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Da Costa","CRS",1,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,30,0.826086956521739,19,23,30,0.826086956521739,14,15,19.5652173913043,0.933333333333333,0.652173913043478,0.478260869565217,0.130434782608696,0.391304347826087,7,11,14.3478260869565,0.636363636363636,3,3,3.91304347826087,1,9,9,11.7391304347826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478260869565217,0.130434782608696,0.391304347826087,7,11,14.3478260869565,0.636363636363636,3,3,3.91304347826087,1,9,9,11.7391304347826,1,0.652173913043478,14,15,19.5652173913043,0.933333333333333,0.466666666666667,0.0666666666666667,0.466666666666667,6,7,9.1304347826087,0.857142857142857,1,1,1.30434782608696,1,7,7,9.1304347826087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.30434782608696,0.0434782608695652,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.60869565217391,1,1,0.5,1,0,2,2.60869565217391,2,2.60869565217391,0,2,0,1,0,1,1.30434782608696,3,3.91304347826087,37,2,5,6.52173913043478,2,3,0,0,0,1,1.30434782608696,1,1.30434782608696,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallstream","SRFC",1,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,32,44.3076923076923,0.8125,26,32,44.3076923076923,0.8125,22,23,31.8461538461538,0.956521739130435,0.71875,0.46875,0.34375,0.1875,10,15,20.7692307692308,0.666666666666667,10,11,15.2307692307692,0.909090909090909,6,6,8.30769230769231,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46875,0.34375,0.1875,10,15,20.7692307692308,0.666666666666667,10,11,15.2307692307692,0.909090909090909,6,6,8.30769230769231,1,0.71875,22,23,31.8461538461538,0.956521739130435,0.304347826086957,0.434782608695652,0.260869565217391,7,7,9.69230769230769,1,9,10,13.8461538461538,0.9,6,6,8.30769230769231,1,1,1,1.38461538461538,0.03125,1,1,0,0,0,0,0,0,1,3,4.15384615384615,0.09375,0.09375,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.15384615384615,3,0,1,1,3,4,5.53846153846154,2,2.76923076923077,0,2,0,2,0,2,2.76923076923077,2,2.76923076923077,20,2,6,8.30769230769231,4,2,0,0,0,3,4.15384615384615,1,1.38461538461538,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiBernardo","CRS",1,95,1,0,2,1.89473684210526,0.5,1,0,1,0,0,0,0,0,0,2,0,0,1,2,1,0,0.947368421052632,1.89473684210526,0,0,0,0,0,0,0,0,0,59,73,69.1578947368421,0.808219178082192,56,67,63.4736842105263,0.835820895522388,41,45,42.6315789473684,0.911111111111111,0.671641791044776,0.547945205479452,0.164383561643836,0.287671232876712,28,40,37.8947368421053,0.7,10,12,11.3684210526316,0.833333333333333,21,21,19.8947368421053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552238805970149,0.164179104477612,0.283582089552239,28,37,35.0526315789474,0.756756756756757,9,11,10.4210526315789,0.818181818181818,19,19,18,1,0.616438356164384,41,45,42.6315789473684,0.911111111111111,0.6,0.155555555555556,0.244444444444444,23,27,25.5789473684211,0.851851851851852,7,7,6.63157894736842,1,11,11,10.4210526315789,1,1,2,1.89473684210526,0.0298507462686567,0.5,0,2,2,5,4.73684210526316,0.0684931506849315,0.4,3,5,4.73684210526316,0.0684931506849315,0.0746268656716418,0.6,1,1,0.947368421052632,0.0136986301369863,1,1,1,1,0,0,1,4,0.25,0,0,0,0,4,2,1.89473684210526,2,0,1,2,0,2,1.89473684210526,3,2.84210526315789,2,1,0.666666666666667,6,0,6,5.68421052631579,5,4.73684210526316,41,1,9,8.52631578947368,7,2,4,3.78947368421053,0,8,7.57894736842105,1,0.947368421052632,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elston","SRFC",1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,46.4516129032258,0.75,12,16,46.4516129032258,0.75,6,6,17.4193548387097,1,0.375,0.75,0.125,0.125,8,12,34.8387096774194,0.666666666666667,2,2,5.80645161290323,1,2,2,5.80645161290323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.125,0.125,8,12,34.8387096774194,0.666666666666667,2,2,5.80645161290323,1,2,2,5.80645161290323,1,0.375,6,6,17.4193548387097,1,0.666666666666667,0.166666666666667,0.166666666666667,4,4,11.6129032258065,1,1,1,2.90322580645161,1,1,1,2.90322580645161,1,1,1,2.90322580645161,0.0625,1,0,1,0,0,0,0,0,0,1,2.90322580645161,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.90322580645161,1,0,1,2,1,3,8.70967741935484,1,2.90322580645161,1,0,1,0,0,0,0,1,2.90322580645161,6,3,3,8.70967741935484,1,2,1,2.90322580645161,0,2,5.80645161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,49,46.421052631579,0.816326530612245,36,45,42.6315789473684,0.8,16,19,18,0.842105263157895,0.422222222222222,0.755102040816326,0.183673469387755,0.0612244897959184,29,37,35.0526315789474,0.783783783783784,8,9,8.52631578947368,0.888888888888889,3,3,2.84210526315789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733333333333333,0.2,0.0666666666666667,25,33,31.2631578947368,0.757575757575758,8,9,8.52631578947368,0.888888888888889,3,3,2.84210526315789,1,0.387755102040816,16,19,18,0.842105263157895,0.631578947368421,0.263157894736842,0.105263157894737,10,12,11.3684210526316,0.833333333333333,4,5,4.73684210526316,0.8,2,2,1.89473684210526,1,0,0,0,0,0,0,0,3,7,6.63157894736842,0.142857142857143,0.428571428571429,0,0,0,0,0,0,1,1,0.947368421052632,0.0204081632653061,1,0,0,0,0,0,3,3,1,0,0,0,0,3,3,2.84210526315789,3,0,1,0,0,0,0,1,0.947368421052632,1,0,1,1,0,1,0.947368421052632,1,0.947368421052632,7,1,9,8.52631578947368,8,1,0,0,0,3,2.84210526315789,7,6.63157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
