"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","no","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Andressa","HOU",1,94,1,0,4,3.82978723404255,0.5,2,0,2,0,1,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,57,54.5744680851064,0.807017543859649,45,56,53.6170212765957,0.803571428571429,35,43,41.1702127659574,0.813953488372093,0.767857142857143,0.526315789473684,0.175438596491228,0.298245614035088,21,30,28.7234042553191,0.7,8,10,9.57446808510638,0.8,17,17,16.2765957446809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517857142857143,0.178571428571429,0.303571428571429,20,29,27.7659574468085,0.689655172413793,8,10,9.57446808510638,0.8,17,17,16.2765957446809,1,0.754385964912281,35,43,41.1702127659574,0.813953488372093,0.488372093023256,0.186046511627907,0.325581395348837,15,21,20.1063829787234,0.714285714285714,6,8,7.65957446808511,0.75,14,14,13.4042553191489,1,1,1,0.957446808510638,0.0178571428571429,1,0,1,1,2,1.91489361702128,0.0350877192982456,0.5,0,1,0.957446808510638,0.0175438596491228,0.0178571428571429,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,2.87234042553191,3,0,1,3,1,4,3.82978723404255,3,2.87234042553191,1,2,0.333333333333333,0,2,2,1.91489361702128,3,2.87234042553191,37,3,8,7.65957446808511,7,1,1,0.957446808510638,0,4,3.82978723404255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnes","SRFC",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0,0,50,62,59.3617021276596,0.806451612903226,38,47,45,0.808510638297872,33,37,35.4255319148936,0.891891891891892,0.787234042553192,0.564516129032258,0.17741935483871,0.258064516129032,28,35,33.5106382978723,0.8,7,11,10.531914893617,0.636363636363636,15,16,15.3191489361702,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617021276595745,0.0851063829787234,0.297872340425532,23,29,27.7659574468085,0.793103448275862,2,4,3.82978723404255,0.5,13,14,13.4042553191489,0.928571428571429,0.596774193548387,33,37,35.4255319148936,0.891891891891892,0.594594594594595,0.0540540540540541,0.351351351351351,19,22,21.063829787234,0.863636363636364,2,2,1.91489361702128,1,12,13,12.4468085106383,0.923076923076923,1,2,1.91489361702128,0.0425531914893617,0.5,2,0,2,3,2.87234042553191,0.0483870967741935,0.666666666666667,0,0,0,0,0,0,9,10,9.57446808510638,0.161290322580645,0.9,3,4,0.75,0,1,0,1,0,0,0,0,0,1,2,1.91489361702128,2,0,1,2,0,2,1.91489361702128,0,0,0,0,0,1,0,1,0.957446808510638,4,3.82978723404255,8,2,3,2.87234042553191,3,0,4,3.82978723404255,0,7,6.70212765957447,4,3.82978723404255,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beckie","HOU",1,78,1,0,1,1.15384615384615,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,37,42.6923076923077,0.837837837837838,29,35,40.3846153846154,0.828571428571429,21,26,30,0.807692307692308,0.742857142857143,0.189189189189189,0.189189189189189,0.621621621621622,4,7,8.07692307692308,0.571428571428571,5,7,8.07692307692308,0.714285714285714,22,23,26.5384615384615,0.956521739130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.6,4,7,8.07692307692308,0.571428571428571,5,7,8.07692307692308,0.714285714285714,20,21,24.2307692307692,0.952380952380952,0.702702702702703,21,26,30,0.807692307692308,0.269230769230769,0.192307692307692,0.538461538461538,4,7,8.07692307692308,0.571428571428571,4,5,5.76923076923077,0.8,13,14,16.1538461538462,0.928571428571429,3,5,5.76923076923077,0.142857142857143,0.6,5,0,0,0,0,0,0,0,1,1.15384615384615,0.027027027027027,0.0285714285714286,0,2,2,2.30769230769231,0.0540540540540541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.46153846153846,1,2,0.333333333333333,2,1,5,5.76923076923077,3,3.46153846153846,3,0,1,1,0,1,1.15384615384615,1,1.15384615384615,41,1,8,9.23076923076923,6,2,0,0,0,4,4.61538461538461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","HOU",1,94,1,0,1,0.957446808510638,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,50,47.8723404255319,0.92,44,47,45,0.936170212765957,38,39,37.3404255319149,0.974358974358974,0.829787234042553,0.44,0.24,0.32,20,22,21.063829787234,0.909090909090909,10,12,11.4893617021277,0.833333333333333,16,16,15.3191489361702,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468085106382979,0.191489361702128,0.340425531914894,20,22,21.063829787234,0.909090909090909,8,9,8.61702127659574,0.888888888888889,16,16,15.3191489361702,1,0.78,38,39,37.3404255319149,0.974358974358974,0.461538461538462,0.205128205128205,0.333333333333333,17,18,17.2340425531915,0.944444444444444,8,8,7.65957446808511,1,13,13,12.4468085106383,1,1,1,0.957446808510638,0.0212765957446809,1,1,0,1,1,0.957446808510638,0.02,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,0,0,0,0,0,0,6,5.74468085106383,5,1,0.833333333333333,0,0,1,0.957446808510638,6,5.74468085106383,3,3,0.5,2,0,2,1.91489361702128,1,0.957446808510638,45,2,6,5.74468085106383,5,1,7,6.70212765957447,0,4,3.82978723404255,3,2.87234042553191,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks","HOU",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,39,37.3404255319149,0.923076923076923,36,39,37.3404255319149,0.923076923076923,26,28,26.8085106382979,0.928571428571429,0.717948717948718,0.512820512820513,0.179487179487179,0.307692307692308,17,20,19.1489361702128,0.85,7,7,6.70212765957447,1,12,12,11.4893617021277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512820512820513,0.179487179487179,0.307692307692308,17,20,19.1489361702128,0.85,7,7,6.70212765957447,1,12,12,11.4893617021277,1,0.717948717948718,26,28,26.8085106382979,0.928571428571429,0.392857142857143,0.178571428571429,0.428571428571429,9,11,10.531914893617,0.818181818181818,5,5,4.78723404255319,1,12,12,11.4893617021277,1,0,0,0,0,0,0,0,1,2,1.91489361702128,0.0512820512820513,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.957446808510638,3,2.87234042553191,2,1,0.666666666666667,1,0,1,0.957446808510638,5,4.78723404255319,17,5,4,3.82978723404255,3,1,8,7.65957446808511,0,4,3.82978723404255,3,2.87234042553191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brush","HOU",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,49,46.9148936170213,0.897959183673469,43,48,45.9574468085106,0.895833333333333,17,20,19.1489361702128,0.85,0.416666666666667,0.714285714285714,0.142857142857143,0.142857142857143,30,35,33.5106382978723,0.857142857142857,7,7,6.70212765957447,1,7,7,6.70212765957447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708333333333333,0.145833333333333,0.145833333333333,29,34,32.5531914893617,0.852941176470588,7,7,6.70212765957447,1,7,7,6.70212765957447,1,0.408163265306122,17,20,19.1489361702128,0.85,0.8,0.05,0.15,13,16,15.3191489361702,0.8125,1,1,0.957446808510638,1,3,3,2.87234042553191,1,0,0,0,0,0,0,0,3,3,2.87234042553191,0.0612244897959184,1,0,1,0.957446808510638,0.0204081632653061,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2.87234042553191,1,2,0.333333333333333,1,1,2,1.91489361702128,3,2.87234042553191,14,0,2,1.91489361702128,2,0,3,2.87234042553191,0,8,7.65957446808511,2,1.91489361702128,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chapman","HOU",1,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,47,51.5853658536585,0.808510638297872,28,37,40.609756097561,0.756756756756757,24,29,31.8292682926829,0.827586206896552,0.783783783783784,0.702127659574468,0.0638297872340425,0.234042553191489,24,33,36.219512195122,0.727272727272727,3,3,3.29268292682927,1,11,11,12.0731707317073,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702702702702703,0.027027027027027,0.27027027027027,17,26,28.5365853658537,0.653846153846154,1,1,1.09756097560976,1,10,10,10.9756097560976,1,0.617021276595745,24,29,31.8292682926829,0.827586206896552,0.724137931034483,0,0.275862068965517,16,21,23.0487804878049,0.761904761904762,0,0,0,0,8,8,8.78048780487805,1,0,0,0,0,0,0,0,0,2,2.19512195121951,0.0425531914893617,0,0,1,1.09756097560976,0.0212765957446809,0.027027027027027,0,10,10,10.9756097560976,0.212765957446809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.48780487804878,4,1,0.8,2,1,4,4.39024390243902,3,3.29268292682927,2,1,0.666666666666667,0,0,0,0,0,0,27,3,5,5.48780487804878,2,3,5,5.48780487804878,0,5,5.48780487804878,4,4.39024390243902,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",1,94,1,0,2,1.91489361702128,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,57,54.5744680851064,0.894736842105263,47,53,50.7446808510638,0.886792452830189,19,23,22.0212765957447,0.826086956521739,0.433962264150943,0.543859649122807,0.228070175438596,0.228070175438596,26,31,29.6808510638298,0.838709677419355,13,13,12.4468085106383,1,12,13,12.4468085106383,0.923076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547169811320755,0.207547169811321,0.245283018867925,24,29,27.7659574468085,0.827586206896552,11,11,10.531914893617,1,12,13,12.4468085106383,0.923076923076923,0.403508771929825,19,23,22.0212765957447,0.826086956521739,0.608695652173913,0.0869565217391304,0.304347826086957,11,14,13.4042553191489,0.785714285714286,2,2,1.91489361702128,1,6,7,6.70212765957447,0.857142857142857,0,0,0,0,0,0,0,4,6,5.74468085106383,0.105263157894737,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,4,2,1.91489361702128,2,0,1,0,0,0,0,2,1.91489361702128,1,1,0.5,0,0,0,0,0,0,4,2,1,0.957446808510638,1,0,8,7.65957446808511,0,5,4.78723404255319,5,4.78723404255319,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elston","SRFC",1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,40,0.5,2,4,40,0.5,2,2,20,1,0.5,0.5,0.25,0.25,1,2,20,0.5,1,1,10,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.25,1,2,20,0.5,1,1,10,1,0,1,10,0,0.5,2,2,20,1,0.5,0.5,0,1,1,10,1,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,1,0,1,1,10,1,10,1,0,1,0,0,0,0,1,10,4,1,1,10,1,0,0,0,0,1,10,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",1,94,1,0,3,2.87234042553191,0.666666666666667,1,1,1,0,2,0.666666666666667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,63,60.3191489361702,0.761904761904762,48,63,60.3191489361702,0.761904761904762,36,42,40.2127659574468,0.857142857142857,0.666666666666667,0.666666666666667,0.142857142857143,0.19047619047619,30,42,40.2127659574468,0.714285714285714,9,9,8.61702127659574,1,9,12,11.4893617021277,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.142857142857143,0.19047619047619,30,42,40.2127659574468,0.714285714285714,9,9,8.61702127659574,1,9,12,11.4893617021277,0.75,0.666666666666667,36,42,40.2127659574468,0.857142857142857,0.619047619047619,0.19047619047619,0.19047619047619,21,26,24.8936170212766,0.807692307692308,8,8,7.65957446808511,1,7,8,7.65957446808511,0.875,1,2,1.91489361702128,0.0317460317460317,0.5,1,1,2,6,5.74468085106383,0.0952380952380952,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.82978723404255,4,0,1,4,1,5,4.78723404255319,6,5.74468085106383,3,3,0.5,2,4,6,5.74468085106383,3,2.87234042553191,28,4,8,7.65957446808511,8,0,0,0,0,3,2.87234042553191,2,1.91489361702128,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
