Player,Team,GP,MP,GS,Goals,Shots,Shots.per.90,Shot.Accuracy,Shot.GK.Stop,Shot.Def.Stop,Shot.Miss,xG,Shot.Pressed,Pct.Shots.Pressed,A6.Shots,A18.Shots,A3L.Shots,A3C.Shots,A3R.Shots,Far.Shots,Assists,Key.Passes,Key.Assists,Second.Assists,Assists.per.90,Key.Passes.per.90,Big.Chances,Big.Chances.per.90,BC.Scored,BC.Conversion.Pct,BC.SOG,BC.Shot.Miss,BC.Dispossess,BC.Created,BC.Lost,Pass.Comp,Pass.Att,Pass.Att.per.90,Pass.Comp.Pct,opPass.Comp,opPass.Att,opPass.Att.per.90,opPass.Comp.Pct,opPPass.Comp,opPPass.Att,opPPass.Att.per.90,opPPass.Comp.Pct,Pct.opPass.Pressed,rFreq.Pass.Fwd,rFreq.Pass.Side,rFreq.Pass.Back,fwPass.Comp,fwPass.Att,fwPass.Att.per.90,fwPass.Comp.Pct,sPass.Comp,sPass.Att,sPass.Att.per.90,sPass.Comp.Pct,bPass.Comp,bPass.Att,bPass.Att.per.90,bPass.Comp.Pct,rFreq.A3.Passes,rFreq.M3.Passes,rFreq.D3.Passes,A3Pass.Comp,A3Pass.Att,A3Pass.Att.per.90,A3Pass.Comp.Pct,M3Pass.Comp,M3Pass.Att,M3Pass.Att.per.90,M3Pass.Comp.Pct,D3Pass.Comp,D3Pass.Att,D3Pass.Att.per.90,D3Pass.Comp.Pct,rFreq.A3.opPasses,rFreq.M3.opPasses,rFreq.D3.opPasses,A3opPass.Comp,A3opPass.Att,A3opPass.Att.per.90,A3opPass.Comp.Pct,M3opPass.Comp,M3opPass.Att,M3opPass.Att.per.90,M3opPass.Comp.Pct,D3opPass.Comp,D3opPass.Att,D3opPass.Att.per.90,D3opPass.Comp.Pct,Pass.Comp.D3toD3,Pass.Comp.D3toM3,Pass.Comp.D3toA3,Pass.Comp.M3toD3,Pass.Comp.M3toM3,Pass.Comp.M3toA3,Pass.Comp.A3toD3,Pass.Comp.A3toM3,Pass.Comp.A3toA3,rFreq.opPass.Fwd,rFreq.opPass.Side,rFreq.opPass.Back,fwopPass.Comp,fwopPass.Att,fwopPass.Att.per.90,fwopPass.Comp.Pct,sopPass.Comp,sopPass.Att,sopPass.Att.per.90,sopPass.Comp.Pct,bopPass.Comp,bopPass.Att,bopPass.Att.per.90,bopPass.Comp.Pct,Pct.Passes.Pressed,PPass.Comp,PPass.Att,PPass.Att.per.90,PPass.Comp.Pct,rFreq.PPass.Fwd,rFreq.PPass.Side,rFreq.PPass.Back,fwPPass.Comp,fwPPass.Att,fwPPass.Att.per.90,fwPPass.Comp.Pct,sPPass.Comp,sPPass.Att,sPPass.Att.per.90,sPPass.Comp.Pct,bPPass.Comp,bPPass.Att,bPPass.Att.per.90,bPPass.Comp.Pct,Cross.Comp,Cross.Att,Cross.Att.per.90,Cross.Att.per.opPass,Cross.Comp.Pct,Corner.Crosses,Deep.Crosses,Launch.Comp,Launch.Att,Launch.Att.per.90,Launch.Att.per.Pass,Launch.Comp.Pct,Through.Comp,Through.Att,Through.Att.per.90,Through.Att.per.Pass,Through.Att.per.opPass,Through.Comp.Pct,Throw.In.Comp,Throw.In.Att,Throw.In.Att.per.90,Throw.In.Att.per.Pass,Throw.In.Comp.Pct,Corner.Kicks.Completed,Corner.Kicks.Taken,CK.Comp.Pct,CK.Assist,CK.Key.Pass,FK.Pass.Comp,FK.Pass.Att,FK.Pass.Comp.Pct,FK.Assist,FK.Key.Pass,FK.Shot,FK.Scored,Free.Kicks.Taken,Take.Ons,Take.Ons.per.90,TO.Won,TO.Lost,TO.Win.Pct,Dispossessed,Lost.Touches,All.Possessions.Disrupted,Poss.Disrupted.per.90,Aerial.Duels,Aerial.Duels.per.90,AD.Won,AD.Lost,AD.Win.Pct,Tackles,Dispossesses,All.Opp.Poss.Disrupted,Opp.Poss.Disrupted.per.90,Dribbled,Dribbled.per.90,Press.Opp,Challenge.Opp,Recoveries,Recoveries.per.90,Def.Recoveries,Poss.Recoveries,Interceptions,Int.per.90,Int.per.OP.Pass,Blocks,Blocks.per.90,Clearances,Clearances.per.90,Ball.Shields,Offsides,Fouls.Won,Fouls.Conceded,Yellow.Cards,Red.Cards,Penalties.Won,Penalties.Conceded,E.to.Goals,OG,E.to.Big.Chances,BC.Stopped,Saves,Goals.Allowed,GK.SOG.Faced,GperSOG,BC.SOG.Faced,BC.Saves,BC.Goals.Allowed,GperBCSOG,High.Balls.Faced,HB.Won,HB.Lost,HB.Caught,HB.Punched,HB.Parried,HB.Collected,HB.Fouls.Won,Crosses.Faced,Crosses.Won,Crosses.Lost,Corner.Kicks.Faced,CKs.Won,CKs.Lost,Free.Kicks.Faced,FKs.Won,FKs.Lost,no,Smothers.Won,Smothers.Lost,GK.Overall.Pass.Comp,GK.Overall.Pass.Att,GK.Overall.Pass.Comp.Pct,GK.Throw.Comp,GK.Throw.Att,GK.Throw.Comp.Pct,GK.Drop.Kick.Comp,GK.Drop.Kick.Att,GK.Drop.Kick.Comp.Pct,GKFK.Comp,GKFK.Att,GKFK.Comp.Pct
Banini,WAS,1,76,1,0,3,3.552631579,0.333333333,1,0,2,0.429649172,2,0.666666667,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,18.94736842,0.875,14,16,18.94736842,0.875,8,8,9.473684211,1,0.5,0.5,0.3125,0.1875,6,8,9.473684211,0.75,5,5,5.921052632,1,3,3,3.552631579,1,0.5625,0.4375,0,8,9,10.65789474,0.888888889,6,7,8.289473684,0.857142857,0,0,0,0,0.5625,0.4375,0,8,9,10.65789474,0.888888889,6,7,8.289473684,0.857142857,0,0,0,0,0,0,0,0,6,0,0,0,8,0.5,0.3125,0.1875,6,8,9.473684211,0.75,5,5,5.921052632,1,3,3,3.552631579,1,0.5,8,8,9.473684211,1,0.375,0.25,0.375,3,3,3.552631579,1,2,2,2.368421053,1,3,3,3.552631579,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2.368421053,0.125,0.125,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.736842105,3,1,0.75,3,2,6,7.105263158,8,9.473684211,0,8,0,1,1,2,2.368421053,2,2.368421053,11,0,3,3.552631579,0,3,1,1.184210526,0,4,4.736842105,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunn,WAS,1,93,1,0,2,1.935483871,0,0,0,2,0.300793092,1,0.5,0,2,0,0,0,0,1,1,1,0,0.967741935,0.967741935,0,0,0,0,0,0,0,0,0,26,40,38.70967742,0.65,25,39,37.74193548,0.641025641,7,12,11.61290323,0.583333333,0.307692308,0.425,0.275,0.3,7,17,16.4516129,0.411764706,7,11,10.64516129,0.636363636,12,12,11.61290323,1,0.4,0.525,0.075,9,16,15.48387097,0.5625,14,21,20.32258065,0.666666667,3,3,2.903225806,1,0.384615385,0.538461538,0.076923077,8,15,14.51612903,0.533333333,14,21,20.32258065,0.666666667,3,3,2.903225806,1,3,0,0,0,12,2,0,0,9,0.435897436,0.282051282,0.282051282,7,17,16.4516129,0.411764706,7,11,10.64516129,0.636363636,11,11,10.64516129,1,0.3,7,12,11.61290323,0.583333333,0.333333333,0.25,0.416666667,0,4,3.870967742,0,2,3,2.903225806,0.666666667,5,5,4.838709677,1,1,3,2.903225806,0.076923077,0.333333333,3,0,0,0,0,0,0,1,5,4.838709677,0.125,0.128205128,0.2,1,1,0.967741935,0.025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10.64516129,9,2,0.818181818,0,5,7,6.774193548,5,4.838709677,3,2,0.6,2,2,4,3.870967742,6,5.806451613,17,2,9,8.709677419,5,4,0,0,0,9,8.709677419,1,0.967741935,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dydasco,WAS,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,43,41.61290323,0.697674419,25,35,33.87096774,0.714285714,6,6,5.806451613,1,0.171428571,0.790697674,0.093023256,0.11627907,23,34,32.90322581,0.676470588,2,4,3.870967742,0.5,5,5,4.838709677,1,0.139534884,0.790697674,0.069767442,4,6,5.806451613,0.666666667,24,34,32.90322581,0.705882353,2,3,2.903225806,0.666666667,0.114285714,0.828571429,0.057142857,2,4,3.870967742,0.5,22,29,28.06451613,0.75862069,1,2,1.935483871,0.5,1,1,0,1,19,4,0,0,4,0.771428571,0.114285714,0.114285714,19,27,26.12903226,0.703703704,2,4,3.870967742,0.5,4,4,3.870967742,1,0.139534884,6,6,5.806451613,1,0.833333333,0.166666667,0,5,5,4.838709677,1,1,1,0.967741935,1,0,0,0,0,0,2,1.935483871,0.057142857,0,2,0,1,3,2.903225806,0.069767442,0.333333333,2,3,2.903225806,0.069767442,0.085714286,0.666666667,4,7,6.774193548,0.162790698,0.571428571,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,2,1.935483871,3,2.903225806,2,1,0.666666667,0,0,0,0,1,0.967741935,5,4,5,4.838709677,3,2,3,2.903225806,0,6,5.806451613,1,0.967741935,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elby,BOS,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,69.23076923,0.4,2,6,41.53846154,0.333333333,0,0,0,0,0,0.7,0.1,0.2,2,7,48.46153846,0.285714286,0,1,6.923076923,0,2,2,13.84615385,1,0.1,0.8,0.1,0,1,6.923076923,0,4,8,55.38461538,0.5,0,1,6.923076923,0,0.166666667,0.666666667,0.166666667,0,1,6.923076923,0,2,4,27.69230769,0.5,0,1,6.923076923,0,0,0,0,0,4,0,0,0,0,0.666666667,0.166666667,0.166666667,1,4,27.69230769,0.25,0,1,6.923076923,0,1,1,6.923076923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.923076923,0.166666667,0,1,0,0,1,6.923076923,0.1,0,0,0,0,0,0,0,2,3,20.76923077,0.3,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,13.84615385,1,6.923076923,1,0,1,1,0,1,6.923076923,0,0,1,1,3,20.76923077,0,3,4,27.69230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engen,BOS,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,66,63.87096774,0.833333333,54,64,61.93548387,0.84375,7,9,8.709677419,0.777777778,0.140625,0.621212121,0.242424242,0.136363636,30,41,39.67741935,0.731707317,16,16,15.48387097,1,9,9,8.709677419,1,0.03030303,0.606060606,0.363636364,1,2,1.935483871,0.5,32,40,38.70967742,0.8,22,24,23.22580645,0.916666667,0.03125,0.59375,0.375,1,2,1.935483871,0.5,31,38,36.77419355,0.815789474,22,24,23.22580645,0.916666667,12,10,0,5,25,2,0,0,1,0.625,0.234375,0.140625,30,40,38.70967742,0.75,15,15,14.51612903,1,9,9,8.709677419,1,0.136363636,7,9,8.709677419,0.777777778,0.777777778,0.111111111,0.111111111,5,7,6.774193548,0.714285714,1,1,0.967741935,1,1,1,0.967741935,1,0,0,0,0,0,0,0,0,4,3.870967742,0.060606061,0,0,2,1.935483871,0.03030303,0.03125,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,1,0.967741935,1,0,1,1,0,1,0.967741935,7,6.774193548,6,1,0.857142857,1,0,1,0.967741935,0,0,5,2,14,13.5483871,8,6,1,0.967741935,0,5,4.838709677,2,1.935483871,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farquharson,WAS,1,29,0,0,2,6.206896552,1,2,0,0,0.225802072,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12.4137931,0.75,3,4,12.4137931,0.75,3,4,12.4137931,0.75,1,0,0.5,0.5,0,0,0,0,1,2,6.206896552,0.5,2,2,6.206896552,1,0.5,0.5,0,1,2,6.206896552,0.5,2,2,6.206896552,1,0,0,0,0,0.5,0.5,0,1,2,6.206896552,0.5,2,2,6.206896552,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0.5,0.5,0,0,0,0,1,2,6.206896552,0.5,2,2,6.206896552,1,1,3,4,12.4137931,0.75,0,0.5,0.5,0,0,0,0,1,2,6.206896552,0.5,2,2,6.206896552,1,0,1,3.103448276,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12.4137931,1,3,0.25,1,4,8,24.82758621,2,6.206896552,2,0,1,0,1,1,3.103448276,0,0,4,1,1,3.103448276,1,0,0,0,0,2,6.206896552,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huster,WAS,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,38.70967742,0.8,31,39,37.74193548,0.794871795,10,11,10.64516129,0.909090909,0.282051282,0.475,0.325,0.2,12,19,18.38709677,0.631578947,12,13,12.58064516,0.923076923,8,8,7.741935484,1,0.1,0.725,0.175,3,4,3.870967742,0.75,23,29,28.06451613,0.793103448,6,7,6.774193548,0.857142857,0.102564103,0.717948718,0.179487179,3,4,3.870967742,0.75,22,28,27.09677419,0.785714286,6,7,6.774193548,0.857142857,4,2,0,6,15,2,0,0,3,0.487179487,0.333333333,0.179487179,12,19,18.38709677,0.631578947,12,13,12.58064516,0.923076923,7,7,6.774193548,1,0.275,10,11,10.64516129,0.909090909,0.636363636,0.272727273,0.090909091,6,7,6.774193548,0.857142857,3,3,2.903225806,1,1,1,0.967741935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.967741935,0.025,0.025641026,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,7.741935484,4,4,0.5,1,1,2,1.935483871,1,0.967741935,7,1,6,5.806451613,5,1,4,3.870967742,0,0,0,2,1.935483871,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kallman,BOS,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,60,58.06451613,0.8,47,58,56.12903226,0.810344828,7,8,7.741935484,0.875,0.137931034,0.533333333,0.283333333,0.183333333,20,32,30.96774194,0.625,17,17,16.4516129,1,11,11,10.64516129,1,0.016666667,0.566666667,0.416666667,1,1,0.967741935,1,25,34,32.90322581,0.735294118,22,25,24.19354839,0.88,0.017241379,0.551724138,0.431034483,1,1,0.967741935,1,24,32,30.96774194,0.75,22,25,24.19354839,0.88,13,9,0,3,21,1,0,0,1,0.534482759,0.275862069,0.189655172,20,31,30,0.64516129,16,16,15.48387097,1,11,11,10.64516129,1,0.133333333,7,8,7.741935484,0.875,0.375,0.125,0.5,2,3,2.903225806,0.666666667,1,1,0.967741935,1,4,4,3.870967742,1,0,0,0,0,0,0,0,0,2,1.935483871,0.033333333,0,1,5,4.838709677,0.083333333,0.086206897,0.2,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,0,1,1,0.967741935,6,5.806451613,1,5,0.166666667,1,0,1,0.967741935,1,0.967741935,4,2,11,10.64516129,6,5,5,4.838709677,0,6,5.806451613,2,1.935483871,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King,BOS,1,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,24.44444444,0.590909091,9,16,17.77777778,0.5625,2,4,4.444444444,0.5,0.25,0.636363636,0.136363636,0.227272727,6,14,15.55555556,0.428571429,2,3,3.333333333,0.666666667,5,5,5.555555556,1,0.227272727,0.409090909,0.363636364,2,5,5.555555556,0.4,6,9,10,0.666666667,5,8,8.888888889,0.625,0.25,0.4375,0.3125,1,4,4.444444444,0.25,5,7,7.777777778,0.714285714,3,5,5.555555556,0.6,3,2,0,1,5,0,0,0,2,0.625,0.125,0.25,4,10,11.11111111,0.4,1,2,2.222222222,0.5,4,4,4.444444444,1,0.181818182,2,4,4.444444444,0.5,0.25,0.5,0.25,0,1,1.111111111,0,1,2,2.222222222,0.5,1,1,1.111111111,1,0,1,1.111111111,0.0625,0,1,0,0,1,1.111111111,0.045454545,0,0,0,0,0,0,0,4,6,6.666666667,0.272727273,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.111111111,1,0,1,1,1,2,2.222222222,8,8.888888889,8,0,1,2,0,2,2.222222222,0,0,5,3,8,8.888888889,5,3,2,2.222222222,0,4,4.444444444,4,4.444444444,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krieger,WAS,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,67,64.83870968,0.731343284,37,52,50.32258065,0.711538462,8,8,7.741935484,1,0.153846154,0.597014925,0.253731343,0.149253731,24,40,38.70967742,0.6,15,17,16.4516129,0.882352941,10,10,9.677419355,1,0.194029851,0.582089552,0.223880597,10,13,12.58064516,0.769230769,25,39,37.74193548,0.641025641,14,15,14.51612903,0.933333333,0.134615385,0.615384615,0.25,4,7,6.774193548,0.571428571,21,32,30.96774194,0.65625,12,13,12.58064516,0.923076923,11,3,0,3,19,3,0,0,10,0.576923077,0.230769231,0.192307692,17,30,29.03225806,0.566666667,10,12,11.61290323,0.833333333,10,10,9.677419355,1,0.119402985,8,8,7.741935484,1,0.5,0.375,0.125,4,4,3.870967742,1,3,3,2.903225806,1,1,1,0.967741935,1,1,3,2.903225806,0.057692308,0.333333333,2,1,0,1,0.967741935,0.014925373,0,0,0,0,0,0,0,12,15,14.51612903,0.223880597,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.935483871,2,0,1,0,0,0,0,4,3.870967742,3,1,0.75,2,1,3,2.903225806,0,0,5,1,6,5.806451613,3,3,9,8.709677419,0,9,8.709677419,1,0.967741935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
