"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Averbuch","FCKC",1,95,1,0,1,0.947368421052632,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,49,46.421052631579,0.795918367346939,38,46,43.5789473684211,0.826086956521739,13,15,14.2105263157895,0.866666666666667,0.326086956521739,0.693877551020408,0.163265306122449,0.142857142857143,24,34,32.2105263157895,0.705882352941177,8,8,7.57894736842105,1,7,7,6.63157894736842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673913043478261,0.173913043478261,0.152173913043478,23,31,29.3684210526316,0.741935483870968,8,8,7.57894736842105,1,7,7,6.63157894736842,1,0.306122448979592,13,15,14.2105263157895,0.866666666666667,0.6,0.133333333333333,0.266666666666667,7,9,8.52631578947368,0.777777777777778,2,2,1.89473684210526,1,4,4,3.78947368421053,1,0,0,0,0,0,0,0,0,7,6.63157894736842,0.142857142857143,0,0,0,0,0,0,0,1,1,0.947368421052632,0.0204081632653061,1,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,1.89473684210526,2,0,1,2,1,3,2.84210526315789,0,0,8,2,10,9.47368421052632,9,1,1,0.947368421052632,0,2,1.89473684210526,9,8.52631578947368,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Banini","WAS",1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,36,36.8181818181818,0.833333333333333,29,35,35.7954545454545,0.828571428571429,11,16,16.3636363636364,0.6875,0.457142857142857,0.555555555555556,0.194444444444444,0.25,16,20,20.4545454545455,0.8,5,7,7.15909090909091,0.714285714285714,9,9,9.20454545454546,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,0.171428571428571,0.257142857142857,16,20,20.4545454545455,0.8,4,6,6.13636363636364,0.666666666666667,9,9,9.20454545454546,1,0.444444444444444,11,16,16.3636363636364,0.6875,0.5625,0.125,0.3125,5,9,9.20454545454546,0.555555555555556,1,2,2.04545454545455,0.5,5,5,5.11363636363636,1,1,1,1.02272727272727,0.0285714285714286,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.02272727272727,0.0277777777777778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.06818181818182,3,0,1,4,2,6,6.13636363636364,0,0,0,0,0,1,0,1,1.02272727272727,1,1.02272727272727,15,4,7,7.15909090909091,4,3,1,1.02272727272727,0,1,1.02272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,33,31.2631578947368,0.787878787878788,18,24,22.7368421052632,0.75,4,6,5.68421052631579,0.666666666666667,0.25,0.848484848484849,0.151515151515152,0,21,28,26.5263157894737,0.75,5,5,4.73684210526316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.166666666666667,0,12,15,14.2105263157895,0.8,3,3,2.84210526315789,1,0,0,0,0,0.181818181818182,4,6,5.68421052631579,0.666666666666667,0.833333333333333,0.166666666666667,0,3,5,4.73684210526316,0.6,1,1,0.947368421052632,1,0,0,0,0,0,0,0,0,0,0,0,3,8,7.57894736842105,0.242424242424242,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.89473684210526,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,0.333333333333333,1,1,0,0,1,1,0,1,4,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,26,33,0.787878787878788,8,8,1,0,0,0,3,7,0.428571428571429
"Bowen","FCKC",1,95,1,0,1,0.947368421052632,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,48,45.4736842105263,0.770833333333333,20,23,21.7894736842105,0.869565217391304,11,11,10.4210526315789,1,0.478260869565217,0.708333333333333,0.125,0.166666666666667,23,34,32.2105263157895,0.676470588235294,6,6,5.68421052631579,1,8,8,7.57894736842105,1,0,1,0,0,0,0,0,0,1,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521739130434783,0.217391304347826,0.260869565217391,9,12,11.3684210526316,0.75,5,5,4.73684210526316,1,6,6,5.68421052631579,1,0.229166666666667,11,11,10.4210526315789,1,0.272727272727273,0.454545454545455,0.272727272727273,3,3,2.84210526315789,1,5,5,4.73684210526316,1,3,3,2.84210526315789,1,1,1,0.947368421052632,0.0434782608695652,1,0,1,1,2,1.89473684210526,0.0416666666666667,0.5,0,1,0.947368421052632,0.0208333333333333,0.0434782608695652,0,15,22,20.8421052631579,0.458333333333333,0.681818181818182,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,3,3,2.84210526315789,2,1,0.666666666666667,0,3,4,3.78947368421053,1,0.947368421052632,0,1,0,2,4,6,5.68421052631579,1,0.947368421052632,19,3,10,9.47368421052632,9,1,4,3.78947368421053,0,2,1.89473684210526,3,2.84210526315789,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Church","WAS",1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,22.5,0.5,1,2,22.5,0.5,1,1,11.25,1,0.5,1,0,0,1,2,22.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,22.5,0.5,0,0,0,0,0,0,0,0,0.5,1,1,11.25,1,1,0,0,1,1,11.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.25,0,1,0,0,0,0,0,0,0,1,0,1,11.25,0,1,0,0,0,0,0,1,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dydasco","WAS",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,0,58,69,65.3684210526316,0.840579710144927,49,60,56.8421052631579,0.816666666666667,15,18,17.0526315789474,0.833333333333333,0.3,0.608695652173913,0.159420289855072,0.231884057971014,32,42,39.7894736842105,0.761904761904762,10,11,10.4210526315789,0.909090909090909,16,16,15.1578947368421,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633333333333333,0.133333333333333,0.233333333333333,28,38,36,0.736842105263158,7,8,7.57894736842105,0.875,14,14,13.2631578947368,1,0.260869565217391,15,18,17.0526315789474,0.833333333333333,0.611111111111111,0.0555555555555556,0.333333333333333,8,11,10.4210526315789,0.727272727272727,1,1,0.947368421052632,1,6,6,5.68421052631579,1,1,3,2.84210526315789,0.05,0.333333333333333,1,2,0,4,3.78947368421053,0.0579710144927536,0,1,2,1.89473684210526,0.0289855072463768,0.0333333333333333,0.5,9,9,8.52631578947368,0.130434782608696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.84210526315789,3,0,1,0,1,1,0.947368421052632,1,0.947368421052632,0,1,0,2,0,2,1.89473684210526,4,3.78947368421053,5,3,8,7.57894736842105,5,3,2,1.89473684210526,0,6,5.68421052631579,7,6.63157894736842,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farquharson","WAS",1,73,1,0,1,1.23287671232877,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.23287671232877,0,0,0,1,0,0,0,27,29,35.7534246575342,0.931034482758621,24,26,32.0547945205479,0.923076923076923,15,15,18.4931506849315,1,0.576923076923077,0.241379310344828,0.344827586206897,0.413793103448276,7,7,8.63013698630137,1,8,10,12.3287671232877,0.8,12,12,14.7945205479452,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192307692307692,0.346153846153846,0.461538461538462,5,5,6.16438356164384,1,7,9,11.0958904109589,0.777777777777778,12,12,14.7945205479452,1,0.517241379310345,15,15,18.4931506849315,1,0.266666666666667,0.2,0.533333333333333,4,4,4.93150684931507,1,3,3,3.6986301369863,1,8,8,9.86301369863014,1,0,1,1.23287671232877,0.0384615384615385,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.6986301369863,0.103448275862069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7.3972602739726,2,4,0.333333333333333,2,2,8,9.86301369863014,2,2.46575342465753,1,1,0.5,3,0,3,3.6986301369863,0,0,21,2,4,4.93150684931507,3,1,0,0,0,2,2.46575342465753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groom","FCKC",1,95,1,0,4,3.78947368421053,0.5,2,0,2,0,1,0.25,1,1,0,0,0,0,0,0,0,0,0,0,1,0.947368421052632,0,0,1,0,0,0,0,6,13,12.3157894736842,0.461538461538462,6,13,12.3157894736842,0.461538461538462,3,5,4.73684210526316,0.6,0.384615384615385,0.615384615384615,0.0769230769230769,0.307692307692308,4,8,7.57894736842105,0.5,0,1,0.947368421052632,0,2,4,3.78947368421053,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615384615384615,0.0769230769230769,0.307692307692308,4,8,7.57894736842105,0.5,0,1,0.947368421052632,0,2,4,3.78947368421053,0.5,0.384615384615385,3,5,4.73684210526316,0.6,0.6,0,0.4,2,3,2.84210526315789,0.666666666666667,0,0,0,0,1,2,1.89473684210526,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.89473684210526,0.153846153846154,0.153846153846154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.84210526315789,1,2,0.333333333333333,1,3,6,5.68421052631579,5,4.73684210526316,2,3,0.4,1,1,2,1.89473684210526,0,0,24,4,5,4.73684210526316,2,3,0,0,0,1,0.947368421052632,1,0.947368421052632,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huster","WAS",1,95,1,1,2,1.89473684210526,0.5,0,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,37,35.0526315789474,0.918918918918919,34,37,35.0526315789474,0.918918918918919,19,19,18,1,0.513513513513513,0.459459459459459,0.297297297297297,0.243243243243243,14,17,16.1052631578947,0.823529411764706,11,11,10.4210526315789,1,9,9,8.52631578947368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459459459459459,0.297297297297297,0.243243243243243,14,17,16.1052631578947,0.823529411764706,11,11,10.4210526315789,1,9,9,8.52631578947368,1,0.513513513513513,19,19,18,1,0.421052631578947,0.210526315789474,0.368421052631579,8,8,7.57894736842105,1,4,4,3.78947368421053,1,7,7,6.63157894736842,1,0,0,0,0,0,0,0,0,1,0.947368421052632,0.027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.68421052631579,1,5,0.166666666666667,1,1,2,1.89473684210526,2,1.89473684210526,13,6,8,7.57894736842105,6,2,3,2.84210526315789,0,3,2.84210526315789,5,4.73684210526316,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson","WAS",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,36,34.1052631578947,0.972222222222222,35,36,34.1052631578947,0.972222222222222,6,6,5.68421052631579,1,0.166666666666667,0.305555555555556,0.555555555555556,0.138888888888889,10,11,10.4210526315789,0.909090909090909,20,20,18.9473684210526,1,5,5,4.73684210526316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305555555555556,0.555555555555556,0.138888888888889,10,11,10.4210526315789,0.909090909090909,20,20,18.9473684210526,1,5,5,4.73684210526316,1,0.166666666666667,6,6,5.68421052631579,1,0.333333333333333,0.166666666666667,0.5,2,2,1.89473684210526,1,1,1,0.947368421052632,1,3,3,2.84210526315789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.84210526315789,1,2,0.333333333333333,2,0,2,1.89473684210526,1,0.947368421052632,5,1,5,4.73684210526316,4,1,2,1.89473684210526,0,1,0.947368421052632,6,5.68421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
