"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Andressa","HOU",1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,39,0.538461538461538,14,24,36,0.583333333333333,11,14,21,0.785714285714286,0.583333333333333,0.653846153846154,0.153846153846154,0.192307692307692,6,17,25.5,0.352941176470588,3,4,6,0.75,5,5,7.5,1,0.346153846153846,0.423076923076923,0.230769230769231,7,9,13.5,0.777777777777778,5,11,16.5,0.454545454545455,2,6,9,0.333333333333333,0.375,0.375,0.25,7,9,13.5,0.777777777777778,5,9,13.5,0.555555555555556,2,6,9,0.333333333333333,0,0,0,0,4,0,0,0,0,0.625,0.166666666666667,0.208333333333333,6,15,22.5,0.4,3,4,6,0.75,5,5,7.5,1,0.538461538461538,11,14,21,0.785714285714286,0.5,0.214285714285714,0.285714285714286,5,7,10.5,0.714285714285714,2,3,4.5,0.666666666666667,4,4,6,1,1,3,4.5,0.125,0.333333333333333,2,1,0,2,3,0.0769230769230769,0,2,6,9,0.230769230769231,0.25,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,4.5,3,0,1,2,1,3,4.5,1,1.5,1,0,1,1,0,1,1.5,0,0,18,1,10,15,6,4,2,3,0,1,1.5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Banini","WAS",1,50,0,0,2,3.6,0.5,1,0,1,0,1,0.5,0,0,0,0,0,0,0,1,0,0,0,1.8,0,0,0,0,0,0,0,0,0,21,24,43.2,0.875,21,24,43.2,0.875,17,17,30.6,1,0.708333333333333,0.541666666666667,0.208333333333333,0.25,12,13,23.4,0.923076923076923,4,5,9,0.8,5,6,10.8,0.833333333333333,0.708333333333333,0.291666666666667,0,17,17,30.6,1,4,7,12.6,0.571428571428571,0,0,0,0,0.708333333333333,0.291666666666667,0,17,17,30.6,1,4,7,12.6,0.571428571428571,0,0,0,0,0,0,0,0,3,0,0,0,1,0.541666666666667,0.208333333333333,0.25,12,13,23.4,0.923076923076923,4,5,9,0.8,5,6,10.8,0.833333333333333,0.708333333333333,17,17,30.6,1,0.588235294117647,0.117647058823529,0.294117647058824,10,10,18,1,2,2,3.6,1,5,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3.6,0.0833333333333333,0.0833333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,2,0.6,1,1,4,7.2,0,0,0,0,0,1,1,2,3.6,0,0,14,0,3,5.4,0,3,0,0,0,4,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beckie","HOU",1,25,0,0,1,3.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,28.8,0.125,1,7,25.2,0.142857142857143,0,3,10.8,0,0.428571428571429,0.625,0.125,0.25,0,5,18,0,0,1,3.6,0,1,2,7.2,0.5,0.25,0.5,0.25,0,2,7.2,0,1,4,14.4,0.25,0,2,7.2,0,0.142857142857143,0.571428571428571,0.285714285714286,0,1,3.6,0,1,4,14.4,0.25,0,2,7.2,0,0,0,0,0,1,0,0,0,0,0.571428571428571,0.142857142857143,0.285714285714286,0,4,14.4,0,0,1,3.6,0,1,2,7.2,0.5,0.375,0,3,10.8,0,0.666666666666667,0,0.333333333333333,0,2,7.2,0,0,0,0,0,0,1,3.6,0,0,0,0,0,0,0,0,0,1,3.6,0.125,0,0,2,7.2,0.25,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,7.2,0,2,0,0,0,2,7.2,0,0,0,0,0,2,0,2,7.2,0,0,10,0,4,14.4,1,3,1,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","HOU",1,75,1,0,1,1.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,45,54,0.755555555555556,32,43,51.6,0.744186046511628,17,20,24,0.85,0.465116279069767,0.533333333333333,0.133333333333333,0.333333333333333,14,24,28.8,0.583333333333333,6,6,7.2,1,14,15,18,0.933333333333333,0.244444444444444,0.644444444444444,0.111111111111111,9,11,13.2,0.818181818181818,21,29,34.8,0.724137931034483,4,5,6,0.8,0.209302325581395,0.674418604651163,0.116279069767442,7,9,10.8,0.777777777777778,21,29,34.8,0.724137931034483,4,5,6,0.8,0,0,0,0,16,1,0,0,0,0.558139534883721,0.116279069767442,0.325581395348837,14,24,28.8,0.583333333333333,5,5,6,1,13,14,16.8,0.928571428571429,0.444444444444444,17,20,24,0.85,0.3,0.15,0.55,4,6,7.2,0.666666666666667,3,3,3.6,1,10,11,13.2,0.909090909090909,1,1,1.2,0.0232558139534884,1,0,1,0,1,1.2,0.0222222222222222,0,0,1,1.2,0.0222222222222222,0.0232558139534884,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.4,1,1,0.5,2,0,2,2.4,0,0,26,3,12,14.4,7,5,2,2.4,0,6,7.2,1,1.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks","HOU",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,39,36.5625,0.794871794871795,31,39,36.5625,0.794871794871795,15,20,18.75,0.75,0.512820512820513,0.692307692307692,0.0769230769230769,0.230769230769231,19,27,25.3125,0.703703703703704,3,3,2.8125,1,9,9,8.4375,1,0,0.871794871794872,0.128205128205128,0,0,0,0,28,34,31.875,0.823529411764706,3,5,4.6875,0.6,0,0.871794871794872,0.128205128205128,0,0,0,0,28,34,31.875,0.823529411764706,3,5,4.6875,0.6,0,0,0,0,24,0,0,0,0,0.692307692307692,0.0769230769230769,0.230769230769231,19,27,25.3125,0.703703703703704,3,3,2.8125,1,9,9,8.4375,1,0.512820512820513,15,20,18.75,0.75,0.55,0.1,0.35,6,11,10.3125,0.545454545454545,2,2,1.875,1,7,7,6.5625,1,0,0,0,0,0,0,0,1,4,3.75,0.102564102564103,0.25,0,1,0.9375,0.0256410256410256,0.0256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3.75,7,6.5625,3,4,0.428571428571429,1,0,1,0.9375,1,0.9375,30,3,7,6.5625,5,2,7,6.5625,0,3,2.8125,4,3.75,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chapman","HOU",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,48,45,0.708333333333333,18,27,25.3125,0.666666666666667,13,16,15,0.8125,0.592592592592593,0.666666666666667,0.166666666666667,0.166666666666667,19,32,30,0.59375,7,8,7.5,0.875,8,8,7.5,1,0.229166666666667,0.4375,0.333333333333333,9,11,10.3125,0.818181818181818,14,21,19.6875,0.666666666666667,11,16,15,0.6875,0.259259259259259,0.444444444444444,0.296296296296296,5,7,6.5625,0.714285714285714,7,12,11.25,0.583333333333333,6,8,7.5,0.75,1,0,0,0,12,0,0,0,0,0.666666666666667,0.185185185185185,0.148148148148148,10,18,16.875,0.555555555555556,4,5,4.6875,0.8,4,4,3.75,1,0.333333333333333,13,16,15,0.8125,0.5625,0.25,0.1875,6,9,8.4375,0.666666666666667,4,4,3.75,1,3,3,2.8125,1,0,1,0.9375,0.037037037037037,0,1,0,0,2,1.875,0.0416666666666667,0,0,2,1.875,0.0416666666666667,0.0740740740740741,0,16,21,19.6875,0.4375,0.761904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9375,0,1,0,1,0,2,1.875,4,3.75,1,3,0.25,1,1,2,1.875,1,0.9375,24,4,9,8.4375,5,4,0,0,0,6,5.625,6,5.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Church","WAS",1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,52.5,0.857142857142857,6,7,52.5,0.857142857142857,5,5,37.5,1,0.714285714285714,0.714285714285714,0.285714285714286,0,5,5,37.5,1,1,2,15,0.5,0,0,0,0,0.285714285714286,0.714285714285714,0,2,2,15,1,4,5,37.5,0.8,0,0,0,0,0.285714285714286,0.714285714285714,0,2,2,15,1,4,5,37.5,0.8,0,0,0,0,0,0,0,0,2,0,0,0,0,0.714285714285714,0.285714285714286,0,5,5,37.5,1,1,2,15,0.5,0,0,0,0,0.714285714285714,5,5,37.5,1,0.8,0.2,0,4,4,30,1,1,1,7.5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,7.5,0.142857142857143,1,1,1,7.5,0.142857142857143,0.142857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.5,1,7.5,1,0,1,0,0,0,0,0,0,3,1,1,7.5,1,0,0,0,0,1,7.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daly","HOU",1,96,1,0,2,1.875,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,23.4375,0.6,15,24,22.5,0.625,13,17,15.9375,0.764705882352941,0.708333333333333,0.6,0.24,0.16,8,15,14.0625,0.533333333333333,4,6,5.625,0.666666666666667,3,4,3.75,0.75,0.32,0.56,0.12,6,8,7.5,0.75,7,14,13.125,0.5,2,3,2.8125,0.666666666666667,0.333333333333333,0.541666666666667,0.125,6,8,7.5,0.75,7,13,12.1875,0.538461538461538,2,3,2.8125,0.666666666666667,0,0,0,0,7,0,0,0,0,0.583333333333333,0.25,0.166666666666667,8,14,13.125,0.571428571428571,4,6,5.625,0.666666666666667,3,4,3.75,0.75,0.68,13,17,15.9375,0.764705882352941,0.470588235294118,0.352941176470588,0.176470588235294,6,8,7.5,0.75,4,6,5.625,0.666666666666667,3,3,2.8125,1,1,1,0.9375,0.0416666666666667,1,1,0,0,1,0.9375,0.04,0,1,3,2.8125,0.12,0.125,0.333333333333333,0,1,0.9375,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2.8125,4,3.75,3,1,0.75,1,0,1,0.9375,3,2.8125,17,4,5,4.6875,4,1,3,2.8125,0,2,1.875,1,0.9375,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","WAS",1,96,1,0,4,3.75,0.5,2,0,2,0,3,0.75,0,3,0,0,0,0,0,0,0,0,0,0,1,0.9375,0,0,1,0,0,0,0,30,37,34.6875,0.810810810810811,29,36,33.75,0.805555555555556,23,27,25.3125,0.851851851851852,0.75,0.27027027027027,0.351351351351351,0.378378378378378,9,10,9.375,0.9,8,13,12.1875,0.615384615384615,13,14,13.125,0.928571428571429,0.594594594594595,0.378378378378378,0.027027027027027,17,22,20.625,0.772727272727273,12,14,13.125,0.857142857142857,1,1,0.9375,1,0.583333333333333,0.388888888888889,0.0277777777777778,16,21,19.6875,0.761904761904762,12,14,13.125,0.857142857142857,1,1,0.9375,1,0,0,0,0,9,0,0,0,0,0.277777777777778,0.333333333333333,0.388888888888889,9,10,9.375,0.9,7,12,11.25,0.583333333333333,13,14,13.125,0.928571428571429,0.72972972972973,23,27,25.3125,0.851851851851852,0.185185185185185,0.333333333333333,0.481481481481481,4,5,4.6875,0.8,6,9,8.4375,0.666666666666667,13,13,12.1875,1,1,3,2.8125,0.0833333333333333,0.333333333333333,3,0,0,0,0,0,0,3,3,2.8125,0.0810810810810811,0.0833333333333333,1,1,1,0.9375,0.027027027027027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8.4375,5,4,0.555555555555556,3,5,12,11.25,4,3.75,0,4,0,0,0,0,0,3,2.8125,42,0,4,3.75,1,3,1,0.9375,0,3,2.8125,1,0.9375,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farquharson","WAS",1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,31.304347826087,0.8125,13,16,31.304347826087,0.8125,9,11,21.5217391304348,0.818181818181818,0.6875,0.25,0.4375,0.3125,4,4,7.82608695652174,1,5,7,13.695652173913,0.714285714285714,4,5,9.78260869565217,0.8,0.4375,0.4375,0.125,5,7,13.695652173913,0.714285714285714,6,7,13.695652173913,0.857142857142857,2,2,3.91304347826087,1,0.4375,0.4375,0.125,5,7,13.695652173913,0.714285714285714,6,7,13.695652173913,0.857142857142857,2,2,3.91304347826087,1,0,0,0,0,5,0,0,0,0,0.25,0.4375,0.3125,4,4,7.82608695652174,1,5,7,13.695652173913,0.714285714285714,4,5,9.78260869565217,0.8,0.6875,9,11,21.5217391304348,0.818181818181818,0.181818181818182,0.454545454545455,0.363636363636364,2,2,3.91304347826087,1,4,5,9.78260869565217,0.8,3,4,7.82608695652174,0.75,1,2,3.91304347826087,0.125,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.91304347826087,0,2,0,1,3,6,11.7391304347826,3,5.8695652173913,1,2,0.333333333333333,1,0,1,1.95652173913043,1,1.95652173913043,13,0,4,7.82608695652174,2,2,1,1.95652173913043,0,4,7.82608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
