"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Alleway","ORL",1,71,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,53,64,81.1267605633803,0.828125,51,62,78.5915492957746,0.82258064516129,15,18,22.8169014084507,0.833333333333333,0.290322580645161,0.578125,0.265625,0.15625,26,37,46.9014084507042,0.702702702702703,17,17,21.5492957746479,1,10,10,12.6760563380282,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.564516129032258,0.274193548387097,0.161290322580645,24,35,44.3661971830986,0.685714285714286,17,17,21.5492957746479,1,10,10,12.6760563380282,1,0.28125,15,18,22.8169014084507,0.833333333333333,0.555555555555556,0.222222222222222,0.222222222222222,7,10,12.6760563380282,0.7,4,4,5.07042253521127,1,4,4,5.07042253521127,1,0,1,1.26760563380282,0.0161290322580645,0,0,1,0,6,7.6056338028169,0.09375,0,0,1,1.26760563380282,0.015625,0.0161290322580645,0,0,0,0,0,NA,0,0,NA,0,0,2,2,1,0,0,0,0,2,1,1.26760563380282,1,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,2,2.53521126760563,5,2,3,3.80281690140845,1,2,1,1.26760563380282,0,3,3.80281690140845,3,3.80281690140845,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Andressa","HOU",1,95,1,0,1,0.947368421052632,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,51,61,57.7894736842105,0.836065573770492,51,59,55.8947368421053,0.864406779661017,36,42,39.7894736842105,0.857142857142857,0.711864406779661,0.60655737704918,0.213114754098361,0.180327868852459,28,37,35.0526315789474,0.756756756756757,12,13,12.3157894736842,0.923076923076923,11,11,10.4210526315789,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.610169491525424,0.203389830508475,0.186440677966102,28,36,34.1052631578947,0.777777777777778,12,12,11.3684210526316,1,11,11,10.4210526315789,1,0.688524590163934,36,42,39.7894736842105,0.857142857142857,0.571428571428571,0.19047619047619,0.238095238095238,18,24,22.7368421052632,0.75,8,8,7.57894736842105,1,10,10,9.47368421052632,1,1,1,0.947368421052632,0.0169491525423729,1,0,1,1,3,2.84210526315789,0.0491803278688525,0.333333333333333,5,6,5.68421052631579,0.0983606557377049,0.101694915254237,0.833333333333333,0,0,0,0,NA,0,1,0,0,0,0,1,0,0,0,0,0,1,6,5.68421052631579,5,1,0.833333333333333,1,2,4,3.78947368421053,0,0,0,0,NA,0,1,1,0.947368421052632,0,0,38,5,12,11.3684210526316,10,2,3,2.84210526315789,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Arlitt","FCKC",1,96,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,25,33,30.9375,0.757575757575758,21,27,25.3125,0.777777777777778,8,9,8.4375,0.888888888888889,0.333333333333333,0.636363636363636,0.121212121212121,0.242424242424242,13,21,19.6875,0.619047619047619,4,4,3.75,1,8,8,7.5,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.555555555555556,0.148148148148148,0.296296296296296,9,15,14.0625,0.6,4,4,3.75,1,8,8,7.5,1,0.272727272727273,8,9,8.4375,0.888888888888889,0.444444444444444,0.111111111111111,0.444444444444444,3,4,3.75,0.75,1,1,0.9375,1,4,4,3.75,1,1,1,0.9375,0.037037037037037,1,0,1,0,0,0,0,NA,1,1,0.9375,0.0303030303030303,0.037037037037037,1,4,6,5.625,0.181818181818182,0.666666666666667,0,0,NA,0,0,0,0,NA,0,0,0,0,0,3,2.8125,0,3,0,0,1,4,3.75,5,4.6875,2,3,0.4,0,0,0,0,5,4.6875,17,1,7,6.5625,4,3,5,4.6875,0,3,2.8125,2,1.875,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Averbuch","FCKC",1,96,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,35,39,36.5625,0.897435897435897,34,38,35.625,0.894736842105263,6,6,5.625,1,0.157894736842105,0.769230769230769,0.128205128205128,0.102564102564103,26,30,28.125,0.866666666666667,5,5,4.6875,1,4,4,3.75,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.763157894736842,0.131578947368421,0.105263157894737,25,29,27.1875,0.862068965517241,5,5,4.6875,1,4,4,3.75,1,0.153846153846154,6,6,5.625,1,0.833333333333333,0,0.166666666666667,5,5,4.6875,1,0,0,0,NA,1,1,0.9375,1,0,0,0,0,NA,0,0,0,2,1.875,0.0512820512820513,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,1,1,1,0,0,0,0,1,0,0,0,0,NA,0,1,1,0.9375,4,3.75,2,2,0.5,0,2,2,1.875,1,0.9375,8,5,4,3.75,3,1,1,0.9375,0,5,4.6875,4,3.75,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Barnes","SRFC",1,95,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,84,93,88.1052631578947,0.903225806451613,83,92,87.1578947368421,0.902173913043478,16,17,16.1052631578947,0.941176470588235,0.184782608695652,0.634408602150538,0.279569892473118,0.0860215053763441,51,59,55.8947368421053,0.864406779661017,25,26,24.6315789473684,0.961538461538462,8,8,7.57894736842105,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.641304347826087,0.271739130434783,0.0869565217391304,51,59,55.8947368421053,0.864406779661017,24,25,23.6842105263158,0.96,8,8,7.57894736842105,1,0.182795698924731,16,17,16.1052631578947,0.941176470588235,0.470588235294118,0.235294117647059,0.294117647058824,7,8,7.57894736842105,0.875,4,4,3.78947368421053,1,5,5,4.73684210526316,1,0,0,0,0,NA,0,0,1,6,5.68421052631579,0.0645161290322581,0.166666666666667,0,0,0,0,0,NA,1,1,0.947368421052632,0.010752688172043,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,1,0,1,0.947368421052632,0,0,0,0,NA,1,0,1,0.947368421052632,1,0.947368421052632,9,0,6,5.68421052631579,4,1,2,1.89473684210526,0,12,11.3684210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Barnhart","FCKC",1,96,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,23,35,32.8125,0.657142857142857,17,23,21.5625,0.739130434782609,1,2,1.875,0.5,0.0869565217391304,0.771428571428571,0.2,0.0285714285714286,15,27,25.3125,0.555555555555556,7,7,6.5625,1,1,1,0.9375,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.818181818181818,0.0909090909090909,0.0909090909090909,8,9,8.4375,0.888888888888889,1,1,0.9375,1,1,1,0.9375,1,0.0857142857142857,2,3,2.8125,0.666666666666667,1,0,0,2,3,2.8125,0.666666666666667,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,2,11,10.3125,0.314285714285714,0.181818181818182,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,2,3,0.666666666666667,0,0,0,0,3,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0.9375,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0.5,0,0,0,NA,6,6,0,1,6,1,0,3,0,2,2,0,2,2,0,0,0,0,0,0,23,35,0.657142857142857,4,5,0.8,0,4,0,9,15,0.6
"Beckie","HOU",1,77,1,0,1,1.16883116883117,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.16883116883117,0,0,0,1,0,0,0,21,32,37.4025974025974,0.65625,21,32,37.4025974025974,0.65625,16,20,23.3766233766234,0.8,0.625,0.4375,0.28125,0.28125,7,14,16.3636363636364,0.5,7,9,10.5194805194805,0.777777777777778,7,9,10.5194805194805,0.777777777777778,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.4375,0.28125,0.28125,7,14,16.3636363636364,0.5,7,9,10.5194805194805,0.777777777777778,7,9,10.5194805194805,0.777777777777778,0.625,16,20,23.3766233766234,0.8,0.4,0.25,0.35,5,8,9.35064935064935,0.625,5,5,5.84415584415584,1,6,7,8.18181818181818,0.857142857142857,0,1,1.16883116883117,0.03125,0,0,1,0,0,0,0,NA,0,3,3.50649350649351,0.09375,0.09375,0,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,4,4.67532467532468,2,2,0.5,2,1,5,5.84415584415584,0,0,0,0,NA,2,0,2,2.33766233766234,1,1.16883116883117,35,3,4,4.67532467532468,2,2,4,4.67532467532468,0,1,1.16883116883117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Beckmann","BOS",1,80,1,0,1,1.125,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.125,0,0,0,0,0,0,1,18,28,31.5,0.642857142857143,18,28,31.5,0.642857142857143,15,22,24.75,0.681818181818182,0.785714285714286,0.357142857142857,0.357142857142857,0.285714285714286,5,10,11.25,0.5,5,10,11.25,0.5,8,8,9,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.357142857142857,0.357142857142857,0.285714285714286,5,10,11.25,0.5,5,10,11.25,0.5,8,8,9,1,0.785714285714286,15,22,24.75,0.681818181818182,0.272727272727273,0.409090909090909,0.318181818181818,4,6,6.75,0.666666666666667,4,9,10.125,0.444444444444444,7,7,7.875,1,0,5,5.625,0.178571428571429,0,5,0,1,2,2.25,0.0714285714285714,0.5,0,1,1.125,0.0357142857142857,0.0357142857142857,0,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,1,0,1,1,1.125,0,1,0,3,4,8,9,2,2.25,0,2,0,0,2,2,2.25,1,1.125,18,5,8,9,4,4,0,0,0,1,1.125,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Betos","PTFC",1,95,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,22,26,24.6315789473684,0.846153846153846,16,20,18.9473684210526,0.8,3,5,4.73684210526316,0.6,0.25,0.769230769230769,0.230769230769231,0,16,20,18.9473684210526,0.8,6,6,5.68421052631579,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.625,0.375,0,7,10,9.47368421052632,0.7,6,6,5.68421052631579,1,0,0,0,NA,0.192307692307692,3,5,4.73684210526316,0.6,0.8,0.2,0,2,4,3.78947368421053,0.5,1,1,0.947368421052632,1,0,0,0,NA,0,0,0,0,NA,0,0,4,7,6.63157894736842,0.269230769230769,0.571428571428571,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,2,2,1,0,0,0,0,2,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,1.89473684210526,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,0,0,NA,2,2,0,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,22,26,0.846153846153846,2,2,1,2,2,1,5,6,0.833333333333333
"Bowen","FCKC",1,62,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,13,20,29.0322580645161,0.65,13,20,29.0322580645161,0.65,6,9,13.0645161290323,0.666666666666667,0.45,0.5,0.15,0.35,5,10,14.5161290322581,0.5,1,3,4.35483870967742,0.333333333333333,7,7,10.1612903225806,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.5,0.15,0.35,5,10,14.5161290322581,0.5,1,3,4.35483870967742,0.333333333333333,7,7,10.1612903225806,1,0.45,6,9,13.0645161290323,0.666666666666667,0.444444444444444,0.222222222222222,0.333333333333333,3,4,5.80645161290323,0.75,0,2,2.90322580645161,0,3,3,4.35483870967742,1,0,0,0,0,NA,0,0,1,1,1.45161290322581,0.05,1,0,1,1.45161290322581,0.05,0.05,0,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,2,0,2,2.90322580645161,2,2.90322580645161,2,0,1,1,2,3,4.35483870967742,4,5.80645161290323,32,5,6,8.70967741935484,5,1,2,2.90322580645161,0,1,1.45161290322581,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
