"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Averbuch","FCKC",1,99,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,15.4545454545455,0.529411764705882,8,12,10.9090909090909,0.666666666666667,3,5,4.54545454545454,0.6,0.416666666666667,0.882352941176471,0.117647058823529,0,7,15,13.6363636363636,0.466666666666667,2,2,1.81818181818182,1,0,0,0,0,1,0,0,0,1,0.909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.166666666666667,0,6,10,9.09090909090909,0.6,2,2,1.81818181818182,1,0,0,0,0,0.294117647058824,3,5,4.54545454545454,0.6,0.8,0.2,0,2,4,3.63636363636364,0.5,1,1,0.909090909090909,1,0,0,0,0,0,0,0,0,0,0,0,2,6,5.45454545454546,0.352941176470588,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,4.54545454545454,4,1,0.8,4,0,4,3.63636363636364,2,1.81818181818182,9,1,2,1.81818181818182,2,0,3,2.72727272727273,0,4,3.63636363636364,11,10,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",1,99,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,38,34.5454545454545,0.263157894736842,4,15,13.6363636363636,0.266666666666667,0,0,0,0,0,1,0,0,10,38,34.5454545454545,0.263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1.81818181818182,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33,30,0.868421052631579,0.212121212121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0.285714285714286,0,0,0,0,7,0,0,0,0,0,0,1,1,0.909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.909090909090909,0,0,0,0,0,0,0,0,0,0,0,4,10,0,10,0,2,2,0,0,4,4,0,1,1,0,2,12,0,5,2,3,0,0,0,3,0,3,2,0,10,38,0.263157894736842,1,2,0.5,3,14,0.214285714285714,5,20,0.25
"Cayman","WNYF",1,76,1,0,1,1.18421052631579,1,1,0,0,"0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,33.1578947368421,0.678571428571429,14,22,26.0526315789474,0.636363636363636,8,13,15.3947368421053,0.615384615384615,0.590909090909091,0.714285714285714,0.178571428571429,0.107142857142857,12,20,23.6842105263158,0.6,4,5,5.92105263157895,0.8,3,3,3.55263157894737,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727272727,0.136363636363636,0.136363636363636,9,16,18.9473684210526,0.5625,2,3,3.55263157894737,0.666666666666667,3,3,3.55263157894737,1,0.464285714285714,8,13,15.3947368421053,0.615384615384615,0.846153846153846,0.0769230769230769,0.0769230769230769,6,11,13.0263157894737,0.545454545454545,1,1,1.18421052631579,1,1,1,1.18421052631579,1,2,5,5.92105263157895,0.227272727272727,0.4,1,4,0,1,1.18421052631579,0.0357142857142857,0,0,0,0,0,0,0,3,4,4.73684210526316,0.142857142857143,0.75,0,0,0,0,0,2,2,1,0,0,0,0,2,4,4.73684210526316,4,0,1,2,1,3,3.55263157894737,3,3.55263157894737,2,1,0.666666666666667,4,0,4,4.73684210526316,2,2.36842105263158,11,0,8,9.47368421052632,7,1,2,2.36842105263158,0,1,1.18421052631579,1,1.18421052631579,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dahlkemper","WNYF",1,99,1,0,2,1.81818181818182,0.5,1,0,1,"0",1,0.5,0,0,0,1,0,0,0,1,0,0,0,0.909090909090909,0,0,0,0,0,0,0,0,0,30,38,34.5454545454545,0.789473684210526,22,25,22.7272727272727,0.88,6,7,6.36363636363636,0.857142857142857,0.28,0.526315789473684,0.368421052631579,0.105263157894737,15,20,18.1818181818182,0.75,11,14,12.7272727272727,0.785714285714286,4,4,3.63636363636364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.28,0.12,12,15,13.6363636363636,0.8,7,7,6.36363636363636,1,3,3,2.72727272727273,1,0.184210526315789,6,7,6.36363636363636,0.857142857142857,0.571428571428571,0.142857142857143,0.285714285714286,3,4,3.63636363636364,0.75,1,1,0.909090909090909,1,2,2,1.81818181818182,1,1,2,1.81818181818182,0.08,0.5,0,2,3,6,5.45454545454546,0.157894736842105,0.5,0,0,0,0,0,0,0,0,0,0,0,4,7,0.571428571428571,0,1,4,6,0.666666666666667,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,7.27272727272727,4,4,0.5,2,0,2,1.81818181818182,1,0.909090909090909,9,1,5,4.54545454545454,4,1,6,5.45454545454546,0,2,1.81818181818182,3,2.72727272727273,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",1,78,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,24.2307692307692,0.523809523809524,11,21,24.2307692307692,0.523809523809524,9,11,12.6923076923077,0.818181818181818,0.523809523809524,0.476190476190476,0.333333333333333,0.19047619047619,6,10,11.5384615384615,0.6,3,7,8.07692307692308,0.428571428571429,2,4,4.61538461538461,0.5,1,0,0,0,1,1.15384615384615,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.15384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476190476190476,0.333333333333333,0.19047619047619,6,10,11.5384615384615,0.6,3,7,8.07692307692308,0.428571428571429,2,4,4.61538461538461,0.5,0.523809523809524,9,11,12.6923076923077,0.818181818181818,0.545454545454545,0.272727272727273,0.181818181818182,4,6,6.92307692307692,0.666666666666667,3,3,3.46153846153846,1,2,2,2.30769230769231,1,1,5,5.76923076923077,0.238095238095238,0.2,4,1,0,0,0,0,0,1,1,1.15384615384615,0.0476190476190476,0.0476190476190476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.76923076923077,5,0,1,2,0,2,2.30769230769231,0,0,0,0,0,0,0,0,0,2,2.30769230769231,10,1,9,10.3846153846154,4,4,0,0,0,2,2.30769230769231,1,1.15384615384615,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eddy","WNYF",1,99,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,46,41.8181818181818,0.630434782608696,21,34,30.9090909090909,0.617647058823529,7,11,10,0.636363636363636,0.323529411764706,0.739130434782609,0.195652173913043,0.0652173913043478,21,34,30.9090909090909,0.617647058823529,5,9,8.18181818181818,0.555555555555556,3,3,2.72727272727273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705882352941177,0.235294117647059,0.0588235294117647,15,24,21.8181818181818,0.625,4,8,7.27272727272727,0.5,2,2,1.81818181818182,1,0.239130434782609,7,11,10,0.636363636363636,0.545454545454545,0.272727272727273,0.181818181818182,4,6,5.45454545454546,0.666666666666667,1,3,2.72727272727273,0.333333333333333,2,2,1.81818181818182,1,1,5,4.54545454545454,0.147058823529412,0.2,4,1,3,5,4.54545454545454,0.108695652173913,0.6,0,1,0.909090909090909,0.0217391304347826,0.0294117647058824,0,8,12,10.9090909090909,0.260869565217391,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.54545454545454,3,2,0.6,0,1,3,2.72727272727273,1,0.909090909090909,1,0,1,1,0,1,0.909090909090909,1,0.909090909090909,3,3,6,5.45454545454546,4,1,1,0.909090909090909,0,2,1.81818181818182,1,0.909090909090909,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groom","FCKC",1,99,1,1,4,3.63636363636364,0.25,0,0,3,"0",2,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,12.7272727272727,0.714285714285714,10,14,12.7272727272727,0.714285714285714,7,8,7.27272727272727,0.875,0.571428571428571,0.214285714285714,0.142857142857143,0.642857142857143,2,3,2.72727272727273,0.666666666666667,2,2,1.81818181818182,1,6,9,8.18181818181818,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714285714,0.142857142857143,0.642857142857143,2,3,2.72727272727273,0.666666666666667,2,2,1.81818181818182,1,6,9,8.18181818181818,0.666666666666667,0.571428571428571,7,8,7.27272727272727,0.875,0.125,0.125,0.75,1,1,0.909090909090909,1,1,1,0.909090909090909,1,5,6,5.45454545454546,0.833333333333333,0,0,0,0,0,0,0,0,1,0.909090909090909,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.81818181818182,2,0,1,1,2,3,2.72727272727273,7,6.36363636363636,2,5,0.285714285714286,1,0,1,0.909090909090909,1,0.909090909090909,13,1,3,2.72727272727273,2,1,0,0,0,2,1.81818181818182,2,1.81818181818182,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hahn","WNYF",1,68,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,18.5294117647059,0.785714285714286,11,14,18.5294117647059,0.785714285714286,3,4,5.29411764705882,0.75,0.285714285714286,0.642857142857143,0.214285714285714,0.142857142857143,6,9,11.9117647058824,0.666666666666667,3,3,3.97058823529412,1,2,2,2.64705882352941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642857142857143,0.214285714285714,0.142857142857143,6,9,11.9117647058824,0.666666666666667,3,3,3.97058823529412,1,2,2,2.64705882352941,1,0.285714285714286,3,4,5.29411764705882,0.75,0.5,0.25,0.25,1,2,2.64705882352941,0.5,1,1,1.32352941176471,1,1,1,1.32352941176471,1,0,0,0,0,0,0,0,1,2,2.64705882352941,0.142857142857143,0.5,1,1,1.32352941176471,0.0714285714285714,0.0714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.64705882352941,2,0,1,0,0,0,0,6,7.94117647058824,4,2,0.666666666666667,0,0,0,0,0,0,4,1,7,9.26470588235294,5,2,2,2.64705882352941,0,2,2.64705882352941,3,3.97058823529412,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamilton","WNYF",1,23,0,0,1,3.91304347826087,1,0,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,27.3913043478261,0.714285714285714,5,7,27.3913043478261,0.714285714285714,5,5,19.5652173913043,1,0.714285714285714,0.285714285714286,0.428571428571429,0.285714285714286,2,2,7.82608695652174,1,1,3,11.7391304347826,0.333333333333333,2,2,7.82608695652174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0.428571428571429,0.285714285714286,2,2,7.82608695652174,1,1,3,11.7391304347826,0.333333333333333,2,2,7.82608695652174,1,0.714285714285714,5,5,19.5652173913043,1,0.4,0.2,0.4,2,2,7.82608695652174,1,1,1,3.91304347826087,1,2,2,7.82608695652174,1,0,1,3.91304347826087,0.142857142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.82608695652174,1,1,0.5,0,1,2,7.82608695652174,2,7.82608695652174,1,1,0.5,0,0,0,0,0,0,0,0,2,7.82608695652174,0,2,0,0,0,1,3.91304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kastor","FCKC",1,18,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,1,0.5,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,2,10,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
