"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Andressa","HOU",1,94,1,0,3,2.87234042553191,0.333333333333333,1,0,2,"0",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,65,62.2340425531915,0.8,51,62,59.3617021276596,0.82258064516129,39,49,46.9148936170213,0.795918367346939,0.790322580645161,0.446153846153846,0.384615384615385,0.169230769230769,18,29,27.7659574468085,0.620689655172414,24,25,23.936170212766,0.96,10,11,10.531914893617,0.909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435483870967742,0.387096774193548,0.17741935483871,18,27,25.8510638297872,0.666666666666667,23,24,22.9787234042553,0.958333333333333,10,11,10.531914893617,0.909090909090909,0.753846153846154,39,49,46.9148936170213,0.795918367346939,0.428571428571429,0.387755102040816,0.183673469387755,12,21,20.1063829787234,0.571428571428571,19,19,18.1914893617021,1,8,9,8.61702127659574,0.888888888888889,0,0,0,0,0,0,0,1,4,3.82978723404255,0.0615384615384615,0.25,1,5,4.78723404255319,0.0769230769230769,0.0806451612903226,0.2,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,2,2,1.91489361702128,2,0,1,1,1,2,1.91489361702128,3,2.87234042553191,1,2,0.333333333333333,1,0,1,0.957446808510638,0,0,38,4,16,15.3191489361702,9,7,0,0,0,0,0,1,0.957446808510638,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beckie","HOU",1,94,1,0,1,0.957446808510638,0,0,0,1,"0",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.957446808510638,0,0,0,1,0,0,0,25,37,35.4255319148936,0.675675675675676,23,35,33.5106382978723,0.657142857142857,16,26,24.8936170212766,0.615384615384615,0.742857142857143,0.216216216216216,0.432432432432432,0.351351351351351,3,8,7.65957446808511,0.375,12,16,15.3191489361702,0.75,10,13,12.4468085106383,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228571428571429,0.4,0.371428571428571,3,8,7.65957446808511,0.375,10,14,13.4042553191489,0.714285714285714,10,13,12.4468085106383,0.769230769230769,0.702702702702703,16,26,24.8936170212766,0.615384615384615,0.230769230769231,0.423076923076923,0.346153846153846,2,6,5.74468085106383,0.333333333333333,7,11,10.531914893617,0.636363636363636,7,9,8.61702127659574,0.777777777777778,1,4,3.82978723404255,0.114285714285714,0.25,4,0,0,1,0.957446808510638,0.027027027027027,0,0,2,1.91489361702128,0.0540540540540541,0.0571428571428571,0,2,2,1.91489361702128,0.0540540540540541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.87234042553191,0,3,0,1,4,8,7.65957446808511,1,0.957446808510638,0,1,0,1,1,2,1.91489361702128,3,2.87234042553191,34,4,3,2.87234042553191,3,0,0,0,0,1,0.957446808510638,1,0.957446808510638,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","HOU",1,71,1,0,1,1.26760563380282,1,1,0,0,"0",1,1,0,0,1,0,0,0,0,2,0,0,0,2.53521126760563,0,0,0,0,0,0,0,0,0,47,55,69.7183098591549,0.854545454545454,46,54,68.4507042253521,0.851851851851852,31,36,45.6338028169014,0.861111111111111,0.666666666666667,0.436363636363636,0.309090909090909,0.254545454545455,19,24,30.4225352112676,0.791666666666667,14,17,21.5492957746479,0.823529411764706,14,14,17.7464788732394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425925925925926,0.314814814814815,0.259259259259259,18,23,29.1549295774648,0.782608695652174,14,17,21.5492957746479,0.823529411764706,14,14,17.7464788732394,1,0.654545454545455,31,36,45.6338028169014,0.861111111111111,0.388888888888889,0.333333333333333,0.277777777777778,12,14,17.7464788732394,0.857142857142857,9,12,15.2112676056338,0.75,10,10,12.6760563380282,1,0,1,1.26760563380282,0.0185185185185185,0,1,0,0,1,1.26760563380282,0.0181818181818182,0,1,3,3.80281690140845,0.0545454545454545,0.0555555555555556,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,3.80281690140845,2,1,0.666666666666667,3,1,5,6.33802816901408,6,7.6056338028169,4,2,0.666666666666667,3,3,6,7.6056338028169,2,2.53521126760563,26,2,13,16.4788732394366,12,1,3,3.80281690140845,0,2,2.53521126760563,1,1.26760563380282,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks","HOU",1,94,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,34,32.5531914893617,0.764705882352941,25,33,31.5957446808511,0.757575757575758,12,16,15.3191489361702,0.75,0.484848484848485,0.705882352941177,0.205882352941176,0.0882352941176471,16,24,22.9787234042553,0.666666666666667,7,7,6.70212765957447,1,3,3,2.87234042553191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727272727,0.181818181818182,0.0909090909090909,16,24,22.9787234042553,0.666666666666667,6,6,5.74468085106383,1,3,3,2.87234042553191,1,0.470588235294118,12,16,15.3191489361702,0.75,0.6875,0.1875,0.125,7,11,10.531914893617,0.636363636363636,3,3,2.87234042553191,1,2,2,1.91489361702128,1,0,0,0,0,0,0,0,0,2,1.91489361702128,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0.957446808510638,1,0,1,0,0,0,0,7,6.70212765957447,4,3,0.571428571428571,4,1,5,4.78723404255319,1,0.957446808510638,18,4,12,11.4893617021277,10,2,1,0.957446808510638,0,1,0.957446808510638,4,3.82978723404255,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cayman","WNYF",1,8,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,22.5,1,2,2,22.5,1,1,1,11.25,1,0.5,0,1,0,0,0,0,0,2,2,22.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,22.5,1,0,0,0,0,0.5,1,1,11.25,1,0,1,0,0,0,0,0,1,1,11.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22.5,2,0,1,0,0,0,0,0,0,0,0,0,2,0,2,22.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D'Angelo","WNYF",1,94,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,39,37.3404255319149,0.717948717948718,21,32,30.6382978723404,0.65625,2,6,5.74468085106383,0.333333333333333,0.1875,0.794871794871795,0.205128205128205,0,20,31,29.6808510638298,0.645161290322581,8,8,7.65957446808511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.16,0,13,21,20.1063829787234,0.619047619047619,4,4,3.82978723404255,1,0,0,0,0,0.153846153846154,2,6,5.74468085106383,0.333333333333333,1,0,0,2,6,5.74468085106383,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,17.2340425531915,0.461538461538462,0.444444444444444,0,1,0.957446808510638,0.0256410256410256,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.82978723404255,4,0,0,0,0,0,0,1,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,1,4,2,6,0.333333333333333,1,1,0,0,1,1,0,1,7,0,1,3,0,3,1,2,0,0,0,0,0,0,1,0,28,39,0.717948717948718,6,6,1,1,1,1,4,7,0.571428571428571
"Dahlkemper","WNYF",1,94,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,48,45.9574468085106,0.729166666666667,33,43,41.1702127659574,0.767441860465116,16,19,18.1914893617021,0.842105263157895,0.441860465116279,0.645833333333333,0.229166666666667,0.125,21,31,29.6808510638298,0.67741935483871,8,11,10.531914893617,0.727272727272727,6,6,5.74468085106383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674418604651163,0.209302325581395,0.116279069767442,21,29,27.7659574468085,0.724137931034483,7,9,8.61702127659574,0.777777777777778,5,5,4.78723404255319,1,0.395833333333333,16,19,18.1914893617021,0.842105263157895,0.526315789473684,0.315789473684211,0.157894736842105,8,10,9.57446808510638,0.8,5,6,5.74468085106383,0.833333333333333,3,3,2.87234042553191,1,0,2,1.91489361702128,0.0465116279069767,0,1,1,2,8,7.65957446808511,0.166666666666667,0.25,0,0,0,0,0,0,1,1,0.957446808510638,0.0208333333333333,1,0,1,0,0,0,1,3,0.333333333333333,0,0,0,0,3,0,0,0,0,0,1,2,3,2.87234042553191,1,0.957446808510638,0,1,0,1,0,1,0.957446808510638,0,0,16,6,9,8.61702127659574,7,2,8,7.65957446808511,0,1,0.957446808510638,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daly","HOU",1,24,0,0,1,3.75,0,0,0,1,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,33.75,0.555555555555556,3,7,26.25,0.428571428571429,2,5,18.75,0.4,0.714285714285714,0.555555555555556,0.333333333333333,0.111111111111111,2,5,18.75,0.4,2,3,11.25,0.666666666666667,1,1,3.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,0.285714285714286,0,2,5,18.75,0.4,1,2,7.5,0.5,0,0,0,0,0.555555555555556,2,5,18.75,0.4,0.6,0.4,0,1,3,11.25,0.333333333333333,1,2,7.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7.5,0.222222222222222,0.285714285714286,0.5,1,1,3.75,0.111111111111111,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,3.75,0,1,0,0,0,1,3.75,2,7.5,2,0,1,1,0,1,3.75,1,3.75,14,0,2,7.5,2,0,0,0,0,1,3.75,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",1,71,1,1,1,1.26760563380282,1,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.26760563380282,1,1,0,0,0,0,0,16,25,31.6901408450704,0.64,16,25,31.6901408450704,0.64,13,19,24.0845070422535,0.684210526315789,0.76,0.4,0.28,0.32,5,10,12.6760563380282,0.5,4,7,8.87323943661972,0.571428571428571,7,8,10.1408450704225,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.28,0.32,5,10,12.6760563380282,0.5,4,7,8.87323943661972,0.571428571428571,7,8,10.1408450704225,0.875,0.76,13,19,24.0845070422535,0.684210526315789,0.368421052631579,0.263157894736842,0.368421052631579,4,7,8.87323943661972,0.571428571428571,3,5,6.33802816901408,0.6,6,7,8.87323943661972,0.857142857142857,0,4,5.07042253521127,0.16,0,4,0,1,1,1.26760563380282,0.04,1,0,2,2.53521126760563,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.07042253521127,0,4,0,0,2,6,7.6056338028169,1,1.26760563380282,1,0,1,2,1,3,3.80281690140845,0,0,39,1,6,7.6056338028169,3,3,1,1.26760563380282,0,1,1.26760563380282,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eddy","WNYF",1,87,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,42,43.448275862069,0.69047619047619,22,33,34.1379310344828,0.666666666666667,15,20,20.6896551724138,0.75,0.606060606060606,0.761904761904762,0.166666666666667,0.0714285714285714,21,32,33.1034482758621,0.65625,5,7,7.24137931034483,0.714285714285714,3,3,3.10344827586207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727272727,0.212121212121212,0.0606060606060606,15,24,24.8275862068966,0.625,5,7,7.24137931034483,0.714285714285714,2,2,2.06896551724138,1,0.476190476190476,15,20,20.6896551724138,0.75,0.7,0.25,0.05,10,14,14.4827586206897,0.714285714285714,4,5,5.17241379310345,0.8,1,1,1.03448275862069,1,1,2,2.06896551724138,0.0606060606060606,0.5,1,1,0,4,4.13793103448276,0.0952380952380952,0,0,0,0,0,0,0,7,9,9.31034482758621,0.214285714285714,0.777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7.24137931034483,6,1,0.857142857142857,1,0,2,2.06896551724138,1,1.03448275862069,0,1,0,6,2,8,8.27586206896552,2,2.06896551724138,19,5,15,15.5172413793103,10,5,1,1.03448275862069,0,1,1.03448275862069,2,2.06896551724138,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
