"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Brynjarsdottir","PTFC",1,54,1,0,1,1.66666666666667,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,15,0.777777777777778,7,9,15,0.777777777777778,6,6,10,1,0.6,0.222222222222222,0.222222222222222,0.555555555555556,1,2,3.33333333333333,0.5,1,2,3.33333333333333,0.5,5,5,8.33333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0.222222222222222,0.555555555555556,1,2,3.33333333333333,0.5,1,2,3.33333333333333,0.5,5,5,8.33333333333333,1,0.6,6,6,10,1,0.166666666666667,0.166666666666667,0.666666666666667,1,1,1.66666666666667,1,1,1,1.66666666666667,1,4,4,6.66666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.33333333333333,1,1,0.5,0,0,1,1.66666666666667,9,15,6,3,0.666666666666667,0,1,1,1.66666666666667,0,0,17,2,1,1.66666666666667,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dahlkemper","WNYF",1,96,1,0,1,0.9375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,44,41.25,0.772727272727273,31,38,35.625,0.815789473684211,17,22,20.625,0.772727272727273,0.578947368421053,0.5,0.386363636363636,0.113636363636364,14,22,20.625,0.636363636363636,15,17,15.9375,0.882352941176471,5,5,4.6875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.368421052631579,0.131578947368421,12,19,17.8125,0.631578947368421,14,14,13.125,1,5,5,4.6875,1,0.5,17,22,20.625,0.772727272727273,0.545454545454545,0.272727272727273,0.181818181818182,7,12,11.25,0.583333333333333,6,6,5.625,1,4,4,3.75,1,0,0,0,0,0,0,0,3,8,7.5,0.181818181818182,0.375,1,4,3.75,0.0909090909090909,0.105263157894737,0.25,1,1,0.9375,0.0227272727272727,1,1,3,0.333333333333333,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,0,1,1,0.9375,6,5.625,3,3,0.5,2,2,4,3.75,1,0.9375,4,4,16,15,13,3,4,3.75,0,1,0.9375,6,5.625,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",1,96,1,0,1,0.9375,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,26.25,0.678571428571429,18,27,25.3125,0.666666666666667,17,25,23.4375,0.68,0.925925925925926,0.321428571428571,0.571428571428571,0.107142857142857,6,9,8.4375,0.666666666666667,10,16,15,0.625,3,3,2.8125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.555555555555556,0.111111111111111,6,9,8.4375,0.666666666666667,9,15,14.0625,0.6,3,3,2.8125,1,0.892857142857143,17,25,23.4375,0.68,0.32,0.6,0.08,6,8,7.5,0.75,9,15,14.0625,0.6,2,2,1.875,1,2,5,4.6875,0.185185185185185,0.4,4,1,0,0,0,0,0,1,1,0.9375,0.0357142857142857,0.037037037037037,1,1,1,0.9375,0.0357142857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.8125,2,1,0.666666666666667,1,2,4,3.75,2,1.875,0,2,0,0,0,0,0,1,0.9375,32,7,6,5.625,1,5,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eckerstrom","WNYF",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,15,0.625,2,6,5.625,0.333333333333333,0,0,0,0,0,0.875,0.125,0,8,14,13.125,0.571428571428571,2,2,1.875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0,1,4,3.75,0.25,1,1,0.9375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4.6875,0.3125,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,0.285714285714286,1,0,1,1,0,0,0,0,3,0,1,3,0,1,0,1,0,0,0,1,0,1,1,0,10,16,0.625,4,4,1,2,3,0.666666666666667,2,4,0.5
"Eddy","WNYF",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,40,37.5,0.65,15,24,22.5,0.625,12,14,13.125,0.857142857142857,0.583333333333333,0.675,0.2,0.125,18,27,25.3125,0.666666666666667,3,8,7.5,0.375,5,5,4.6875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.208333333333333,0.166666666666667,9,15,14.0625,0.6,2,5,4.6875,0.4,4,4,3.75,1,0.35,12,14,13.125,0.857142857142857,0.571428571428571,0.142857142857143,0.285714285714286,6,8,7.5,0.75,2,2,1.875,1,4,4,3.75,1,0,4,3.75,0.166666666666667,0,3,1,2,6,5.625,0.15,0.333333333333333,1,2,1.875,0.05,0.0833333333333333,0.5,11,16,15,0.4,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.625,3,3,0.5,1,0,4,3.75,2,1.875,0,2,0,0,0,0,0,4,3.75,16,6,15,14.0625,10,5,1,0.9375,0,2,1.875,1,0.9375,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","WNYF",1,82,1,0,2,2.19512195121951,0,0,0,2,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,24.1463414634146,0.636363636363636,13,21,23.0487804878049,0.619047619047619,10,12,13.1707317073171,0.833333333333333,0.571428571428571,0.545454545454545,0.272727272727273,0.181818181818182,5,12,13.1707317073171,0.416666666666667,5,6,6.58536585365854,0.833333333333333,4,4,4.39024390243902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,0.238095238095238,0.19047619047619,5,12,13.1707317073171,0.416666666666667,4,5,5.48780487804878,0.8,4,4,4.39024390243902,1,0.545454545454545,10,12,13.1707317073171,0.833333333333333,0.416666666666667,0.25,0.333333333333333,3,5,5.48780487804878,0.6,3,3,3.29268292682927,1,4,4,4.39024390243902,1,0,0,0,0,0,0,0,0,4,4.39024390243902,0.181818181818182,0,0,3,3.29268292682927,0.136363636363636,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,5,5.48780487804878,3,2,0.6,2,0,4,4.39024390243902,6,6.58536585365854,4,2,0.666666666666667,1,1,2,2.19512195121951,1,1.09756097560976,20,8,11,12.0731707317073,6,5,2,2.19512195121951,0,1,1.09756097560976,2,2.19512195121951,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Franch","PTFC",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,25.3125,0.555555555555556,11,17,15.9375,0.647058823529412,4,6,5.625,0.666666666666667,0.352941176470588,0.888888888888889,0.111111111111111,0,12,24,22.5,0.5,3,3,2.8125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727272727,0.272727272727273,0,5,8,7.5,0.625,3,3,2.8125,1,0,0,0,0,0.259259259259259,5,7,6.5625,0.714285714285714,0.714285714285714,0.285714285714286,0,3,5,4.6875,0.6,2,2,1.875,1,0,0,0,0,0,0,0,0,0,0,0,5,13,12.1875,0.481481481481481,0.384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,1,1,0,0,3,3,0,1,5,2,1,6,0,2,2,0,0,0,0,2,1,1,1,1,15,27,0.555555555555556,3,3,1,1,5,0.2,3,8,0.375
"Hahn","WNYF",1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,17.2340425531915,0.555555555555556,5,9,17.2340425531915,0.555555555555556,3,3,5.74468085106383,1,0.333333333333333,0.888888888888889,0.111111111111111,0,4,8,15.3191489361702,0.5,1,1,1.91489361702128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888888888889,0.111111111111111,0,4,8,15.3191489361702,0.5,1,1,1.91489361702128,1,0,0,0,0,0.333333333333333,3,3,5.74468085106383,1,0.666666666666667,0.333333333333333,0,2,2,3.82978723404255,1,1,1,1.91489361702128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.91489361702128,0.111111111111111,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.91489361702128,2,3.82978723404255,0,2,0,0,1,1,1.91489361702128,1,1.91489361702128,17,1,4,7.65957446808511,2,2,1,1.91489361702128,0,1,1.91489361702128,1,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamilton","WNYF",1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,24,1,3,3,18,1,2,2,12,1,0.666666666666667,0.25,0.75,0,1,1,6,1,3,3,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0,1,1,6,1,2,2,12,1,0,0,0,0,0.5,2,2,12,1,0.5,0.5,0,1,1,6,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0.25,0.333333333333333,1,1,1,6,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,18,1,6,0,1,0,0,0,0,0,0,0,6,4,1,6,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","PTFC",1,96,1,0,3,2.8125,1,3,0,0,0,1,0.333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,35,32.8125,0.571428571428571,17,31,29.0625,0.548387096774194,13,22,20.625,0.590909090909091,0.709677419354839,0.485714285714286,0.257142857142857,0.257142857142857,3,17,15.9375,0.176470588235294,8,9,8.4375,0.888888888888889,9,9,8.4375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516129032258065,0.258064516129032,0.225806451612903,3,16,15,0.1875,7,8,7.5,0.875,7,7,6.5625,1,0.628571428571429,13,22,20.625,0.590909090909091,0.5,0.272727272727273,0.227272727272727,2,11,10.3125,0.181818181818182,6,6,5.625,1,5,5,4.6875,1,0,0,0,0,0,0,0,0,6,5.625,0.171428571428571,0,0,3,2.8125,0.0857142857142857,0.0967741935483871,0,1,1,0.9375,0.0285714285714286,1,2,2,1,0,0,0,1,0,0,0,1,0,2,8,7.5,7,1,0.875,2,3,6,5.625,2,1.875,1,1,0.5,2,0,2,1.875,2,1.875,17,5,9,8.4375,7,2,2,1.875,0,5,4.6875,1,0.9375,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
