"Player","Team","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","Second.Assists","Unscored.Key.Passes","KP.Goal","Assists.per.90","Key.Passes.per.90","Assists.per.Pass","Key.Passes.per.Pass","Big.Chances","Big.Chances.per.90","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Comp.Pct","Pct.opPass.Pressd","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Att","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.Pass","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Att.per.opPass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","CK.Effectiveness","Corner.Kicks.Taken","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Comp.Pct","FK.Pass.Att","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Blocks","Clearances","Balls.Shields","Saves","Goals.Allowed","SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses","Crosses.Won","Crosses.Lost","Corner.Kicks","CKs.Won","CKs.Lost","Free.Kicks","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","All.Pass.Comp","Distribution.Success","All.Pass.Att","Throw.Comp","Throw.Comp.Pct","Throw.Att","Drop.Kick.Comp","Drop.Kick.Comp.Pct","Drop.Kick.Att","GK.FK.Comp","GK.FK.Comp.Pct","GK.FK.Att","Int.per.90"
"A. Scott","ENG",167,2,0,1,0.538922155688623,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0.538922155688623,0,0,0,1,0,0,0,50,63,0.793650793650794,32,40,0.8,13,17,0.764705882352941,0.425,0.666666666666667,0.222222222222222,0.111111111111111,32,42,0.761904761904762,11,14,0.785714285714286,7,7,1,0.6,0.225,0.175,18,24,0.75,7,9,0.777777777777778,7,7,1,0.26984126984127,13,17,0.764705882352941,0.470588235294118,0.294117647058824,0.235294117647059,5,8,0.625,4,5,0.8,4,4,1,0,2,1.07784431137725,0.0317460317460317,0.05,0,2,0,2,2,1.07784431137725,0.0317460317460317,0.05,1,10,11,5.92814371257485,0.174603174603175,0.275,0.909090909090909,18,23,12.3952095808383,0.365079365079365,0.782608695652174,0,NA,0,0,0,0,NA,0,0,0,0,0,0,3,0.5,6,3,1,1,5,0.454545454545455,11,6,7,1,1,12,5,11,5,6,5,3,10,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,2.69461077844311
"Abily","FRA",172,2,0,1,0.523255813953488,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.523255813953488,0,0,0,0,0,NA,0,0,0,0,0,62,81,0.765432098765432,60,79,0.759493670886076,26,33,0.787878787878788,0.417721518987342,0.506172839506173,0.222222222222222,0.271604938271605,23,41,0.560975609756098,18,18,1,21,22,0.954545454545455,0.518987341772152,0.227848101265823,0.253164556962025,23,41,0.560975609756098,18,18,1,19,20,0.95,0.407407407407407,26,33,0.787878787878788,0.363636363636364,0.242424242424242,0.393939393939394,6,12,0.5,8,8,1,12,13,0.923076923076923,0,2,1.04651162790698,0.0246913580246914,0.0253164556962025,0,0,2,4,9,4.7093023255814,0.111111111111111,0.113924050632911,0.444444444444444,1,2,1.04651162790698,0.0246913580246914,0.0253164556962025,0.5,0,0,0,0,NA,0,NA,0,0,0,2,1,2,0,0,0,0,2,6,1,6,0,3,6,7,0.466666666666667,15,8,5,2,4,45,8,19,10,9,2,5,3,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1.04651162790698
"Aluko","ENG",45,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,7,12,0.583333333333333,7,12,0.583333333333333,4,6,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0,4,0,3,4,0.75,4,4,1,0.333333333333333,0.333333333333333,0.333333333333333,0,4,0,3,4,0.75,4,4,1,0.5,4,6,0.666666666666667,0.166666666666667,0.5,0.333333333333333,0,1,0,2,3,0.666666666666667,2,2,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,2,4,0.166666666666667,0.166666666666667,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,1,0,0,1,0.333333333333333,3,2,0,0,2,9,1,3,1,2,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0
"Asseyi","FRA",26,0,0,1,3.46153846153846,1,1,0,0,1,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,1,1,1,1,1,0,0,NA,0,1,0,0,1,1,1,0,0,NA,0,0,NA,1,0,0,1,1,1,0,0,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,1,0.5,2,1,0,0,1,0.333333333333333,3,2,0,1,1,3,1,3,2,1,0,2,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0
"Bardsley","ENG",287,3,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,26,61,0.426229508196721,18,47,0.382978723404255,0,2,0,0.0425531914893617,0.967213114754098,0.0327868852459016,0,24,59,0.406779661016949,2,2,1,0,0,NA,1,0,0,18,47,0.382978723404255,0,0,NA,0,0,NA,0.0327868852459016,0,2,0,1,0,0,0,2,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,14,48,15.0522648083624,0.786885245901639,1.02127659574468,0.291666666666667,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,3,0.6,5,0,0,0,0,5,0,NA,0,0,0,0,1,1,1,0,0,0,0,0,0,11,9,2,0,0,0,0,10,3,13,0.230769230769231,2,2,0,0,8,7,1,4,1,0,1,0,4,3,1,1,1,0,0,0,0,0,0,26,0.426229508196721,61,4,1,4,1,0.2,5,11,0.379310344827586,29,0
"Bartusiak","GER",192,2,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,64,71,0.901408450704225,62,68,0.911764705882353,25,26,0.961538461538462,0.382352941176471,0.605633802816901,0.323943661971831,0.0704225352112676,36,43,0.837209302325581,23,23,1,5,5,1,0.602941176470588,0.323529411764706,0.0735294117647059,35,41,0.853658536585366,22,22,1,5,5,1,0.366197183098592,25,26,0.961538461538462,0.461538461538462,0.384615384615385,0.153846153846154,11,12,0.916666666666667,10,10,1,4,4,1,0,0,0,0,0,NA,0,0,1,4,1.875,0.0563380281690141,0.0588235294117647,0.25,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,2,0.666666666666667,3,0,0,0,0,3,0,NA,0,0,1,0,8,0.4,20,12,5,2,3,10,9,8,6,2,1,6,12,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0.46875
"Bathy","FRA",134,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,39,44,0.886363636363636,39,44,0.886363636363636,11,15,0.733333333333333,0.340909090909091,0.568181818181818,0.204545454545455,0.227272727272727,22,25,0.88,7,9,0.777777777777778,10,10,1,0.568181818181818,0.204545454545455,0.227272727272727,22,25,0.88,7,9,0.777777777777778,10,10,1,0.340909090909091,11,15,0.733333333333333,0.6,0.266666666666667,0.133333333333333,7,9,0.777777777777778,2,4,0.5,2,2,1,0,1,0.671641791044776,0.0227272727272727,0.0227272727272727,0,1,0,4,4,2.6865671641791,0.0909090909090909,0.0909090909090909,1,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,4,1,4,0,1,0,10,0.714285714285714,14,4,1,1,0,8,5,9,7,2,4,9,14,2,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,2.6865671641791
"Behringer","GER",122,2,0,1,0.737704918032787,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,51,65,0.784615384615385,42,50,0.84,28,35,0.8,0.7,0.461538461538462,0.338461538461538,0.2,23,30,0.766666666666667,16,22,0.727272727272727,12,13,0.923076923076923,0.52,0.26,0.22,21,26,0.807692307692308,11,13,0.846153846153846,10,11,0.909090909090909,0.553846153846154,29,36,0.805555555555556,0.444444444444444,0.277777777777778,0.277777777777778,11,16,0.6875,9,10,0.9,9,10,0.9,1,3,2.21311475409836,0.0461538461538462,0.06,0.333333333333333,2,1,2,2,1.47540983606557,0.0307692307692308,0.04,1,0,1,0.737704918032787,0.0153846153846154,0.02,0,0,0,0,0,NA,6,0.6,10,0,0,3,0.6,5,0,0,1,0,6,3,1,3,0,4,1,1,0.2,5,4,3,0,4,20,8,14,9,4,0,4,1,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0
"Benkarth","GER",96,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,28,35,0.8,22,27,0.814814814814815,3,4,0.75,0.148148148148148,0.771428571428571,0.228571428571429,0,20,27,0.740740740740741,8,8,1,0,0,NA,0.814814814814815,0.185185185185185,0,17,22,0.772727272727273,5,5,1,0,0,NA,0.142857142857143,4,5,0.8,0.6,0.4,0,2,3,0.666666666666667,2,2,1,0,0,NA,0,0,0,0,0,NA,0,0,8,15,14.0625,0.428571428571429,0.555555555555556,0.533333333333333,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,8,8,0,0,0,0,0,1,1,2,0.5,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.8,35,4,1,4,2,0.5,4,4,0.571428571428571,7,0
"Bilbault","FRA",17,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,5,6,0.833333333333333,5,6,0.833333333333333,4,4,1,0.666666666666667,0.5,0.166666666666667,0.333333333333333,3,3,1,0,1,0,2,2,1,0.5,0.166666666666667,0.333333333333333,3,3,1,0,1,0,2,2,1,0.666666666666667,4,4,1,0.75,0,0.25,3,3,1,0,0,NA,1,1,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,3,0,1,1,0,1,1,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,5.29411764705882
