"Player","Team","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","Second.Assists","Unscored.Key.Passes","KP.Goal","Assists.per.90","Key.Passes.per.90","Assists.per.Pass","Key.Passes.per.Pass","Big.Chances","Big.Chances.per.90","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Comp.Pct","Pct.opPass.Pressd","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Att","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.Pass","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Att.per.opPass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","CK.Effectiveness","Corner.Kicks.Taken","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Comp.Pct","FK.Pass.Att","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Clearances","Balls.Shields","Saves","Goals.Allowed","SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses","Crosses.Won","Crosses.Lost","Corner.Kicks","CKs.Won","CKs.Lost","Free.Kicks","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","All.Pass.Comp","Distribution.Success","All.Pass.Att","Throw.Comp","Throw.Comp.Pct","Throw.Att","Drop.Kick.Comp","Drop.Kick.Comp.Pct","Drop.Kick.Att","GK+FK.Comp","GK+FK.Comp.Pct","GK+FK.Att"
"A. Scott","ENG",71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.26760563380282,0,0,0,1,0,0,0,26,34,0.764705882352941,23,30,0.766666666666667,4,7,0.571428571428571,0.233333333333333,0.676470588235294,0.235294117647059,0.0882352941176471,17,23,0.739130434782609,6,8,0.75,3,3,1,0.666666666666667,0.233333333333333,0.1,15,20,0.75,5,7,0.714285714285714,3,3,1,1,4,7,0.571428571428571,0.571428571428571,0.428571428571429,0,2,4,0.5,2,3,0.666666666666667,0,0,0,0,2,2.53521126760563,0.0588235294117647,0.0666666666666667,0,2,0,1,1,1.26760563380282,0.0294117647058824,0.0333333333333333,1,10,11,13.943661971831,0.323529411764706,0.366666666666667,0.909090909090909,3,4,5.07042253521127,0.117647058823529,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,1,0,1,4,0.666666666666667,6,2,5,1,1,5,2,9,4,5,2,2.53521126760563,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abily","FRA",78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.15384615384615,0,0,0,0,0,0,0,0,0,0,0,28,37,0.756756756756757,28,37,0.756756756756757,12,15,0.8,0.405405405405405,0.621621621621622,0.216216216216216,0.162162162162162,14,23,0.608695652173913,8,8,1,6,6,1,0.621621621621622,0.216216216216216,0.162162162162162,14,23,0.608695652173913,8,8,1,6,6,1,1,12,15,0.8,0.466666666666667,0.266666666666667,0.266666666666667,4,7,0.571428571428571,4,4,1,4,4,1,0,0,0,0,0,0,0,0,4,7,8.07692307692308,0.189189189189189,0.189189189189189,0.571428571428571,1,2,2.30769230769231,0.0540540540540541,0.0540540540540541,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,2,5,5,0.5,10,5,1,0,1,20,7,11,6,5,2,2.30769230769231,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aluko","ENG",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0.545454545454545,6,11,0.545454545454545,4,6,0.666666666666667,0.545454545454545,0.363636363636364,0.363636363636364,0.272727272727273,0,4,0,3,4,0.75,3,3,1,0.363636363636364,0.363636363636364,0.272727272727273,0,4,0,3,4,0.75,3,3,1,1,4,6,0.666666666666667,0.166666666666667,0.5,0.333333333333333,0,1,0,2,3,0.666666666666667,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.73684210526316,0.181818181818182,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.333333333333333,3,2,0,0,1,9,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asseyi","FRA",8,0,0,1,11.25,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,1,0,0,0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bardsley","ENG",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,0.307692307692308,7,21,0.333333333333333,0,2,0,0.0952380952380952,1,0,0,8,26,0.307692307692308,0,0,0,0,0,0,1,0,0,7,21,0.333333333333333,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,22.7368421052632,0.923076923076923,1.14285714285714,0.291666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4,0,4,0,2,2,0,0,2,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0.307692307692308,26,0,0,0,0,0,3,3,0.25,12
"Bathy","FRA",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0.833333333333333,10,12,0.833333333333333,5,6,0.833333333333333,0.5,0.5,0.0833333333333333,0.416666666666667,4,6,0.666666666666667,1,1,1,5,5,1,0.5,0.0833333333333333,0.416666666666667,4,6,0.666666666666667,1,1,1,5,5,1,1,5,6,0.833333333333333,0.666666666666667,0,0.333333333333333,3,4,0.75,0,0,0,2,2,1,0,0,0,0,0,0,0,0,3,3,6.75,0.25,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5,0.833333333333333,6,1,0,0,0,5,3,4,4,0,2,4.5,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bronze","ENG",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0.6,2,4,0.5,2,3,0.666666666666667,0.75,0.7,0.1,0.2,4,7,0.571428571428571,0,1,0,2,2,1,0.75,0,0.25,1,3,0.333333333333333,0,0,0,1,1,1,1,2,3,0.666666666666667,0.666666666666667,0,0.333333333333333,1,2,0.5,0,0,0,1,1,1,0,1,3.75,0.1,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,22.5,0.6,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,1,0,1,1,1,1,0,0,0,0,2,2,2,1,1,1,3.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bussaglia","FRA",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0.666666666666667,4,6,0.666666666666667,2,3,0.666666666666667,0.5,0.666666666666667,0.166666666666667,0.166666666666667,2,4,0.5,1,1,1,1,1,1,0.666666666666667,0.166666666666667,0.166666666666667,2,4,0.5,1,1,1,1,1,1,1,2,3,0.666666666666667,0.666666666666667,0.333333333333333,0,1,2,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.5882352941176,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1,0,0,2,3,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carney","ENG",23,0,0,2,7.82608695652174,0,0,0,2,1,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0.368421052631579,5,16,0.3125,1,5,0.2,0.3125,0.789473684210526,0.157894736842105,0.0526315789473684,4,15,0.266666666666667,2,3,0.666666666666667,1,1,1,0.875,0.0625,0.0625,4,14,0.285714285714286,0,1,0,1,1,1,1,1,5,0.2,1,0,0,1,5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11.7391304347826,0.157894736842105,0.1875,0,0,3,11.7391304347826,0.157894736842105,0.1875,0,2,3,11.7391304347826,0.157894736842105,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.666666666666667,6,2,3,2,0,0,0,0,0,0,0,2,2,3,1,2,2,7.82608695652174,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chapman","ENG",95,1,0,1,0.947368421052632,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,45,0.666666666666667,30,45,0.666666666666667,10,16,0.625,0.355555555555556,0.644444444444444,0.177777777777778,0.177777777777778,17,29,0.586206896551724,5,8,0.625,8,8,1,0.644444444444444,0.177777777777778,0.177777777777778,17,29,0.586206896551724,5,8,0.625,8,8,1,1,10,16,0.625,0.5625,0.25,0.1875,6,9,0.666666666666667,1,4,0.25,3,3,1,0,1,0.947368421052632,0.0222222222222222,0.0222222222222222,0,1,0,2,4,3.78947368421053,0.0888888888888889,0.0888888888888889,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,0.357142857142857,14,9,6,1,2,18,7,23,16,7,4,3.78947368421053,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delannoy","FRA",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,42,0.666666666666667,27,40,0.675,12,17,0.705882352941177,0.425,0.785714285714286,0.0952380952380952,0.119047619047619,20,33,0.606060606060606,3,4,0.75,5,5,1,0.775,0.1,0.125,19,31,0.612903225806452,3,4,0.75,5,5,1,1,12,17,0.705882352941177,0.764705882352941,0,0.235294117647059,8,13,0.615384615384615,0,0,0,4,4,1,0,0,0,0,0,0,0,0,3,11,10.4210526315789,0.261904761904762,0.275,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,1,1,0,6,1,15,13,2,3,2.84210526315789,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
