"Player","Team","MP","GS","Goals","Shots","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","Second.Assists","Unscored.Key.Passes","KP.Goal","Big.Chances","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Cross.Comp","Cross.Comp.Pct","Cross.Att","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Comp.Pct","Launch.Att","Through.Comp","Through.Comp.Pct","Through.Att","Throw.In.Comp","Throw.In.Comp.Pct","Throw.In.Att","Corner.Kicks.Completed","CK.Effectiveness","Corner.Kicks.Taken","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Comp.Pct","FK.Pass.Att","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Pass.Comp","Pass.Comp.Pct","Pass.Att","opPass.Comp","opPass.Comp.Pct","opPass.Att","opPPass.Comp","opPPass.Comp.Pct","opPPass.Att","Pct.opPass.Pressd","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Comp.Pct","PPass.Att","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Blocks","Clearances","Balls.Shields","Saves","Goals.Allowed","SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses","Crosses.Won","Crosses.Lost","Corner.Kicks","CKs.Won","CKs.Lost","Free.Kicks","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","All.Pass.Comp","Distribution.Success","All.Pass.Att","Throw.Comp","Throw.Comp.Pct","Throw.Att","Drop.Kick.Comp","Drop.Kick.Comp.Pct","Drop.Kick.Att","GK+FK.Comp","GK+FK.Comp.Pct","GK+FK.Att"
"A. Scott","ENG",96,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,15,0.789473684210526,19,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.827586206896552,29,9,0.9,10,9,0.9,10,1,0.655172413793103,0.206896551724138,0.137931034482759,15,19,0.789473684210526,5,6,0.833333333333333,4,4,1,0.4,0.2,0.4,3,4,0.75,2,2,1,4,4,1,0.344827586206897,9,0.9,10,0.4,0.2,0.4,3,4,0.75,2,2,1,4,4,1,2,0.5,4,2,1,0,1,0.2,5,4,2,0,0,7,3,2,1,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bardsley","ENG",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.230769230769231,13,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,11,0.523809523809524,21,6,0.4,15,0,0,0,0,0.904761904761905,0.0952380952380952,0,9,19,0.473684210526316,2,2,1,0,0,0,1,0,0,6,15,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,5,2,7,0.285714285714286,0,0,0,0,3,2,1,2,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,11,0.523809523809524,21,4,1,4,0,0,1,4,0.5,8
"Bartusiak","GER",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.666666666666667,3,0,0,0,0,3,45,0.9375,48,43,0.955555555555556,45,19,1,19,0.422222222222222,0.541666666666667,0.375,0.0833333333333333,23,26,0.884615384615385,18,18,1,4,4,1,0.533333333333333,0.377777777777778,0.0888888888888889,22,24,0.916666666666667,17,17,1,4,4,1,0.395833333333333,19,1,19,0.421052631578947,0.368421052631579,0.210526315789474,8,8,1,7,7,1,4,4,1,0,0,0,0,0,0,7,0.466666666666667,15,8,3,2,0,3,3,5,4,1,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Behringer","GER",47,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,2,0.5,4,0,0,2,0.5,4,0,0,0,0,4,19,0.791666666666667,24,15,0.9375,16,11,0.916666666666667,12,0.75,0.5,0.291666666666667,0.208333333333333,10,12,0.833333333333333,4,7,0.571428571428571,5,5,1,0.5625,0.1875,0.25,9,9,1,2,3,0.666666666666667,4,4,1,0.5,11,0.916666666666667,12,0.5,0.25,0.25,6,6,1,2,3,0.666666666666667,3,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,8,1,5,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benkarth","GER",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.533333333333333,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.8,35,22,0.814814814814815,27,3,0.75,4,0.148148148148148,0.771428571428571,0.228571428571429,0,20,27,0.740740740740741,8,8,1,0,0,0,0.814814814814815,0.185185185185185,0,17,22,0.772727272727273,5,5,1,0,0,0,0.142857142857143,4,0.8,5,0.6,0.4,0,2,3,0.666666666666667,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,1,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.8,35,4,1,4,2,0.5,4,4,0.571428571428571,7
"Blasse","GER",96,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.75,4,4,0,0,0,0,2,0.666666666666667,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.838709677419355,31,24,0.827586206896552,29,23,0.884615384615385,26,0.896551724137931,0.354838709677419,0.354838709677419,0.290322580645161,9,11,0.818181818181818,9,11,0.818181818181818,8,9,0.888888888888889,0.379310344827586,0.344827586206897,0.275862068965517,9,11,0.818181818181818,8,10,0.8,7,8,0.875,0.838709677419355,23,0.884615384615385,26,0.384615384615385,0.307692307692308,0.307692307692308,9,10,0.9,7,8,0.875,7,8,0.875,9,0.75,12,3,3,1,2,0.4,5,3,0,0,1,4,0,6,1,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carney","ENG",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.25,4,1,0.333333333333333,3,1,0.5,2,0.666666666666667,0.75,0.25,0,0,3,0,1,1,1,0,0,0,0.666666666666667,0.333333333333333,0,0,2,0,1,1,1,0,0,0,0.5,1,0.5,2,0.5,0.5,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.5,2,1,1,0,0,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chapman","ENG",96,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.642857142857143,14,9,0.642857142857143,14,5,0.555555555555556,9,0.642857142857143,0.357142857142857,0.285714285714286,0.357142857142857,3,5,0.6,2,4,0.5,4,5,0.8,0.357142857142857,0.285714285714286,0.357142857142857,3,5,0.6,2,4,0.5,4,5,0.8,0.642857142857143,5,0.555555555555556,9,0.333333333333333,0.333333333333333,0.333333333333333,1,3,0.333333333333333,1,3,0.333333333333333,3,3,1,0,0,1,1,0,0,4,0.444444444444444,9,5,0,3,3,43,10,6,3,3,3,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dabritz","GER",50,0,0,2,0.5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,0.8125,16,13,0.8125,16,11,0.916666666666667,12,0.75,0.5,0.3125,0.1875,6,8,0.75,4,5,0.8,3,3,1,0.5,0.3125,0.1875,6,8,0.75,4,5,0.8,3,3,1,0.75,11,0.916666666666667,12,0.583333333333333,0.166666666666667,0.25,6,7,0.857142857142857,2,2,1,3,3,1,2,0.666666666666667,3,1,1,1,0,0,1,1,1,0,0,7,2,6,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davison","ENG",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
