"Player","Team","MP","GS","Goals","Shots","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","2nd.Assists","Unscored.Key.Passes","KP.Goal","Big.Chances","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Cross.Comp","Cross.Comp.Pct","Cross.Att","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Comp.Pct","Launch.Att","Through.Comp","Through.Comp.Pct","Through.Att","Throw.In.Comp","Throw.In.Comp.Pct","Throw.In.Att","Corner.Kicks.Completed","CK.Effectiveness","Corner.Kicks.Taken","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Comp.Pct","FK.Pass.Att","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Pass.Comp","Pass.Comp.Pct","Pass.Att","opPass.Comp","opPass.Comp.Pct","opPass.Att","opPPass.Comp","opPPass.Comp.Pct","opPPass.Att","Pct.opPass.Pressd","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Comp.Pct","PPass.Att","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Blocks","Clearances","Balls.Shields","Saves","Goals.Allowed","SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses","Crosses.Won","Crosses.Lost","Corner.Kicks","CKs.Won","CKs.Lost","Free.Kicks","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","All.Pass.Comp","Distribution.Success","All.Pass.Att","Throw.Comp","Throw.Comp.Pct","Throw.Att","Drop.Kick.Comp","Drop.Kick.Comp.Pct","Drop.Kick.Att","GK+FK.Comp","GK+FK.Comp.Pct","GK+FK.Att"
"Bartusiak","GER",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.826086956521739,23,19,0.826086956521739,23,6,0.857142857142857,7,0.304347826086957,0.739130434782609,0.217391304347826,0.0434782608695652,13,17,0.764705882352941,5,5,1,1,1,1,0.304347826086957,6,0.857142857142857,7,0.571428571428571,0.428571428571429,0,3,4,0.75,3,3,1,0,0,0,0,0,0,0,1,0,1,0.2,5,4,2,0,3,7,6,3,2,1,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Behringer","GER",75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,4,0.666666666666667,6,0,0,1,1,1,0,0,1,0,2,32,0.780487804878049,41,27,0.794117647058823,34,17,0.739130434782609,23,0.676470588235294,0.439024390243902,0.365853658536585,0.195121951219512,13,18,0.722222222222222,12,15,0.8,7,8,0.875,0.585365853658537,18,0.75,24,0.416666666666667,0.291666666666667,0.291666666666667,5,10,0.5,7,7,1,6,7,0.857142857142857,3,1,3,0,1,1,1,0.2,5,4,3,0,4,12,7,9,8,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blasse","GER",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.75,4,4,0,0,0,1,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0.72972972972973,37,22,0.6875,32,17,0.739130434782609,23,0.71875,0.567567567567568,0.297297297297297,0.135135135135135,14,21,0.666666666666667,9,11,0.818181818181818,4,5,0.8,0.621621621621622,17,0.739130434782609,23,0.565217391304348,0.304347826086957,0.130434782608696,9,13,0.692307692307692,6,7,0.857142857142857,2,3,0.666666666666667,2,0.333333333333333,6,4,1,5,3,0.75,4,1,0,0,1,17,3,9,6,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","USA",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.25,4,0,0,0,0,0,0,1,0.142857142857143,7,0,0,0,0,1,0,0,0,0,1,33,0.717391304347826,46,32,0.842105263157895,38,20,0.833333333333333,24,0.631578947368421,0.434782608695652,0.326086956521739,0.239130434782609,16,20,0.8,8,15,0.533333333333333,9,11,0.818181818181818,0.521739130434783,20,0.833333333333333,24,0.375,0.291666666666667,0.333333333333333,8,9,0.888888888888889,6,7,0.857142857142857,6,8,0.75,2,0.666666666666667,3,1,1,2,1,0.333333333333333,3,2,1,0,2,31,10,12,7,4,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,3,3,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.583333333333333,12,6,0.545454545454545,11,5,0.625,8,0.727272727272727,0.416666666666667,0.25,0.333333333333333,1,5,0.2,2,3,0.666666666666667,4,4,1,0.666666666666667,5,0.625,8,0.375,0.375,0.25,1,3,0.333333333333333,2,3,0.666666666666667,2,2,1,1,0.5,2,1,0,3,3,0.375,8,5,1,0,2,18,7,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","USA",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.714285714285714,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.851851851851852,27,23,0.851851851851852,27,7,0.777777777777778,9,0.333333333333333,0.555555555555556,0.185185185185185,0.259259259259259,11,15,0.733333333333333,5,5,1,7,7,1,0.333333333333333,7,0.777777777777778,9,0.888888888888889,0,0.111111111111111,6,8,0.75,0,0,0,1,1,1,0,0,0,0,0,0,2,0.25,8,6,2,0,0,6,4,7,5,2,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goebling","GER",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.916666666666667,12,11,0.916666666666667,12,7,1,7,0.583333333333333,0.333333333333333,0.583333333333333,0.0833333333333333,3,4,0.75,7,7,1,1,1,1,0.583333333333333,7,1,7,0.142857142857143,0.857142857142857,0,1,1,1,6,6,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,6,5,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","USA",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.857142857142857,7,6,0.857142857142857,7,5,0.833333333333333,6,0.857142857142857,0.285714285714286,0.285714285714286,0.428571428571429,2,2,1,2,2,1,2,3,0.666666666666667,0.857142857142857,5,0.833333333333333,6,0.166666666666667,0.333333333333333,0.5,1,1,1,2,2,1,2,3,0.666666666666667,3,1,3,0,2,1,0,0,2,2,0,0,1,10,1,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","USA",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.764705882352941,17,13,0.764705882352941,17,9,0.818181818181818,11,0.647058823529412,0.529411764705882,0.176470588235294,0.294117647058824,6,9,0.666666666666667,2,3,0.666666666666667,5,5,1,0.647058823529412,9,0.818181818181818,11,0.363636363636364,0.272727272727273,0.363636363636364,3,4,0.75,2,3,0.666666666666667,4,4,1,1,1,1,0,2,0,1,0.25,4,3,2,0,0,14,3,4,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huth","GER",22,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.666666666666667,6,4,0.666666666666667,6,4,0.8,5,0.833333333333333,0.166666666666667,0.666666666666667,0.166666666666667,1,1,1,3,4,0.75,0,1,0,0.833333333333333,4,0.8,5,0.2,0.6,0.2,1,1,1,3,3,1,0,1,0,0,0,0,0,0,0,1,0.5,2,1,0,0,0,4,1,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
