"Player","Team","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","Second.Assists","Unscored.Key.Passes","KP.Goal","Assists.per.90","Key.Passes.per.90","Assists.per.Pass","Key.Passes.per.Pass","Big.Chances","Big.Chances.per.90","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Comp.Pct","Pct.opPass.Pressd","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Att","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.Pass","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Att.per.opPass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","CK.Effectiveness","Corner.Kicks.Taken","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Comp.Pct","FK.Pass.Att","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Blocks","Clearances","Balls.Shields","Saves","Goals.Allowed","SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses","Crosses.Won","Crosses.Lost","Corner.Kicks","CKs.Won","CKs.Lost","Free.Kicks","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","All.Pass.Comp","Distribution.Success","All.Pass.Att","Throw.Comp","Throw.Comp.Pct","Throw.Att","Drop.Kick.Comp","Drop.Kick.Comp.Pct","Drop.Kick.Att","GK.FK.Comp","GK.FK.Comp.Pct","GK.FK.Att","Int.per.90"
"A. Johnson","PUR",57,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,6,11,0.545454545454545,6,11,0.545454545454545,5,8,0.625,0.727272727272727,0.545454545454545,0,0.454545454545455,2,6,0.333333333333333,0,0,NA,4,5,0.8,0.545454545454545,0,0.454545454545455,2,6,0.333333333333333,0,0,NA,4,5,0.8,0.727272727272727,5,8,0.625,0.5,0,0.5,2,4,0.5,0,0,NA,3,4,0.75,0,0,0,0,0,NA,0,0,0,1,1.57894736842105,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,3,0.6,5,2,0,0,2,0.4,5,3,0,0,1,10,2,5,1,4,0,1,3,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0
"Acosta","CRC",96,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,31,43,0.720930232558139,26,37,0.702702702702703,8,10,0.8,0.27027027027027,0.697674418604651,0.0930232558139535,0.209302325581395,18,30,0.6,4,4,1,9,9,1,0.756756756756757,0.0810810810810811,0.162162162162162,17,28,0.607142857142857,3,3,1,6,6,1,0.232558139534884,8,10,0.8,0.7,0.1,0.2,5,7,0.714285714285714,1,1,1,2,2,1,0,0,0,0,0,NA,0,0,3,9,8.4375,0.209302325581395,0.243243243243243,0.333333333333333,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,5,0.833333333333333,6,0,0,0,0,6,0,NA,0,0,0,0,1,0.2,5,4,1,0,1,13,4,5,3,2,4,4,5,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,3.75
"Alvarado","CRC",47,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,18,23,0.782608695652174,17,20,0.85,8,9,0.888888888888889,0.45,0.478260869565217,0.260869565217391,0.260869565217391,6,11,0.545454545454545,6,6,1,6,6,1,0.45,0.3,0.25,6,9,0.666666666666667,6,6,1,5,5,1,0.391304347826087,8,9,0.888888888888889,0.333333333333333,0.222222222222222,0.444444444444444,2,3,0.666666666666667,2,2,1,4,4,1,0,0,0,0,0,NA,0,0,1,2,3.82978723404255,0.0869565217391304,0.1,0.5,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,1,0.333333333333333,3,0,0,0,0,3,0,NA,0,0,0,1,0,0,1,1,0,0,2,10,0,2,2,0,1,1,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1.91489361702128
"Attin-Johnson","TRI",92,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,14,17,0.823529411764706,14,17,0.823529411764706,11,13,0.846153846153846,0.764705882352941,0.588235294117647,0.117647058823529,0.294117647058824,7,10,0.7,2,2,1,5,5,1,0.588235294117647,0.117647058823529,0.294117647058824,7,10,0.7,2,2,1,5,5,1,0.764705882352941,11,13,0.846153846153846,0.538461538461538,0.0769230769230769,0.384615384615385,5,7,0.714285714285714,1,1,1,5,5,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,2,0,0,3,0.5,6,3,0,0,2,33,5,9,5,4,1,6,3,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0.978260869565217
"Barrantes","CRC",96,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,12,17,0.705882352941177,12,17,0.705882352941177,10,12,0.833333333333333,0.705882352941177,0.529411764705882,0.0588235294117647,0.411764705882353,5,9,0.555555555555556,1,1,1,6,7,0.857142857142857,0.529411764705882,0.0588235294117647,0.411764705882353,5,9,0.555555555555556,1,1,1,6,7,0.857142857142857,0.705882352941177,10,12,0.833333333333333,0.5,0.0833333333333333,0.416666666666667,4,6,0.666666666666667,1,1,1,5,5,1,0,0,0,0,0,NA,0,0,0,1,0.9375,0.0588235294117647,0.0588235294117647,0,1,1,0.9375,0.0588235294117647,0.0588235294117647,1,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,1,1,1,0,2,2,2,0.333333333333333,6,4,1,0,2,29,2,2,0,2,0,1,1,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0
"Belanger","CAN",94,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,24,34,0.705882352941177,23,33,0.696969696969697,8,12,0.666666666666667,0.363636363636364,0.441176470588235,0.323529411764706,0.235294117647059,7,15,0.466666666666667,10,11,0.909090909090909,7,8,0.875,0.424242424242424,0.333333333333333,0.242424242424242,6,14,0.428571428571429,10,11,0.909090909090909,7,8,0.875,0.352941176470588,8,12,0.666666666666667,0.416666666666667,0.416666666666667,0.166666666666667,2,5,0.4,5,5,1,1,2,0.5,0,1,0.957446808510638,0.0294117647058824,0.0303030303030303,0,1,0,1,5,4.78723404255319,0.147058823529412,0.151515151515152,0.2,0,0,0,0,0,NA,1,1,0.957446808510638,0.0294117647058824,1,0,NA,0,0,0,0,NA,0,0,0,0,0,0,2,0.4,5,3,2,0,1,0.333333333333333,3,2,1,0,3,28,1,9,8,1,1,3,2,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0.957446808510638
"Blair","TRI",92,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,12,18,0.666666666666667,4,7,0.571428571428571,2,3,0.666666666666667,0.428571428571429,0.944444444444444,0,0.0555555555555556,11,17,0.647058823529412,0,0,NA,1,1,1,0.857142857142857,0,0.142857142857143,3,6,0.5,0,0,NA,1,1,1,0.166666666666667,2,3,0.666666666666667,1,0,0,2,3,0.666666666666667,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,1,4,3.91304347826087,0.222222222222222,0.571428571428571,0.25,0,0,0,0,0,NA,8,10,9.78260869565217,0.555555555555556,0.8,0,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,3,0.6,5,2,1,0,3,16,3,5,2,3,3,2,5,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,2.93478260869565
"Brian","USA",394,4,0,2,0.456852791878173,0,0,0,2,1,0.5,0,0,0,2,0,0,3,3,0.666666666666667,2,0,1,2,0.685279187817259,0.685279187817259,0,0,0,0,0,NA,0,0,0,1,0,289,333,0.867867867867868,273,301,0.906976744186046,117,129,0.906976744186046,0.428571428571429,0.417417417417417,0.285285285285285,0.297297297297297,115,139,0.827338129496403,80,95,0.842105263157895,94,99,0.94949494949495,0.445182724252492,0.242524916943522,0.312292358803987,114,134,0.850746268656716,69,73,0.945205479452055,90,94,0.957446808510638,0.39039039039039,117,130,0.9,0.407692307692308,0.230769230769231,0.361538461538462,45,53,0.849056603773585,29,30,0.966666666666667,43,47,0.914893617021277,5,9,2.05583756345178,0.027027027027027,0.0299003322259136,0.555555555555556,9,0,6,13,2.96954314720812,0.039039039039039,0.0431893687707641,0.461538461538462,6,8,1.82741116751269,0.024024024024024,0.026578073089701,0.75,0,0,0,0,NA,12,0.5,24,1,0,4,0.5,8,0,0,1,0,9,12,0.857142857142857,14,2,4,6,11,0.523809523809524,21,10,7,0,1,59,29,42,25,16,10,10,7,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,2.28426395939086
"Buchanan","CAN",94,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,20,26,0.769230769230769,19,24,0.791666666666667,9,11,0.818181818181818,0.458333333333333,0.615384615384615,0.192307692307692,0.192307692307692,10,16,0.625,5,5,1,5,5,1,0.625,0.208333333333333,0.166666666666667,10,15,0.666666666666667,5,5,1,4,4,1,0.423076923076923,9,11,0.818181818181818,0.636363636363636,0.0909090909090909,0.272727272727273,5,7,0.714285714285714,1,1,1,3,3,1,0,1,0.957446808510638,0.0384615384615385,0.0416666666666667,0,0,1,0,3,2.87234042553191,0.115384615384615,0.125,0,0,0,0,0,0,NA,0,1,0.957446808510638,0.0384615384615385,0,0,NA,0,0,0,1,1,1,0,0,0,0,1,1,0.5,2,1,1,0,3,0.5,6,3,1,0,0,5,0,3,2,1,2,3,6,2,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1.91489361702128
"Carrion","PUR",37,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,2,5,0.4,2,5,0.4,1,3,0.333333333333333,0.6,0.8,0.2,0,1,4,0.25,1,1,1,0,0,NA,0.8,0.2,0,1,4,0.25,1,1,1,0,0,NA,0.6,1,3,0.333333333333333,0.666666666666667,0.333333333333333,0,0,2,0,1,1,1,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,1,2.43243243243243,0.2,0.2,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,1,1,1,0,0,2,0,0,2,2,2,0,2,2,1,2,0,2,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0
