"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","no","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Bowen","NZL",1,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7.25806451612903,1,5,5,7.25806451612903,1,2,2,2.90322580645161,1,0.4,0.4,0.2,0.4,2,2,2.90322580645161,1,1,1,1.45161290322581,1,2,2,2.90322580645161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.4,2,2,2.90322580645161,1,1,1,1.45161290322581,1,2,2,2.90322580645161,1,0.4,2,2,2.90322580645161,1,0.5,0,0.5,1,1,1.45161290322581,1,0,0,0,0,1,1,1.45161290322581,1,1,1,1.45161290322581,0.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2.90322580645161,1,1.45161290322581,0,1,0,0,1,1,1.45161290322581,1,1.45161290322581,24,2,2,2.90322580645161,2,0,0,0,0,2,2.90322580645161,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","USA",1,64,1,0,1,1.40625,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,38,53.4375,0.894736842105263,34,38,53.4375,0.894736842105263,21,23,32.34375,0.91304347826087,0.605263157894737,0.342105263157895,0.289473684210526,0.368421052631579,11,13,18.28125,0.846153846153846,10,11,15.46875,0.909090909090909,13,14,19.6875,0.928571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342105263157895,0.289473684210526,0.368421052631579,11,13,18.28125,0.846153846153846,10,11,15.46875,0.909090909090909,13,14,19.6875,0.928571428571429,0.605263157894737,21,23,32.34375,0.91304347826087,0.391304347826087,0.217391304347826,0.391304347826087,7,9,12.65625,0.777777777777778,5,5,7.03125,1,9,9,12.65625,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2.8125,0.0526315789473684,0.0526315789473684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.21875,3,0,1,0,2,2,2.8125,5,7.03125,5,0,1,2,1,3,4.21875,0,0,9,1,5,7.03125,4,1,0,0,0,1,1.40625,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duncan","NZL",1,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28,36.5217391304348,0.571428571428571,14,22,28.695652173913,0.636363636363636,6,8,10.4347826086957,0.75,0.363636363636364,0.571428571428571,0.25,0.178571428571429,8,16,20.8695652173913,0.5,4,7,9.1304347826087,0.571428571428571,4,5,6.52173913043478,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590909090909091,0.181818181818182,0.227272727272727,7,13,16.9565217391304,0.538461538461538,3,4,5.21739130434783,0.75,4,5,6.52173913043478,0.8,0.285714285714286,6,8,10.4347826086957,0.75,0.375,0.375,0.25,2,3,3.91304347826087,0.666666666666667,2,3,3.91304347826087,0.666666666666667,2,2,2.60869565217391,1,0,0,0,0,0,0,0,1,4,5.21739130434783,0.142857142857143,0.25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0.5,0,0,0,0,4,0,0,0,0,0,1,0,1,1.30434782608696,3,3.91304347826087,0,3,0,5,0,5,6.52173913043478,3,3.91304347826087,18,5,6,7.82608695652174,4,2,1,1.30434782608696,0,2,2.60869565217391,2,2.60869565217391,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,24.1463414634146,0.727272727272727,8,11,24.1463414634146,0.727272727272727,6,7,15.3658536585366,0.857142857142857,0.636363636363636,0.454545454545455,0.181818181818182,0.363636363636364,2,5,10.9756097560976,0.4,2,2,4.39024390243902,1,4,4,8.78048780487805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545454545455,0.181818181818182,0.363636363636364,2,5,10.9756097560976,0.4,2,2,4.39024390243902,1,4,4,8.78048780487805,1,0.636363636363636,6,7,15.3658536585366,0.857142857142857,0.428571428571429,0.142857142857143,0.428571428571429,2,3,6.58536585365854,0.666666666666667,1,1,2.19512195121951,1,3,3,6.58536585365854,1,0,1,2.19512195121951,0.0909090909090909,0,1,0,0,0,0,0,0,1,1,2.19512195121951,0.0909090909090909,0.0909090909090909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10.9756097560976,5,0,1,0,1,1,2.19512195121951,3,6.58536585365854,3,0,1,0,0,0,0,1,2.19512195121951,6,5,2,4.39024390243902,1,1,0,0,0,3,6.58536585365854,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","NZL",1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,28,27.0967741935484,0.928571428571429,26,28,27.0967741935484,0.928571428571429,5,5,4.83870967741935,1,0.178571428571429,0.5,0.428571428571429,0.0714285714285714,13,14,13.5483870967742,0.928571428571429,11,12,11.6129032258065,0.916666666666667,2,2,1.93548387096774,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.428571428571429,0.0714285714285714,13,14,13.5483870967742,0.928571428571429,11,12,11.6129032258065,0.916666666666667,2,2,1.93548387096774,1,0.178571428571429,5,5,4.83870967741935,1,0.8,0,0.2,4,4,3.87096774193548,1,0,0,0,0,1,1,0.967741935483871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.967741935483871,8,7.74193548387097,4,4,0.5,0,0,0,0,0,0,8,0,4,3.87096774193548,3,1,2,1.93548387096774,0,2,1.93548387096774,3,2.90322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gregorius","NZL",1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,17.4193548387097,0.833333333333333,5,6,17.4193548387097,0.833333333333333,2,2,5.80645161290323,1,0.333333333333333,0.166666666666667,0.5,0.333333333333333,1,1,2.90322580645161,1,2,3,8.70967741935484,0.666666666666667,2,2,5.80645161290323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.5,0.333333333333333,1,1,2.90322580645161,1,2,3,8.70967741935484,0.666666666666667,2,2,5.80645161290323,1,0.333333333333333,2,2,5.80645161290323,1,0,0,1,0,0,0,0,0,0,0,0,2,2,5.80645161290323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.90322580645161,0,1,0,1,0,1,2.90322580645161,0,0,10,2,3,8.70967741935484,2,1,1,2.90322580645161,0,2,5.80645161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hassett","NZL",1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,21.2903225806452,0.772727272727273,16,21,20.3225806451613,0.761904761904762,12,14,13.5483870967742,0.857142857142857,0.666666666666667,0.5,0.272727272727273,0.227272727272727,6,11,10.6451612903226,0.545454545454545,6,6,5.80645161290323,1,5,5,4.83870967741935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476190476190476,0.285714285714286,0.238095238095238,5,10,9.67741935483871,0.5,6,6,5.80645161290323,1,5,5,4.83870967741935,1,0.636363636363636,12,14,13.5483870967742,0.857142857142857,0.428571428571429,0.285714285714286,0.285714285714286,4,6,5.80645161290323,0.666666666666667,4,4,3.87096774193548,1,4,4,3.87096774193548,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.967741935483871,0.0454545454545455,0.0476190476190476,1,1,1,0.967741935483871,0.0454545454545455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.87096774193548,2,2,0.5,5,2,9,8.70967741935484,2,1.93548387096774,0,2,0,2,0,2,1.93548387096774,5,4.83870967741935,28,1,12,11.6129032258065,5,7,1,0.967741935483871,0,1,0.967741935483871,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hearn","NZL",1,93,1,0,1,0.967741935483871,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,14.5161290322581,0.533333333333333,8,15,14.5161290322581,0.533333333333333,4,7,6.7741935483871,0.571428571428571,0.466666666666667,0.666666666666667,0,0.333333333333333,4,10,9.67741935483871,0.4,0,0,0,0,4,5,4.83870967741935,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0.333333333333333,4,10,9.67741935483871,0.4,0,0,0,0,4,5,4.83870967741935,0.8,0.466666666666667,4,7,6.7741935483871,0.571428571428571,0.428571428571429,0,0.571428571428571,1,3,2.90322580645161,0.333333333333333,0,0,0,0,3,4,3.87096774193548,0.75,0,1,0.967741935483871,0.0666666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.967741935483871,0,1,0,1,1,3,2.90322580645161,17,16.4516129032258,3,14,0.176470588235294,1,0,1,0.967741935483871,1,0.967741935483871,16,1,7,6.7741935483871,3,4,0,0,0,1,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","USA",1,93,1,0,2,1.93548387096774,0,0,0,2,0,2,1,0,0,0,0,0,0,2,3,1,0,1.93548387096774,2.90322580645161,0,0,0,0,0,0,0,0,0,49,56,54.1935483870968,0.875,43,47,45.4838709677419,0.914893617021277,27,28,27.0967741935484,0.964285714285714,0.595744680851064,0.339285714285714,0.25,0.410714285714286,15,19,18.3870967741935,0.789473684210526,11,14,13.5483870967742,0.785714285714286,23,23,22.258064516129,1,1,0,0,1,1,0.967741935483871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.319148936170213,0.234042553191489,0.446808510638298,12,15,14.5161290322581,0.8,10,11,10.6451612903226,0.909090909090909,21,21,20.3225806451613,1,0.5,27,28,27.0967741935484,0.964285714285714,0.214285714285714,0.25,0.535714285714286,6,6,5.80645161290323,1,6,7,6.7741935483871,0.857142857142857,15,15,14.5161290322581,1,3,4,3.87096774193548,0.0851063829787234,0.75,2,2,0,0,0,0,0,0,1,0.967741935483871,0.0178571428571429,0.0212765957446809,0,1,1,0.967741935483871,0.0178571428571429,1,3,4,0.75,0,1,2,4,0.5,0,1,0,0,4,8,7.74193548387097,5,3,0.625,2,0,5,4.83870967741935,1,0.967741935483871,1,0,1,2,0,2,1.93548387096774,0,0,9,1,15,14.5161290322581,10,5,0,0,0,1,0.967741935483871,3,2.90322580645161,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","USA",1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,49.6551724137931,0.9375,15,16,49.6551724137931,0.9375,7,7,21.7241379310345,1,0.4375,0.3125,0.1875,0.5,4,5,15.5172413793103,0.8,3,3,9.31034482758621,1,8,8,24.8275862068966,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0.1875,0.5,4,5,15.5172413793103,0.8,3,3,9.31034482758621,1,8,8,24.8275862068966,1,0.4375,7,7,21.7241379310345,1,0.571428571428571,0,0.428571428571429,4,4,12.4137931034483,1,0,0,0,0,3,3,9.31034482758621,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.10344827586207,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.20689655172414,1,1,0.5,1,0,2,6.20689655172414,6,18.6206896551724,4,2,0.666666666666667,2,0,2,6.20689655172414,1,3.10344827586207,3,2,4,12.4137931034483,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
