"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","no","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Alvarado","CRC",1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,52,47.2727272727273,0.788461538461538,37,45,40.9090909090909,0.822222222222222,10,14,12.7272727272727,0.714285714285714,0.311111111111111,0.442307692307692,0.384615384615385,0.173076923076923,12,23,20.9090909090909,0.521739130434783,20,20,18.1818181818182,1,9,9,8.18181818181818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444444444,0.4,0.155555555555556,12,20,18.1818181818182,0.6,18,18,16.3636363636364,1,7,7,6.36363636363636,1,0.269230769230769,10,14,12.7272727272727,0.714285714285714,0.571428571428571,0.0714285714285714,0.357142857142857,4,8,7.27272727272727,0.5,1,1,0.909090909090909,1,5,5,4.54545454545454,1,0,1,0.909090909090909,0.0222222222222222,0,0,1,0,4,3.63636363636364,0.0769230769230769,0,0,1,0.909090909090909,0.0192307692307692,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,4,7,0.571428571428571,0,0,0,0,7,1,0.909090909090909,1,0,1,2,3,5,4.54545454545454,1,0.909090909090909,0,1,0,3,0,3,2.72727272727273,2,1.81818181818182,23,7,8,7.27272727272727,7,1,3,2.72727272727273,0,3,2.72727272727273,4,3.63636363636364,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angulo","CRC",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45,1,1,1,45,1,1,1,45,1,1,1,0,0,1,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,45,1,0,0,0,0,0,0,0,0,1,1,1,45,1,1,0,0,1,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barrantes","CRC",1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,9.09090909090909,0.5,5,10,9.09090909090909,0.5,3,6,5.45454545454546,0.5,0.6,0.7,0.1,0.2,3,7,6.36363636363636,0.428571428571429,0,1,0.909090909090909,0,2,2,1.81818181818182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.1,0.2,3,7,6.36363636363636,0.428571428571429,0,1,0.909090909090909,0,2,2,1.81818181818182,1,0.6,3,6,5.45454545454546,0.5,0.666666666666667,0.166666666666667,0.166666666666667,2,4,3.63636363636364,0.5,0,1,0.909090909090909,0,1,1,0.909090909090909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.909090909090909,1,0.909090909090909,1,0,1,1,0,1,0.909090909090909,1,0.909090909090909,41,1,3,2.72727272727273,3,0,2,1.81818181818182,0,3,2.72727272727273,2,1.81818181818182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benavides","CRC",1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,45,40.9090909090909,0.711111111111111,32,45,40.9090909090909,0.711111111111111,9,16,14.5454545454545,0.5625,0.355555555555556,0.466666666666667,0.422222222222222,0.111111111111111,8,21,19.0909090909091,0.380952380952381,19,19,17.2727272727273,1,5,5,4.54545454545454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466666666666667,0.422222222222222,0.111111111111111,8,21,19.0909090909091,0.380952380952381,19,19,17.2727272727273,1,5,5,4.54545454545454,1,0.355555555555556,9,16,14.5454545454545,0.5625,0.625,0.1875,0.1875,3,10,9.09090909090909,0.3,3,3,2.72727272727273,1,3,3,2.72727272727273,1,0,0,0,0,0,0,0,3,10,9.09090909090909,0.222222222222222,0.3,0,1,0.909090909090909,0.0222222222222222,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.72727272727273,1,2,0.333333333333333,0,0,0,0,2,1.81818181818182,17,5,6,5.45454545454546,6,0,1,0.909090909090909,0,8,7.27272727272727,2,1.81818181818182,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bermudez","CRC",1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,40.4081632653061,0.727272727272727,13,15,27.5510204081633,0.866666666666667,1,2,3.6734693877551,0.5,0.133333333333333,0.545454545454545,0.454545454545455,0,6,12,22.0408163265306,0.5,10,10,18.3673469387755,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545454545455,0.545454545454545,0,4,5,9.18367346938776,0.8,6,6,11.0204081632653,1,0,0,0,0,0.0909090909090909,1,2,3.6734693877551,0.5,1,0,0,1,2,3.6734693877551,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,16.530612244898,0.409090909090909,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.333333333333333,1,0,1,1,3,3,0,1,2,0,0,1,0,3,3,0,2,2,0,0,0,0,1,0,16,22,0.727272727272727,3,3,1,0,2,0,3,6,0.5
"Brian","USA",1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,79.4117647058823,0.733333333333333,11,15,79.4117647058823,0.733333333333333,8,10,52.9411764705882,0.8,0.666666666666667,0.4,0.2,0.4,3,6,31.7647058823529,0.5,2,3,15.8823529411765,0.666666666666667,6,6,31.7647058823529,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.4,3,6,31.7647058823529,0.5,2,3,15.8823529411765,0.666666666666667,6,6,31.7647058823529,1,0.666666666666667,8,10,52.9411764705882,0.8,0.4,0.1,0.5,2,4,21.1764705882353,0.5,1,1,5.29411764705882,1,5,5,26.4705882352941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.29411764705882,0.0666666666666667,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,10.5882352941176,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cruz","CRC",1,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,28.5882352941176,0.962962962962963,26,27,28.5882352941176,0.962962962962963,15,16,16.9411764705882,0.9375,0.592592592592593,0.259259259259259,0.185185185185185,0.555555555555556,7,7,7.41176470588235,1,4,5,5.29411764705882,0.8,15,15,15.8823529411765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259259259259259,0.185185185185185,0.555555555555556,7,7,7.41176470588235,1,4,5,5.29411764705882,0.8,15,15,15.8823529411765,1,0.592592592592593,15,16,16.9411764705882,0.9375,0.25,0.125,0.625,4,4,4.23529411764706,1,1,2,2.11764705882353,0.5,10,10,10.5882352941176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.11764705882353,2,0,1,3,2,5,5.29411764705882,2,2.11764705882353,0,2,0,3,0,3,3.17647058823529,1,1.05882352941176,22,3,8,8.47058823529412,4,4,1,1.05882352941176,0,1,1.05882352941176,2,2.11764705882353,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaz","CRC",1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,37.8,0.80952380952381,16,19,34.2,0.842105263157895,3,4,7.2,0.75,0.210526315789474,0.904761904761905,0.0476190476190476,0.0476190476190476,15,19,34.2,0.789473684210526,1,1,1.8,1,1,1,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888888888889,0.0555555555555556,0.0555555555555556,13,16,28.8,0.8125,1,1,1.8,1,1,1,1.8,1,0.19047619047619,3,4,7.2,0.75,0.75,0,0.25,2,3,5.4,0.666666666666667,0,0,0,0,1,1,1.8,1,0,0,0,0,0,0,0,0,2,3.6,0.0952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0.75,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,17,21,0.80952380952381,1,2,0.5,0,0,0,1,1,1
"Dunn","USA",1,99,1,1,2,1.81818181818182,0.5,0,0,1,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0.909090909090909,1,1,0,0,0,0,0,28,34,30.9090909090909,0.823529411764706,28,34,30.9090909090909,0.823529411764706,23,25,22.7272727272727,0.92,0.735294117647059,0.323529411764706,0.205882352941176,0.470588235294118,7,11,10,0.636363636363636,5,7,6.36363636363636,0.714285714285714,16,16,14.5454545454545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323529411764706,0.205882352941176,0.470588235294118,7,11,10,0.636363636363636,5,7,6.36363636363636,0.714285714285714,16,16,14.5454545454545,1,0.735294117647059,23,25,22.7272727272727,0.92,0.32,0.2,0.48,7,8,7.27272727272727,0.875,4,5,4.54545454545454,0.8,12,12,10.9090909090909,1,2,3,2.72727272727273,0.0882352941176471,0.666666666666667,3,0,0,0,0,0,0,1,1,0.909090909090909,0.0294117647058824,0.0294117647058824,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.54545454545454,4,1,0.8,2,0,3,2.72727272727273,0,0,0,0,0,2,0,2,1.81818181818182,0,0,20,4,11,10,7,4,0,0,0,1,0.909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","USA",1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,38.5714285714286,0.952380952380952,19,19,34.8979591836735,1,12,12,22.0408163265306,1,0.631578947368421,0.428571428571429,0.571428571428571,0,8,9,16.530612244898,0.888888888888889,12,12,22.0408163265306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421052631578947,0.578947368421053,0,8,8,14.6938775510204,1,11,11,20.2040816326531,1,0,0,0,0,0.571428571428571,12,12,22.0408163265306,1,0.416666666666667,0.583333333333333,0,5,5,9.18367346938776,1,7,7,12.8571428571429,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3.6734693877551,0.0952380952380952,0.5,1,1,1.83673469387755,0.0476190476190476,0.0526315789473684,1,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.83673469387755,0,1,5,9.18367346938776,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
