"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Averbuch","FCKC",1,92,1,0,2,1.95652173913043,0,0,0,2,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,63,61.6304347826087,0.857142857142857,53,62,60.6521739130435,0.854838709677419,21,26,25.4347826086956,0.807692307692308,0.419354838709677,0.904761904761905,0.0634920634920635,0.0317460317460317,49,57,55.7608695652174,0.859649122807018,3,4,3.91304347826087,0.75,2,2,1.95652173913043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903225806451613,0.0645161290322581,0.032258064516129,48,56,54.7826086956522,0.857142857142857,3,4,3.91304347826087,0.75,2,2,1.95652173913043,1,0.412698412698413,21,26,25.4347826086956,0.807692307692308,0.961538461538462,0.0384615384615385,0,20,25,24.4565217391304,0.8,1,1,0.978260869565217,1,0,0,0,0,0,0,0,0,0,0,0,7,14,13.695652173913,0.222222222222222,0.5,0,0,0,0,0,0,1,1,0.978260869565217,0.0158730158730159,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1.95652173913043,1,1,0.5,0,0,1,0.978260869565217,5,4.89130434782609,4,1,0.8,4,0,4,3.91304347826087,2,1.95652173913043,7,3,6,5.8695652173913,6,0,2,1.95652173913043,0,2,1.95652173913043,4,3.91304347826087,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",1,92,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,47,45.9782608695652,0.872340425531915,27,31,30.3260869565217,0.870967741935484,0,0,0,0,0,0.553191489361702,0.446808510638298,0,23,26,25.4347826086956,0.884615384615385,18,21,20.5434782608696,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789473684210526,0.210526315789474,0,13,15,14.6739130434783,0.866666666666667,4,4,3.91304347826087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.95652173913043,0.0425531914893617,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.978260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,8,0.125,1,1,0,0,4,4,0,1,1,0,1,11,0,2,2,0,2,2,0,0,0,0,0,0,41,47,0.872340425531915,11,12,0.916666666666667,0,1,0,12,14,0.857142857142857
"Colaprico","CRS",1,92,1,0,1,0.978260869565217,0,0,0,1,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,49,47.9347826086957,0.918367346938776,45,49,47.9347826086957,0.918367346938776,20,20,19.5652173913043,1,0.408163265306122,0.489795918367347,0.326530612244898,0.183673469387755,21,24,23.4782608695652,0.875,15,16,15.6521739130435,0.9375,9,9,8.80434782608696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489795918367347,0.326530612244898,0.183673469387755,21,24,23.4782608695652,0.875,15,16,15.6521739130435,0.9375,9,9,8.80434782608696,1,0.408163265306122,20,20,19.5652173913043,1,0.4,0.35,0.25,8,8,7.82608695652174,1,7,7,6.84782608695652,1,5,5,4.89130434782609,1,0,0,0,0,0,0,0,3,5,4.89130434782609,0.102040816326531,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.95652173913043,2,0,1,2,2,4,3.91304347826087,1,0.978260869565217,14,2,14,13.695652173913,9,5,2,1.95652173913043,0,7,6.84782608695652,8,7.82608695652174,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comeau","CRS",1,90,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,21,0.80952380952381,17,21,21,0.80952380952381,11,13,13,0.846153846153846,0.619047619047619,0.571428571428571,0.142857142857143,0.285714285714286,9,12,12,0.75,2,3,3,0.666666666666667,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,0.142857142857143,0.285714285714286,9,12,12,0.75,2,3,3,0.666666666666667,6,6,6,1,0.619047619047619,11,13,13,0.846153846153846,0.538461538461538,0.153846153846154,0.307692307692308,5,7,7,0.714285714285714,2,2,2,1,4,4,4,1,0,1,1,0.0476190476190476,0,0,1,0,1,1,0.0476190476190476,0,2,2,2,0.0952380952380952,0.0952380952380952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,2,2,2,0,1,3,1,4,4,0,0,29,2,6,6,3,3,4,4,0,4,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dalton","CRS",1,92,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21,20.5434782608696,0.714285714285714,11,16,15.6521739130435,0.6875,0,0,0,0,0,0.904761904761905,0.0952380952380952,0,13,19,18.5869565217391,0.684210526315789,2,2,1.95652173913043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0,3,6,5.8695652173913,0.5,2,2,1.95652173913043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8.80434782608696,0.428571428571429,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.978260869565217,0,0,2,1.95652173913043,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,2,1,0.666666666666667,0,0,0,7,0,2,1,1,3,1,2,2,0,2,0,0,15,21,0.714285714285714,2,2,1,1,2,0.5,7,9,0.777777777777778
"DiBernardo","CRS",1,92,1,0,3,2.93478260869565,0.666666666666667,2,0,1,"0",1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0.978260869565217,0,0,1,0,0,0,0,33,46,45,0.717391304347826,28,37,36.195652173913,0.756756756756757,19,23,22.5,0.826086956521739,0.621621621621622,0.41304347826087,0.326086956521739,0.260869565217391,11,19,18.5869565217391,0.578947368421053,10,15,14.6739130434783,0.666666666666667,12,12,11.7391304347826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513513513513513,0.216216216216216,0.27027027027027,11,19,18.5869565217391,0.578947368421053,7,8,7.82608695652174,0.875,10,10,9.78260869565217,1,0.5,19,23,22.5,0.826086956521739,0.521739130434783,0.130434782608696,0.347826086956522,9,12,11.7391304347826,0.75,2,3,2.93478260869565,0.666666666666667,8,8,7.82608695652174,1,1,2,1.95652173913043,0.0540540540540541,0.5,2,0,0,0,0,0,0,5,5,4.89130434782609,0.108695652173913,0.135135135135135,1,0,0,0,0,0,5,9,0.555555555555556,0,0,0,0,0,0,0,0,0,0,1,0.978260869565217,1,0,1,1,1,2,1.95652173913043,1,0.978260869565217,0,1,0,4,0,4,3.91304347826087,0,0,46,4,8,7.82608695652174,3,5,2,1.95652173913043,0,3,2.93478260869565,3,2.93478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilliland","CRS",1,92,1,0,1,0.978260869565217,0,0,0,1,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,53,51.8478260869565,0.660377358490566,26,42,41.0869565217391,0.619047619047619,8,15,14.6739130434783,0.533333333333333,0.357142857142857,0.622641509433962,0.245283018867925,0.132075471698113,18,33,32.2826086956522,0.545454545454545,10,13,12.7173913043478,0.769230769230769,7,7,6.84782608695652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,0.285714285714286,0.142857142857143,11,24,23.4782608695652,0.458333333333333,9,12,11.7391304347826,0.75,6,6,5.8695652173913,1,0.283018867924528,8,15,14.6739130434783,0.533333333333333,0.6,0.333333333333333,0.0666666666666667,4,9,8.80434782608696,0.444444444444444,3,5,4.89130434782609,0.6,1,1,0.978260869565217,1,2,4,3.91304347826087,0.0952380952380952,0.5,4,0,0,3,2.93478260869565,0.0566037735849057,0,0,2,1.95652173913043,0.0377358490566038,0.0476190476190476,0,9,11,10.7608695652174,0.207547169811321,0.818181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7.82608695652174,3,5,0.375,1,0,6,5.8695652173913,4,3.91304347826087,2,2,0.5,3,0,3,2.93478260869565,0,0,20,1,13,12.7173913043478,5,8,5,4.89130434782609,0,10,9.78260869565217,5,4.89130434782609,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groom","FCKC",1,92,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,12.7173913043478,0.692307692307692,9,13,12.7173913043478,0.692307692307692,7,9,8.80434782608696,0.777777777777778,0.692307692307692,0.153846153846154,0.307692307692308,0.538461538461538,0,2,1.95652173913043,0,2,4,3.91304347826087,0.5,7,7,6.84782608695652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846153846154,0.307692307692308,0.538461538461538,0,2,1.95652173913043,0,2,4,3.91304347826087,0.5,7,7,6.84782608695652,1,0.692307692307692,7,9,8.80434782608696,0.777777777777778,0.111111111111111,0.333333333333333,0.555555555555556,0,1,0.978260869565217,0,2,3,2.93478260869565,0.666666666666667,5,5,4.89130434782609,1,1,2,1.95652173913043,0.153846153846154,0.5,2,0,0,1,0.978260869565217,0.0769230769230769,0,0,2,1.95652173913043,0.153846153846154,0.153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.95652173913043,0,2,0,2,3,7,6.84782608695652,7,6.84782608695652,4,3,0.571428571428571,1,0,1,0.978260869565217,0,0,24,3,2,1.95652173913043,1,1,0,0,0,2,1.95652173913043,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hoy","CRS",1,19,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,47.3684210526316,0.6,6,10,47.3684210526316,0.6,4,6,28.4210526315789,0.666666666666667,0.6,0.2,0.5,0.3,1,2,9.47368421052632,0.5,2,5,23.6842105263158,0.4,3,3,14.2105263157895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0.3,1,2,9.47368421052632,0.5,2,5,23.6842105263158,0.4,3,3,14.2105263157895,1,0.6,4,6,28.4210526315789,0.666666666666667,0.166666666666667,0.5,0.333333333333333,1,1,4.73684210526316,1,1,3,14.2105263157895,0.333333333333333,2,2,9.47368421052632,1,1,1,4.73684210526316,0.1,1,1,0,0,0,0,0,0,1,1,4.73684210526316,0.1,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14.2105263157895,2,1,0.666666666666667,1,0,2,9.47368421052632,1,4.73684210526316,1,0,1,0,0,0,0,0,0,11,0,2,9.47368421052632,2,0,1,4.73684210526316,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huerta","CRS",1,66,1,0,2,2.72727272727273,1,2,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,31.3636363636364,0.739130434782609,17,23,31.3636363636364,0.739130434782609,11,16,21.8181818181818,0.6875,0.695652173913043,0.565217391304348,0.217391304347826,0.217391304347826,8,13,17.7272727272727,0.615384615384615,4,5,6.81818181818182,0.8,5,5,6.81818181818182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565217391304348,0.217391304347826,0.217391304347826,8,13,17.7272727272727,0.615384615384615,4,5,6.81818181818182,0.8,5,5,6.81818181818182,1,0.695652173913043,11,16,21.8181818181818,0.6875,0.5625,0.1875,0.25,5,9,12.2727272727273,0.555555555555556,2,3,4.09090909090909,0.666666666666667,4,4,5.45454545454546,1,1,1,1.36363636363636,0.0434782608695652,1,0,1,0,0,0,0,0,0,2,2.72727272727273,0.0869565217391304,0.0869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.45454545454546,1,3,0.25,1,1,5,6.81818181818182,4,5.45454545454546,2,2,0.5,1,0,1,1.36363636363636,2,2.72727272727273,25,4,7,9.54545454545454,5,2,0,0,0,7,9.54545454545454,1,1.36363636363636,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
