"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Alleway","ORL",1,95,1,0,1,0.947368421052632,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,32,30.3157894736842,0.8125,25,30,28.4210526315789,0.833333333333333,10,12,11.3684210526316,0.833333333333333,0.4,0.59375,0.28125,0.125,14,19,18,0.736842105263158,9,9,8.52631578947368,1,3,4,3.78947368421053,0.75,0,0.6875,0.3125,0,0,0,0,17,22,20.8421052631579,0.772727272727273,9,10,9.47368421052632,0.9,0,0.666666666666667,0.333333333333333,0,0,0,0,16,20,18.9473684210526,0.8,9,10,9.47368421052632,0.9,4,1,0,0,11,1,0,0,0,0.566666666666667,0.3,0.133333333333333,13,17,16.1052631578947,0.764705882352941,9,9,8.52631578947368,1,3,4,3.78947368421053,0.75,0.375,10,12,11.3684210526316,0.833333333333333,0.833333333333333,0,0.166666666666667,9,10,9.47368421052632,0.9,0,0,0,0,1,2,1.89473684210526,0.5,0,0,0,0,0,0,0,3,7,6.63157894736842,0.21875,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,2.84210526315789,3,0,1,1,0,1,0.947368421052632,2,1.89473684210526,9,0,7,6.63157894736842,6,1,4,3.78947368421053,0,2,1.89473684210526,9,8.52631578947368,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belanger","ORL",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,49,46.421052631579,0.836734693877551,37,44,41.6842105263158,0.840909090909091,14,16,15.1578947368421,0.875,0.363636363636364,0.612244897959184,0.285714285714286,0.102040816326531,24,30,28.4210526315789,0.8,12,14,13.2631578947368,0.857142857142857,5,5,4.73684210526316,1,0.142857142857143,0.73469387755102,0.122448979591837,5,7,6.63157894736842,0.714285714285714,30,36,34.1052631578947,0.833333333333333,6,6,5.68421052631579,1,0.113636363636364,0.75,0.136363636363636,4,5,4.73684210526316,0.8,27,33,31.2631578947368,0.818181818181818,6,6,5.68421052631579,1,2,0,0,0,24,5,0,0,4,0.636363636363636,0.272727272727273,0.0909090909090909,23,28,26.5263157894737,0.821428571428571,10,12,11.3684210526316,0.833333333333333,4,4,3.78947368421053,1,0.326530612244898,14,16,15.1578947368421,0.875,0.6875,0.25,0.0625,9,11,10.4210526315789,0.818181818181818,4,4,3.78947368421053,1,1,1,0.947368421052632,1,1,3,2.84210526315789,0.0681818181818182,0.333333333333333,0,3,0,1,0.947368421052632,0.0204081632653061,0,2,3,2.84210526315789,0.0612244897959184,0.0681818181818182,0.666666666666667,4,5,4.73684210526316,0.102040816326531,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.63157894736842,4,3,0.571428571428571,1,2,6,5.68421052631579,0,0,0,0,0,1,0,1,0.947368421052632,3,2.84210526315789,11,4,12,11.3684210526316,6,6,2,1.89473684210526,0,2,1.89473684210526,4,3.78947368421053,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catley","ORL",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,78,73.8947368421053,0.67948717948718,31,48,45.4736842105263,0.645833333333333,18,28,26.5263157894737,0.642857142857143,0.583333333333333,0.525641025641026,0.307692307692308,0.166666666666667,26,41,38.8421052631579,0.634146341463415,14,24,22.7368421052632,0.583333333333333,13,13,12.3157894736842,1,0.397435897435897,0.461538461538462,0.141025641025641,15,31,29.3684210526316,0.483870967741935,29,36,34.1052631578947,0.805555555555556,9,11,10.4210526315789,0.818181818181818,0.333333333333333,0.520833333333333,0.145833333333333,6,16,15.1578947368421,0.375,20,25,23.6842105263158,0.8,5,7,6.63157894736842,0.714285714285714,4,2,0,1,20,2,0,0,7,0.5625,0.208333333333333,0.229166666666667,15,27,25.5789473684211,0.555555555555556,5,10,9.47368421052632,0.5,11,11,10.4210526315789,1,0.358974358974359,18,28,26.5263157894737,0.642857142857143,0.464285714285714,0.285714285714286,0.25,7,13,12.3157894736842,0.538461538461538,4,8,7.57894736842105,0.5,7,7,6.63157894736842,1,1,5,4.73684210526316,0.104166666666667,0.2,4,1,1,2,1.89473684210526,0.0256410256410256,0.5,0,2,1.89473684210526,0.0256410256410256,0.0416666666666667,0,19,22,20.8421052631579,0.282051282051282,0.863636363636364,1,5,0.2,0,0,2,3,0.666666666666667,0,0,0,0,3,4,3.78947368421053,2,2,0.5,1,1,4,3.78947368421053,1,0.947368421052632,1,0,1,0,0,0,0,1,0.947368421052632,6,8,12,11.3684210526316,6,6,1,0.947368421052632,0,5,4.73684210526316,1,0.947368421052632,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colaprico","CRS",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,32,48,45.4736842105263,0.666666666666667,27,40,37.8947368421053,0.675,12,17,16.1052631578947,0.705882352941177,0.425,0.416666666666667,0.375,0.208333333333333,10,20,18.9473684210526,0.5,12,18,17.0526315789474,0.666666666666667,10,10,9.47368421052632,1,0.145833333333333,0.625,0.229166666666667,4,7,6.63157894736842,0.571428571428571,22,30,28.4210526315789,0.733333333333333,6,11,10.4210526315789,0.545454545454545,0.025,0.7,0.275,1,1,0.947368421052632,1,20,28,26.5263157894737,0.714285714285714,6,11,10.4210526315789,0.545454545454545,4,1,0,3,14,1,0,0,2,0.475,0.275,0.25,9,19,18,0.473684210526316,8,11,10.4210526315789,0.727272727272727,10,10,9.47368421052632,1,0.354166666666667,12,17,16.1052631578947,0.705882352941177,0.411764705882353,0.294117647058824,0.294117647058824,3,7,6.63157894736842,0.428571428571429,4,5,4.73684210526316,0.8,5,5,4.73684210526316,1,0,0,0,0,0,0,0,1,2,1.89473684210526,0.0416666666666667,0.5,0,1,0.947368421052632,0.0208333333333333,0.025,0,0,0,0,0,0,3,6,0.5,0,0,2,2,1,1,0,0,0,2,2,1.89473684210526,1,1,0.5,1,1,3,2.84210526315789,1,0.947368421052632,0,1,0,4,0,4,3.78947368421053,1,0.947368421052632,11,5,7,6.63157894736842,3,4,5,4.73684210526316,0,3,2.84210526315789,4,3.78947368421053,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comeau","CRS",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Da Costa","CRS",1,42,0,0,1,2.14285714285714,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,38.5714285714286,0.833333333333333,15,18,38.5714285714286,0.833333333333333,12,14,30,0.857142857142857,0.777777777777778,0.444444444444444,0.166666666666667,0.388888888888889,6,8,17.1428571428571,0.75,2,3,6.42857142857143,0.666666666666667,7,7,15,1,0.333333333333333,0.555555555555556,0.111111111111111,5,6,12.8571428571429,0.833333333333333,8,10,21.4285714285714,0.8,2,2,4.28571428571429,1,0.333333333333333,0.555555555555556,0.111111111111111,5,6,12.8571428571429,0.833333333333333,8,10,21.4285714285714,0.8,2,2,4.28571428571429,1,0,0,0,0,6,1,0,0,0,0.444444444444444,0.166666666666667,0.388888888888889,6,8,17.1428571428571,0.75,2,3,6.42857142857143,0.666666666666667,7,7,15,1,0.777777777777778,12,14,30,0.857142857142857,0.5,0.0714285714285714,0.428571428571429,5,7,15,0.714285714285714,1,1,2.14285714285714,1,6,6,12.8571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4.28571428571429,0.111111111111111,0.111111111111111,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.14285714285714,1,0,1,0,1,1,2.14285714285714,4,8.57142857142857,1,3,0.25,0,0,0,0,0,0,10,3,3,6.42857142857143,2,1,2,4.28571428571429,0,1,2.14285714285714,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiBernardo","CRS",1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,42,41.0869565217391,0.80952380952381,33,41,40.1086956521739,0.804878048780488,17,22,21.5217391304348,0.772727272727273,0.536585365853659,0.571428571428571,0.285714285714286,0.142857142857143,16,24,23.4782608695652,0.666666666666667,12,12,11.7391304347826,1,6,6,5.8695652173913,1,0.0952380952380952,0.595238095238095,0.30952380952381,4,4,3.91304347826087,1,20,25,24.4565217391304,0.8,10,13,12.7173913043478,0.769230769230769,0.0975609756097561,0.585365853658537,0.317073170731707,4,4,3.91304347826087,1,19,24,23.4782608695652,0.791666666666667,10,13,12.7173913043478,0.769230769230769,2,4,0,1,16,2,0,0,1,0.585365853658537,0.268292682926829,0.146341463414634,16,24,23.4782608695652,0.666666666666667,11,11,10.7608695652174,1,6,6,5.8695652173913,1,0.523809523809524,17,22,21.5217391304348,0.772727272727273,0.545454545454545,0.227272727272727,0.227272727272727,7,12,11.7391304347826,0.583333333333333,5,5,4.89130434782609,1,5,5,4.89130434782609,1,0,0,0,0,0,0,0,0,6,5.8695652173913,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,4,3.91304347826087,4,0,1,1,1,2,1.95652173913043,5,4.89130434782609,2,3,0.4,3,1,4,3.91304347826087,6,5.8695652173913,20,7,7,6.84782608695652,5,2,2,1.95652173913043,0,6,5.8695652173913,6,5.8695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edmonds","ORL",1,95,1,0,1,0.947368421052632,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,56,53.0526315789474,0.660714285714286,33,52,49.2631578947368,0.634615384615385,13,19,18,0.684210526315789,0.365384615384615,0.428571428571429,0.357142857142857,0.214285714285714,12,24,22.7368421052632,0.5,14,20,18.9473684210526,0.7,11,12,11.3684210526316,0.916666666666667,0.303571428571429,0.607142857142857,0.0892857142857143,8,17,16.1052631578947,0.470588235294118,25,34,32.2105263157895,0.735294117647059,4,5,4.73684210526316,0.8,0.269230769230769,0.634615384615385,0.0961538461538462,5,14,13.2631578947368,0.357142857142857,24,33,31.2631578947368,0.727272727272727,4,5,4.73684210526316,0.8,1,1,0,1,20,1,0,0,4,0.423076923076923,0.346153846153846,0.230769230769231,10,22,20.8421052631579,0.454545454545455,12,18,17.0526315789474,0.666666666666667,11,12,11.3684210526316,0.916666666666667,0.339285714285714,13,19,18,0.684210526315789,0.473684210526316,0.315789473684211,0.210526315789474,5,9,8.52631578947368,0.555555555555556,4,6,5.68421052631579,0.666666666666667,4,4,3.78947368421053,1,1,4,3.78947368421053,0.0769230769230769,0.25,1,3,2,4,3.78947368421053,0.0714285714285714,0.5,3,5,4.73684210526316,0.0892857142857143,0.0961538461538462,0.6,4,4,3.78947368421053,0.0714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.63157894736842,4,3,0.571428571428571,1,1,5,4.73684210526316,2,1.89473684210526,0,2,0,1,1,2,1.89473684210526,2,1.89473684210526,22,5,7,6.63157894736842,4,3,3,2.84210526315789,0,6,5.68421052631579,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edwards","ORL",1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,30,0.5,2,4,30,0.5,2,2,15,1,0.5,0.25,0,0.75,0,1,7.5,0,0,0,0,0,2,3,22.5,0.666666666666667,0,1,0,0,0,0,0,2,4,30,0.5,0,0,0,0,0,1,0,0,0,0,0,2,4,30,0.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0.25,0,0.75,0,1,7.5,0,0,0,0,0,2,3,22.5,0.666666666666667,0.5,2,2,15,1,0,0,1,0,0,0,0,0,0,0,0,2,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,15,1,7.5,1,0,1,1,0,1,7.5,0,0,0,0,2,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evans","ORL",1,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,44,60,0.681818181818182,30,44,60,0.681818181818182,14,17,23.1818181818182,0.823529411764706,0.386363636363636,0.613636363636364,0.159090909090909,0.227272727272727,14,27,36.8181818181818,0.518518518518518,6,7,9.54545454545454,0.857142857142857,10,10,13.6363636363636,1,0.227272727272727,0.727272727272727,0.0454545454545455,6,10,13.6363636363636,0.6,23,32,43.6363636363636,0.71875,1,2,2.72727272727273,0.5,0.227272727272727,0.727272727272727,0.0454545454545455,6,10,13.6363636363636,0.6,23,32,43.6363636363636,0.71875,1,2,2.72727272727273,0.5,0,0,0,0,18,3,0,0,5,0.613636363636364,0.159090909090909,0.227272727272727,14,27,36.8181818181818,0.518518518518518,6,7,9.54545454545454,0.857142857142857,10,10,13.6363636363636,1,0.386363636363636,14,17,23.1818181818182,0.823529411764706,0.529411764705882,0.176470588235294,0.294117647058824,7,9,12.2727272727273,0.777777777777778,2,3,4.09090909090909,0.666666666666667,5,5,6.81818181818182,1,1,2,2.72727272727273,0.0454545454545455,0.5,0,2,1,2,2.72727272727273,0.0454545454545455,0.5,1,2,2.72727272727273,0.0454545454545455,0.0454545454545455,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4.09090909090909,5,6.81818181818182,4,1,0.8,1,1,2,2.72727272727273,6,8.18181818181818,20,2,5,6.81818181818182,5,0,3,4.09090909090909,0,3,4.09090909090909,2,2.72727272727273,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
