"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Andressa","HOU",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,62,58.7368421052632,0.935483870967742,55,58,54.9473684210526,0.948275862068966,30,31,29.3684210526316,0.967741935483871,0.53448275862069,0.5,0.290322580645161,0.209677419354839,28,31,29.3684210526316,0.903225806451613,17,18,17.0526315789474,0.944444444444444,13,13,12.3157894736842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517241379310345,0.275862068965517,0.206896551724138,27,30,28.4210526315789,0.9,16,16,15.1578947368421,1,12,12,11.3684210526316,1,0.516129032258065,31,32,30.3157894736842,0.96875,0.40625,0.25,0.34375,12,13,12.3157894736842,0.923076923076923,8,8,7.57894736842105,1,11,11,10.4210526315789,1,2,2,1.89473684210526,0.0344827586206897,1,0,2,2,3,2.84210526315789,0.0483870967741935,0.666666666666667,1,1,0.947368421052632,0.0161290322580645,0.0172413793103448,1,0,0,0,0,0,1,2,0.5,0,0,2,2,1,0,0,0,0,2,2,1.89473684210526,2,0,1,1,1,2,1.89473684210526,4,3.78947368421053,2,2,0.5,2,1,3,2.84210526315789,1,0.947368421052632,9,4,9,8.52631578947368,6,3,4,3.78947368421053,0,2,1.89473684210526,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arlitt","FCKC",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,22.7368421052632,0.583333333333333,10,13,12.3157894736842,0.769230769230769,6,7,6.63157894736842,0.857142857142857,0.538461538461538,0.916666666666667,0.0833333333333333,0,13,22,20.8421052631579,0.590909090909091,1,2,1.89473684210526,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923076923,0.0769230769230769,0,10,12,11.3684210526316,0.833333333333333,0,1,0.947368421052632,0,0,0,0,0,0.291666666666667,6,7,6.63157894736842,0.857142857142857,1,0,0,6,7,6.63157894736842,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.947368421052632,0.0416666666666667,0.0769230769230769,1,4,11,10.4210526315789,0.458333333333333,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.947368421052632,1,0,1,1,2,3,2.84210526315789,3,2.84210526315789,0,3,0,2,0,2,1.89473684210526,3,2.84210526315789,26,5,5,4.73684210526316,4,1,2,1.89473684210526,0,5,4.73684210526316,4,3.78947368421053,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averbuch","FCKC",1,95,1,0,1,0.947368421052632,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,37,35.0526315789474,0.891891891891892,31,34,32.2105263157895,0.911764705882353,10,11,10.4210526315789,0.909090909090909,0.323529411764706,0.864864864864865,0.0810810810810811,0.0540540540540541,28,32,30.3157894736842,0.875,3,3,2.84210526315789,1,2,2,1.89473684210526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84375,0.09375,0.0625,25,27,25.5789473684211,0.925925925925926,3,3,2.84210526315789,1,2,2,1.89473684210526,1,0.297297297297297,10,11,10.4210526315789,0.909090909090909,0.909090909090909,0,0.0909090909090909,9,10,9.47368421052632,0.9,0,0,0,0,1,1,0.947368421052632,1,0,0,0,0,0,0,0,4,6,5.68421052631579,0.162162162162162,0.666666666666667,0,1,0.947368421052632,0.027027027027027,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3.78947368421053,3,1,0.75,4,0,4,3.78947368421053,2,1.89473684210526,10,0,6,5.68421052631579,4,2,0,0,0,2,1.89473684210526,5,4.73684210526316,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,8.52631578947368,0.666666666666667,0,2,1.89473684210526,0,0,1,0.947368421052632,0,0.5,1,0,0,6,9,8.52631578947368,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.947368421052632,0,0,0,0,0,0,0,0,0,0.111111111111111,0,1,0.947368421052632,0,1,0,0,0,1,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4.73684210526316,0.555555555555556,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,3,0,1,6,1,0,0,0,6,3,3,1,1,0,0,0,0,2,0,6,9,0.666666666666667,4,4,1,2,3,0.666666666666667,0,1,0
"Beckie","HOU",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,26.5263157894737,0.821428571428571,23,28,26.5263157894737,0.821428571428571,14,17,16.1052631578947,0.823529411764706,0.607142857142857,0.321428571428571,0.25,0.428571428571429,6,9,8.52631578947368,0.666666666666667,5,7,6.63157894736842,0.714285714285714,12,12,11.3684210526316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321428571428571,0.25,0.428571428571429,6,9,8.52631578947368,0.666666666666667,5,7,6.63157894736842,0.714285714285714,12,12,11.3684210526316,1,0.607142857142857,14,17,16.1052631578947,0.823529411764706,0.411764705882353,0.235294117647059,0.352941176470588,6,7,6.63157894736842,0.857142857142857,2,4,3.78947368421053,0.5,6,6,5.68421052631579,1,1,2,1.89473684210526,0.0714285714285714,0.5,2,0,0,0,0,0,0,2,3,2.84210526315789,0.107142857142857,0.107142857142857,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.84210526315789,1,2,0.333333333333333,4,4,10,9.47368421052632,2,1.89473684210526,1,1,0.5,1,0,1,0.947368421052632,2,1.89473684210526,28,2,8,7.57894736842105,1,7,1,0.947368421052632,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bowen","FCKC",1,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,27.1232876712329,0.863636363636364,18,20,24.6575342465753,0.9,13,14,17.2602739726027,0.928571428571429,0.7,0.5,0.318181818181818,0.181818181818182,8,11,13.5616438356164,0.727272727272727,7,7,8.63013698630137,1,4,4,4.93150684931507,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.35,0.15,8,10,12.3287671232877,0.8,7,7,8.63013698630137,1,3,3,3.6986301369863,1,0.636363636363636,13,14,17.2602739726027,0.928571428571429,0.5,0.285714285714286,0.214285714285714,6,7,8.63013698630137,0.857142857142857,4,4,4.93150684931507,1,3,3,3.6986301369863,1,0,1,1.23287671232877,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2.46575342465753,0.0909090909090909,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.23287671232877,1,0,1,1,3,4,4.93150684931507,4,4.93150684931507,0,4,0,2,0,2,2.46575342465753,4,4.93150684931507,32,1,1,1.23287671232877,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","HOU",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,55,52.1052631578947,0.854545454545454,46,51,48.3157894736842,0.901960784313726,22,23,21.7894736842105,0.956521739130435,0.450980392156863,0.381818181818182,0.218181818181818,0.4,16,21,19.8947368421053,0.761904761904762,9,12,11.3684210526316,0.75,22,22,20.8421052631579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411764705882353,0.176470588235294,0.411764705882353,16,21,19.8947368421053,0.761904761904762,9,9,8.52631578947368,1,21,21,19.8947368421053,1,0.418181818181818,22,23,21.7894736842105,0.956521739130435,0.217391304347826,0.217391304347826,0.565217391304348,4,5,4.73684210526316,0.8,5,5,4.73684210526316,1,13,13,12.3157894736842,1,0,0,0,0,0,0,0,1,1,0.947368421052632,0.0181818181818182,1,2,2,1.89473684210526,0.0363636363636364,0.0392156862745098,1,0,0,0,0,0,1,4,0.25,0,0,0,0,0,0,0,0,0,0,4,3.78947368421053,4,0,1,1,2,3,2.84210526315789,4,3.78947368421053,3,1,0.75,4,0,4,3.78947368421053,3,2.84210526315789,28,1,7,6.63157894736842,3,4,1,0.947368421052632,0,0,0,3,2.84210526315789,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks","HOU",1,12,0,0,1,7.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,45,0.666666666666667,3,5,37.5,0.6,0,1,7.5,0,0.2,0.833333333333333,0,0.166666666666667,3,5,37.5,0.6,0,0,0,0,1,1,7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.2,2,4,30,0.5,0,0,0,0,1,1,7.5,1,0.166666666666667,0,1,7.5,0,1,0,0,0,1,7.5,0,0,0,0,0,0,0,0,0,0,1,7.5,0.2,0,0,1,2,3,22.5,0.5,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5,2,0,2,15,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brush","HOU",1,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,35,37.5,0.885714285714286,30,34,36.4285714285714,0.882352941176471,10,12,12.8571428571429,0.833333333333333,0.352941176470588,0.8,0.0285714285714286,0.171428571428571,24,28,30,0.857142857142857,1,1,1.07142857142857,1,6,6,6.42857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794117647058823,0.0294117647058824,0.176470588235294,23,27,28.9285714285714,0.851851851851852,1,1,1.07142857142857,1,6,6,6.42857142857143,1,0.342857142857143,10,12,12.8571428571429,0.833333333333333,0.666666666666667,0.0833333333333333,0.25,6,8,8.57142857142857,0.75,1,1,1.07142857142857,1,3,3,3.21428571428571,1,0,0,0,0,0,0,0,2,3,3.21428571428571,0.0857142857142857,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4.28571428571429,2,2,0.5,0,0,0,0,0,0,8,1,6,6.42857142857143,5,1,3,3.21428571428571,0,3,3.21428571428571,4,4.28571428571429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chapman","HOU",1,95,1,0,1,0.947368421052632,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,49,46.421052631579,0.795918367346939,22,31,29.3684210526316,0.709677419354839,10,14,13.2631578947368,0.714285714285714,0.451612903225806,0.653061224489796,0.163265306122449,0.183673469387755,23,32,30.3157894736842,0.71875,7,8,7.57894736842105,0.875,9,9,8.52631578947368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709677419354839,0.0645161290322581,0.225806451612903,14,22,20.8421052631579,0.636363636363636,1,2,1.89473684210526,0.5,7,7,6.63157894736842,1,0.285714285714286,10,14,13.2631578947368,0.714285714285714,0.857142857142857,0.0714285714285714,0.0714285714285714,9,12,11.3684210526316,0.75,0,1,0.947368421052632,0,1,1,0.947368421052632,1,0,2,1.89473684210526,0.0645161290322581,0,1,1,5,5,4.73684210526316,0.102040816326531,1,1,4,3.78947368421053,0.0816326530612245,0.129032258064516,0.25,16,17,16.1052631578947,0.346938775510204,0.941176470588235,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0.947368421052632,1,0,1,3,0,3,2.84210526315789,3,2.84210526315789,2,1,0.666666666666667,2,0,2,1.89473684210526,1,0.947368421052632,13,1,6,5.68421052631579,5,1,2,1.89473684210526,0,1,0.947368421052632,5,4.73684210526316,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
