"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Andressa","HOU",1,95,1,0,3,2.84210526315789,0.333333333333333,1,0,2,0,1,0.333333333333333,0,0,0,3,0,0,0,1,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,0,41,61,57.7894736842105,0.672131147540984,38,52,49.2631578947368,0.730769230769231,18,24,22.7368421052632,0.75,0.461538461538462,0.508196721311475,0.245901639344262,0.245901639344262,19,31,29.3684210526316,0.612903225806452,8,15,14.2105263157895,0.533333333333333,14,15,14.2105263157895,0.933333333333333,0.39344262295082,0.475409836065574,0.131147540983607,13,24,22.7368421052632,0.541666666666667,20,29,27.4736842105263,0.689655172413793,8,8,7.57894736842105,1,0.307692307692308,0.538461538461538,0.153846153846154,10,16,15.1578947368421,0.625,20,28,26.5263157894737,0.714285714285714,8,8,7.57894736842105,1,3,4,1,2,12,6,0,1,12,0.538461538461538,0.173076923076923,0.288461538461538,19,28,26.5263157894737,0.678571428571429,5,9,8.52631578947368,0.555555555555556,14,15,14.2105263157895,0.933333333333333,0.39344262295082,18,24,22.7368421052632,0.75,0.625,0.166666666666667,0.208333333333333,11,15,14.2105263157895,0.733333333333333,2,4,3.78947368421053,0.5,5,5,4.73684210526316,1,0,2,1.89473684210526,0.0384615384615385,0,2,0,1,2,1.89473684210526,0.0327868852459016,0.5,1,3,2.84210526315789,0.0491803278688525,0.0576923076923077,0.333333333333333,0,0,0,0,0,2,5,0.4,0,0,1,4,0.25,0,0,1,0,5,7,6.63157894736842,7,0,1,1,1,2,1.89473684210526,4,3.78947368421053,1,3,0.25,3,1,4,3.78947368421053,0,0,18,4,15,14.2105263157895,12,3,1,0.947368421052632,0,1,0.947368421052632,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beckie","HOU",1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,40.6451612903226,0.571428571428571,7,13,37.741935483871,0.538461538461538,5,6,17.4193548387097,0.833333333333333,0.461538461538462,0.428571428571429,0.285714285714286,0.285714285714286,4,6,17.4193548387097,0.666666666666667,1,4,11.6129032258065,0.25,3,4,11.6129032258065,0.75,0.428571428571429,0.428571428571429,0.142857142857143,1,6,17.4193548387097,0.166666666666667,5,6,17.4193548387097,0.833333333333333,2,2,5.80645161290323,1,0.384615384615385,0.461538461538462,0.153846153846154,0,5,14.5161290322581,0,5,6,17.4193548387097,0.833333333333333,2,2,5.80645161290323,1,2,0,0,0,3,2,0,0,1,0.461538461538462,0.307692307692308,0.230769230769231,4,6,17.4193548387097,0.666666666666667,1,4,11.6129032258065,0.25,2,3,8.70967741935484,0.666666666666667,0.428571428571429,5,6,17.4193548387097,0.833333333333333,0.666666666666667,0,0.333333333333333,3,4,11.6129032258065,0.75,0,0,0,0,2,2,5.80645161290323,1,0,1,2.90322580645161,0.0769230769230769,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.90322580645161,0.0714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.90322580645161,2,5.80645161290323,1,1,0.5,0,0,0,0,1,2.90322580645161,8,0,1,2.90322580645161,1,0,0,0,0,1,2.90322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brush","HOU",1,95,1,0,1,0.947368421052632,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,63,59.6842105263158,0.873015873015873,53,61,57.7894736842105,0.868852459016393,10,12,11.3684210526316,0.833333333333333,0.19672131147541,0.571428571428571,0.26984126984127,0.158730158730159,29,36,34.1052631578947,0.805555555555556,16,17,16.1052631578947,0.941176470588235,10,10,9.47368421052632,1,0,0.698412698412698,0.301587301587302,0,0,0,0,36,44,41.6842105263158,0.818181818181818,19,19,18,1,0,0.688524590163934,0.311475409836066,0,0,0,0,34,42,39.7894736842105,0.80952380952381,19,19,18,1,14,5,0,4,28,4,0,0,0,0.590163934426229,0.262295081967213,0.147540983606557,29,36,34.1052631578947,0.805555555555556,15,16,15.1578947368421,0.9375,9,9,8.52631578947368,1,0.19047619047619,10,12,11.3684210526316,0.833333333333333,0.666666666666667,0.166666666666667,0.166666666666667,7,8,7.57894736842105,0.875,1,2,1.89473684210526,0.5,2,2,1.89473684210526,1,0,0,0,0,0,0,0,2,5,4.73684210526316,0.0793650793650794,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,1,0.947368421052632,1,0,1,0,0,0,0,5,4.73684210526316,3,2,0.6,2,1,3,2.84210526315789,0,0,11,3,9,8.52631578947368,8,1,3,2.84210526315789,0,2,1.89473684210526,5,4.73684210526316,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chapman","HOU",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,53,50.2105263157895,0.830188679245283,35,44,41.6842105263158,0.795454545454545,8,10,9.47368421052632,0.8,0.227272727272727,0.39622641509434,0.226415094339623,0.377358490566038,16,21,19.8947368421053,0.761904761904762,9,12,11.3684210526316,0.75,19,20,18.9473684210526,0.95,0.207547169811321,0.584905660377358,0.207547169811321,6,11,10.4210526315789,0.545454545454545,27,31,29.3684210526316,0.870967741935484,11,11,10.4210526315789,1,0.204545454545455,0.590909090909091,0.204545454545455,4,9,8.52631578947368,0.444444444444444,22,26,24.6315789473684,0.846153846153846,9,9,8.52631578947368,1,11,0,0,4,20,3,0,1,5,0.409090909090909,0.227272727272727,0.363636363636364,13,18,17.0526315789474,0.722222222222222,7,10,9.47368421052632,0.7,15,16,15.1578947368421,0.9375,0.188679245283019,8,10,9.47368421052632,0.8,0.6,0.2,0.2,6,6,5.68421052631579,1,1,2,1.89473684210526,0.5,1,2,1.89473684210526,0.5,0,3,2.84210526315789,0.0681818181818182,0,3,0,0,1,0.947368421052632,0.0188679245283019,0,1,1,0.947368421052632,0.0188679245283019,0.0227272727272727,1,8,8,7.57894736842105,0.150943396226415,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,4,4,3.78947368421053,2,1.89473684210526,0,2,0,0,1,1,0.947368421052632,0,0,10,3,6,5.68421052631579,4,2,2,1.89473684210526,0,3,2.84210526315789,2,1.89473684210526,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conheeney","SBFC",1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,42.6315789473684,0.666666666666667,12,18,42.6315789473684,0.666666666666667,8,11,26.0526315789474,0.727272727272727,0.611111111111111,0.611111111111111,0.111111111111111,0.277777777777778,5,11,26.0526315789474,0.454545454545455,2,2,4.73684210526316,1,5,5,11.8421052631579,1,0.0555555555555556,0.888888888888889,0.0555555555555556,0,1,2.36842105263158,0,11,16,37.8947368421053,0.6875,1,1,2.36842105263158,1,0.0555555555555556,0.888888888888889,0.0555555555555556,0,1,2.36842105263158,0,11,16,37.8947368421053,0.6875,1,1,2.36842105263158,1,0,1,0,1,10,1,0,0,0,0.611111111111111,0.111111111111111,0.277777777777778,5,11,26.0526315789474,0.454545454545455,2,2,4.73684210526316,1,5,5,11.8421052631579,1,0.611111111111111,8,11,26.0526315789474,0.727272727272727,0.636363636363636,0.181818181818182,0.181818181818182,4,7,16.5789473684211,0.571428571428571,2,2,4.73684210526316,1,2,2,4.73684210526316,1,0,0,0,0,0,0,0,0,2,4.73684210526316,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.36842105263158,0,1,0,2,4,7,16.5789473684211,4,9.47368421052632,2,2,0.5,0,1,1,2.36842105263158,1,2.36842105263158,8,4,6,14.2105263157895,4,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daly","HOU",1,95,1,0,5,4.73684210526316,0.6,3,0,2,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0.947368421052632,2,1.89473684210526,0,0,1,1,0,0,0,26,37,35.0526315789474,0.702702702702703,24,35,33.1578947368421,0.685714285714286,12,15,14.2105263157895,0.8,0.428571428571429,0.459459459459459,0.243243243243243,0.297297297297297,7,17,16.1052631578947,0.411764705882353,9,9,8.52631578947368,1,10,11,10.4210526315789,0.909090909090909,0.378378378378378,0.621621621621622,0,9,14,13.2631578947368,0.642857142857143,17,23,21.7894736842105,0.739130434782609,0,0,0,0,0.342857142857143,0.657142857142857,0,7,12,11.3684210526316,0.583333333333333,17,23,21.7894736842105,0.739130434782609,0,0,0,0,0,0,0,2,12,3,0,1,8,0.428571428571429,0.257142857142857,0.314285714285714,5,15,14.2105263157895,0.333333333333333,9,9,8.52631578947368,1,10,11,10.4210526315789,0.909090909090909,0.405405405405405,12,15,14.2105263157895,0.8,0.333333333333333,0.333333333333333,0.333333333333333,3,5,4.73684210526316,0.6,5,5,4.73684210526316,1,4,5,4.73684210526316,0.8,0,1,0.947368421052632,0.0285714285714286,0,0,1,0,0,0,0,0,1,3,2.84210526315789,0.0810810810810811,0.0857142857142857,0.333333333333333,2,2,1.89473684210526,0.0540540540540541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.63157894736842,2,5,0.285714285714286,2,2,9,8.52631578947368,9,8.52631578947368,5,4,0.555555555555556,1,1,2,1.89473684210526,1,0.947368421052632,16,5,4,3.78947368421053,3,1,3,2.84210526315789,0,2,1.89473684210526,1,0.947368421052632,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hayes","SBFC",1,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,28.4210526315789,0.833333333333333,19,23,27.2368421052632,0.826086956521739,8,12,14.2105263157895,0.666666666666667,0.521739130434783,0.291666666666667,0.375,0.333333333333333,4,7,8.28947368421053,0.571428571428571,9,9,10.6578947368421,1,7,8,9.47368421052632,0.875,0.25,0.625,0.125,5,6,7.10526315789474,0.833333333333333,13,15,17.7631578947368,0.866666666666667,2,3,3.55263157894737,0.666666666666667,0.260869565217391,0.608695652173913,0.130434782608696,5,6,7.10526315789474,0.833333333333333,12,14,16.5789473684211,0.857142857142857,2,3,3.55263157894737,0.666666666666667,1,1,0,1,12,0,0,2,3,0.304347826086957,0.391304347826087,0.304347826086957,4,7,8.28947368421053,0.571428571428571,9,9,10.6578947368421,1,6,7,8.28947368421053,0.857142857142857,0.5,8,12,14.2105263157895,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1,4,4.73684210526316,0.25,4,4,4.73684210526316,1,3,4,4.73684210526316,0.75,0,0,0,0,0,0,0,0,1,1.18421052631579,0.0416666666666667,0,0,0,0,0,0,0,1,1,1.18421052631579,0.0416666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2.36842105263158,2,2.36842105263158,2,0,1,1,1,2,2.36842105263158,1,1.18421052631579,19,3,6,7.10526315789474,5,1,0,0,0,1,1.18421052631579,1,1.18421052631579,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heap","HOU",1,46,1,0,1,1.95652173913043,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,35.2173913043478,0.555555555555556,10,18,35.2173913043478,0.555555555555556,5,6,11.7391304347826,0.833333333333333,0.333333333333333,0.5,0.166666666666667,0.333333333333333,2,9,17.6086956521739,0.222222222222222,2,3,5.8695652173913,0.666666666666667,6,6,11.7391304347826,1,0.222222222222222,0.777777777777778,0,2,4,7.82608695652174,0.5,8,14,27.3913043478261,0.571428571428571,0,0,0,0,0.222222222222222,0.777777777777778,0,2,4,7.82608695652174,0.5,8,14,27.3913043478261,0.571428571428571,0,0,0,0,0,0,0,1,7,0,0,0,2,0.5,0.166666666666667,0.333333333333333,2,9,17.6086956521739,0.222222222222222,2,3,5.8695652173913,0.666666666666667,6,6,11.7391304347826,1,0.333333333333333,5,6,11.7391304347826,0.833333333333333,0.5,0,0.5,2,3,5.8695652173913,0.666666666666667,0,0,0,0,3,3,5.8695652173913,1,0,1,1.95652173913043,0.0555555555555556,0,1,0,1,2,3.91304347826087,0.111111111111111,0.5,0,3,5.8695652173913,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.95652173913043,1,0,1,0,1,1,1.95652173913043,2,3.91304347826087,1,1,0.5,0,0,0,0,2,3.91304347826087,16,3,6,11.7391304347826,3,3,0,0,0,1,1.95652173913043,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kai","SBFC",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,14.2105263157895,0.866666666666667,13,15,14.2105263157895,0.866666666666667,9,10,9.47368421052632,0.9,0.666666666666667,0.2,0.266666666666667,0.533333333333333,3,3,2.84210526315789,1,3,4,3.78947368421053,0.75,7,8,7.57894736842105,0.875,0.333333333333333,0.6,0.0666666666666667,3,5,4.73684210526316,0.6,9,9,8.52631578947368,1,1,1,0.947368421052632,1,0.333333333333333,0.6,0.0666666666666667,3,5,4.73684210526316,0.6,9,9,8.52631578947368,1,1,1,0.947368421052632,1,1,0,0,0,9,0,0,0,3,0.2,0.266666666666667,0.533333333333333,3,3,2.84210526315789,1,3,4,3.78947368421053,0.75,7,8,7.57894736842105,0.875,0.666666666666667,9,10,9.47368421052632,0.9,0.1,0.1,0.8,1,1,0.947368421052632,1,1,1,0.947368421052632,1,7,8,7.57894736842105,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,7.57894736842105,16,15.1578947368421,9,7,0.5625,0,0,0,0,0,0,24,5,4,3.78947368421053,3,1,0,0,0,1,0.947368421052632,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Killion","SBFC",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,47,44.5263157894737,0.914893617021277,41,45,42.6315789473684,0.911111111111111,20,21,19.8947368421053,0.952380952380952,0.466666666666667,0.617021276595745,0.106382978723404,0.276595744680851,25,29,27.4736842105263,0.862068965517241,5,5,4.73684210526316,1,13,13,12.3157894736842,1,0.127659574468085,0.638297872340426,0.234042553191489,5,6,5.68421052631579,0.833333333333333,27,30,28.4210526315789,0.9,11,11,10.4210526315789,1,0.133333333333333,0.644444444444444,0.222222222222222,5,6,5.68421052631579,0.833333333333333,26,29,27.4736842105263,0.896551724137931,10,10,9.47368421052632,1,6,5,0,6,17,4,0,2,3,0.6,0.111111111111111,0.288888888888889,23,27,25.5789473684211,0.851851851851852,5,5,4.73684210526316,1,13,13,12.3157894736842,1,0.446808510638298,20,21,19.8947368421053,0.952380952380952,0.523809523809524,0.0952380952380952,0.380952380952381,10,11,10.4210526315789,0.909090909090909,2,2,1.89473684210526,1,8,8,7.57894736842105,1,0,0,0,0,0,0,0,1,2,1.89473684210526,0.0425531914893617,0.5,1,2,1.89473684210526,0.0425531914893617,0.0444444444444444,0.5,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,1,1,2,1.89473684210526,4,3.78947368421053,0,4,0,4,0,4,3.78947368421053,7,6.63157894736842,17,8,12,11.3684210526316,9,3,4,3.78947368421053,0,6,5.68421052631579,1,0.947368421052632,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
