Player,Team,GP,MP,GS,Goals,Shots,Shots.per.90,Shot.Accuracy,Shot.GK.Stop,Shot.Def.Stop,Shot.Miss,xG,Shot.Pressed,Pct.Shots.Pressed,A6.Shots,A18.Shots,A3L.Shots,A3C.Shots,A3R.Shots,Far.Shots,Assists,Key.Passes,Key.Assists,Second.Assists,Assists.per.90,Key.Passes.per.90,Big.Chances,Big.Chances.per.90,BC.Scored,BC.Conversion.Pct,BC.SOG,BC.Shot.Miss,BC.Dispossess,BC.Created,BC.Lost,Pass.Comp,Pass.Att,Pass.Att.per.90,Pass.Comp.Pct,opPass.Comp,opPass.Att,opPass.Att.per.90,opPass.Comp.Pct,opPPass.Comp,opPPass.Att,opPPass.Att.per.90,opPPass.Comp.Pct,Pct.opPass.Pressed,rFreq.Pass.Fwd,rFreq.Pass.Side,rFreq.Pass.Back,fwPass.Comp,fwPass.Att,fwPass.Att.per.90,fwPass.Comp.Pct,sPass.Comp,sPass.Att,sPass.Att.per.90,sPass.Comp.Pct,bPass.Comp,bPass.Att,bPass.Att.per.90,bPass.Comp.Pct,rFreq.A3.Passes,rFreq.M3.Passes,rFreq.D3.Passes,A3Pass.Comp,A3Pass.Att,A3Pass.Att.per.90,A3Pass.Comp.Pct,M3Pass.Comp,M3Pass.Att,M3Pass.Att.per.90,M3Pass.Comp.Pct,D3Pass.Comp,D3Pass.Att,D3Pass.Att.per.90,D3Pass.Comp.Pct,rFreq.A3.opPasses,rFreq.M3.opPasses,rFreq.D3.opPasses,A3opPass.Comp,A3opPass.Att,A3opPass.Att.per.90,A3opPass.Comp.Pct,M3opPass.Comp,M3opPass.Att,M3opPass.Att.per.90,M3opPass.Comp.Pct,D3opPass.Comp,D3opPass.Att,D3opPass.Att.per.90,D3opPass.Comp.Pct,Pass.Comp.D3toD3,Pass.Comp.D3toM3,Pass.Comp.D3toA3,Pass.Comp.M3toD3,Pass.Comp.M3toM3,Pass.Comp.M3toA3,Pass.Comp.A3toD3,Pass.Comp.A3toM3,Pass.Comp.A3toA3,rFreq.opPass.Fwd,rFreq.opPass.Side,rFreq.opPass.Back,fwopPass.Comp,fwopPass.Att,fwopPass.Att.per.90,fwopPass.Comp.Pct,sopPass.Comp,sopPass.Att,sopPass.Att.per.90,sopPass.Comp.Pct,bopPass.Comp,bopPass.Att,bopPass.Att.per.90,bopPass.Comp.Pct,Pct.Passes.Pressed,PPass.Comp,PPass.Att,PPass.Att.per.90,PPass.Comp.Pct,rFreq.PPass.Fwd,rFreq.PPass.Side,rFreq.PPass.Back,fwPPass.Comp,fwPPass.Att,fwPPass.Att.per.90,fwPPass.Comp.Pct,sPPass.Comp,sPPass.Att,sPPass.Att.per.90,sPPass.Comp.Pct,bPPass.Comp,bPPass.Att,bPPass.Att.per.90,bPPass.Comp.Pct,Cross.Comp,Cross.Att,Cross.Att.per.90,Cross.Att.per.opPass,Cross.Comp.Pct,Corner.Crosses,Deep.Crosses,Launch.Comp,Launch.Att,Launch.Att.per.90,Launch.Att.per.Pass,Launch.Comp.Pct,Through.Comp,Through.Att,Through.Att.per.90,Through.Att.per.Pass,Through.Att.per.opPass,Through.Comp.Pct,Throw.In.Comp,Throw.In.Att,Throw.In.Att.per.90,Throw.In.Att.per.Pass,Throw.In.Comp.Pct,Corner.Kicks.Completed,Corner.Kicks.Taken,CK.Comp.Pct,CK.Assist,CK.Key.Pass,FK.Pass.Comp,FK.Pass.Att,FK.Pass.Comp.Pct,FK.Assist,FK.Key.Pass,FK.Shot,FK.Scored,Free.Kicks.Taken,Take.Ons,Take.Ons.per.90,TO.Won,TO.Lost,TO.Win.Pct,Dispossessed,Lost.Touches,All.Possessions.Disrupted,Poss.Disrupted.per.90,Aerial.Duels,Aerial.Duels.per.90,AD.Won,AD.Lost,AD.Win.Pct,Tackles,Dispossesses,All.Opp.Poss.Disrupted,Opp.Poss.Disrupted.per.90,Dribbled,Dribbled.per.90,Press.Opp,Challenge.Opp,Recoveries,Recoveries.per.90,Def.Recoveries,Poss.Recoveries,Interceptions,Int.per.90,Int.per.OP.Pass,Blocks,Blocks.per.90,Clearances,Clearances.per.90,Ball.Shields,Offsides,Fouls.Won,Fouls.Conceded,Yellow.Cards,Red.Cards,Penalties.Won,Penalties.Conceded,E.to.Goals,OG,E.to.Big.Chances,BC.Stopped,Saves,Goals.Allowed,GK.SOG.Faced,GperSOG,BC.SOG.Faced,BC.Saves,BC.Goals.Allowed,GperBCSOG,High.Balls.Faced,HB.Won,HB.Lost,HB.Win.Pct,HB.Caught,HB.Punched,HB.Parried,HB.Collected,HB.Fouls.Won,Crosses.Faced,Crosses.Won,Crosses.Lost,Corner.Kicks.Faced,CKs.Won,CKs.Lost,Free.Kicks.Faced,FKs.Won,FKs.Lost,Smothers.Won,Smothers.Lost,GK.Overall.Pass.Comp,GK.Overall.Pass.Att,GK.Overall.Pass.Comp.Pct,GK.Throw.Comp,GK.Throw.Att,GK.Throw.Comp.Pct,GK.Drop.Kick.Comp,GK.Drop.Kick.Att,GK.Drop.Kick.Comp.Pct,GKFK.Comp,GKFK.Att,GKFK.Comp.Pct
Betos,PTFC,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,39,39,0.58974359,19,29,29,0.655172414,1,1,1,1,0.034482759,0.948717949,0.051282051,0,21,37,37,0.567567568,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,39,39,0.58974359,0,0,1,0,0,0,0,0,0,0,0,19,29,29,0.655172414,2,7,0,0,0,0,0,0,0,0.923076923,0.076923077,0,11,12,12,0.916666667,1,1,1,1,0,0,0,0,0.051282051,1,2,2,0.5,1,0,0,1,2,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,14,0.358974359,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,1,1,0,0,7,6,1,0.857142857,6,1,0,2,0,8,5,3,1,1,0,3,1,2,2,0,23,39,0.58974359,3,3,1,0,5,0,8,18,0.444444444
Brynjarsdottir,PTFC,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,36.81818182,0.666666667,6,9,36.81818182,0.666666667,3,5,20.45454545,0.6,0.555555556,0.555555556,0.111111111,0.333333333,3,5,20.45454545,0.6,0,1,4.090909091,0,3,3,12.27272727,1,0.222222222,0.666666667,0.111111111,1,2,8.181818182,0.5,4,6,24.54545455,0.666666667,1,1,4.090909091,1,0.222222222,0.666666667,0.111111111,1,2,8.181818182,0.5,4,6,24.54545455,0.666666667,1,1,4.090909091,1,0,0,0,0,3,0,0,0,0,0.555555556,0.111111111,0.333333333,3,5,20.45454545,0.6,0,1,4.090909091,0,3,3,12.27272727,1,0.555555556,3,5,20.45454545,0.6,0.4,0,0.6,0,2,8.181818182,0,0,0,0,0,3,3,12.27272727,1,0,1,4.090909091,0.111111111,0,1,0,1,1,4.090909091,0.111111111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.090909091,0,0,0,0,0,0,0,0,0,1,4.090909091,9,2,1,4.090909091,1,0,3,12.27272727,0,1,4.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colaprico,CRS,1,90,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,52,52,0.826923077,42,50,50,0.84,21,25,25,0.84,0.5,0.596153846,0.134615385,0.269230769,23,31,31,0.741935484,6,7,7,0.857142857,14,14,14,1,0.096153846,0.846153846,0.057692308,3,5,5,0.6,37,44,44,0.840909091,3,3,3,1,0.06,0.88,0.06,2,3,3,0.666666667,37,44,44,0.840909091,3,3,3,1,0,0,0,1,30,1,0,0,0,0.58,0.14,0.28,22,29,29,0.75862069,6,7,7,0.857142857,14,14,14,1,0.480769231,21,25,25,0.84,0.44,0.2,0.36,8,11,11,0.727272727,4,5,5,0.8,9,9,9,1,0,0,0,0,0,0,0,1,3,3,0.057692308,0.333333333,0,1,1,0.019230769,0.02,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,1,1,1,0,1,1,0,1,1,4,4,1,3,0.25,2,0,2,2,2,2,14,3,16,16,9,7,2,2,0,3,3,4,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comeau,CRS,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,21,1,7,7,21,1,4,4,12,1,0.571428571,0.285714286,0.428571429,0.285714286,2,2,6,1,3,3,9,1,2,2,6,1,0.142857143,0.857142857,0,1,1,3,1,6,6,18,1,0,0,0,0,0.142857143,0.857142857,0,1,1,3,1,6,6,18,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0.285714286,0.428571429,0.285714286,2,2,6,1,3,3,9,1,2,2,6,1,0.571428571,4,4,12,1,0.5,0.25,0.25,2,2,6,1,1,1,3,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,3,2,0,3,9,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Da Costa,CRS,1,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,32,47.21311475,0.75,24,32,47.21311475,0.75,19,23,33.93442623,0.826086957,0.71875,0.53125,0.21875,0.25,10,17,25.08196721,0.588235294,6,7,10.32786885,0.857142857,8,8,11.80327869,1,0.4375,0.5625,0,11,14,20.6557377,0.785714286,13,18,26.55737705,0.722222222,0,0,0,0,0.4375,0.5625,0,11,14,20.6557377,0.785714286,13,18,26.55737705,0.722222222,0,0,0,0,0,0,0,1,9,0,1,0,0,0.53125,0.21875,0.25,10,17,25.08196721,0.588235294,6,7,10.32786885,0.857142857,8,8,11.80327869,1,0.71875,19,23,33.93442623,0.826086957,0.565217391,0.173913043,0.260869565,9,13,19.18032787,0.692307692,4,4,5.901639344,1,6,6,8.852459016,1,1,1,1.475409836,0.03125,1,1,0,1,1,1.475409836,0.03125,1,0,2,2.950819672,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.950819672,0,2,0,2,0,4,5.901639344,2,2.950819672,2,0,1,0,0,0,0,0,0,21,1,11,16.2295082,10,1,1,1.475409836,0,0,0,1,1.475409836,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DiBernardo,CRS,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,37,52,52,0.711538462,35,45,45,0.777777778,23,29,29,0.793103448,0.644444444,0.538461538,0.307692308,0.153846154,20,28,28,0.714285714,9,16,16,0.5625,8,8,8,1,0.25,0.692307692,0.057692308,5,13,13,0.384615385,29,36,36,0.805555556,3,3,3,1,0.155555556,0.777777778,0.066666667,4,7,7,0.571428571,28,35,35,0.8,3,3,3,1,0,0,0,0,18,1,0,0,0,0.6,0.266666667,0.133333333,20,27,27,0.740740741,9,12,12,0.75,6,6,6,1,0.557692308,23,29,29,0.793103448,0.551724138,0.24137931,0.206896552,13,16,16,0.8125,4,7,7,0.571428571,6,6,6,1,0,2,2,0.044444444,0,2,0,2,2,2,0.038461538,1,2,3,3,0.057692308,0.066666667,0.666666667,0,0,0,0,0,1,4,0.25,0,0,1,3,0.333333333,0,0,0,0,3,1,1,1,0,1,0,2,2,2,9,9,0,9,0,3,3,6,6,1,1,27,5,14,14,9,5,1,1,0,8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilliland,CRS,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,44,44,0.772727273,26,36,36,0.722222222,15,21,21,0.714285714,0.583333333,0.590909091,0.272727273,0.136363636,21,26,26,0.807692308,7,12,12,0.583333333,6,6,6,1,0.272727273,0.613636364,0.113636364,7,12,12,0.583333333,22,27,27,0.814814815,5,5,5,1,0.277777778,0.638888889,0.083333333,5,10,10,0.5,18,23,23,0.782608696,3,3,3,1,0,0,0,0,16,0,0,0,0,0.5,0.333333333,0.166666667,13,18,18,0.722222222,7,12,12,0.583333333,6,6,6,1,0.477272727,15,21,21,0.714285714,0.380952381,0.428571429,0.19047619,6,8,8,0.75,5,9,9,0.555555556,4,4,4,1,1,5,5,0.138888889,0.2,4,1,0,2,2,0.045454545,0,0,0,0,0,0,0,8,8,8,0.181818182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,1,0,6,6,0,0,0,0,0,4,2,6,6,4,4,28,4,17,17,9,8,3,3,0,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heath,PTFC,1,90,1,0,2,2,0.5,1,0,1,0,1,0.5,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,34,44,44,0.772727273,30,39,39,0.769230769,23,29,29,0.793103448,0.743589744,0.386363636,0.25,0.363636364,11,17,17,0.647058824,9,11,11,0.818181818,14,16,16,0.875,0.386363636,0.477272727,0.136363636,14,17,17,0.823529412,17,21,21,0.80952381,3,6,6,0.5,0.307692308,0.538461538,0.153846154,10,12,12,0.833333333,17,21,21,0.80952381,3,6,6,0.5,0,0,0,1,13,0,0,0,0,0.435897436,0.179487179,0.384615385,11,17,17,0.647058824,6,7,7,0.857142857,13,15,15,0.866666667,0.659090909,23,29,29,0.793103448,0.379310345,0.206896552,0.413793103,7,11,11,0.636363636,6,6,6,1,10,12,12,0.833333333,1,1,1,0.025641026,1,1,0,0,0,0,0,0,1,2,2,0.045454545,0.051282051,0.5,0,0,0,0,0,4,5,0.8,0,0,0,0,0,0,0,1,0,1,13,13,9,4,0.692307692,5,4,13,13,2,2,0,2,0,4,0,4,4,1,1,26,5,6,6,2,4,2,2,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry,PTFC,1,69,1,0,2,2.608695652,0,0,0,2,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,33.91304348,0.884615385,23,26,33.91304348,0.884615385,14,17,22.17391304,0.823529412,0.653846154,0.461538462,0.269230769,0.269230769,9,12,15.65217391,0.75,7,7,9.130434783,1,7,7,9.130434783,1,0.115384615,0.692307692,0.192307692,3,3,3.913043478,1,15,18,23.47826087,0.833333333,5,5,6.52173913,1,0.115384615,0.692307692,0.192307692,3,3,3.913043478,1,15,18,23.47826087,0.833333333,5,5,6.52173913,1,1,0,0,0,9,1,0,0,1,0.461538462,0.269230769,0.269230769,9,12,15.65217391,0.75,7,7,9.130434783,1,7,7,9.130434783,1,0.653846154,14,17,22.17391304,0.823529412,0.470588235,0.176470588,0.352941176,5,8,10.43478261,0.625,3,3,3.913043478,1,6,6,7.826086957,1,0,0,0,0,0,0,0,1,1,1.304347826,0.038461538,1,1,1,1.304347826,0.038461538,0.038461538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.608695652,2,0,1,1,2,3,3.913043478,1,1.304347826,0,1,0,2,1,3,3.913043478,0,0,13,5,7,9.130434783,6,1,2,2.608695652,0,2,2.608695652,2,2.608695652,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horan,PTFC,1,90,1,0,3,3,0.333333333,1,0,2,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,48,48,0.75,36,48,48,0.75,20,30,30,0.666666667,0.625,0.333333333,0.1875,0.479166667,7,16,16,0.4375,8,9,9,0.888888889,21,23,23,0.913043478,0.1875,0.625,0.1875,7,9,9,0.777777778,22,30,30,0.733333333,7,9,9,0.777777778,0.1875,0.625,0.1875,7,9,9,0.777777778,22,30,30,0.733333333,7,9,9,0.777777778,0,0,0,0,15,0,0,0,0,0.333333333,0.1875,0.479166667,7,16,16,0.4375,8,9,9,0.888888889,21,23,23,0.913043478,0.625,20,30,30,0.666666667,0.4,0.2,0.4,4,12,12,0.333333333,5,6,6,0.833333333,11,12,12,0.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,0.333333333,3,1,6,6,9,9,5,4,0.555555556,2,0,2,2,2,2,34,6,9,9,5,4,1,1,0,1,1,4,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
