"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Banini","WAS",1,45,0,0,1,2,0,0,0,1,"0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,46,0.91304347826087,19,21,42,0.904761904761905,15,16,32,0.9375,0.761904761904762,0.434782608695652,0.304347826086957,0.260869565217391,9,10,20,0.9,6,7,14,0.857142857142857,6,6,12,1,0.347826086956522,0.521739130434783,0.130434782608696,7,8,16,0.875,11,12,24,0.916666666666667,3,3,6,1,0.380952380952381,0.523809523809524,0.0952380952380952,7,8,16,0.875,10,11,22,0.909090909090909,2,2,4,1,0,0,0,0,7,0,0,0,0,0.428571428571429,0.285714285714286,0.285714285714286,8,9,18,0.888888888888889,5,6,12,0.833333333333333,6,6,12,1,0.695652173913043,15,16,32,0.9375,0.3125,0.3125,0.375,5,5,10,1,4,5,10,0.8,6,6,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.0434782608695652,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,6,3,0,1,3,0,3,6,2,4,0,2,0,0,0,0,0,1,2,14,6,3,6,2,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brynjarsdottir","PTFC",1,90,1,0,2,2,1,2,0,0,"0",1,0.5,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17,29,29,0.586206896551724,17,29,29,0.586206896551724,8,9,9,0.888888888888889,0.310344827586207,0.655172413793103,0.275862068965517,0.0689655172413793,10,19,19,0.526315789473684,7,8,8,0.875,0,2,2,0,0.241379310344828,0.758620689655172,0,4,7,7,0.571428571428571,13,22,22,0.590909090909091,0,0,0,0,0.241379310344828,0.758620689655172,0,4,7,7,0.571428571428571,13,22,22,0.590909090909091,0,0,0,0,0,0,0,0,11,0,0,0,1,0.655172413793103,0.275862068965517,0.0689655172413793,10,19,19,0.526315789473684,7,8,8,0.875,0,2,2,0,0.310344827586207,8,9,9,0.888888888888889,0.555555555555556,0.444444444444444,0,5,5,5,1,3,4,4,0.75,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0344827586206897,1,1,1,1,0.0344827586206897,0.0344827586206897,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,3,6,6,17,17,13,4,0.764705882352941,1,2,3,3,1,1,38,8,4,4,2,1,1,1,0,4,4,2,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","WAS",1,90,1,0,1,1,0,0,0,1,"0",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,35,35,0.685714285714286,21,32,32,0.65625,17,18,18,0.944444444444444,0.5625,0.285714285714286,0.342857142857143,0.371428571428571,3,10,10,0.3,8,12,12,0.666666666666667,13,13,13,1,0.485714285714286,0.428571428571429,0.0857142857142857,9,17,17,0.529411764705882,12,15,15,0.8,3,3,3,1,0.46875,0.4375,0.09375,7,15,15,0.466666666666667,11,14,14,0.785714285714286,3,3,3,1,0,0,0,0,9,0,0,0,0,0.3125,0.34375,0.34375,3,10,10,0.3,7,11,11,0.636363636363636,11,11,11,1,0.514285714285714,17,18,18,0.944444444444444,0.166666666666667,0.333333333333333,0.5,2,3,3,0.666666666666667,6,6,6,1,9,9,9,1,2,4,4,0.125,0.5,4,0,0,0,0,0,0,0,2,2,0.0571428571428571,0.0625,0,2,2,2,0.0571428571428571,1,0,0,0,0,0,1,1,1,0,0,0,0,1,13,13,8,5,0.615384615384615,5,7,17,17,4,4,0,4,0,0,0,0,0,0,0,29,4,11,11,4,7,4,4,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farquharson","WAS",1,10,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,45,0.4,2,5,45,0.4,1,2,18,0.5,0.4,0.4,0.4,0.2,1,2,18,0.5,0,2,18,0,1,1,9,1,0.6,0.4,0,1,3,27,0.333333333333333,1,2,18,0.5,0,0,0,0,0.6,0.4,0,1,3,27,0.333333333333333,1,2,18,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4,0.4,0.2,1,2,18,0.5,0,2,18,0,1,1,9,1,0.4,1,2,18,0.5,0.5,0.5,0,1,1,9,1,0,1,9,0,0,0,0,0,0,1,9,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,0,3,0,0,0,0,0,0,0,2,2,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Franch","PTFC",1,90,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,34,34,0.676470588235294,17,23,23,0.739130434782609,9,9,9,1,0.391304347826087,1,0,0,23,34,34,0.676470588235294,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,33,33,0.696969696969697,0,0,1,0,0,0,0,0,0,0,0,17,23,23,0.739130434782609,0,17,0,0,0,0,0,0,0,1,0,0,11,11,11,1,0,0,0,0,0,0,0,0,0.294117647058824,10,10,10,1,1,0,0,10,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,24,0.705882352941177,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,0,0,0,3,3,0,1,3,0,0,2,0,3,2,1,1,1,0,1,1,0,1,0,23,34,0.676470588235294,1,2,0.5,5,7,0.714285714285714,6,14,0.428571428571429
"Heath","PTFC",1,90,1,1,4,4,0.5,1,0,2,"0",1,0.25,1,1,0,0,0,0,1,2,1,0,1,2,2,2,1,0.5,1,0,0,0,0,28,44,44,0.636363636363636,25,37,37,0.675675675675676,18,23,23,0.782608695652174,0.621621621621622,0.409090909090909,0.318181818181818,0.272727272727273,11,18,18,0.611111111111111,7,14,14,0.5,10,12,12,0.833333333333333,0.386363636363636,0.477272727272727,0.136363636363636,10,17,17,0.588235294117647,14,21,21,0.666666666666667,4,6,6,0.666666666666667,0.324324324324324,0.513513513513513,0.162162162162162,8,12,12,0.666666666666667,13,19,19,0.684210526315789,4,6,6,0.666666666666667,0,0,0,1,11,0,0,0,0,0.432432432432432,0.243243243243243,0.324324324324324,10,16,16,0.625,5,9,9,0.555555555555556,10,12,12,0.833333333333333,0.522727272727273,18,23,23,0.782608695652174,0.391304347826087,0.260869565217391,0.347826086956522,6,9,9,0.666666666666667,4,6,6,0.666666666666667,8,8,8,1,1,2,2,0.0540540540540541,0.5,1,1,2,3,3,0.0681818181818182,0.666666666666667,1,2,2,0.0454545454545455,0.0540540540540541,0.5,1,1,1,0.0227272727272727,1,2,5,0.4,0,1,0,1,0,0,0,1,0,2,5,5,3,2,0.6,1,0,3,3,0,0,0,0,0,2,2,4,4,1,1,35,7,10,10,9,1,2,2,0,2,2,2,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","PTFC",1,80,1,1,2,2.25,0.5,0,0,1,"0",1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,1.125,1,1,0,0,0,0,0,29,38,42.75,0.763157894736842,28,37,41.625,0.756756756756757,19,25,28.125,0.76,0.675675675675676,0.447368421052632,0.210526315789474,0.342105263157895,10,17,19.125,0.588235294117647,6,8,9,0.75,13,13,14.625,1,0.157894736842105,0.578947368421053,0.263157894736842,4,6,6.75,0.666666666666667,16,22,24.75,0.727272727272727,9,10,11.25,0.9,0.162162162162162,0.567567567567568,0.27027027027027,4,6,6.75,0.666666666666667,15,21,23.625,0.714285714285714,9,10,11.25,0.9,0,0,0,0,13,0,0,0,1,0.432432432432432,0.216216216216216,0.351351351351351,9,16,18,0.5625,6,8,9,0.75,13,13,14.625,1,0.657894736842105,19,25,28.125,0.76,0.32,0.24,0.44,4,8,9,0.5,4,6,6.75,0.666666666666667,11,11,12.375,1,1,3,3.375,0.0810810810810811,0.333333333333333,2,1,0,2,2.25,0.0526315789473684,0,0,2,2.25,0.0526315789473684,0.0540540540540541,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,3.375,1,2,0.333333333333333,1,2,5,5.625,13,14.625,8,5,0.615384615384615,3,5,8,9,0,0,29,12,11,12.375,7,4,3,3.375,0,3,3.375,4,4.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huster","WAS",1,46,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,25.4347826086956,0.615384615384615,7,12,23.4782608695652,0.583333333333333,7,8,15.6521739130435,0.875,0.666666666666667,0.692307692307692,0,0.307692307692308,4,9,17.6086956521739,0.444444444444444,0,0,0,0,4,4,7.82608695652174,1,0.307692307692308,0.692307692307692,0,2,4,7.82608695652174,0.5,6,9,17.6086956521739,0.666666666666667,0,0,0,0,0.25,0.75,0,1,3,5.8695652173913,0.333333333333333,6,9,17.6086956521739,0.666666666666667,0,0,0,0,0,0,0,0,4,0,0,0,0,0.666666666666667,0,0.333333333333333,3,8,15.6521739130435,0.375,0,0,0,0,4,4,7.82608695652174,1,0.615384615384615,7,8,15.6521739130435,0.875,0.5,0,0.5,3,4,7.82608695652174,0.75,0,0,0,0,4,4,7.82608695652174,1,0,1,1.95652173913043,0.0833333333333333,0,1,0,0,2,3.91304347826087,0.153846153846154,0,0,2,3.91304347826087,0.153846153846154,0.166666666666667,0,1,1,1.95652173913043,0.0769230769230769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3.91304347826087,3,5.8695652173913,1,2,0.333333333333333,0,0,0,0,0,0,15,4,5,9.78260869565217,4,1,1,1.95652173913043,0,2,3.91304347826087,2,3.91304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kleiner","WAS",1,90,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,27,0.777777777777778,19,24,24,0.791666666666667,11,14,14,0.785714285714286,0.583333333333333,0.62962962962963,0.296296296296296,0.0740740740740741,13,17,17,0.764705882352941,6,8,8,0.75,2,2,2,1,0.222222222222222,0.703703703703704,0.0740740740740741,3,6,6,0.5,16,19,19,0.842105263157895,2,2,2,1,0.166666666666667,0.75,0.0833333333333333,2,4,4,0.5,15,18,18,0.833333333333333,2,2,2,1,0,0,0,1,12,0,0,0,0,0.666666666666667,0.25,0.0833333333333333,12,16,16,0.75,5,6,6,0.833333333333333,2,2,2,1,0.518518518518518,11,14,14,0.785714285714286,0.642857142857143,0.285714285714286,0.0714285714285714,6,9,9,0.666666666666667,4,4,4,1,1,1,1,1,2,3,3,0.125,0.666666666666667,3,0,1,1,1,0.037037037037037,1,0,0,0,0,0,0,2,3,3,0.111111111111111,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,3,5,5,4,4,1,3,0.25,3,1,4,4,0,0,10,7,7,7,4,3,3,3,0,4,4,4,4,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klingenberg","PTFC",1,90,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,33,33,0.757575757575758,19,22,22,0.863636363636364,12,13,13,0.923076923076923,0.565217391304348,0.666666666666667,0.0909090909090909,0.242424242424242,14,22,22,0.636363636363636,3,3,3,1,8,8,8,1,0.181818181818182,0.484848484848485,0.333333333333333,5,6,6,0.833333333333333,13,16,16,0.8125,7,11,11,0.636363636363636,0.181818181818182,0.5,0.318181818181818,3,4,4,0.75,9,11,11,0.818181818181818,7,7,7,1,0,0,0,0,9,0,0,0,0,0.590909090909091,0.0909090909090909,0.318181818181818,10,13,13,0.769230769230769,2,2,2,1,7,7,7,1,0.382352941176471,12,13,13,0.923076923076923,0.538461538461538,0,0.461538461538462,6,7,7,0.857142857142857,0,0,0,0,6,6,6,1,1,1,1,0.0454545454545455,1,1,0,1,2,2,0.0606060606060606,0.5,0,1,1,0.0303030303030303,0.0454545454545455,0,6,11,11,0.333333333333333,0.545454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,2,2,2,2,13,8,7,7,6,1,4,4,0,2,2,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
