"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Barnes","SRFC",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,82,77.6842105263158,0.865853658536585,64,75,71.0526315789474,0.853333333333333,18,23,21.7894736842105,0.782608695652174,0.306666666666667,0.524390243902439,0.353658536585366,0.121951219512195,34,43,40.7368421052632,0.790697674418605,27,29,27.4736842105263,0.931034482758621,10,10,9.47368421052632,1,0.0121951219512195,0.695121951219512,0.292682926829268,0,1,0.947368421052632,0,48,57,54,0.842105263157895,23,24,22.7368421052632,0.958333333333333,0.0133333333333333,0.666666666666667,0.32,0,1,0.947368421052632,0,41,50,47.3684210526316,0.82,23,24,22.7368421052632,0.958333333333333,14,8,1,3,39,6,0,0,0,0.546666666666667,0.32,0.133333333333333,32,41,38.8421052631579,0.780487804878049,22,24,22.7368421052632,0.916666666666667,10,10,9.47368421052632,1,0.280487804878049,18,23,21.7894736842105,0.782608695652174,0.434782608695652,0.391304347826087,0.173913043478261,7,10,9.47368421052632,0.7,7,9,8.52631578947368,0.777777777777778,4,4,3.78947368421053,1,0,1,0.947368421052632,0.0133333333333333,0,1,0,2,8,7.57894736842105,0.0975609756097561,0.25,2,3,2.84210526315789,0.0365853658536585,0.04,0.666666666666667,7,7,6.63157894736842,0.0853658536585366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.947368421052632,1,0,1,0,0,0,0,0,0,8,3,7,6.63157894736842,6,1,1,0.947368421052632,0,2,1.89473684210526,6,5.68421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casey","SBFC",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,37,35.0526315789474,0.702702702702703,18,27,25.5789473684211,0.666666666666667,1,2,1.89473684210526,0.5,0.0740740740740741,0.945945945945946,0.0540540540540541,0,24,35,33.1578947368421,0.685714285714286,2,2,1.89473684210526,1,0,0,0,0,0,0.027027027027027,0.972972972972973,0,0,0,0,1,1,0.947368421052632,1,25,36,34.1052631578947,0.694444444444444,0,0.037037037037037,0.962962962962963,0,0,0,0,1,1,0.947368421052632,1,17,26,24.6315789473684,0.653846153846154,11,14,0,0,1,0,0,0,0,0.866666666666667,0.133333333333333,0,10,13,12.3157894736842,0.769230769230769,2,2,1.89473684210526,1,0,0,0,0,0.0540540540540541,1,2,1.89473684210526,0.5,1,0,0,1,2,1.89473684210526,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,19.8947368421053,0.567567567567568,0.476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.947368421052632,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,1,1,0,0,4,3,1,0.75,8,0,0,2,0,3,1,2,0,0,0,0,0,0,0,0,26,37,0.702702702702703,7,7,1,0,0,0,7,15,0.466666666666667
"Conheeney","SBFC",1,95,1,1,3,2.84210526315789,0.666666666666667,1,0,1,0.500625246006325,1,0.333333333333333,0,2,0,1,0,0,0,0,0,0,0,0,1,0.947368421052632,1,1,0,0,0,0,0,24,32,30.3157894736842,0.75,23,31,29.3684210526316,0.741935483870968,14,20,18.9473684210526,0.7,0.645161290322581,0.28125,0.4375,0.28125,5,9,8.52631578947368,0.555555555555556,10,14,13.2631578947368,0.714285714285714,9,9,8.52631578947368,1,0.21875,0.71875,0.0625,5,7,6.63157894736842,0.714285714285714,17,23,21.7894736842105,0.739130434782609,2,2,1.89473684210526,1,0.193548387096774,0.741935483870968,0.0645161290322581,4,6,5.68421052631579,0.666666666666667,17,23,21.7894736842105,0.739130434782609,2,2,1.89473684210526,1,2,0,0,2,13,2,0,1,4,0.290322580645161,0.451612903225806,0.258064516129032,5,9,8.52631578947368,0.555555555555556,10,14,13.2631578947368,0.714285714285714,8,8,7.57894736842105,1,0.625,14,20,18.9473684210526,0.7,0.25,0.55,0.2,3,5,4.73684210526316,0.6,7,11,10.4210526315789,0.636363636363636,4,4,3.78947368421053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.947368421052632,0.03125,0.032258064516129,0,1,1,0.947368421052632,0.03125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.89473684210526,1,1,0.5,0,5,6,5.68421052631579,4,3.78947368421053,1,3,0.25,3,0,3,2.84210526315789,6,5.68421052631579,45,7,9,8.52631578947368,4,5,3,2.84210526315789,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",1,20,0,0,1,4.5,1,1,0,0,0.125956989822427,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,81,0.833333333333333,13,16,72,0.8125,5,7,31.5,0.714285714285714,0.4375,0.666666666666667,0.111111111111111,0.222222222222222,9,12,54,0.75,2,2,9,1,4,4,18,1,0.111111111111111,0.777777777777778,0.111111111111111,2,2,9,1,11,14,63,0.785714285714286,2,2,9,1,0.0625,0.8125,0.125,1,1,4.5,1,10,13,58.5,0.769230769230769,2,2,9,1,1,1,0,1,6,4,0,0,2,0.625,0.125,0.25,7,10,45,0.7,2,2,9,1,4,4,18,1,0.388888888888889,5,7,31.5,0.714285714285714,0.571428571428571,0.142857142857143,0.285714285714286,2,4,18,0.5,1,1,4.5,1,2,2,9,1,0,0,0,0,0,0,0,2,3,13.5,0.166666666666667,0.666666666666667,0,0,0,0,0,0,2,2,9,0.111111111111111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4.5,1,4.5,0,1,0,0,1,1,4.5,2,9,4,2,1,4.5,0,1,0,0,0,2,9,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallstream","SRFC",1,25,0,0,1,3.6,1,1,0,0,0.0587037893957114,1,1,0,0,0,1,0,0,0,1,0,0,0,3.6,0,0,0,0,0,0,0,0,0,8,10,36,0.8,8,10,36,0.8,2,3,10.8,0.666666666666667,0.3,0.3,0.2,0.5,2,3,10.8,0.666666666666667,1,2,7.2,0.5,5,5,18,1,0.4,0.6,0,3,4,14.4,0.75,5,6,21.6,0.833333333333333,0,0,0,0,0.4,0.6,0,3,4,14.4,0.75,5,6,21.6,0.833333333333333,0,0,0,0,0,0,0,0,4,1,0,2,1,0.3,0.2,0.5,2,3,10.8,0.666666666666667,1,2,7.2,0.5,5,5,18,1,0.3,2,3,10.8,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0,1,3.6,0,1,1,3.6,1,1,1,3.6,1,1,1,3.6,0.1,1,1,0,0,1,3.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10.8,1,2,0.333333333333333,3,1,6,21.6,1,3.6,0,1,0,0,1,1,3.6,1,3.6,3,3,2,7.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DeCesare","SBFC",1,36,0,0,1,2.5,0,0,0,1,0.276290397645262,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,15,0.5,3,6,15,0.5,2,3,7.5,0.666666666666667,0.5,0.5,0.333333333333333,0.166666666666667,1,3,7.5,0.333333333333333,1,2,5,0.5,1,1,2.5,1,0.333333333333333,0.666666666666667,0,1,2,5,0.5,2,4,10,0.5,0,0,0,0,0.333333333333333,0.666666666666667,0,1,2,5,0.5,2,4,10,0.5,0,0,0,0,0,0,0,0,2,0,0,0,1,0.5,0.333333333333333,0.166666666666667,1,3,7.5,0.333333333333333,1,2,5,0.5,1,1,2.5,1,0.5,2,3,7.5,0.666666666666667,0.666666666666667,0.333333333333333,0,1,2,5,0.5,1,1,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,6,15,4,2,0.666666666666667,1,0,1,2.5,0,0,10,3,0,0,0,0,1,2.5,0,0,0,1,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",1,95,1,0,3,2.84210526315789,0.333333333333333,1,0,2,0.316566052699946,3,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0.947368421052632,0,0,0,1,0,0,0,53,72,68.2105263157895,0.736111111111111,49,68,64.4210526315789,0.720588235294118,29,36,34.1052631578947,0.805555555555556,0.529411764705882,0.5,0.333333333333333,0.166666666666667,22,36,34.1052631578947,0.611111111111111,19,24,22.7368421052632,0.791666666666667,12,12,11.3684210526316,1,0.305555555555556,0.652777777777778,0.0416666666666667,18,22,20.8421052631579,0.818181818181818,32,47,44.5263157894737,0.680851063829787,3,3,2.84210526315789,1,0.308823529411765,0.647058823529412,0.0441176470588235,17,21,19.8947368421053,0.80952380952381,29,44,41.6842105263158,0.659090909090909,3,3,2.84210526315789,1,1,2,0,3,23,6,0,2,16,0.514705882352941,0.323529411764706,0.161764705882353,21,35,33.1578947368421,0.6,17,22,20.8421052631579,0.772727272727273,11,11,10.4210526315789,1,0.5,29,36,34.1052631578947,0.805555555555556,0.416666666666667,0.361111111111111,0.222222222222222,10,15,14.2105263157895,0.666666666666667,11,13,12.3157894736842,0.846153846153846,8,8,7.57894736842105,1,0,1,0.947368421052632,0.0147058823529412,0,1,0,0,6,5.68421052631579,0.0833333333333333,0,1,6,5.68421052631579,0.0833333333333333,0.0882352941176471,0.166666666666667,1,1,0.947368421052632,0.0138888888888889,1,0,0,0,0,0,3,3,1,0,0,0,0,3,4,3.78947368421053,4,0,1,0,2,2,1.89473684210526,2,1.89473684210526,0,2,0,4,2,6,5.68421052631579,2,1.89473684210526,24,8,11,10.4210526315789,7,4,1,0.947368421052632,0,1,0.947368421052632,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,71,67.2631578947368,0.915492957746479,61,67,63.4736842105263,0.91044776119403,15,16,15.1578947368421,0.9375,0.238805970149254,0.619718309859155,0.225352112676056,0.154929577464789,39,44,41.6842105263158,0.886363636363636,15,16,15.1578947368421,0.9375,11,11,10.4210526315789,1,0,0.5,0.5,0,0,0,0,33,35,33.1578947368421,0.942857142857143,31,35,33.1578947368421,0.885714285714286,0,0.46969696969697,0.53030303030303,0,0,0,0,29,31,29.3684210526316,0.935483870967742,31,35,33.1578947368421,0.885714285714286,19,12,0,2,31,1,0,0,0,0.626865671641791,0.223880597014925,0.149253731343284,37,42,39.7894736842105,0.880952380952381,14,15,14.2105263157895,0.933333333333333,10,10,9.47368421052632,1,0.225352112676056,15,16,15.1578947368421,0.9375,0.625,0.0625,0.3125,9,10,9.47368421052632,0.9,1,1,0.947368421052632,1,5,5,4.73684210526316,1,0,0,0,0,0,0,0,1,6,5.68421052631579,0.0845070422535211,0.166666666666667,0,2,1.89473684210526,0.028169014084507,0.0298507462686567,0,3,3,2.84210526315789,0.0422535211267606,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0.947368421052632,9,8.52631578947368,3,6,0.333333333333333,2,0,2,1.89473684210526,0,0,7,4,11,10.4210526315789,11,0,2,1.89473684210526,0,2,1.89473684210526,8,7.57894736842105,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordon","SBFC",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38,36,0.868421052631579,33,38,36,0.868421052631579,20,23,21.7894736842105,0.869565217391304,0.605263157894737,0.289473684210526,0.315789473684211,0.394736842105263,8,11,10.4210526315789,0.727272727272727,11,12,11.3684210526316,0.916666666666667,14,15,14.2105263157895,0.933333333333333,0.157894736842105,0.684210526315789,0.157894736842105,5,6,5.68421052631579,0.833333333333333,22,26,24.6315789473684,0.846153846153846,6,6,5.68421052631579,1,0.157894736842105,0.684210526315789,0.157894736842105,5,6,5.68421052631579,0.833333333333333,22,26,24.6315789473684,0.846153846153846,6,6,5.68421052631579,1,5,1,0,4,16,2,0,1,4,0.289473684210526,0.315789473684211,0.394736842105263,8,11,10.4210526315789,0.727272727272727,11,12,11.3684210526316,0.916666666666667,14,15,14.2105263157895,0.933333333333333,0.605263157894737,20,23,21.7894736842105,0.869565217391304,0.304347826086957,0.434782608695652,0.260869565217391,5,7,6.63157894736842,0.714285714285714,9,10,9.47368421052632,0.9,6,6,5.68421052631579,1,1,1,0.947368421052632,0.0263157894736842,1,1,0,1,1,0.947368421052632,0.0263157894736842,1,1,2,1.89473684210526,0.0526315789473684,0.0526315789473684,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.89473684210526,2,1.89473684210526,1,1,0.5,2,1,3,2.84210526315789,1,0.947368421052632,47,1,2,1.89473684210526,1,1,2,1.89473684210526,0,3,2.84210526315789,1,0.947368421052632,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hayes","SBFC",1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,24.5454545454545,1,3,3,24.5454545454545,1,2,2,16.3636363636364,1,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,3,3,24.5454545454545,1,0.333333333333333,0.666666666666667,0,1,1,8.18181818181818,1,2,2,16.3636363636364,1,0,0,0,0,0.333333333333333,0.666666666666667,0,1,1,8.18181818181818,1,2,2,16.3636363636364,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3,24.5454545454545,1,0.666666666666667,2,2,16.3636363636364,1,0,0,1,0,0,0,0,0,0,0,0,2,2,16.3636363636364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.18181818181818,1,0,1,1,0,1,8.18181818181818,2,16.3636363636364,2,0,1,1,0,1,8.18181818181818,1,8.18181818181818,4,0,1,8.18181818181818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kai","SBFC",1,59,1,1,2,3.05084745762712,0.5,0,0,1,0.301043522741898,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1.52542372881356,1,1,0,0,0,0,0,6,12,18.3050847457627,0.5,6,11,16.7796610169492,0.545454545454545,5,9,13.728813559322,0.555555555555556,0.818181818181818,0.166666666666667,0.5,0.333333333333333,0,2,3.05084745762712,0,2,6,9.15254237288136,0.333333333333333,4,4,6.10169491525424,1,0.166666666666667,0.833333333333333,0,1,2,3.05084745762712,0.5,5,10,15.2542372881356,0.5,0,0,0,0,0.181818181818182,0.818181818181818,0,1,2,3.05084745762712,0.5,5,9,13.728813559322,0.555555555555556,0,0,0,0,0,0,0,1,4,0,0,0,1,0.0909090909090909,0.545454545454545,0.363636363636364,0,1,1.52542372881356,0,2,6,9.15254237288136,0.333333333333333,4,4,6.10169491525424,1,0.75,5,9,13.728813559322,0.555555555555556,0,0.555555555555556,0.444444444444444,0,0,0,0,1,5,7.6271186440678,0.2,4,4,6.10169491525424,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.52542372881356,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10.6779661016949,5,2,0.714285714285714,1,0,1,1.52542372881356,1,1.52542372881356,22,0,5,7.6271186440678,4,1,1,1.52542372881356,0,1,1.52542372881356,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Killion","SBFC",1,95,1,0,1,0.947368421052632,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,49,46.421052631579,0.857142857142857,42,49,46.421052631579,0.857142857142857,26,30,28.4210526315789,0.866666666666667,0.612244897959184,0.510204081632653,0.26530612244898,0.224489795918367,18,25,23.6842105263158,0.72,13,13,12.3157894736842,1,11,11,10.4210526315789,1,0.0204081632653061,0.612244897959184,0.36734693877551,1,1,0.947368421052632,1,24,30,28.4210526315789,0.8,17,18,17.0526315789474,0.944444444444444,0.0204081632653061,0.612244897959184,0.36734693877551,1,1,0.947368421052632,1,24,30,28.4210526315789,0.8,17,18,17.0526315789474,0.944444444444444,8,9,0,3,18,3,0,0,1,0.510204081632653,0.26530612244898,0.224489795918367,18,25,23.6842105263158,0.72,13,13,12.3157894736842,1,11,11,10.4210526315789,1,0.612244897959184,26,30,28.4210526315789,0.866666666666667,0.466666666666667,0.3,0.233333333333333,10,14,13.2631578947368,0.714285714285714,9,9,8.52631578947368,1,7,7,6.63157894736842,1,0,0,0,0,0,0,0,2,3,2.84210526315789,0.0612244897959184,0.666666666666667,1,2,1.89473684210526,0.0408163265306122,0.0408163265306122,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.947368421052632,1,0,1,1,1,2,1.89473684210526,0,0,0,0,0,4,1,5,4.73684210526316,3,2.84210526315789,33,7,11,10.4210526315789,8,3,4,3.78947368421053,0,8,7.57894736842105,2,1.89473684210526,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Little","SRFC",1,95,1,0,1,0.947368421052632,1,1,0,0,0.116009775877333,1,1,0,1,0,0,0,0,0,1,0,1,0,0.947368421052632,0,0,0,0,0,0,0,0,0,51,55,52.1052631578947,0.927272727272727,47,50,47.3684210526316,0.94,34,37,35.0526315789474,0.918918918918919,0.74,0.290909090909091,0.272727272727273,0.436363636363636,15,16,15.1578947368421,0.9375,12,15,14.2105263157895,0.8,24,24,22.7368421052632,1,0.490909090909091,0.381818181818182,0.127272727272727,24,27,25.5789473684211,0.888888888888889,21,21,19.8947368421053,1,6,7,6.63157894736842,0.857142857142857,0.44,0.42,0.14,20,22,20.8421052631579,0.909090909090909,21,21,19.8947368421053,1,6,7,6.63157894736842,0.857142857142857,5,1,0,0,16,5,0,9,15,0.3,0.24,0.46,14,15,14.2105263157895,0.933333333333333,10,12,11.3684210526316,0.833333333333333,23,23,21.7894736842105,1,0.672727272727273,34,37,35.0526315789474,0.918918918918919,0.297297297297297,0.189189189189189,0.513513513513513,10,11,10.4210526315789,0.909090909090909,5,7,6.63157894736842,0.714285714285714,19,19,18,1,4,5,4.73684210526316,0.1,0.8,5,0,3,3,2.84210526315789,0.0545454545454545,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0.75,0,0,1,1,1,0,0,0,0,1,4,3.78947368421053,2,2,0.5,3,2,7,6.63157894736842,1,0.947368421052632,0,1,0,2,2,4,3.78947368421053,1,0.947368421052632,43,8,6,5.68421052631579,5,1,2,1.89473684210526,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
