"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Barnes","SRFC",1,94,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,31,29.6808510638298,0.806451612903226,25,29,27.7659574468085,0.862068965517241,21,23,22.0212765957447,0.91304347826087,0.793103448275862,0.451612903225806,0.290322580645161,0.258064516129032,11,14,13.4042553191489,0.785714285714286,6,9,8.61702127659574,0.666666666666667,8,8,7.65957446808511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482758620689655,0.241379310344828,0.275862068965517,11,14,13.4042553191489,0.785714285714286,6,7,6.70212765957447,0.857142857142857,8,8,7.65957446808511,1,0.741935483870968,21,23,22.0212765957447,0.91304347826087,0.478260869565217,0.217391304347826,0.304347826086957,10,11,10.531914893617,0.909090909090909,4,5,4.78723404255319,0.8,7,7,6.70212765957447,1,0,0,0,0,0,0,0,3,4,3.82978723404255,0.129032258064516,0.75,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.957446808510638,1,0,1,1,2,3,2.87234042553191,4,3.82978723404255,3,1,0.75,2,0,2,1.91489361702128,1,0.957446808510638,8,4,12,11.4893617021277,12,0,0,0,0,4,3.82978723404255,7,6.70212765957447,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dahlkemper","WNYF",1,94,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0,0,0,34,47,45,0.723404255319149,32,45,43.0851063829787,0.711111111111111,16,25,23.936170212766,0.64,0.555555555555556,0.617021276595745,0.25531914893617,0.127659574468085,17,29,27.7659574468085,0.586206896551724,11,12,11.4893617021277,0.916666666666667,6,6,5.74468085106383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622222222222222,0.244444444444444,0.133333333333333,16,28,26.8085106382979,0.571428571428571,10,11,10.531914893617,0.909090909090909,6,6,5.74468085106383,1,0.531914893617021,16,25,23.936170212766,0.64,0.6,0.24,0.16,6,15,14.3617021276596,0.4,6,6,5.74468085106383,1,4,4,3.82978723404255,1,0,1,0.957446808510638,0.0222222222222222,0,1,0,2,9,8.61702127659574,0.191489361702128,0.222222222222222,0,2,1.91489361702128,0.0425531914893617,0.0444444444444444,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0.957446808510638,1,0,1,1,2,3,2.87234042553191,2,1.91489361702128,2,0,1,1,0,1,0.957446808510638,0,0,7,3,16,15.3191489361702,14,1,3,2.87234042553191,0,1,0.957446808510638,6,5.74468085106383,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",1,76,1,0,1,1.18421052631579,1,0,1,0,"0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.18421052631579,0,0,1,0,0,0,0,15,22,26.0526315789474,0.681818181818182,15,22,26.0526315789474,0.681818181818182,12,17,20.1315789473684,0.705882352941177,0.772727272727273,0.454545454545455,0.227272727272727,0.318181818181818,6,10,11.8421052631579,0.6,2,5,5.92105263157895,0.4,7,7,8.28947368421053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545454545455,0.227272727272727,0.318181818181818,6,10,11.8421052631579,0.6,2,5,5.92105263157895,0.4,7,7,8.28947368421053,1,0.772727272727273,12,17,20.1315789473684,0.705882352941177,0.470588235294118,0.176470588235294,0.352941176470588,4,8,9.47368421052632,0.5,2,3,3.55263157894737,0.666666666666667,6,6,7.10526315789474,1,0,2,2.36842105263158,0.0909090909090909,0,2,0,1,2,2.36842105263158,0.0909090909090909,0.5,1,1,1.18421052631579,0.0454545454545455,0.0454545454545455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.55263157894737,2,1,0.666666666666667,1,0,2,2.36842105263158,1,1.18421052631579,0,1,0,0,0,0,0,1,1.18421052631579,35,2,8,9.47368421052632,4,4,3,3.55263157894737,0,1,1.18421052631579,1,1.18421052631579,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eddy","WNYF",1,94,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,1,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0,0,24,37,35.4255319148936,0.648648648648649,15,27,25.8510638297872,0.555555555555556,10,16,15.3191489361702,0.625,0.592592592592593,0.72972972972973,0.162162162162162,0.108108108108108,18,27,25.8510638297872,0.666666666666667,3,6,5.74468085106383,0.5,3,4,3.82978723404255,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62962962962963,0.222222222222222,0.148148148148148,9,17,16.2765957446809,0.529411764705882,3,6,5.74468085106383,0.5,3,4,3.82978723404255,0.75,0.432432432432432,10,16,15.3191489361702,0.625,0.5625,0.3125,0.125,5,9,8.61702127659574,0.555555555555556,3,5,4.78723404255319,0.6,2,2,1.91489361702128,1,0,4,3.82978723404255,0.148148148148148,0,2,2,2,3,2.87234042553191,0.0810810810810811,0.666666666666667,1,2,1.91489361702128,0.0540540540540541,0.0740740740740741,0.5,9,10,9.57446808510638,0.27027027027027,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.82978723404255,3,1,0.75,1,1,3,2.87234042553191,3,2.87234042553191,2,1,0.666666666666667,5,0,5,4.78723404255319,1,0.957446808510638,23,5,4,3.82978723404255,4,0,4,3.82978723404255,0,1,0.957446808510638,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elston","SRFC",1,17,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,1,0,0,0,5.29411764705882,0,0,0,0,0,0,0,0,0,5,6,31.7647058823529,0.833333333333333,5,6,31.7647058823529,0.833333333333333,4,5,26.4705882352941,0.8,0.833333333333333,0.5,0.333333333333333,0.166666666666667,2,3,15.8823529411765,0.666666666666667,2,2,10.5882352941176,1,1,1,5.29411764705882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333333333333,0.166666666666667,2,3,15.8823529411765,0.666666666666667,2,2,10.5882352941176,1,1,1,5.29411764705882,1,0.833333333333333,4,5,26.4705882352941,0.8,0.4,0.4,0.2,1,2,10.5882352941176,0.5,2,2,10.5882352941176,1,1,1,5.29411764705882,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10.5882352941176,0.333333333333333,0.333333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15.8823529411765,1,2,0.333333333333333,0,0,0,0,1,5.29411764705882,6,0,3,15.8823529411765,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","WNYF",1,94,1,0,2,1.91489361702128,0,0,0,2,"0",1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,30,28.7234042553191,0.766666666666667,22,29,27.7659574468085,0.758620689655172,16,19,18.1914893617021,0.842105263157895,0.655172413793103,0.5,0.233333333333333,0.266666666666667,9,15,14.3617021276596,0.6,6,7,6.70212765957447,0.857142857142857,8,8,7.65957446808511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517241379310345,0.206896551724138,0.275862068965517,9,15,14.3617021276596,0.6,5,6,5.74468085106383,0.833333333333333,8,8,7.65957446808511,1,0.633333333333333,16,19,18.1914893617021,0.842105263157895,0.473684210526316,0.210526315789474,0.315789473684211,7,9,8.61702127659574,0.777777777777778,3,4,3.82978723404255,0.75,6,6,5.74468085106383,1,0,0,0,0,0,0,0,0,2,1.91489361702128,0.0666666666666667,0,1,1,0.957446808510638,0.0333333333333333,0.0344827586206897,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2,3,5,4.78723404255319,12,11.4893617021277,5,7,0.416666666666667,1,0,1,0.957446808510638,3,2.87234042553191,50,1,16,15.3191489361702,12,4,3,2.87234042553191,0,3,2.87234042553191,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",1,94,1,0,2,1.91489361702128,0,0,0,2,"0",1,0.5,0,0,0,1,0,0,0,1,0,0,0,0.957446808510638,1,0.957446808510638,0,0,0,0,1,0,0,42,52,49.7872340425532,0.807692307692308,38,48,45.9574468085106,0.791666666666667,29,36,34.468085106383,0.805555555555556,0.75,0.692307692307692,0.211538461538462,0.0961538461538462,27,36,34.468085106383,0.75,11,11,10.531914893617,1,4,5,4.78723404255319,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708333333333333,0.208333333333333,0.0833333333333333,25,34,32.5531914893617,0.735294117647059,10,10,9.57446808510638,1,3,4,3.82978723404255,0.75,0.692307692307692,29,36,34.468085106383,0.805555555555556,0.694444444444444,0.194444444444444,0.111111111111111,19,25,23.936170212766,0.76,7,7,6.70212765957447,1,3,4,3.82978723404255,0.75,0,0,0,0,0,0,0,4,6,5.74468085106383,0.115384615384615,0.666666666666667,5,6,5.74468085106383,0.115384615384615,0.125,0.833333333333333,1,1,0.957446808510638,0.0192307692307692,1,0,0,0,0,0,3,3,1,0,0,0,0,3,3,2.87234042553191,3,0,1,4,2,6,5.74468085106383,8,7.65957446808511,5,3,0.625,4,0,4,3.82978723404255,1,0.957446808510638,33,5,16,15.3191489361702,11,4,8,7.65957446808511,0,6,5.74468085106383,5,4.78723404255319,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",1,94,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,28,26.8085106382979,0.928571428571429,24,26,24.8936170212766,0.923076923076923,18,19,18.1914893617021,0.947368421052632,0.730769230769231,0.714285714285714,0.25,0.0357142857142857,18,20,19.1489361702128,0.9,7,7,6.70212765957447,1,1,1,0.957446808510638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.730769230769231,0.230769230769231,0.0384615384615385,17,19,18.1914893617021,0.894736842105263,6,6,5.74468085106383,1,1,1,0.957446808510638,1,0.678571428571429,18,19,18.1914893617021,0.947368421052632,0.684210526315789,0.263157894736842,0.0526315789473684,12,13,12.4468085106383,0.923076923076923,5,5,4.78723404255319,1,1,1,0.957446808510638,1,0,0,0,0,0,0,0,8,8,7.65957446808511,0.285714285714286,1,1,1,0.957446808510638,0.0357142857142857,0.0384615384615385,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,1,0.957446808510638,1,0,1,0,1,1,0.957446808510638,4,3.82978723404255,2,2,0.5,0,1,1,0.957446808510638,0,0,5,4,11,10.531914893617,11,0,3,2.87234042553191,0,5,4.78723404255319,4,3.82978723404255,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hinkle","WNYF",1,94,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,56,53.6170212765957,0.607142857142857,24,39,37.3404255319149,0.615384615384615,20,29,27.7659574468085,0.689655172413793,0.743589743589744,0.625,0.285714285714286,0.0892857142857143,20,35,33.5106382978723,0.571428571428571,9,16,15.3191489361702,0.5625,5,5,4.78723404255319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692307692307692,0.230769230769231,0.0769230769230769,17,27,25.8510638297872,0.62962962962963,4,9,8.61702127659574,0.444444444444444,3,3,2.87234042553191,1,0.517857142857143,20,29,27.7659574468085,0.689655172413793,0.655172413793103,0.241379310344828,0.103448275862069,14,19,18.1914893617021,0.736842105263158,3,7,6.70212765957447,0.428571428571429,3,3,2.87234042553191,1,1,7,6.70212765957447,0.179487179487179,0.142857142857143,5,2,2,5,4.78723404255319,0.0892857142857143,0.4,2,3,2.87234042553191,0.0535714285714286,0.0769230769230769,0.666666666666667,4,7,6.70212765957447,0.125,0.571428571428571,4,6,0.666666666666667,0,0,2,4,0.5,0,0,0,0,4,9,8.61702127659574,7,2,0.777777777777778,3,1,6,5.74468085106383,1,0.957446808510638,1,0,1,2,0,2,1.91489361702128,0,0,23,3,14,13.4042553191489,10,4,7,6.70212765957447,0,1,0.957446808510638,2,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kawasumi","SRFC",1,94,1,0,2,1.91489361702128,0.5,1,0,1,"0",1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0.957446808510638,0,0,1,0,0,0,0,35,44,42.1276595744681,0.795454545454545,34,40,38.2978723404255,0.85,31,34,32.5531914893617,0.911764705882353,0.85,0.318181818181818,0.409090909090909,0.272727272727273,12,14,13.4042553191489,0.857142857142857,12,18,17.2340425531915,0.666666666666667,11,12,11.4893617021277,0.916666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.375,0.275,12,14,13.4042553191489,0.857142857142857,12,15,14.3617021276596,0.8,10,11,10.531914893617,0.909090909090909,0.772727272727273,31,34,32.5531914893617,0.911764705882353,0.323529411764706,0.382352941176471,0.294117647058824,11,11,10.531914893617,1,11,13,12.4468085106383,0.846153846153846,9,10,9.57446808510638,0.9,2,4,3.82978723404255,0.1,0.5,3,1,3,3,2.87234042553191,0.0681818181818182,1,1,1,0.957446808510638,0.0227272727272727,0.025,1,1,2,1.91489361702128,0.0454545454545455,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.957446808510638,0,1,0,4,1,6,5.74468085106383,3,2.87234042553191,1,2,0.333333333333333,3,0,3,2.87234042553191,7,6.70212765957447,31,3,9,8.61702127659574,7,2,0,0,0,2,1.91489361702128,1,0.957446808510638,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
