"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Barnes","SRFC",1,90,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,51,51,0.862745098039216,41,46,46,0.891304347826087,15,18,18,0.833333333333333,0.391304347826087,0.764705882352941,0.176470588235294,0.0588235294117647,34,39,39,0.871794871794872,7,9,9,0.777777777777778,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826086956521739,0.152173913043478,0.0217391304347826,33,38,38,0.868421052631579,7,7,7,1,1,1,1,1,0.352941176470588,15,18,18,0.833333333333333,0.833333333333333,0.166666666666667,0,12,15,15,0.8,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0392156862745098,0,0,0,0,0,0,0,2,2,2,0.0392156862745098,1,0,2,0,0,0,1,1,1,0,0,0,0,1,4,4,3,1,0.75,1,0,2,2,6,6,4,2,0.666666666666667,2,0,2,2,0,0,3,2,9,9,7,2,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallstream","SRFC",1,23,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,11.7391304347826,0.666666666666667,2,3,11.7391304347826,0.666666666666667,0,0,0,0,0,0,1,0,0,0,0,0,2,3,11.7391304347826,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,11.7391304347826,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.91304347826087,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.91304347826087,0,1,0,0,1,1,3.91304347826087,0,0,6,0,1,3.91304347826087,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","WAS",1,85,0,1,3,3.17647058823529,1,2,0,0,"0",2,0.666666666666667,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,25.4117647058824,0.625,14,23,24.3529411764706,0.608695652173913,12,18,19.0588235294118,0.666666666666667,0.782608695652174,0.5,0.125,0.375,5,12,12.7058823529412,0.416666666666667,2,3,3.17647058823529,0.666666666666667,8,9,9.52941176470588,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521739130434783,0.130434782608696,0.347826086956522,5,12,12.7058823529412,0.416666666666667,2,3,3.17647058823529,0.666666666666667,7,8,8.47058823529412,0.875,0.75,12,18,19.0588235294118,0.666666666666667,0.444444444444444,0.111111111111111,0.444444444444444,4,8,8.47058823529412,0.5,1,2,2.11764705882353,0.5,7,8,8.47058823529412,0.875,0,1,1.05882352941176,0.0434782608695652,0,1,0,0,1,1.05882352941176,0.0416666666666667,0,0,1,1.05882352941176,0.0416666666666667,0.0434782608695652,0,1,1,1.05882352941176,0.0416666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9.52941176470588,2,7,0.222222222222222,3,4,14,14.8235294117647,2,2.11764705882353,2,0,1,0,1,1,1.05882352941176,2,2.11764705882353,24,8,9,9.52941176470588,6,3,1,1.05882352941176,0,1,1.05882352941176,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dydasco","WAS",1,90,1,0,1,1,1,1,0,0,"0",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,34,34,0.764705882352941,22,29,29,0.758620689655172,13,15,15,0.866666666666667,0.517241379310345,0.470588235294118,0.352941176470588,0.176470588235294,9,16,16,0.5625,11,12,12,0.916666666666667,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482758620689655,0.310344827586207,0.206896551724138,8,14,14,0.571428571428571,8,9,9,0.888888888888889,6,6,6,1,0.441176470588235,13,15,15,0.866666666666667,0.333333333333333,0.333333333333333,0.333333333333333,4,5,5,0.8,4,5,5,0.8,5,5,5,1,0,1,1,0.0344827586206897,0,1,0,0,1,1,0.0294117647058824,0,0,0,0,0,0,0,4,4,4,0.117647058823529,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,1,1,0,1,0,1,3,4,4,2,2,10,1,11,11,8,3,4,4,0,4,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farquharson","WAS",1,6,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,30,1,2,2,30,1,0,0,0,0,0,0.5,0,0.5,1,1,15,1,0,0,0,0,1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,1,15,1,0,0,0,0,1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,1,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",1,90,1,0,3,3,0.333333333333333,1,0,2,"0",2,0.666666666666667,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,39,53,53,0.735849056603774,39,53,53,0.735849056603774,18,27,27,0.666666666666667,0.509433962264151,0.660377358490566,0.188679245283019,0.150943396226415,23,35,35,0.657142857142857,9,10,10,0.9,7,8,8,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.660377358490566,0.188679245283019,0.150943396226415,23,35,35,0.657142857142857,9,10,10,0.9,7,8,8,0.875,0.509433962264151,18,27,27,0.666666666666667,0.592592592592593,0.222222222222222,0.185185185185185,9,16,16,0.5625,5,6,6,0.833333333333333,4,5,5,0.8,0,1,1,0.0188679245283019,0,0,1,3,5,5,0.0943396226415094,0.6,0,2,2,0.0377358490566038,0.0377358490566038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,4,0,4,4,6,6,5,1,0.833333333333333,2,1,3,3,0,0,26,7,16,16,13,3,2,2,0,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",1,90,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,29,0.827586206896552,21,26,26,0.807692307692308,8,10,10,0.8,0.384615384615385,0.586206896551724,0.275862068965517,0.137931034482759,12,17,17,0.705882352941177,8,8,8,1,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615384615384615,0.230769230769231,0.153846153846154,11,16,16,0.6875,6,6,6,1,4,4,4,1,0.344827586206897,8,10,10,0.8,0.7,0,0.3,5,7,7,0.714285714285714,0,0,0,0,3,3,3,1,0,0,0,0,0,0,0,1,2,2,0.0689655172413793,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,3,0,0,0,0,0,1,0,1,1,7,7,6,1,0.857142857142857,1,2,3,3,0,0,1,4,7,7,4,3,2,2,0,3,3,9,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jensen","WAS",1,90,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,33,33,0.848484848484849,28,33,33,0.848484848484849,16,18,18,0.888888888888889,0.545454545454545,0.333333333333333,0.363636363636364,0.303030303030303,7,11,11,0.636363636363636,11,12,12,0.916666666666667,10,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.363636363636364,0.303030303030303,7,11,11,0.636363636363636,11,12,12,0.916666666666667,10,10,10,1,0.545454545454545,16,18,18,0.888888888888889,0.333333333333333,0.333333333333333,0.333333333333333,5,6,6,0.833333333333333,5,6,6,0.833333333333333,6,6,6,1,0,0,0,0,0,0,0,0,1,1,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,2,1,0.666666666666667,0,5,5,5,2,2,14,2,11,11,9,2,4,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson","WAS",1,90,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,23,0.869565217391304,20,23,23,0.869565217391304,14,15,15,0.933333333333333,0.652173913043478,0.608695652173913,0.217391304347826,0.173913043478261,11,14,14,0.785714285714286,5,5,5,1,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608695652173913,0.217391304347826,0.173913043478261,11,14,14,0.785714285714286,5,5,5,1,4,4,4,1,0.652173913043478,14,15,15,0.933333333333333,0.466666666666667,0.266666666666667,0.266666666666667,6,7,7,0.857142857142857,4,4,4,1,4,4,4,1,0,0,0,0,0,0,0,2,3,3,0.130434782608696,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,0.333333333333333,1,3,4,4,1,1,3,1,12,12,10,2,1,1,0,3,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kawasumi","SRFC",1,82,1,0,1,1.09756097560976,1,1,0,0,"0",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.09756097560976,0,0,1,0,0,0,0,21,32,35.1219512195122,0.65625,17,27,29.6341463414634,0.62962962962963,9,16,17.5609756097561,0.5625,0.592592592592593,0.3125,0.4375,0.25,4,10,10.9756097560976,0.4,9,14,15.3658536585366,0.642857142857143,8,8,8.78048780487805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.407407407407407,0.259259259259259,4,9,9.87804878048781,0.444444444444444,6,11,12.0731707317073,0.545454545454545,7,7,7.68292682926829,1,0.5,9,16,17.5609756097561,0.5625,0.375,0.375,0.25,3,6,6.58536585365854,0.5,2,6,6.58536585365854,0.333333333333333,4,4,4.39024390243902,1,0,4,4.39024390243902,0.148148148148148,0,4,0,0,1,1.09756097560976,0.03125,0,2,2,2.19512195121951,0.0625,0.0740740740740741,1,3,3,3.29268292682927,0.09375,1,1,1,1,0,0,0,1,0,0,0,0,0,1,3,3.29268292682927,1,2,0.333333333333333,5,0,7,7.68292682926829,0,0,0,0,0,0,0,0,0,0,0,24,0,10,10.9756097560976,5,5,0,0,0,1,1.09756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
