"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Alleway","ORL",1,95,1,0,1,0.947368421052632,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,45,42.6315789473684,0.755555555555556,31,41,38.8421052631579,0.75609756097561,10,12,11.3684210526316,0.833333333333333,0.292682926829268,0.622222222222222,0.288888888888889,0.0888888888888889,19,28,26.5263157894737,0.678571428571429,11,13,12.3157894736842,0.846153846153846,4,4,3.78947368421053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609756097560976,0.292682926829268,0.0975609756097561,17,25,23.6842105263158,0.68,10,12,11.3684210526316,0.833333333333333,4,4,3.78947368421053,1,0.266666666666667,10,12,11.3684210526316,0.833333333333333,0.666666666666667,0.25,0.0833333333333333,7,8,7.57894736842105,0.875,2,3,2.84210526315789,0.666666666666667,1,1,0.947368421052632,1,0,0,0,0,0,0,0,8,14,13.2631578947368,0.311111111111111,0.571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.75,0,0,1,0,5,0,0,0,0,0,0,0,0,0,7,6.63157894736842,3,4,0.428571428571429,2,0,2,1.89473684210526,5,4.73684210526316,5,1,4,3.78947368421053,3,1,0,0,0,3,2.84210526315789,9,8.52631578947368,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belanger","ORL",1,56,1,0,1,1.60714285714286,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,43.3928571428571,0.777777777777778,19,24,38.5714285714286,0.791666666666667,9,12,19.2857142857143,0.75,0.5,0.592592592592593,0.148148148148148,0.259259259259259,10,16,25.7142857142857,0.625,4,4,6.42857142857143,1,7,7,11.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.0833333333333333,0.291666666666667,10,15,24.1071428571429,0.666666666666667,2,2,3.21428571428571,1,7,7,11.25,1,0.444444444444444,9,12,19.2857142857143,0.75,0.666666666666667,0,0.333333333333333,5,8,12.8571428571429,0.625,0,0,0,0,4,4,6.42857142857143,1,1,2,3.21428571428571,0.0833333333333333,0.5,0,2,0,0,0,0,0,1,2,3.21428571428571,0.0740740740740741,0.0833333333333333,0.5,2,3,4.82142857142857,0.111111111111111,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.60714285714286,0,1,0,1,0,2,3.21428571428571,1,1.60714285714286,0,1,0,0,0,0,0,4,6.42857142857143,7,0,7,11.25,3,4,1,1.60714285714286,0,1,1.60714285714286,1,1.60714285714286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkenroad","ORL",1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,18,1,2,2,18,1,1,1,9,1,0.5,0.5,0.5,0,1,1,9,1,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,1,9,1,1,1,9,1,0,0,0,0,0.5,1,1,9,1,0,1,0,0,0,0,0,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catley","ORL",1,95,1,0,1,0.947368421052632,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,48,45.4736842105263,0.833333333333333,30,35,33.1578947368421,0.857142857142857,17,19,18,0.894736842105263,0.542857142857143,0.479166666666667,0.333333333333333,0.1875,16,23,21.7894736842105,0.695652173913043,16,16,15.1578947368421,1,8,9,8.52631578947368,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457142857142857,0.314285714285714,0.228571428571429,12,16,15.1578947368421,0.75,11,11,10.4210526315789,1,7,8,7.57894736842105,0.875,0.395833333333333,17,19,18,0.894736842105263,0.368421052631579,0.368421052631579,0.263157894736842,5,7,6.63157894736842,0.714285714285714,7,7,6.63157894736842,1,5,5,4.73684210526316,1,3,4,3.78947368421053,0.114285714285714,0.75,3,1,0,0,0,0,0,0,0,0,0,0,0,8,8,7.57894736842105,0.166666666666667,1,1,1,1,0,0,1,4,0.25,0,0,1,0,5,2,1.89473684210526,2,0,1,0,1,1,0.947368421052632,3,2.84210526315789,2,1,0.666666666666667,1,0,1,0.947368421052632,1,0.947368421052632,9,1,15,14.2105263157895,8,7,0,0,0,2,1.89473684210526,4,3.78947368421053,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dahlkemper","WNYF",1,95,1,0,1,0.947368421052632,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,21.7894736842105,0.826086956521739,16,19,18,0.842105263157895,5,5,4.73684210526316,1,0.263157894736842,0.739130434782609,0.173913043478261,0.0869565217391304,14,17,16.1052631578947,0.823529411764706,3,4,3.78947368421053,0.75,2,2,1.89473684210526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736842105263158,0.157894736842105,0.105263157894737,11,14,13.2631578947368,0.785714285714286,3,3,2.84210526315789,1,2,2,1.89473684210526,1,0.217391304347826,5,5,4.73684210526316,1,0.6,0.4,0,3,3,2.84210526315789,1,2,2,1.89473684210526,1,0,0,0,0,0,1,0.947368421052632,0.0526315789473684,0,0,1,3,4,3.78947368421053,0.173913043478261,0.75,1,1,0.947368421052632,0.0434782608695652,0.0526315789473684,1,0,0,0,0,0,0,1,0,0,0,3,3,1,0,0,1,0,4,1,0.947368421052632,1,0,1,0,0,0,0,2,1.89473684210526,1,1,0.5,2,0,2,1.89473684210526,0,0,6,1,6,5.68421052631579,4,2,3,2.84210526315789,0,4,3.78947368421053,8,7.57894736842105,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",1,70,1,1,1,1.28571428571429,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.28571428571429,1,1,0,0,0,0,0,11,14,18,0.785714285714286,11,14,18,0.785714285714286,7,10,12.8571428571429,0.7,0.714285714285714,0.428571428571429,0.285714285714286,0.285714285714286,3,6,7.71428571428571,0.5,4,4,5.14285714285714,1,4,4,5.14285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,0.285714285714286,0.285714285714286,3,6,7.71428571428571,0.5,4,4,5.14285714285714,1,4,4,5.14285714285714,1,0.714285714285714,7,10,12.8571428571429,0.7,0.5,0.2,0.3,2,5,6.42857142857143,0.4,2,2,2.57142857142857,1,3,3,3.85714285714286,1,1,1,1.28571428571429,0.0714285714285714,1,1,0,0,0,0,0,0,1,2,2.57142857142857,0.142857142857143,0.142857142857143,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.57142857142857,2,0,1,4,2,6,7.71428571428571,2,2.57142857142857,1,1,0.5,0,0,0,0,0,0,13,0,2,2.57142857142857,0,2,1,1.28571428571429,0,3,3.85714285714286,1,1.28571428571429,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eckerstrom","WNYF",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,17.0526315789474,0.666666666666667,9,14,13.2631578947368,0.642857142857143,0,1,0.947368421052632,0,0.0714285714285714,1,0,0,12,18,17.0526315789474,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,6,5.68421052631579,0.666666666666667,0,0,0,0,0,0,0,0,0.0555555555555556,0,1,0.947368421052632,0,1,0,0,0,1,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,14.2105263157895,0.833333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.947368421052632,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,2,2,0,0,2,1,1,0.5,4,1,1,2,0,1,1,0,0,0,0,3,0,3,0,0,12,18,0.666666666666667,1,1,1,1,1,1,6,10,0.6
"Eddy","WNYF",1,95,1,0,1,0.947368421052632,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,28.4210526315789,0.8,18,22,20.8421052631579,0.818181818181818,12,15,14.2105263157895,0.8,0.681818181818182,0.666666666666667,0.233333333333333,0.1,16,20,18.9473684210526,0.8,6,7,6.63157894736842,0.857142857142857,2,3,2.84210526315789,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590909090909091,0.318181818181818,0.0909090909090909,11,13,12.3157894736842,0.846153846153846,6,7,6.63157894736842,0.857142857142857,1,2,1.89473684210526,0.5,0.5,12,15,14.2105263157895,0.8,0.666666666666667,0.333333333333333,0,8,10,9.47368421052632,0.8,4,5,4.73684210526316,0.8,0,0,0,0,4,4,3.78947368421053,0.181818181818182,1,3,1,2,3,2.84210526315789,0.1,0.666666666666667,0,0,0,0,0,0,6,8,7.57894736842105,0.266666666666667,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.89473684210526,1,1,0.5,2,1,4,3.78947368421053,2,1.89473684210526,0,2,0,1,0,1,0.947368421052632,2,1.89473684210526,27,3,8,7.57894736842105,3,5,1,0.947368421052632,0,2,1.89473684210526,2,1.89473684210526,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edmonds","ORL",1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.625,0,0,0,0,0,0,0,0,0,37,40,225,0.925,31,34,191.25,0.911764705882353,19,19,106.875,1,0.558823529411765,0.325,0.325,0.35,12,13,73.125,0.923076923076923,11,13,73.125,0.846153846153846,14,14,78.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352941176470588,0.323529411764706,0.323529411764706,11,12,67.5,0.916666666666667,9,11,61.875,0.818181818181818,11,11,61.875,1,0.475,19,19,106.875,1,0.210526315789474,0.263157894736842,0.526315789473684,4,4,22.5,1,5,5,28.125,1,10,10,56.25,1,3,4,22.5,0.117647058823529,0.75,2,2,0,0,0,0,0,1,1,5.625,0.025,0.0294117647058824,1,5,5,28.125,0.125,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,22.5,3,1,0.75,1,0,2,11.25,1,5.625,0,1,0,0,1,1,5.625,0,0,11,0,4,22.5,3,1,4,22.5,0,1,5.625,2,11.25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","WNYF",1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,23.8775510204082,0.769230769230769,10,13,23.8775510204082,0.769230769230769,2,4,7.3469387755102,0.5,0.307692307692308,0.538461538461538,0.230769230769231,0.230769230769231,5,7,12.8571428571429,0.714285714285714,2,3,5.51020408163265,0.666666666666667,3,3,5.51020408163265,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538461538461538,0.230769230769231,0.230769230769231,5,7,12.8571428571429,0.714285714285714,2,3,5.51020408163265,0.666666666666667,3,3,5.51020408163265,1,0.307692307692308,2,4,7.3469387755102,0.5,0.5,0.25,0.25,1,2,3.6734693877551,0.5,0,1,1.83673469387755,0,1,1,1.83673469387755,1,0,1,1.83673469387755,0.0769230769230769,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7.3469387755102,2,2,0.5,1,0,3,5.51020408163265,3,5.51020408163265,2,1,0.666666666666667,0,0,0,0,1,1.83673469387755,17,4,6,11.0204081632653,3,3,4,7.3469387755102,0,2,3.6734693877551,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
