"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Conheeney","SBFC",1,89,1,0,1,1.01123595505618,0,0,0,1,"0",0,0,0,0,0,1,0,0,0,1,0,0,0,1.01123595505618,0,0,0,0,0,0,0,0,0,40,44,44.4943820224719,0.909090909090909,40,44,44.4943820224719,0.909090909090909,26,30,30.3370786516854,0.866666666666667,0.681818181818182,0.318181818181818,0.340909090909091,0.340909090909091,11,14,14.1573033707865,0.785714285714286,15,15,15.1685393258427,1,14,15,15.1685393258427,0.933333333333333,0.25,0.659090909090909,0.0909090909090909,10,11,11.123595505618,0.909090909090909,26,29,29.3258426966292,0.896551724137931,4,4,4.04494382022472,1,0.25,0.659090909090909,0.0909090909090909,10,11,11.123595505618,0.909090909090909,26,29,29.3258426966292,0.896551724137931,4,4,4.04494382022472,1,3,0,1,1,19,6,1,1,8,0.318181818181818,0.340909090909091,0.340909090909091,11,14,14.1573033707865,0.785714285714286,15,15,15.1685393258427,1,14,15,15.1685393258427,0.933333333333333,0.681818181818182,26,30,30.3370786516854,0.866666666666667,0.333333333333333,0.4,0.266666666666667,7,10,10.1123595505618,0.7,12,12,12.1348314606742,1,7,8,8.08988764044944,0.875,0,0,0,0,0,0,0,2,3,3.03370786516854,0.0681818181818182,0.666666666666667,4,6,6.06741573033708,0.136363636363636,0.136363636363636,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.01123595505618,1,0,1,1,1,2,2.02247191011236,5,5.0561797752809,0,5,0,3,1,4,4.04494382022472,2,2.02247191011236,44,7,8,8.08988764044944,5,3,1,1.01123595505618,0,1,1.01123595505618,1,1.01123595505618,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D'Angelo","WNYF",1,89,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,45,45.5056179775281,0.688888888888889,26,38,38.4269662921348,0.684210526315789,0,3,3.03370786516854,0,0.0789473684210526,0.911111111111111,0.0888888888888889,0,27,41,41.4606741573034,0.658536585365854,4,4,4.04494382022472,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,45,45.5056179775281,0.688888888888889,0,0,1,0,0,0,0,0,0,0,0,26,38,38.4269662921348,0.684210526315789,21,10,0,0,0,0,0,0,0,0.928571428571429,0.0714285714285714,0,18,26,26.2921348314607,0.692307692307692,2,2,2.02247191011236,1,0,0,0,0,0.0666666666666667,0,3,3.03370786516854,0,1,0,0,0,3,3.03370786516854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,19.2134831460674,0.422222222222222,0.368421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.75,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.04494382022472,4,0,0,0,0,0,0,1,1.01123595505618,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,0.4,1,1,0,0,1,1,0,1,7,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,31,45,0.688888888888889,2,3,0.666666666666667,0,0,0,9,14,0.642857142857143
"Dahlkemper","WNYF",1,89,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,59,59.6629213483146,0.932203389830508,53,57,57.6404494382022,0.929824561403509,19,20,20.2247191011236,0.95,0.350877192982456,0.610169491525424,0.220338983050847,0.169491525423729,32,36,36.4044943820225,0.888888888888889,13,13,13.1460674157303,1,10,10,10.1123595505618,1,0.0847457627118644,0.457627118644068,0.457627118644068,5,5,5.0561797752809,1,25,27,27.3033707865169,0.925925925925926,25,27,27.3033707865169,0.925925925925926,0.0526315789473684,0.473684210526316,0.473684210526316,3,3,3.03370786516854,1,25,27,27.3033707865169,0.925925925925926,25,27,27.3033707865169,0.925925925925926,14,11,0,2,15,8,1,0,4,0.631578947368421,0.192982456140351,0.175438596491228,32,36,36.4044943820225,0.888888888888889,11,11,11.123595505618,1,10,10,10.1123595505618,1,0.338983050847458,19,20,20.2247191011236,0.95,0.65,0.15,0.2,12,13,13.1460674157303,0.923076923076923,3,3,3.03370786516854,1,4,4,4.04494382022472,1,1,1,1.01123595505618,0.0175438596491228,1,1,0,9,10,10.1123595505618,0.169491525423729,0.9,4,4,4.04494382022472,0.0677966101694915,0.0701754385964912,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.01123595505618,5,5.0561797752809,1,4,0.2,0,0,0,0,2,2.02247191011236,7,1,11,11.123595505618,10,1,0,0,0,1,1.01123595505618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DeCesare","SBFC",1,30,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,21,0.857142857142857,6,7,21,0.857142857142857,6,6,18,1,0.857142857142857,0.285714285714286,0,0.714285714285714,1,2,6,0.5,0,0,0,0,5,5,15,1,0.428571428571429,0.428571428571429,0.142857142857143,2,3,9,0.666666666666667,3,3,9,1,1,1,3,1,0.428571428571429,0.428571428571429,0.142857142857143,2,3,9,0.666666666666667,3,3,9,1,1,1,3,1,1,0,0,1,1,1,0,0,2,0.285714285714286,0,0.714285714285714,1,2,6,0.5,0,0,0,0,5,5,15,1,0.857142857142857,6,6,18,1,0.166666666666667,0,0.833333333333333,1,1,3,1,0,0,0,0,5,5,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,1,0.5,1,0,1,3,0,0,11,2,1,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",1,72,1,0,1,1.25,0,0,0,1,"0",1,1,1,0,0,0,0,0,1,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,15,24,30,0.625,15,24,30,0.625,14,19,23.75,0.736842105263158,0.791666666666667,0.333333333333333,0.375,0.291666666666667,3,8,10,0.375,5,9,11.25,0.555555555555556,7,7,8.75,1,0.625,0.25,0.125,9,15,18.75,0.6,4,6,7.5,0.666666666666667,2,3,3.75,0.666666666666667,0.625,0.25,0.125,9,15,18.75,0.6,4,6,7.5,0.666666666666667,2,3,3.75,0.666666666666667,1,1,0,1,2,1,0,2,7,0.333333333333333,0.375,0.291666666666667,3,8,10,0.375,5,9,11.25,0.555555555555556,7,7,8.75,1,0.791666666666667,14,19,23.75,0.736842105263158,0.263157894736842,0.368421052631579,0.368421052631579,3,5,6.25,0.6,4,7,8.75,0.571428571428571,7,7,8.75,1,4,7,8.75,0.291666666666667,0.571428571428571,7,0,0,1,1.25,0.0416666666666667,0,1,3,3.75,0.125,0.125,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,2,0.5,2,0,4,5,2,2.5,0,2,0,0,0,0,0,0,0,23,4,11,13.75,7,4,1,1.25,0,1,1.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eddy","WNYF",1,89,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,38,38.4269662921348,0.789473684210526,26,34,34.3820224719101,0.764705882352941,11,15,15.1685393258427,0.733333333333333,0.441176470588235,0.552631578947368,0.184210526315789,0.263157894736842,15,21,21.2359550561798,0.714285714285714,6,7,7.07865168539326,0.857142857142857,9,10,10.1123595505618,0.9,0.131578947368421,0.657894736842105,0.210526315789474,4,5,5.0561797752809,0.8,20,25,25.2808988764045,0.8,6,8,8.08988764044944,0.75,0.0882352941176471,0.676470588235294,0.235294117647059,2,3,3.03370786516854,0.666666666666667,18,23,23.2584269662921,0.782608695652174,6,8,8.08988764044944,0.75,2,2,2,4,11,5,1,0,3,0.558823529411765,0.205882352941176,0.235294117647059,13,19,19.2134831460674,0.684210526315789,6,7,7.07865168539326,0.857142857142857,7,8,8.08988764044944,0.875,0.394736842105263,11,15,15.1685393258427,0.733333333333333,0.533333333333333,0.266666666666667,0.2,5,8,8.08988764044944,0.625,3,4,4.04494382022472,0.75,3,3,3.03370786516854,1,1,1,1.01123595505618,0.0294117647058824,1,1,0,2,7,7.07865168539326,0.184210526315789,0.285714285714286,1,2,2.02247191011236,0.0526315789473684,0.0588235294117647,0.5,3,3,3.03370786516854,0.0789473684210526,1,0,0,0,0,0,1,1,1,0,0,0,0,1,8,8.08988764044944,3,5,0.375,3,1,9,9.10112359550562,0,0,0,0,0,3,0,3,3.03370786516854,1,1.01123595505618,16,2,7,7.07865168539326,5,2,1,1.01123595505618,0,2,2.02247191011236,6,6.06741573033708,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galton","SBFC",1,45,0,0,1,2,1,1,0,0,"0",0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,2,0,0,1,0,0,0,0,10,17,34,0.588235294117647,10,17,34,0.588235294117647,9,16,32,0.5625,0.941176470588235,0.294117647058824,0.705882352941177,0,4,5,10,0.8,6,12,24,0.5,0,0,0,0,0.764705882352941,0.235294117647059,0,8,13,26,0.615384615384615,2,4,8,0.5,0,0,0,0,0.764705882352941,0.235294117647059,0,8,13,26,0.615384615384615,2,4,8,0.5,0,0,0,0,0,0,0,0,1,1,0,0,8,0.294117647058824,0.705882352941177,0,4,5,10,0.8,6,12,24,0.5,0,0,0,0,0.941176470588235,9,16,32,0.5625,0.25,0.75,0,3,4,8,0.75,6,12,24,0.5,0,0,0,0,0,2,4,0.117647058823529,0,2,0,0,0,0,0,0,1,1,2,0.0588235294117647,0.0588235294117647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,4,1,0.8,3,0,4,8,4,8,2,2,0.5,0,0,0,0,0,0,20,1,2,4,1,1,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordon","SBFC",1,67,0,0,2,2.6865671641791,0.5,1,0,1,"0",2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,49,65.8208955223881,0.755102040816326,36,48,64.4776119402985,0.75,24,28,37.6119402985075,0.857142857142857,0.583333333333333,0.469387755102041,0.306122448979592,0.224489795918367,15,23,30.8955223880597,0.652173913043478,13,15,20.1492537313433,0.866666666666667,9,11,14.7761194029851,0.818181818181818,0.204081632653061,0.653061224489796,0.142857142857143,5,10,13.4328358208955,0.5,26,32,42.9850746268657,0.8125,6,7,9.40298507462687,0.857142857142857,0.1875,0.666666666666667,0.145833333333333,4,9,12.089552238806,0.444444444444444,26,32,42.9850746268657,0.8125,6,7,9.40298507462687,0.857142857142857,5,1,0,0,23,3,1,1,3,0.479166666666667,0.3125,0.208333333333333,15,23,30.8955223880597,0.652173913043478,13,15,20.1492537313433,0.866666666666667,8,10,13.4328358208955,0.8,0.571428571428571,24,28,37.6119402985075,0.857142857142857,0.392857142857143,0.321428571428571,0.285714285714286,8,11,14.7761194029851,0.727272727272727,9,9,12.089552238806,1,7,8,10.7462686567164,0.875,0,0,0,0,0,0,0,1,2,2.6865671641791,0.0408163265306122,0.5,2,7,9.40298507462687,0.142857142857143,0.145833333333333,0.285714285714286,1,1,1.34328358208955,0.0204081632653061,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.34328358208955,1,0,1,2,2,4,5.37313432835821,3,4.02985074626866,1,2,0.333333333333333,1,0,1,1.34328358208955,2,2.6865671641791,20,1,11,14.7761194029851,9,2,6,8.05970149253731,0,1,1.34328358208955,1,1.34328358208955,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hahn","WNYF",1,89,1,1,1,1.01123595505618,1,0,0,0,"0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.01123595505618,1,1,0,0,0,0,0,26,31,31.3483146067416,0.838709677419355,26,31,31.3483146067416,0.838709677419355,19,22,22.247191011236,0.863636363636364,0.709677419354839,0.483870967741935,0.290322580645161,0.225806451612903,10,15,15.1685393258427,0.666666666666667,9,9,9.10112359550562,1,7,7,7.07865168539326,1,0.161290322580645,0.645161290322581,0.193548387096774,3,5,5.0561797752809,0.6,18,20,20.2247191011236,0.9,5,6,6.06741573033708,0.833333333333333,0.161290322580645,0.645161290322581,0.193548387096774,3,5,5.0561797752809,0.6,18,20,20.2247191011236,0.9,5,6,6.06741573033708,0.833333333333333,2,3,0,2,14,2,0,1,2,0.483870967741935,0.290322580645161,0.225806451612903,10,15,15.1685393258427,0.666666666666667,9,9,9.10112359550562,1,7,7,7.07865168539326,1,0.709677419354839,19,22,22.247191011236,0.863636363636364,0.363636363636364,0.363636363636364,0.272727272727273,5,8,8.08988764044944,0.625,8,8,8.08988764044944,1,6,6,6.06741573033708,1,0,0,0,0,0,0,0,1,5,5.0561797752809,0.161290322580645,0.2,1,1,1.01123595505618,0.032258064516129,0.032258064516129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3.03370786516854,2,2.02247191011236,1,1,0.5,1,1,2,2.02247191011236,1,1.01123595505618,35,4,10,10.1123595505618,7,3,5,5.0561797752809,0,1,1.01123595505618,3,3.03370786516854,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamilton","WNYF",1,11,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.18181818181818,1,1,1,8.18181818181818,1,1,1,8.18181818181818,1,1,1,0,0,1,1,8.18181818181818,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,8.18181818181818,1,0,0,0,0,0,1,0,0,0,0,0,1,1,8.18181818181818,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,8.18181818181818,1,0,0,0,0,0,0,0,0,1,1,1,8.18181818181818,1,1,0,0,1,1,8.18181818181818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.18181818181818,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.18181818181818,0,1,0,0,0,1,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,13,0,1,8.18181818181818,0,1,0,0,0,1,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
