"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","no","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"A. Scott","ENG",1,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.26760563380282,0,0,0,1,0,0,0,26,34,43.0985915492958,0.764705882352941,23,30,38.0281690140845,0.766666666666667,4,7,8.87323943661972,0.571428571428571,0.233333333333333,0.676470588235294,0.235294117647059,0.0882352941176471,17,23,29.1549295774648,0.739130434782609,6,8,10.1408450704225,0.75,3,3,3.80281690140845,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.233333333333333,0.1,15,20,25.3521126760563,0.75,5,7,8.87323943661972,0.714285714285714,3,3,3.80281690140845,1,0.205882352941176,4,7,8.87323943661972,0.571428571428571,0.571428571428571,0.428571428571429,0,2,4,5.07042253521127,0.5,2,3,3.80281690140845,0.666666666666667,0,0,0,0,0,2,2.53521126760563,0.0666666666666667,0,2,0,1,1,1.26760563380282,0.0294117647058824,1,10,11,13.943661971831,0.323529411764706,0.366666666666667,0.909090909090909,3,4,5.07042253521127,0.117647058823529,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.53521126760563,1,1,0.5,0,1,2,2.53521126760563,6,7.6056338028169,4,2,0.666666666666667,5,1,6,7.6056338028169,1,1.26760563380282,5,2,9,11.4084507042254,4,5,2,2.53521126760563,0,0,0,6,7.6056338028169,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abily","FRA",1,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.15384615384615,0,0,0,0,0,0,0,0,0,28,37,42.6923076923077,0.756756756756757,28,37,42.6923076923077,0.756756756756757,12,15,17.3076923076923,0.8,0.405405405405405,0.621621621621622,0.216216216216216,0.162162162162162,14,23,26.5384615384615,0.608695652173913,8,8,9.23076923076923,1,6,6,6.92307692307692,1,0,1,0,0,0,0,0,1,1,1.15384615384615,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1.15384615384615,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.621621621621622,0.216216216216216,0.162162162162162,14,23,26.5384615384615,0.608695652173913,8,8,9.23076923076923,1,6,6,6.92307692307692,1,0.405405405405405,12,15,17.3076923076923,0.8,0.466666666666667,0.266666666666667,0.266666666666667,4,7,8.07692307692308,0.571428571428571,4,4,4.61538461538461,1,4,4,4.61538461538461,1,0,0,0,0,0,0,0,4,7,8.07692307692308,0.189189189189189,0.571428571428571,1,2,2.30769230769231,0.0540540540540541,0.0540540540540541,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.46153846153846,3,0,1,2,5,7,8.07692307692308,10,11.5384615384615,5,5,0.5,1,0,1,1.15384615384615,1,1.15384615384615,20,7,11,12.6923076923077,6,5,2,2.30769230769231,0,3,3.46153846153846,1,1.15384615384615,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aluko","ENG",1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,26.0526315789474,0.545454545454545,6,11,26.0526315789474,0.545454545454545,4,6,14.2105263157895,0.666666666666667,0.545454545454545,0.363636363636364,0.363636363636364,0.272727272727273,0,4,9.47368421052632,0,3,4,9.47368421052632,0.75,3,3,7.10526315789474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363636363636364,0.363636363636364,0.272727272727273,0,4,9.47368421052632,0,3,4,9.47368421052632,0.75,3,3,7.10526315789474,1,0.545454545454545,4,6,14.2105263157895,0.666666666666667,0.166666666666667,0.5,0.333333333333333,0,1,2.36842105263158,0,2,3,7.10526315789474,0.666666666666667,2,2,4.73684210526316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.73684210526316,0.181818181818182,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.36842105263158,0,1,0,0,0,1,2.36842105263158,3,7.10526315789474,1,2,0.333333333333333,0,0,0,0,1,2.36842105263158,9,1,3,7.10526315789474,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asseyi","FRA",1,8,0,0,1,11.25,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11.25,1,1,1,11.25,1,0,0,0,0,0,1,0,0,1,1,11.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,11.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22.5,1,1,0.5,0,0,0,0,0,0,1,1,1,11.25,0,1,0,0,0,2,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bardsley","ENG",1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,24.6315789473684,0.307692307692308,7,21,19.8947368421053,0.333333333333333,0,2,1.89473684210526,0,0.0952380952380952,1,0,0,8,26,24.6315789473684,0.307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,11,10.4210526315789,0.454545454545455,0,0,0,0,0,0,0,0,0.0769230769230769,0,2,1.89473684210526,0,1,0,0,0,2,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,22.7368421052632,0.923076923076923,0.291666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.89473684210526,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,4,0,2,2,0,0,2,2,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,26,0.307692307692308,0,0,0,0,3,0,3,12,0.25
"Bathy","FRA",1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,27,0.833333333333333,10,12,27,0.833333333333333,5,6,13.5,0.833333333333333,0.5,0.5,0.0833333333333333,0.416666666666667,4,6,13.5,0.666666666666667,1,1,2.25,1,5,5,11.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0833333333333333,0.416666666666667,4,6,13.5,0.666666666666667,1,1,2.25,1,5,5,11.25,1,0.5,5,6,13.5,0.833333333333333,0.666666666666667,0,0.333333333333333,3,4,9,0.75,0,0,0,0,2,2,4.5,1,0,0,0,0,0,0,0,3,3,6.75,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.25,1,0,1,0,0,0,0,6,13.5,5,1,0.833333333333333,0,0,0,0,0,0,5,3,4,9,4,0,2,4.5,0,2,4.5,5,11.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bronze","ENG",1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,37.5,0.6,2,4,15,0.5,2,3,11.25,0.666666666666667,0.75,0.7,0.1,0.2,4,7,26.25,0.571428571428571,0,1,3.75,0,2,2,7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.25,1,3,11.25,0.333333333333333,0,0,0,0,1,1,3.75,1,0.3,2,3,11.25,0.666666666666667,0.666666666666667,0,0.333333333333333,1,2,7.5,0.5,0,0,0,0,1,1,3.75,1,0,1,3.75,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,6,22.5,0.6,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.5,1,1,0.5,0,1,2,7.5,1,3.75,1,0,1,0,0,0,0,0,0,2,2,2,7.5,1,1,1,3.75,0,1,3.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bussaglia","FRA",1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,31.7647058823529,0.666666666666667,4,6,31.7647058823529,0.666666666666667,2,3,15.8823529411765,0.666666666666667,0.5,0.666666666666667,0.166666666666667,0.166666666666667,2,4,21.1764705882353,0.5,1,1,5.29411764705882,1,1,1,5.29411764705882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.166666666666667,0.166666666666667,2,4,21.1764705882353,0.5,1,1,5.29411764705882,1,1,1,5.29411764705882,1,0.5,2,3,15.8823529411765,0.666666666666667,0.666666666666667,0.333333333333333,0,1,2,10.5882352941176,0.5,1,1,5.29411764705882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.5882352941176,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5.29411764705882,3,15.8823529411765,0,3,0,1,0,1,5.29411764705882,0,0,2,3,2,10.5882352941176,2,0,0,0,0,2,10.5882352941176,1,5.29411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carney","ENG",1,23,0,0,2,7.82608695652174,0,0,0,2,0,1,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,74.3478260869565,0.368421052631579,5,16,62.6086956521739,0.3125,1,5,19.5652173913043,0.2,0.3125,0.789473684210526,0.157894736842105,0.0526315789473684,4,15,58.695652173913,0.266666666666667,2,3,11.7391304347826,0.666666666666667,1,1,3.91304347826087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0.0625,0.0625,4,14,54.7826086956522,0.285714285714286,0,1,3.91304347826087,0,1,1,3.91304347826087,1,0.263157894736842,1,5,19.5652173913043,0.2,1,0,0,1,5,19.5652173913043,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11.7391304347826,0.157894736842105,0,0,3,11.7391304347826,0.157894736842105,0.1875,0,2,3,11.7391304347826,0.157894736842105,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23.4782608695652,4,2,0.666666666666667,3,2,7,27.3913043478261,0,0,0,0,0,0,0,0,0,0,0,2,2,3,11.7391304347826,1,2,2,7.82608695652174,0,1,3.91304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chapman","ENG",1,95,1,0,1,0.947368421052632,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,45,42.6315789473684,0.666666666666667,30,45,42.6315789473684,0.666666666666667,10,16,15.1578947368421,0.625,0.355555555555556,0.644444444444444,0.177777777777778,0.177777777777778,17,29,27.4736842105263,0.586206896551724,5,8,7.57894736842105,0.625,8,8,7.57894736842105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644444444444444,0.177777777777778,0.177777777777778,17,29,27.4736842105263,0.586206896551724,5,8,7.57894736842105,0.625,8,8,7.57894736842105,1,0.355555555555556,10,16,15.1578947368421,0.625,0.5625,0.25,0.1875,6,9,8.52631578947368,0.666666666666667,1,4,3.78947368421053,0.25,3,3,2.84210526315789,1,0,1,0.947368421052632,0.0222222222222222,0,1,0,2,4,3.78947368421053,0.0888888888888889,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,6.63157894736842,14,13.2631578947368,5,9,0.357142857142857,6,1,7,6.63157894736842,2,1.89473684210526,18,7,23,21.7894736842105,16,7,4,3.78947368421053,0,4,3.78947368421053,4,3.78947368421053,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
