"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","no","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Bartusiak","GER",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,21.5625,0.826086956521739,19,23,21.5625,0.826086956521739,6,7,6.5625,0.857142857142857,0.304347826086957,0.739130434782609,0.217391304347826,0.0434782608695652,13,17,15.9375,0.764705882352941,5,5,4.6875,1,1,1,0.9375,1,0,0.826086956521739,0.173913043478261,0,0,0,0,15,19,17.8125,0.789473684210526,4,4,3.75,1,0,0.826086956521739,0.173913043478261,0,0,0,0,15,19,17.8125,0.789473684210526,4,4,3.75,1,2,2,0,0,14,1,0,0,0,0.739130434782609,0.217391304347826,0.0434782608695652,13,17,15.9375,0.764705882352941,5,5,4.6875,1,1,1,0.9375,1,0.304347826086957,6,7,6.5625,0.857142857142857,0.571428571428571,0.428571428571429,0,3,4,3.75,0.75,3,3,2.8125,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2.8125,0.130434782608696,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.9375,5,4.6875,1,4,0.2,2,0,2,1.875,3,2.8125,7,6,3,2.8125,2,1,1,0.9375,0,3,2.8125,7,6.5625,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Behringer","GER",1,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,41,49.2,0.780487804878049,27,34,40.8,0.794117647058823,17,23,27.6,0.739130434782609,0.676470588235294,0.439024390243902,0.365853658536585,0.195121951219512,12,18,21.6,0.666666666666667,13,15,18,0.866666666666667,7,8,9.6,0.875,0.365853658536585,0.585365853658537,0.0487804878048781,12,15,18,0.8,18,24,28.8,0.75,2,2,2.4,1,0.264705882352941,0.676470588235294,0.0588235294117647,7,9,10.8,0.777777777777778,18,23,27.6,0.782608695652174,2,2,2.4,1,1,1,0,1,14,3,0,1,11,0.5,0.294117647058824,0.205882352941176,12,17,20.4,0.705882352941177,9,10,12,0.9,6,7,8.4,0.857142857142857,0.585365853658537,18,24,28.8,0.75,0.416666666666667,0.291666666666667,0.291666666666667,5,10,12,0.5,7,7,8.4,1,6,7,8.4,0.857142857142857,1,1,1.2,0.0294117647058824,1,1,0,0,1,1.2,0.024390243902439,0,0,1,1.2,0.024390243902439,0.0294117647058824,0,0,0,0,0,0,5,6,0.833333333333333,0,0,0,1,0,0,0,1,0,2,3,3.6,3,0,1,1,1,2,2.4,5,6,1,4,0.2,3,0,3,3.6,4,4.8,12,7,9,10.8,8,1,0,0,0,2,2.4,1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blasse","GER",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,36,33.75,0.722222222222222,26,37,34.6875,0.702702702702703,16,23,21.5625,0.695652173913043,0.631578947368421,0.583333333333333,0.277777777777778,0.138888888888889,14,21,19.6875,0.666666666666667,8,10,9.375,0.8,4,5,4.6875,0.8,0.222222222222222,0.638888888888889,0.138888888888889,6,8,7.5,0.75,16,23,21.5625,0.695652173913043,4,5,4.6875,0.8,0.222222222222222,0.638888888888889,0.138888888888889,6,8,7.5,0.75,16,23,21.5625,0.695652173913043,4,5,4.6875,0.8,4,0,0,1,12,3,0,1,5,0.583333333333333,0.277777777777778,0.138888888888889,14,21,19.6875,0.666666666666667,8,10,9.375,0.8,4,5,4.6875,0.8,0.621621621621622,16,22,20.625,0.727272727272727,0.590909090909091,0.272727272727273,0.136363636363636,9,13,12.1875,0.692307692307692,5,6,5.625,0.833333333333333,2,3,2.8125,0.666666666666667,2,3,2.8125,0.0810810810810811,0.666666666666667,3,0,0,1,0.9375,0.0277777777777778,0,5,5,4.6875,0.138888888888889,0.135135135135135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.625,2,4,0.333333333333333,1,5,10,9.375,5,4.6875,4,1,0.8,0,0,0,0,1,0.9375,18,3,9,8.4375,6,3,1,0.9375,0,2,1.875,3,2.8125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","USA",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,46,43.125,0.717391304347826,32,38,35.625,0.842105263157895,20,24,22.5,0.833333333333333,0.631578947368421,0.434782608695652,0.326086956521739,0.239130434782609,16,20,18.75,0.8,8,15,14.0625,0.533333333333333,9,11,10.3125,0.818181818181818,0.288888888888889,0.6,0.111111111111111,5,13,12.1875,0.384615384615385,22,27,25.3125,0.814814814814815,5,5,4.6875,1,0.135135135135135,0.72972972972973,0.135135135135135,4,5,4.6875,0.8,22,27,25.3125,0.814814814814815,5,5,4.6875,1,3,2,0,1,20,1,0,1,4,0.5,0.210526315789474,0.289473684210526,16,19,17.8125,0.842105263157895,7,8,7.5,0.875,9,11,10.3125,0.818181818181818,0.521739130434783,20,24,22.5,0.833333333333333,0.375,0.291666666666667,0.333333333333333,8,9,8.4375,0.888888888888889,6,7,6.5625,0.857142857142857,6,8,7.5,0.75,0,0,0,0,0,0,0,1,4,3.75,0.0869565217391304,0.25,0,0,0,0,0,0,0,0,0,0,0,1,7,0.142857142857143,0,0,0,1,0,0,0,0,0,1,3,2.8125,2,1,0.666666666666667,1,2,4,3.75,3,2.8125,1,2,0.333333333333333,1,0,1,0.9375,2,1.875,31,10,12,11.25,7,4,8,7.5,0,4,3.75,1,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",1,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,17.4193548387097,0.416666666666667,5,12,17.4193548387097,0.416666666666667,4,8,11.6129032258065,0.5,0.666666666666667,0.416666666666667,0.25,0.333333333333333,1,5,7.25806451612903,0.2,1,3,4.35483870967742,0.333333333333333,3,4,5.80645161290323,0.75,0.333333333333333,0.666666666666667,0,0,4,5.80645161290323,0,5,8,11.6129032258065,0.625,0,0,0,0,0.333333333333333,0.666666666666667,0,0,4,5.80645161290323,0,5,8,11.6129032258065,0.625,0,0,0,0,0,0,0,1,3,1,0,0,0,0.416666666666667,0.25,0.333333333333333,1,5,7.25806451612903,0.2,1,3,4.35483870967742,0.333333333333333,3,4,5.80645161290323,0.75,0.666666666666667,4,8,11.6129032258065,0.5,0.375,0.375,0.25,1,3,4.35483870967742,0.333333333333333,1,3,4.35483870967742,0.333333333333333,2,2,2.90322580645161,1,0,3,4.35483870967742,0.25,0,3,0,0,0,0,0,0,0,3,4.35483870967742,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.90322580645161,1,1,0.5,0,3,4,5.80645161290323,8,11.6129032258065,3,5,0.375,1,0,1,1.45161290322581,2,2.90322580645161,18,7,1,1.45161290322581,1,0,2,2.90322580645161,0,1,1.45161290322581,1,1.45161290322581,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","USA",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,25.3125,0.814814814814815,22,27,25.3125,0.814814814814815,6,9,8.4375,0.666666666666667,0.333333333333333,0.555555555555556,0.185185185185185,0.259259259259259,10,15,14.0625,0.666666666666667,5,5,4.6875,1,7,7,6.5625,1,0,0.62962962962963,0.37037037037037,0,0,0,0,14,17,15.9375,0.823529411764706,8,10,9.375,0.8,0,0.62962962962963,0.37037037037037,0,0,0,0,14,17,15.9375,0.823529411764706,8,10,9.375,0.8,7,1,0,0,12,2,0,0,0,0.555555555555556,0.185185185185185,0.259259259259259,10,15,14.0625,0.666666666666667,5,5,4.6875,1,7,7,6.5625,1,0.333333333333333,6,9,8.4375,0.666666666666667,0.888888888888889,0,0.111111111111111,5,8,7.5,0.625,0,0,0,0,1,1,0.9375,1,0,0,0,0,0,0,0,4,7,6.5625,0.259259259259259,0.571428571428571,1,1,0.9375,0.037037037037037,0.037037037037037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7.5,2,6,0.25,2,0,2,1.875,0,0,6,4,7,6.5625,5,2,0,0,0,3,2.8125,8,7.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goebling","GER",1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,49.0909090909091,0.916666666666667,11,12,49.0909090909091,0.916666666666667,7,7,28.6363636363636,1,0.583333333333333,0.333333333333333,0.583333333333333,0.0833333333333333,3,4,16.3636363636364,0.75,7,7,28.6363636363636,1,1,1,4.09090909090909,1,0,0.75,0.25,0,0,0,0,8,9,36.8181818181818,0.888888888888889,3,3,12.2727272727273,1,0,0.75,0.25,0,0,0,0,8,9,36.8181818181818,0.888888888888889,3,3,12.2727272727273,1,3,0,0,0,8,0,0,0,0,0.333333333333333,0.583333333333333,0.0833333333333333,3,4,16.3636363636364,0.75,7,7,28.6363636363636,1,1,1,4.09090909090909,1,0.583333333333333,7,7,28.6363636363636,1,0.142857142857143,0.857142857142857,0,1,1,4.09090909090909,1,6,6,24.5454545454545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.09090909090909,1,0,1,0,0,0,0,1,4.09090909090909,2,0,6,24.5454545454545,5,1,1,4.09090909090909,0,1,4.09090909090909,2,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","USA",1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,18.5294117647059,0.857142857142857,6,7,18.5294117647059,0.857142857142857,5,6,15.8823529411765,0.833333333333333,0.857142857142857,0.285714285714286,0.285714285714286,0.428571428571429,2,2,5.29411764705882,1,2,2,5.29411764705882,1,2,3,7.94117647058824,0.666666666666667,0.428571428571429,0.428571428571429,0.142857142857143,2,3,7.94117647058824,0.666666666666667,3,3,7.94117647058824,1,1,1,2.64705882352941,1,0.428571428571429,0.428571428571429,0.142857142857143,2,3,7.94117647058824,0.666666666666667,3,3,7.94117647058824,1,1,1,2.64705882352941,1,0,1,0,0,3,0,0,0,2,0.285714285714286,0.285714285714286,0.428571428571429,2,2,5.29411764705882,1,2,2,5.29411764705882,1,2,3,7.94117647058824,0.666666666666667,0.857142857142857,5,6,15.8823529411765,0.833333333333333,0.166666666666667,0.333333333333333,0.5,1,1,2.64705882352941,1,2,2,5.29411764705882,1,2,3,7.94117647058824,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7.94117647058824,3,0,1,2,1,3,7.94117647058824,2,5.29411764705882,0,2,0,0,0,0,0,1,2.64705882352941,10,1,1,2.64705882352941,0,1,1,2.64705882352941,0,5,13.2352941176471,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","USA",1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,43.7142857142857,0.764705882352941,13,17,43.7142857142857,0.764705882352941,9,11,28.2857142857143,0.818181818181818,0.647058823529412,0.529411764705882,0.176470588235294,0.294117647058824,6,9,23.1428571428571,0.666666666666667,2,3,7.71428571428571,0.666666666666667,5,5,12.8571428571429,1,0.0588235294117647,0.882352941176471,0.0588235294117647,0,1,2.57142857142857,0,12,15,38.5714285714286,0.8,1,1,2.57142857142857,1,0.0588235294117647,0.882352941176471,0.0588235294117647,0,1,2.57142857142857,0,12,15,38.5714285714286,0.8,1,1,2.57142857142857,1,1,0,0,1,8,3,0,0,0,0.529411764705882,0.176470588235294,0.294117647058824,6,9,23.1428571428571,0.666666666666667,2,3,7.71428571428571,0.666666666666667,5,5,12.8571428571429,1,0.647058823529412,9,11,28.2857142857143,0.818181818181818,0.363636363636364,0.272727272727273,0.363636363636364,3,4,10.2857142857143,0.75,2,3,7.71428571428571,0.666666666666667,4,4,10.2857142857143,1,0,0,0,0,0,0,0,1,1,2.57142857142857,0.0588235294117647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.57142857142857,1,0,1,2,0,2,5.14285714285714,4,10.2857142857143,1,3,0.25,2,0,2,5.14285714285714,0,0,14,3,4,10.2857142857143,2,2,1,2.57142857142857,0,5,12.8571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huth","GER",1,22,0,0,1,4.09090909090909,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,24.5454545454545,0.666666666666667,4,6,24.5454545454545,0.666666666666667,4,5,20.4545454545455,0.8,0.833333333333333,0.166666666666667,0.666666666666667,0.166666666666667,1,1,4.09090909090909,1,3,4,16.3636363636364,0.75,0,1,4.09090909090909,0,0.5,0.333333333333333,0.166666666666667,2,3,12.2727272727273,0.666666666666667,1,2,8.18181818181818,0.5,1,1,4.09090909090909,1,0.5,0.333333333333333,0.166666666666667,2,3,12.2727272727273,0.666666666666667,1,2,8.18181818181818,0.5,1,1,4.09090909090909,1,1,0,0,0,1,0,0,0,2,0.166666666666667,0.666666666666667,0.166666666666667,1,1,4.09090909090909,1,3,4,16.3636363636364,0.75,0,1,4.09090909090909,0,0.833333333333333,4,5,20.4545454545455,0.8,0.2,0.6,0.2,1,1,4.09090909090909,1,3,3,12.2727272727273,1,0,1,4.09090909090909,0,1,1,4.09090909090909,0.166666666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.18181818181818,1,1,0.5,0,0,0,0,0,0,4,1,3,12.2727272727273,3,0,0,0,0,3,12.2727272727273,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
