"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"1","1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","F","CAN","Tancredi","passes.f","AM3C",NA,"through","D","USA","Klingenberg","interceptions","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","D","USA","Klingenberg","passes.b.c","D3L","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","D","USA","Sauerbrunn","passes.s.c","D18","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1","D","USA","Johnston","passes.f.c","D3R","DM3R",NA,"F","CAN","Tancredi","pressured","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1","D","USA","O'Hara","passes.f.c","DM3R","DM3R",NA,"M","CAN","Lawrence","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1","M","USA","Heath","passes.b","DM3R",NA,NA,"F","CAN","Tancredi","blocks","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1",NA,NA,NA,NA,NA,NA,NA,"D","CAN","Chapman","challenged","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1",NA,NA,NA,NA,NA,NA,NA,"M","CAN","Lawrence","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","M","USA","Heath","recoveries","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","M","USA","Heath","lost.touch","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"10","1","D","CAN","Chapman","passes.f.c","AM3L","AM3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1","F","CAN","Tancredi","passes.b.c","AM3L","AM3L",NA,"D","USA","Johnston","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1",NA,NA,NA,NA,NA,NA,NA,"M","USA","Brian","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1","D","CAN","Chapman","passes.f","AM3L",NA,"launch","D","USA","Klingenberg","blocks","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1",NA,NA,NA,NA,NA,NA,NA,"D","USA","Klingenberg","clearances","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1","F","CAN","Scott","recoveries","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1","F","CAN","Scott","passes.f","A3C",NA,NA,"D","USA","Johnston","clearances","D18",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"15","2","M","CAN","Lawrence","passes.s","A3L",NA,"corner.kick","M","USA","Lloyd","clearances","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2","M","CAN","Belanger","recoveries","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2","M","CAN","Belanger","dispossessed","A3R",NA,NA,"M","USA","Brian","dispossessed","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2",NA,NA,NA,NA,NA,NA,NA,"M","USA","Brian","clearances","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2","D","CAN","Wilkinson","recoveries","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2","D","CAN","Wilkinson","passes.s.c","A3R","A3R",NA,"F","USA","Pugh","challenged","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2","M","CAN","Belanger","passes.b.c","A3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2","D","CAN","Buchanan","passes.f","A3R",NA,"deep.crosses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2","F","CAN","Tancredi","aerial.lost","A18",NA,NA,"D","USA","Sauerbrunn","aerial.won","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2",NA,NA,NA,NA,NA,NA,NA,"M","USA","Lloyd","clearances","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2","M","CAN","Quinn","aerial.won","A3C",NA,NA,"F","USA","Morgan","aerial.lost","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2","F","CAN","Prince","shots.blocked","A3C",NA,NA,"D","USA","Sauerbrunn","blocks","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2","D","CAN","Buchanan","recoveries","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
