"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1",NA,"CAN","Tancredi","passes.f",NA,NA,"through",NA,"USA","Klingenberg","interceptions",NA,NA,NA,NA,NA,NA,NA
3,"1",NA,"USA","Klingenberg","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1",NA,"USA","Sauerbrunn","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1",NA,"USA","Johnston","passes.f.c",NA,NA,NA,NA,"CAN","Tancredi","pressured",NA,NA,NA,NA,NA,NA,NA
6,"1",NA,"USA","O'Hara","passes.f.c",NA,NA,NA,NA,"CAN","Lawrence","pressured",NA,NA,NA,NA,NA,NA,NA
7,"1",NA,"USA","Heath","passes.b",NA,NA,NA,NA,"CAN","Tancredi","blocks",NA,NA,NA,NA,NA,NA,NA
7,"1",NA,NA,NA,NA,NA,NA,NA,NA,"CAN","Chapman","challenged",NA,NA,NA,NA,NA,NA,NA
7,"1",NA,NA,NA,NA,NA,NA,NA,NA,"CAN","Lawrence","pressured",NA,NA,NA,NA,NA,NA,NA
8,"1",NA,"USA","Heath","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1",NA,"USA","Heath","lost.touch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
10,"1",NA,"CAN","Chapman","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"1",NA,"CAN","Tancredi","passes.b.c",NA,NA,NA,NA,"USA","Johnston","pressured",NA,NA,NA,NA,NA,NA,NA
11,"1",NA,NA,NA,NA,NA,NA,NA,NA,"USA","Brian","pressured",NA,NA,NA,NA,NA,NA,NA
12,"1",NA,"CAN","Chapman","passes.f",NA,NA,"launch",NA,"USA","Klingenberg","blocks",NA,NA,NA,NA,NA,NA,NA
12,"1",NA,NA,NA,NA,NA,NA,NA,NA,"USA","Klingenberg","clearances",NA,NA,NA,NA,NA,NA,NA
13,"1",NA,"CAN","Scott","passes.f",NA,NA,NA,NA,"USA","Johnston","clearances",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA
14,"2",NA,"CAN","Lawrence","passes.s",NA,NA,"corner.kick",NA,"USA","Lloyd","clearances",NA,NA,NA,NA,NA,NA,NA
15,"2",NA,"CAN","Belanger","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"2",NA,"CAN","Belanger","dispossessed",NA,NA,NA,NA,"USA","Brian","dispossess.ball.shield",NA,NA,NA,NA,NA,NA,NA
16,"2",NA,NA,NA,NA,NA,NA,NA,NA,"USA","Brian","clearances",NA,NA,NA,NA,NA,NA,NA
17,"2",NA,"CAN","Wilkinson","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"2",NA,"CAN","Wilkinson","passes.s.c",NA,NA,NA,NA,"USA","Pugh","challenged",NA,NA,NA,NA,NA,NA,NA
19,"2",NA,"CAN","Belanger","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"2",NA,"CAN","Buchanan","passes.f",NA,NA,"deep.crosses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"2",NA,"CAN","Tancredi","aerial.lost",NA,NA,NA,NA,"USA","Sauerbrunn","aerial.won",NA,NA,NA,NA,NA,NA,NA
21,"2",NA,NA,NA,NA,NA,NA,NA,NA,"USA","Lloyd","clearances",NA,NA,NA,NA,NA,NA,NA
22,"2",NA,"CAN","Quinn","aerial.won",NA,NA,NA,NA,"USA","Morgan","aerial.lost",NA,NA,NA,NA,NA,NA,NA
23,"2",NA,"CAN","Prince","shots.blocked","A3C",NA,NA,NA,"USA","Sauerbrunn","blocks",NA,NA,NA,NA,NA,NA,NA
24,"2",NA,"CAN","Buchanan","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2",NA,"CAN","Buchanan","passes.f.c",NA,NA,NA,NA,"USA","Pugh","pressured",NA,NA,NA,NA,NA,NA,NA
26,"2",NA,"CAN","Wilkinson","passes.f",NA,NA,"deep.crosses","GK","USA","Solo","gk.high.balls.won",NA,"caught",NA,NA,NA,NA,NA
27,"3","GK","USA","Solo","passes.f",NA,NA,"launch",NA,"CAN","Quinn","blocks",NA,NA,NA,NA,NA,NA,NA
