"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"1","1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","M","COL","Usme","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","M","COL","Santos","passes.s.c",NA,NA,NA,"F","USA","Press","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","F","COL","Andrade","passes.b.c",NA,NA,NA,"M","USA","Rapinoe","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1","D","COL","C. Arias","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1","D","COL","Clavijo","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1","D","COL","N. Arias","passes.f",NA,NA,"launch","F","USA","Press","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","D","USA","Sauerbrunn","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","D","USA","Sauerbrunn","passes.f.c",NA,NA,"headed","M","COL","Usme","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","D","USA","O'Hara","passes.f.c",NA,NA,NA,"M","COL","Usme","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1",NA,NA,NA,NA,NA,NA,NA,"F","COL","Andrade","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1","M","USA","Rapinoe","passes.b.c",NA,NA,"lay.off","M","COL","Santos","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1",NA,NA,NA,NA,NA,NA,NA,"D","COL","C. Arias","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1","M","USA","Horan","passes.b.c",NA,NA,"flick.on","D","COL","Salazar","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1","D","USA","Sauerbrunn","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1","D","USA","Engen","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1","D","USA","Sauerbrunn","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1","D","USA","O'Hara","passes.b.c",NA,NA,NA,"F","COL","Andrade","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1","D","USA","Sauerbrunn","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1","D","USA","Engen","passes.s.c",NA,NA,NA,"M","COL","Usme","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1","D","USA","Sauerbrunn","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
