"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","M","NZL","Duncan","passes.f",NA,NA,"launch","D","USA","Klingenberg","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1","M","NZL","Longo","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
4,"1","D","USA","Klingenberg","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","M","USA","Heath","passes.b.c",NA,NA,NA,"M","NZL","Bowen","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1","D","USA","Klingenberg","clearances",NA,NA,NA,"M","NZL","Longo","pressured",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
7,"1","D","NZL","Percival","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"1","F","NZL","Hearn","aerial.won",NA,NA,NA,"D","USA","Klingenberg","aerial.lost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1","M","USA","Heath","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","M","USA","Heath","passes.b.c",NA,NA,NA,"M","NZL","Bowen","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"1","M","USA","Long","passes.b.c",NA,NA,NA,"F","NZL","Wilkinson","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"1","D","USA","O'Hara","passes.f.c",NA,NA,NA,"F","NZL","Wilkinson","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"1","M","USA","Pugh","take.on.won",NA,NA,NA,"M","NZL","Hassett","dribbled.tackles.missed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"1","M","USA","Pugh","passes.f.c",NA,NA,NA,"M","NZL","Duncan","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"1","F","USA","Lloyd","passes.b.c",NA,NA,NA,"D","NZL","Riley","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"1","D","USA","O'Hara","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"1","D","USA","Johnston","passes.f",NA,NA,"switch",NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
18,"2","D","NZL","Percival","passes.f",NA,NA,"throw.in","M","USA","Heath","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
