"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1",NA,"USA","Heath","passes.b.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1",NA,"USA","Long","passes.s.c","DM3C","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1",NA,"USA","Horan","passes.f","DM3R",NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1",NA,"USA","Dunn","aerial.lost","A3C",NA,NA,NA,"COL","Gaitan","aerial.won","D3C",NA,NA,NA,NA,NA,NA
6,"1",NA,"COL","Salazar","recoveries","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1",NA,"COL","Salazar","passes.b.c","D3C","D3L","headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"1",NA,"COL","Velasquez","passes.f.c","D3L","DM3C",NA,NA,"USA","Lloyd","pressured","A3R",NA,NA,NA,NA,NA,NA
9,"1",NA,"COL","Echeverri","passes.f.c","DM3C","DM3L","flick.on",NA,"USA","Long","pressured","AM3C",NA,NA,NA,NA,NA,NA
10,"1",NA,"COL","Usme","passes.b.c","DM3L","DM3L",NA,NA,"USA","Sauerbrunn","pressured","AM3R",NA,NA,NA,NA,NA,NA
11,"1",NA,"COL","Santos","passes.b.c","DM3L","DM3L",NA,NA,"USA","Pugh","pressured","AM3R",NA,NA,NA,NA,NA,NA
12,"1",NA,"COL","Velasquez","clearances","DM3L",NA,NA,NA,"USA","Pugh","pressured","AM3R",NA,NA,NA,NA,NA,NA
13,"1",NA,"USA","Horan","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"1",NA,"USA","Horan","passes.b.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
