"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","M","USA","Press","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1","M","USA","Long","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1","D","USA","Klingenberg","passes.f.c",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","M","USA","Long","passes.f",NA,NA,"flick.on","D","JPN","Takagi","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1",NA,NA,NA,NA,NA,NA,"headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1","D","JPN","Takagi","passes.f",NA,NA,NA,"M","USA","Long","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1","M","USA","Long","lost.touch",NA,NA,NA,"D","JPN","Kawamura","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1",NA,NA,NA,NA,NA,NA,NA,"D","JPN","Kawamura","ball.shield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"1","M","JPN","Nakasato","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1","M","JPN","Nakasato","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","D","JPN","Kumagai","passes.f.c",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"1","M","JPN","Iwabuchi","lost.touch",NA,NA,NA,"D","USA","Sauerbrunn","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"1","D","USA","Johnston","recoveries",NA,NA,NA,"F","JPN","Sugasawa","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"1","D","USA","Johnston","passes.f.c",NA,NA,"launch","F","JPN","Sugasawa","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"1","M","USA","Brian","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"1","D","USA","O'Hara","passes.f.c",NA,NA,NA,"M","JPN","Masuya","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"1","F","USA","Dunn","take.on.lost",NA,NA,NA,"D","JPN","Utsugi","tackles.ball",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"1","D","JPN","Utsugi","recoveries",NA,NA,NA,"D","USA","O'Hara","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"1","D","JPN","Utsugi","passes.f.c",NA,NA,"launch","D","USA","O'Hara","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"1","M","JPN","Iwabuchi","passes.b",NA,NA,NA,"D","USA","Sauerbrunn","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"1",NA,NA,NA,NA,NA,NA,NA,"D","USA","Klingenberg","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"1","D","USA","Klingenberg","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"1","M","USA","Brian","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"1","D","USA","O'Hara","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"1","F","USA","Dunn","passes.f.c",NA,"A18","corner.crosses",NA,NA,NA,NA,NA,NA,NA,NA,"key.passes",NA,NA,NA,NA,NA
24,"1","M","USA","Press","shots.stopped.by.gk","A18",NA,NA,"GK","JPN","Yamane","gk.s.o.g.stop",NA,"deflected.to.safety","standing",NA,"big.chances.shot.on.goal",NA,"big.chances.stopped",NA,NA,NA
24,"1",NA,NA,NA,NA,NA,NA,NA,"D","JPN","Takagi","pressured","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"1","F","USA","Morgan","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"1","F","USA","Morgan","movement",NA,NA,NA,"M","JPN","Nakasato","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"1","F","USA","Morgan","shots.blocked",NA,NA,NA,"M","JPN","Sugita","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"1",NA,NA,NA,NA,NA,NA,NA,"M","JPN","Sugita","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"1","M","USA","Long","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"1","M","USA","Long","shots.blocked",NA,NA,NA,"D","JPN","Kawamura","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"1",NA,NA,NA,NA,NA,NA,NA,"D","JPN","Utsugi","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"1","D","JPN","Kumagai","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"1","D","JPN","Kumagai","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"1","M","JPN","Masuya","clearances",NA,NA,NA,"F","USA","Dunn","pressured",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
33,"2","D","USA","Sauerbrunn","passes.s.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"2","M","USA","Long","lost.touch",NA,NA,NA,"D","JPN","Kumagai","challenged",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
35,"2","GK","JPN","Yamane","passes.f",NA,NA,"goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"2",NA,NA,NA,NA,NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"2","F","JPN","Sugasawa","aerial.lost",NA,NA,NA,"D","USA","O'Hara","aerial.won",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"2","M","USA","Brian","recoveries",NA,NA,NA,"M","JPN","Masuya","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"2","M","USA","Brian","passes.b.c",NA,NA,NA,"M","JPN","Masuya","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"2","F","USA","Dunn","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"2","M","USA","Brian","dispossessed",NA,NA,NA,"M","JPN","Masuya","dispossessed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"2","M","JPN","Iwabuchi","recoveries",NA,NA,NA,"M","USA","Brian","challenged",NA,NA,NA,"fouls.won",NA,"fouls.conceded",NA,NA,NA,NA
42,"3","M","JPN","Iwabuchi","passes.f",NA,NA,"free.kick",NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
42,"3",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"3","D","USA","Sauerbrunn","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"3","D","USA","Johnston","passes.f",NA,NA,NA,"M","JPN","Sugita","blocks",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
45,"3","D","USA","Klingenberg","passes.s.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"3","M","USA","Long","passes.b.c",NA,NA,NA,"M","JPN","Nakasato","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"3","D","USA","Sauerbrunn","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"3","D","USA","Klingenberg","passes.b.c",NA,NA,"lay.off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
