"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","F","USA","Lloyd","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1","M","USA","Brian","passes.s.c",NA,NA,NA,"F","SUI","Willi","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1","M","USA","Heath","passes.s.c",NA,NA,NA,"M","SUI","Mauron","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1",NA,NA,NA,NA,NA,NA,NA,"F","SUI","Willi","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","M","USA","Brian","passes.s.c",NA,NA,NA,"M","SUI","Moser","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1",NA,NA,NA,NA,NA,NA,NA,"F","SUI","Willi","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1","M","USA","Heath","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1","D","USA","Sonnett","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"1","D","USA","Long","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1","D","USA","Sauerbrunn","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","D","USA","Long","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"1","D","USA","Sonnett","movement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"1","D","USA","Sonnett","passes.f.c",NA,NA,NA,"F","SUI","Willi","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"1","F","USA","Lloyd","passes.s.c",NA,NA,NA,"M","SUI","Mauron","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"1",NA,NA,NA,NA,NA,NA,NA,"M","SUI","Moser","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"1","M","USA","Brian","passes.s.c",NA,NA,"flick.on","F","SUI","Calligaris","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"1",NA,NA,NA,NA,NA,NA,NA,"M","SUI","Zehnder","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"1","M","USA","Horan","passes.b.c",NA,NA,"lay.off","M","SUI","Zehnder","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
