"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"1","1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","M","USA","Lavelle","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA
"3","1","M","USA","Long","passes.b.c",NA,NA,NA,"F","NOR","Hegerberg","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"20","14"
"4","1","D","USA","Dahlkemper","passes.b.c",NA,NA,NA,"F","NOR","Hegerberg","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"6","14"
"5","1","GK","USA","Naeher","passes.f.c",NA,NA,NA,"F","NOR","Hegerberg","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"1","14"
"6","1","D","USA","O'Hara","passes.b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"7","1","M","NOR","Haavi","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA
"8","1","M","NOR","Haavi","movement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA
"9","1","M","NOR","Haavi","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA
"10","1","F","NOR","Hegerberg","passes.f.c",NA,NA,"flick.on","M","USA","Long","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"14","20"
"11","1","M","NOR","Haavi","passes.s",NA,NA,"corner.crosses","D","USA","Sauerbrunn","clearances",NA,NA,NA,NA,NA,NA,NA,NA,"20","4"
"12","1","F","USA","Dunn","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA
"13","1","F","USA","Dunn","passes.b.c",NA,NA,"lay.off","M","NOR","Thorsnes","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"19","9"
"14","1","D","USA","O'Hara","passes.f",NA,NA,NA,"M","NOR","Thorsnes","pressured",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,"5","9"
"15","1","M","NOR","Thorsnes","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA
"16","1","F","NOR","Hegerberg","passes.s",NA,NA,NA,"D","USA","Sauerbrunn","pressured",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,"14","4"
"17","1","D","USA","O'Hara","passes.f",NA,NA,"throw.in","M","NOR","Thorsnes","blocks",NA,NA,NA,NA,NA,NA,NA,NA,"5","9"
"18","1","M","USA","Long","passes.f",NA,NA,NA,"F","NOR","Hansen","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"20","10"
"18","1",NA,NA,NA,NA,NA,NA,NA,"F","NOR","Hansen","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10"
"19","1","M","USA","Mewis","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"20","1","M","USA","Mewis","passes.f",NA,NA,"launch","D","NOR","Mjelde","blocks",NA,NA,NA,NA,NA,NA,NA,NA,"3","6"
"21","2","GK","NOR","Hjelmseth","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"22","2","GK","NOR","Hjelmseth","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"23","2","D","NOR","Berge","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA
"24","2","D","NOR","Mjelde","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA
"25","2","M","NOR","Isaksen","passes.f.c",NA,NA,NA,"M","USA","Klingenberg","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"19","7"
"26","2","D","NOR","Wold","movement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA
"27","2","D","NOR","Wold","passes.f.c",NA,NA,NA,"M","USA","Klingenberg","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"2","7"
"28","2","F","NOR","Hansen","passes.f.c",NA,NA,NA,"M","USA","Klingenberg","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"10","7"
"29","2","D","NOR","Wold","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA
"30","2","F","NOR","Hansen","movement",NA,NA,NA,"D","USA","Short","challenged",NA,NA,NA,"fouls.won",NA,"fouls.conceded",NA,NA,"10","14"
"31","3","D","NOR","Hegerberg","passes.s",NA,NA,"free.kick",NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,"8",NA
"31","3",NA,NA,NA,NA,NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","3",NA,NA,NA,NA,NA,NA,"corner.crosses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","3","GK","USA","Naeher","passes.f",NA,NA,"goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"32","3",NA,NA,NA,NA,NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3","M","USA","Long","aerial.lost",NA,NA,NA,"M","NOR","Spord","aerial.won",NA,NA,NA,"fouls.won",NA,"fouls.conceded",NA,NA,"20","28"
"34","3","D","USA","Sauerbrunn","passes.b.c",NA,NA,"free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA
"35","3","D","USA","Dahlkemper","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA
"36","3","D","USA","Sauerbrunn","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA
"37","3","D","USA","Dahlkemper","passes.f.c",NA,NA,NA,"F","NOR","Hansen","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"6","10"
