"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"1","1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","F","SWE","Schelin","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","M","SWE","Dahlkvist","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","D","SWE","Fischer","passes.f",NA,NA,"launch","D","USA","Short","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1","D","SWE","Samuelsson","ball.shield",NA,NA,NA,"M","USA","Lloyd","challenged",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"6","1","D","SWE","Samuelsson","passes.b.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1","D","SWE","Fischer","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","D","SWE","Sembrant","passes.f",NA,NA,"launch","D","USA","Sauerbrunn","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","D","USA","Sauerbrunn","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","M","USA","Lavelle","passes.b.c",NA,NA,"lay.off","M","SWE","Schough","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1","D","USA","O'Hara","passes.f.c",NA,NA,"launch","F","SWE","Rolfo","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1","F","USA","Dunn","passes.f",NA,NA,"headed","D","SWE","Andersson","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1",NA,NA,NA,NA,NA,NA,"flick.on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1","D","SWE","Andersson","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1","M","SWE","Schough","passes.f",NA,NA,NA,"D","USA","O'Hara","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1","M","SWE","Seger","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1","M","SWE","Seger","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1","F","SWE","Rolfo","lost.touch",NA,NA,NA,"D","USA","O'Hara","pressured",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"17","1",NA,NA,NA,NA,NA,NA,NA,"D","USA","Sauerbrunn","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1","D","USA","O'Hara","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1","F","USA","Dunn","aerial.won",NA,NA,NA,"D","SWE","Andersson","aerial.lost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2","F","USA","Dunn","passes.f.c",NA,NA,NA,"D","SWE","Andersson","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
