"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","F/C","USA","Morgan","passes.b.c",NA,NA,"pass.into.pressure","F","DEN","Nadim","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"13","9"
3,"1","M/CM","USA","Sullivan","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA
4,"1","D/CB","USA","Dahlkemper","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA
5,"1","D/CB","USA","Davidson","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA
6,"1","M/DM","USA","Ertz","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA
7,"1","D/FB","USA","Smith","take.on.won",NA,NA,NA,"M/W","DEN","Troelsgaard","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"22","7"
8,"1","D/FB","USA","Smith","passes.f",NA,NA,"pass.into.pressure","D/FB","DEN","Veje","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"22","11"
8,"1",NA,NA,NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1","D/FB","USA","Smith","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",NA
9,"1",NA,NA,NA,NA,NA,NA,"pass.into.pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","F/W","USA","Pugh","passes.b.c",NA,NA,NA,"M/W","DEN","Troelsgaard","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"11","7"
11,"1","F/W","USA","Dunn","passes.s.c",NA,NA,"pass.into.pressure","M/W","DEN","Troelsgaard","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"19","7"
12,"1","M/CM","USA","Sullivan","passes.s",NA,NA,"pass.into.pressure","D/CB","DEN","Arnth","challenged",NA,NA,NA,NA,NA,NA,NA,NA,"6","3"
12,"1",NA,NA,NA,NA,NA,NA,NA,"D/FB","DEN","Nielsen","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8"
13,"1","M/DM","USA","Ertz","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA
14,"1","M/DM","USA","Ertz","passes.f.c",NA,NA,"headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA
15,"1","M/CM","USA","Horan","aerial.won",NA,NA,NA,"M/DM","DEN","Kildemoes","aerial.lost",NA,NA,NA,NA,NA,NA,NA,NA,"9","4"
16,"1","M/CM","USA","Horan","passes.f",NA,NA,"headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA
17,"1","M/W","DEN","Troelsgaard","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA
18,"1","M/W","DEN","Troelsgaard","passes.b.c",NA,NA,"pass.into.pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA
19,"1","D/CB","DEN","Arnth","passes.s.c",NA,NA,NA,"F/C","USA","Morgan","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"3","13"
20,"1","D/CB","DEN","Larsen","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA
21,"1","GK","DEN","Peterson","passes.f",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
21,"1",NA,NA,NA,NA,NA,NA,"pass.into.pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"2","M/W","DEN","Troelsgaard","aerial.lost",NA,NA,NA,"D/FB","USA","Smith","aerial.won",NA,NA,NA,"fouls.conceded",NA,"fouls.won",NA,NA,"7","22"
23,"2",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"2","M/CM","USA","Sullivan","passes.f",NA,NA,"launch","M/W","DEN","Thogersen","blocks",NA,NA,NA,NA,NA,NA,NA,NA,"6","15"
24,"2",NA,NA,NA,NA,NA,NA,"pass.into.pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2","M/CM","USA","Horan","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA
26,"2","M/CM","USA","Horan","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA
27,"2","D/FB","USA","O'Hara","passes.b.c",NA,NA,NA,"M/W","DEN","Thogersen","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"5","15"
28,"2","D/CB","USA","Davidson","passes.s.c",NA,NA,"pass.into.pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA
29,"2","D/CB","USA","Dahlkemper","passes.f.c",NA,NA,"pass.into.pressure","F","DEN","Nadim","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"14","9"
30,"2","M/CM","USA","Sullivan","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA
31,"2","M/DM","USA","Ertz","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA
32,"2","D/CB","USA","Davidson","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA
33,"2","M/DM","USA","Ertz","passes.f.c",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA
34,"3","D/FB","USA","O'Hara","passes.f",NA,NA,"headed","D/FB","DEN","Nielsen","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,"5","8"
35,"3","D/FB","DEN","Nielsen","passes.f.c",NA,NA,NA,"F/C","USA","Morgan","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"8","13"
36,"3","F","DEN","Harder","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA
37,"3","M/DM","DEN","Pedersen","passes.f",NA,NA,"pass.into.pressure","M/CM","USA","Sullivan","blocks",NA,NA,NA,NA,NA,NA,NA,NA,"13","6"
38,"3","M/DM","DEN","Pedersen","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA
39,"3","M/DM","DEN","Pedersen","passes.b.c",NA,NA,NA,"M/CM","USA","Sullivan","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"13","6"
40,"3","D/CB","DEN","Arnth","passes.b.c",NA,NA,"pass.into.pressure","F/C","USA","Morgan","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"3","13"
41,"3","D/CB","DEN","Larsen","take.on.won",NA,NA,NA,"F/W","USA","Rapinoe","dribbled",NA,NA,NA,NA,NA,NA,NA,NA,"12","15"
42,"3","D/CB","DEN","Larsen","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA
43,"3","D/FB","DEN","Nielsen","passes.f.c",NA,NA,"pass.into.pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA
